credit_amount,duration,installment_commitment,savings_status
1338.0,6.0,1.0,500<=X<1000
1554.0,6.0,1.0,<100
15857.0,36.0,2.0,<100
1345.0,18.0,4.0,<100
1101.0,12.0,3.0,<100
3016.0,12.0,3.0,<100
2712.0,36.0,2.0,<100
731.0,8.0,4.0,<100
3780.0,18.0,3.0,<100
1602.0,21.0,4.0,<100
3966.0,18.0,1.0,<100
4165.0,18.0,2.0,<100
8335.0,36.0,3.0,no known savings
6681.0,48.0,4.0,no known savings
2375.0,24.0,4.0,500<=X<1000
1216.0,18.0,4.0,<100
11816.0,45.0,2.0,<100
5084.0,24.0,2.0,no known savings
2327.0,15.0,2.0,<100
1082.0,12.0,4.0,<100
886.0,12.0,4.0,no known savings
601.0,4.0,1.0,<100
2957.0,24.0,4.0,<100
2611.0,24.0,4.0,<100
5179.0,36.0,4.0,<100
2993.0,21.0,3.0,<100
1943.0,18.0,4.0,<100
1559.0,24.0,4.0,<100
3422.0,18.0,4.0,<100
3976.0,21.0,2.0,no known savings
6761.0,18.0,2.0,no known savings
1249.0,24.0,4.0,<100
1364.0,9.0,3.0,<100
709.0,12.0,4.0,<100
2235.0,20.0,4.0,<100
4042.0,24.0,3.0,no known savings
1471.0,15.0,4.0,<100
1442.0,18.0,4.0,<100
10875.0,36.0,2.0,<100
1474.0,24.0,4.0,100<=X<500
894.0,10.0,4.0,no known savings
3343.0,15.0,4.0,<100
3959.0,15.0,3.0,<100
3577.0,9.0,1.0,100<=X<500
5804.0,24.0,4.0,>=1000
2169.0,18.0,4.0,<100
2439.0,24.0,4.0,<100
4526.0,27.0,4.0,>=1000
2210.0,10.0,2.0,<100
2221.0,15.0,2.0,500<=X<1000
2389.0,18.0,4.0,<100
3331.0,12.0,2.0,<100
7409.0,36.0,3.0,no known savings
652.0,12.0,4.0,<100
7678.0,36.0,2.0,500<=X<1000
1343.0,6.0,1.0,<100
1382.0,24.0,4.0,100<=X<500
874.0,15.0,4.0,no known savings
3590.0,12.0,2.0,<100
1322.0,11.0,4.0,>=1000
1940.0,18.0,3.0,<100
3595.0,36.0,4.0,<100
1422.0,9.0,3.0,<100
6742.0,30.0,2.0,no known savings
7814.0,24.0,3.0,<100
9277.0,24.0,2.0,no known savings
2181.0,30.0,4.0,no known savings
1098.0,18.0,4.0,<100
4057.0,24.0,3.0,<100
795.0,12.0,4.0,<100
2825.0,24.0,4.0,no known savings
15672.0,48.0,2.0,<100
6614.0,36.0,4.0,<100
7824.0,28.0,3.0,no known savings
2442.0,27.0,4.0,<100
1829.0,15.0,4.0,<100
2171.0,12.0,4.0,<100
5800.0,36.0,3.0,<100
1169.0,18.0,4.0,no known savings
8947.0,36.0,3.0,no known savings
2606.0,21.0,4.0,<100
1592.0,12.0,3.0,>=1000
2186.0,15.0,1.0,no known savings
4153.0,18.0,2.0,<100
2625.0,16.0,2.0,<100
3485.0,20.0,2.0,no known savings
10477.0,36.0,2.0,no known savings
1386.0,15.0,4.0,no known savings
1278.0,24.0,4.0,<100
1107.0,12.0,2.0,<100
3763.0,21.0,2.0,no known savings
3711.0,36.0,2.0,no known savings
3594.0,15.0,1.0,<100
3195.0,9.0,1.0,no known savings
4454.0,36.0,4.0,<100
4736.0,24.0,2.0,<100
2991.0,30.0,2.0,no known savings
2142.0,11.0,1.0,>=1000
3161.0,24.0,4.0,<100
18424.0,48.0,1.0,<100
2848.0,10.0,1.0,100<=X<500
14896.0,6.0,1.0,<100
2359.0,24.0,1.0,100<=X<500
3345.0,24.0,4.0,<100
1817.0,18.0,4.0,<100
12749.0,48.0,4.0,500<=X<1000
1366.0,9.0,3.0,<100
2002.0,12.0,3.0,<100
6872.0,24.0,2.0,<100
697.0,12.0,4.0,<100
1049.0,18.0,4.0,<100
10297.0,48.0,4.0,<100
1867.0,30.0,4.0,no known savings
1344.0,12.0,4.0,<100
1747.0,24.0,4.0,<100
1670.0,9.0,4.0,<100
1224.0,9.0,3.0,<100
522.0,12.0,4.0,500<=X<1000
1498.0,12.0,4.0,<100
1919.0,30.0,4.0,100<=X<500
745.0,9.0,3.0,<100
2063.0,6.0,4.0,<100
6288.0,60.0,4.0,<100
6842.0,24.0,2.0,no known savings
3527.0,12.0,2.0,no known savings
1546.0,10.0,3.0,<100
929.0,24.0,4.0,no known savings
1455.0,4.0,2.0,<100
1845.0,15.0,4.0,<100
8358.0,48.0,1.0,500<=X<1000
3349.0,24.0,4.0,500<=X<1000
2859.0,12.0,4.0,no known savings
1533.0,18.0,4.0,<100
3621.0,24.0,2.0,100<=X<500
3590.0,18.0,3.0,<100
2145.0,36.0,2.0,<100
4113.0,24.0,3.0,500<=X<1000
10974.0,36.0,4.0,<100
1893.0,12.0,4.0,<100
1231.0,24.0,4.0,>=1000
3656.0,30.0,4.0,no known savings
1154.0,9.0,2.0,<100
4006.0,28.0,3.0,<100
3069.0,24.0,4.0,100<=X<500
1740.0,6.0,2.0,<100
2353.0,21.0,1.0,<100
3556.0,15.0,3.0,no known savings
2397.0,24.0,3.0,500<=X<1000
454.0,6.0,3.0,<100
1715.0,30.0,4.0,no known savings
2520.0,27.0,4.0,500<=X<1000
3568.0,15.0,4.0,<100
7166.0,42.0,2.0,no known savings
3939.0,11.0,1.0,<100
1514.0,15.0,4.0,100<=X<500
7393.0,24.0,1.0,<100
1193.0,24.0,1.0,<100
7297.0,60.0,4.0,<100
2831.0,30.0,4.0,<100
1258.0,24.0,3.0,500<=X<1000
753.0,6.0,2.0,<100
2427.0,18.0,4.0,no known savings
2538.0,24.0,4.0,<100
1264.0,15.0,2.0,100<=X<500
8386.0,30.0,2.0,<100
4844.0,48.0,3.0,<100
2923.0,21.0,1.0,100<=X<500
8229.0,36.0,2.0,<100
2028.0,24.0,2.0,<100
1433.0,15.0,4.0,<100
6289.0,42.0,2.0,<100
1409.0,13.0,2.0,100<=X<500
6579.0,24.0,4.0,<100
1743.0,24.0,4.0,<100
3565.0,12.0,2.0,no known savings
1569.0,15.0,4.0,100<=X<500
1936.0,18.0,2.0,no known savings
3959.0,36.0,4.0,<100
2390.0,12.0,4.0,no known savings
1736.0,12.0,3.0,<100
3857.0,30.0,4.0,<100
804.0,12.0,4.0,<100
1845.0,45.0,4.0,<100
4576.0,45.0,3.0,100<=X<500
