checking_status,credit_amount,credit_history,duration
0<=X<200,6560.0,existing paid,48.0
0<=X<200,2969.0,no credits/all paid,12.0
0<=X<200,1206.0,existing paid,9.0
0<=X<200,2118.0,existing paid,9.0
no checking,629.0,critical/other existing credit,18.0
<0,1198.0,all paid,6.0
no checking,2476.0,existing paid,21.0
<0,1138.0,critical/other existing credit,9.0
0<=X<200,14027.0,existing paid,60.0
no checking,7596.0,critical/other existing credit,30.0
no checking,3077.0,critical/other existing credit,30.0
no checking,1505.0,existing paid,18.0
>=200,3148.0,critical/other existing credit,24.0
0<=X<200,6148.0,no credits/all paid,20.0
>=200,1337.0,no credits/all paid,9.0
0<=X<200,433.0,all paid,6.0
<0,1228.0,existing paid,12.0
0<=X<200,790.0,existing paid,9.0
no checking,2570.0,existing paid,27.0
no checking,250.0,critical/other existing credit,6.0
no checking,1316.0,critical/other existing credit,15.0
<0,1882.0,existing paid,18.0
0<=X<200,6416.0,all paid,48.0
>=200,1275.0,critical/other existing credit,24.0
0<=X<200,6403.0,delayed previously,24.0
<0,1987.0,existing paid,24.0
0<=X<200,760.0,existing paid,8.0
no checking,2603.0,existing paid,24.0
no checking,3380.0,critical/other existing credit,4.0
0<=X<200,3990.0,all paid,36.0
0<=X<200,11560.0,existing paid,24.0
<0,4380.0,existing paid,18.0
no checking,6761.0,critical/other existing credit,6.0
0<=X<200,4280.0,no credits/all paid,30.0
<0,2325.0,all paid,24.0
0<=X<200,1048.0,all paid,10.0
no checking,3160.0,existing paid,21.0
<0,2483.0,all paid,24.0
<0,14179.0,critical/other existing credit,39.0
<0,1797.0,critical/other existing credit,13.0
<0,2511.0,existing paid,15.0
<0,1274.0,existing paid,12.0
no checking,5248.0,existing paid,21.0
no checking,3029.0,existing paid,15.0
<0,428.0,existing paid,6.0
<0,976.0,existing paid,18.0
0<=X<200,841.0,existing paid,12.0
no checking,5771.0,critical/other existing credit,30.0
no checking,1555.0,delayed previously,12.0
<0,1285.0,existing paid,24.0
>=200,1299.0,critical/other existing credit,6.0
>=200,1271.0,critical/other existing credit,15.0
no checking,1393.0,existing paid,24.0
<0,691.0,critical/other existing credit,12.0
no checking,5045.0,critical/other existing credit,15.0
<0,2124.0,critical/other existing credit,18.0
<0,2214.0,existing paid,12.0
no checking,12680.0,critical/other existing credit,21.0
no checking,2463.0,critical/other existing credit,24.0
0<=X<200,1155.0,existing paid,12.0
<0,3108.0,existing paid,30.0
no checking,2901.0,existing paid,10.0
0<=X<200,3617.0,critical/other existing credit,12.0
no checking,1655.0,critical/other existing credit,12.0
<0,2812.0,existing paid,24.0
<0,8065.0,critical/other existing credit,36.0
no checking,3275.0,critical/other existing credit,21.0
no checking,2223.0,critical/other existing credit,24.0
>=200,1480.0,critical/other existing credit,12.0
<0,1371.0,existing paid,24.0
no checking,3535.0,critical/other existing credit,36.0
<0,3509.0,existing paid,18.0
no checking,5711.0,critical/other existing credit,36.0
0<=X<200,3872.0,existing paid,18.0
0<=X<200,4933.0,critical/other existing credit,39.0
no checking,1940.0,critical/other existing credit,24.0
0<=X<200,1410.0,no credits/all paid,12.0
0<=X<200,836.0,existing paid,12.0
0<=X<200,6468.0,existing paid,20.0
0<=X<200,1941.0,existing paid,18.0
no checking,2675.0,existing paid,22.0
no checking,2751.0,critical/other existing credit,48.0
0<=X<200,6224.0,delayed previously,48.0
<0,5998.0,critical/other existing credit,40.0
0<=X<200,1188.0,existing paid,21.0
no checking,6313.0,existing paid,24.0
no checking,1221.0,critical/other existing credit,6.0
>=200,2892.0,existing paid,24.0
no checking,3062.0,existing paid,24.0
no checking,2301.0,existing paid,9.0
<0,7511.0,existing paid,18.0
no checking,1258.0,critical/other existing credit,12.0
no checking,717.0,delayed previously,24.0
0<=X<200,1549.0,existing paid,9.0
no checking,1597.0,critical/other existing credit,24.0
0<=X<200,1795.0,critical/other existing credit,18.0
<0,4272.0,critical/other existing credit,20.0
no checking,976.0,critical/other existing credit,12.0
0<=X<200,7472.0,existing paid,12.0
<0,9271.0,existing paid,36.0
0<=X<200,590.0,existing paid,6.0
no checking,930.0,critical/other existing credit,12.0
0<=X<200,9283.0,all paid,42.0
0<=X<200,1778.0,no credits/all paid,15.0
0<=X<200,907.0,existing paid,8.0
0<=X<200,484.0,existing paid,6.0
<0,9629.0,critical/other existing credit,36.0
<0,3051.0,existing paid,48.0
<0,3931.0,existing paid,48.0
0<=X<200,7432.0,delayed previously,36.0
no checking,1338.0,existing paid,6.0
no checking,1554.0,critical/other existing credit,6.0
<0,15857.0,existing paid,36.0
<0,1345.0,existing paid,18.0
no checking,1101.0,existing paid,12.0
>=200,3016.0,existing paid,12.0
<0,2712.0,existing paid,36.0
<0,731.0,critical/other existing credit,8.0
no checking,3780.0,critical/other existing credit,18.0
<0,1602.0,critical/other existing credit,21.0
<0,3966.0,critical/other existing credit,18.0
no checking,4165.0,no credits/all paid,18.0
<0,8335.0,existing paid,36.0
0<=X<200,6681.0,delayed previously,48.0
no checking,2375.0,delayed previously,24.0
<0,1216.0,existing paid,18.0
<0,11816.0,no credits/all paid,45.0
0<=X<200,5084.0,existing paid,24.0
>=200,2327.0,existing paid,15.0
<0,1082.0,no credits/all paid,12.0
no checking,886.0,existing paid,12.0
no checking,601.0,existing paid,4.0
<0,2957.0,critical/other existing credit,24.0
no checking,2611.0,critical/other existing credit,24.0
<0,5179.0,existing paid,36.0
no checking,2993.0,delayed previously,21.0
no checking,1943.0,existing paid,18.0
no checking,1559.0,all paid,24.0
no checking,3422.0,existing paid,18.0
0<=X<200,3976.0,existing paid,21.0
no checking,6761.0,existing paid,18.0
no checking,1249.0,existing paid,24.0
<0,1364.0,existing paid,9.0
<0,709.0,existing paid,12.0
<0,2235.0,critical/other existing credit,20.0
no checking,4042.0,critical/other existing credit,24.0
no checking,1471.0,critical/other existing credit,15.0
<0,1442.0,all paid,18.0
no checking,10875.0,delayed previously,36.0
no checking,1474.0,existing paid,24.0
no checking,894.0,existing paid,10.0
no checking,3343.0,critical/other existing credit,15.0
<0,3959.0,existing paid,15.0
no checking,3577.0,existing paid,9.0
no checking,5804.0,critical/other existing credit,24.0
no checking,2169.0,delayed previously,18.0
<0,2439.0,existing paid,24.0
no checking,4526.0,critical/other existing credit,27.0
no checking,2210.0,existing paid,10.0
no checking,2221.0,existing paid,15.0
<0,2389.0,existing paid,18.0
no checking,3331.0,critical/other existing credit,12.0
no checking,7409.0,existing paid,36.0
<0,652.0,existing paid,12.0
no checking,7678.0,delayed previously,36.0
>=200,1343.0,critical/other existing credit,6.0
<0,1382.0,critical/other existing credit,24.0
no checking,874.0,existing paid,15.0
<0,3590.0,existing paid,12.0
0<=X<200,1322.0,critical/other existing credit,11.0
<0,1940.0,all paid,18.0
no checking,3595.0,existing paid,36.0
<0,1422.0,existing paid,9.0
no checking,6742.0,critical/other existing credit,30.0
no checking,7814.0,existing paid,24.0
no checking,9277.0,existing paid,24.0
0<=X<200,2181.0,critical/other existing credit,30.0
no checking,1098.0,critical/other existing credit,18.0
0<=X<200,4057.0,existing paid,24.0
<0,795.0,existing paid,12.0
0<=X<200,2825.0,critical/other existing credit,24.0
0<=X<200,15672.0,existing paid,48.0
no checking,6614.0,critical/other existing credit,36.0
no checking,7824.0,all paid,28.0
<0,2442.0,critical/other existing credit,27.0
no checking,1829.0,critical/other existing credit,15.0
<0,2171.0,critical/other existing credit,12.0
0<=X<200,5800.0,critical/other existing credit,36.0
no checking,1169.0,critical/other existing credit,18.0
no checking,8947.0,delayed previously,36.0
<0,2606.0,existing paid,21.0
no checking,1592.0,critical/other existing credit,12.0
no checking,2186.0,existing paid,15.0
<0,4153.0,existing paid,18.0
<0,2625.0,critical/other existing credit,16.0
no checking,3485.0,critical/other existing credit,20.0
no checking,10477.0,critical/other existing credit,36.0
no checking,1386.0,existing paid,15.0
no checking,1278.0,existing paid,24.0
<0,1107.0,existing paid,12.0
<0,3763.0,existing paid,21.0
0<=X<200,3711.0,existing paid,36.0
no checking,3594.0,delayed previously,15.0
0<=X<200,3195.0,existing paid,9.0
no checking,4454.0,delayed previously,36.0
0<=X<200,4736.0,critical/other existing credit,24.0
0<=X<200,2991.0,existing paid,30.0
no checking,2142.0,existing paid,11.0
<0,3161.0,all paid,24.0
0<=X<200,18424.0,no credits/all paid,48.0
no checking,2848.0,existing paid,10.0
<0,14896.0,existing paid,6.0
<0,2359.0,existing paid,24.0
<0,3345.0,existing paid,24.0
no checking,1817.0,critical/other existing credit,18.0
no checking,12749.0,delayed previously,48.0
<0,1366.0,existing paid,9.0
0<=X<200,2002.0,existing paid,12.0
<0,6872.0,all paid,24.0
<0,697.0,all paid,12.0
<0,1049.0,critical/other existing credit,18.0
<0,10297.0,existing paid,48.0
no checking,1867.0,existing paid,30.0
<0,1344.0,delayed previously,12.0
<0,1747.0,existing paid,24.0
0<=X<200,1670.0,existing paid,9.0
no checking,1224.0,critical/other existing credit,9.0
no checking,522.0,critical/other existing credit,12.0
<0,1498.0,existing paid,12.0
0<=X<200,1919.0,delayed previously,30.0
>=200,745.0,existing paid,9.0
0<=X<200,2063.0,existing paid,6.0
0<=X<200,6288.0,existing paid,60.0
no checking,6842.0,critical/other existing credit,24.0
no checking,3527.0,existing paid,12.0
no checking,1546.0,existing paid,10.0
no checking,929.0,existing paid,24.0
no checking,1455.0,critical/other existing credit,4.0
<0,1845.0,existing paid,15.0
0<=X<200,8358.0,no credits/all paid,48.0
<0,3349.0,all paid,24.0
no checking,2859.0,existing paid,12.0
no checking,1533.0,existing paid,18.0
no checking,3621.0,existing paid,24.0
0<=X<200,3590.0,critical/other existing credit,18.0
<0,2145.0,delayed previously,36.0
0<=X<200,4113.0,existing paid,24.0
no checking,10974.0,existing paid,36.0
<0,1893.0,existing paid,12.0
<0,1231.0,critical/other existing credit,24.0
>=200,3656.0,critical/other existing credit,30.0
0<=X<200,1154.0,critical/other existing credit,9.0
<0,4006.0,existing paid,28.0
0<=X<200,3069.0,existing paid,24.0
no checking,1740.0,critical/other existing credit,6.0
0<=X<200,2353.0,delayed previously,21.0
no checking,3556.0,existing paid,15.0
no checking,2397.0,existing paid,24.0
0<=X<200,454.0,existing paid,6.0
0<=X<200,1715.0,existing paid,30.0
0<=X<200,2520.0,critical/other existing credit,27.0
no checking,3568.0,existing paid,15.0
no checking,7166.0,existing paid,42.0
<0,3939.0,critical/other existing credit,11.0
0<=X<200,1514.0,existing paid,15.0
no checking,7393.0,existing paid,24.0
<0,1193.0,all paid,24.0
<0,7297.0,existing paid,60.0
no checking,2831.0,critical/other existing credit,30.0
>=200,1258.0,existing paid,24.0
0<=X<200,753.0,existing paid,6.0
0<=X<200,2427.0,delayed previously,18.0
no checking,2538.0,delayed previously,24.0
0<=X<200,1264.0,all paid,15.0
0<=X<200,8386.0,critical/other existing credit,30.0
no checking,4844.0,existing paid,48.0
>=200,2923.0,existing paid,21.0
<0,8229.0,existing paid,36.0
no checking,2028.0,critical/other existing credit,24.0
<0,1433.0,critical/other existing credit,15.0
>=200,6289.0,no credits/all paid,42.0
no checking,1409.0,existing paid,13.0
<0,6579.0,existing paid,24.0
0<=X<200,1743.0,critical/other existing credit,24.0
no checking,3565.0,critical/other existing credit,12.0
no checking,1569.0,all paid,15.0
<0,1936.0,existing paid,18.0
<0,3959.0,existing paid,36.0
no checking,2390.0,existing paid,12.0
no checking,1736.0,existing paid,12.0
<0,3857.0,existing paid,30.0
no checking,804.0,existing paid,12.0
<0,1845.0,existing paid,45.0
0<=X<200,4576.0,critical/other existing credit,45.0
