age,credit_amount,other_payment_plans,personal_status
28.0,1249.0,none,male mar/wid
59.0,1364.0,none,male single
57.0,709.0,stores,male single
33.0,2235.0,bank,male mar/wid
43.0,4042.0,none,male single
35.0,1471.0,none,male single
32.0,1442.0,none,male single
45.0,10875.0,none,male single
33.0,1474.0,none,male mar/wid
40.0,894.0,none,female div/dep/mar
28.0,3343.0,none,male single
29.0,3959.0,none,female div/dep/mar
26.0,3577.0,none,male single
27.0,5804.0,none,male single
28.0,2169.0,none,male mar/wid
35.0,2439.0,none,female div/dep/mar
32.0,4526.0,stores,male single
25.0,2210.0,bank,male single
20.0,2221.0,none,female div/dep/mar
27.0,2389.0,stores,female div/dep/mar
42.0,3331.0,stores,male single
37.0,7409.0,none,male single
24.0,652.0,none,female div/dep/mar
40.0,7678.0,none,female div/dep/mar
46.0,1343.0,none,male single
26.0,1382.0,none,male single
24.0,874.0,none,female div/dep/mar
29.0,3590.0,none,male single
40.0,1322.0,none,female div/dep/mar
36.0,1940.0,bank,male single
28.0,3595.0,none,male single
27.0,1422.0,none,male single
36.0,6742.0,none,male single
38.0,7814.0,none,male single
48.0,9277.0,none,male div/sep
36.0,2181.0,none,male single
65.0,1098.0,none,female div/dep/mar
43.0,4057.0,none,male div/sep
53.0,795.0,none,female div/dep/mar
34.0,2825.0,none,male single
23.0,15672.0,none,male single
34.0,6614.0,none,male single
40.0,7824.0,bank,male single
43.0,2442.0,stores,male single
46.0,1829.0,none,male single
38.0,2171.0,bank,male single
34.0,5800.0,none,male single
29.0,1169.0,none,male single
31.0,8947.0,stores,male single
28.0,2606.0,none,female div/dep/mar
35.0,1592.0,none,female div/dep/mar
33.0,2186.0,bank,female div/dep/mar
42.0,4153.0,none,male single
43.0,2625.0,bank,male single
44.0,3485.0,none,male div/sep
42.0,10477.0,none,male single
40.0,1386.0,none,male mar/wid
36.0,1278.0,none,male single
20.0,1107.0,none,male single
24.0,3763.0,none,male single
27.0,3711.0,none,male mar/wid
46.0,3594.0,none,female div/dep/mar
33.0,3195.0,none,female div/dep/mar
34.0,4454.0,none,female div/dep/mar
25.0,4736.0,bank,female div/dep/mar
25.0,2991.0,none,female div/dep/mar
28.0,2142.0,none,male div/sep
31.0,3161.0,none,male single
32.0,18424.0,bank,female div/dep/mar
32.0,2848.0,none,male single
68.0,14896.0,bank,male single
33.0,2359.0,none,male div/sep
39.0,3345.0,none,male single
28.0,1817.0,none,female div/dep/mar
37.0,12749.0,none,male single
22.0,1366.0,none,female div/dep/mar
30.0,2002.0,none,male single
55.0,6872.0,bank,male div/sep
46.0,697.0,bank,male single
21.0,1049.0,none,female div/dep/mar
39.0,10297.0,stores,male single
58.0,1867.0,none,male single
43.0,1344.0,none,male single
24.0,1747.0,none,male single
22.0,1670.0,none,female div/dep/mar
30.0,1224.0,none,male single
42.0,522.0,none,male single
23.0,1498.0,bank,female div/dep/mar
30.0,1919.0,stores,male single
28.0,745.0,none,female div/dep/mar
30.0,2063.0,none,male mar/wid
42.0,6288.0,none,male single
46.0,6842.0,none,male single
45.0,3527.0,none,male single
31.0,1546.0,none,male single
31.0,929.0,stores,male single
42.0,1455.0,none,male single
46.0,1845.0,none,female div/dep/mar
30.0,8358.0,none,female div/dep/mar
30.0,3349.0,none,male single
38.0,2859.0,none,male single
43.0,1533.0,none,male mar/wid
31.0,3621.0,none,male single
40.0,3590.0,none,male mar/wid
24.0,2145.0,none,male single
28.0,4113.0,none,female div/dep/mar
26.0,10974.0,none,female div/dep/mar
29.0,1893.0,none,female div/dep/mar
57.0,1231.0,none,female div/dep/mar
49.0,3656.0,stores,male single
37.0,1154.0,none,male single
45.0,4006.0,none,male single
30.0,3069.0,none,male single
30.0,1740.0,none,male mar/wid
47.0,2353.0,none,male div/sep
29.0,3556.0,none,male single
35.0,2397.0,bank,male single
22.0,454.0,none,male mar/wid
26.0,1715.0,none,female div/dep/mar
23.0,2520.0,none,male single
54.0,3568.0,bank,female div/dep/mar
29.0,7166.0,none,male mar/wid
40.0,3939.0,none,male single
22.0,1514.0,none,male single
43.0,7393.0,none,male single
29.0,1193.0,none,female div/dep/mar
36.0,7297.0,none,male single
33.0,2831.0,none,female div/dep/mar
57.0,1258.0,none,female div/dep/mar
64.0,753.0,none,female div/dep/mar
42.0,2427.0,none,male single
47.0,2538.0,none,male single
25.0,1264.0,none,male mar/wid
49.0,8386.0,none,male single
33.0,4844.0,bank,male single
28.0,2923.0,bank,female div/dep/mar
26.0,8229.0,none,male single
30.0,2028.0,none,male single
25.0,1433.0,none,female div/dep/mar
33.0,6289.0,none,male div/sep
64.0,1409.0,none,female div/dep/mar
29.0,6579.0,none,male single
48.0,1743.0,none,male single
37.0,3565.0,none,male single
34.0,1569.0,bank,male single
23.0,1936.0,none,male mar/wid
30.0,3959.0,none,male single
50.0,2390.0,none,male single
31.0,1736.0,none,female div/dep/mar
40.0,3857.0,none,male div/sep
38.0,804.0,none,male single
23.0,1845.0,none,male single
27.0,4576.0,none,male single
