age,checking_status,credit_amount,duration,installment_commitment,property_magnitude,purpose,residence_since
42.0,no checking,2292.0,12.0,4.0,car,business,2.0
40.0,no checking,1597.0,10.0,3.0,no known property,new car,2.0
35.0,<0,1381.0,24.0,4.0,life insurance,new car,2.0
35.0,no checking,5842.0,36.0,2.0,life insurance,used car,2.0
33.0,<0,2579.0,12.0,4.0,real estate,new car,1.0
23.0,<0,8471.0,18.0,1.0,car,education,2.0
31.0,no checking,2782.0,21.0,1.0,car,new car,2.0
33.0,0<=X<200,1042.0,18.0,4.0,life insurance,new car,2.0
20.0,no checking,3186.0,15.0,2.0,car,new car,3.0
30.0,0<=X<200,2028.0,12.0,4.0,car,used car,2.0
47.0,0<=X<200,958.0,12.0,2.0,real estate,new car,3.0
34.0,no checking,1591.0,21.0,4.0,real estate,furniture/equipment,3.0
25.0,0<=X<200,2762.0,12.0,1.0,life insurance,furniture/equipment,2.0
21.0,0<=X<200,2779.0,18.0,1.0,car,used car,3.0
29.0,no checking,2743.0,28.0,4.0,car,radio/tv,2.0
46.0,no checking,1149.0,18.0,4.0,real estate,radio/tv,3.0
20.0,no checking,1313.0,9.0,1.0,car,furniture/equipment,4.0
55.0,<0,1190.0,18.0,2.0,no known property,repairs,4.0
74.0,no checking,3448.0,5.0,1.0,real estate,business,4.0
29.0,0<=X<200,11328.0,24.0,2.0,car,other,3.0
36.0,<0,1872.0,6.0,4.0,no known property,furniture/equipment,4.0
33.0,no checking,2058.0,24.0,4.0,real estate,repairs,2.0
25.0,<0,2136.0,9.0,3.0,real estate,furniture/equipment,2.0
25.0,0<=X<200,1484.0,12.0,2.0,real estate,radio/tv,1.0
23.0,no checking,660.0,6.0,2.0,real estate,repairs,4.0
37.0,no checking,1287.0,24.0,4.0,real estate,new car,4.0
65.0,<0,3394.0,42.0,4.0,car,repairs,4.0
26.0,>=200,609.0,12.0,4.0,real estate,business,1.0
39.0,no checking,1884.0,12.0,4.0,car,new car,4.0
30.0,<0,1620.0,12.0,2.0,life insurance,furniture/equipment,3.0
29.0,0<=X<200,2629.0,20.0,2.0,car,other,3.0
41.0,no checking,719.0,12.0,4.0,car,education,4.0
30.0,0<=X<200,5096.0,48.0,2.0,car,furniture/equipment,3.0
41.0,no checking,1244.0,9.0,4.0,life insurance,education,4.0
34.0,<0,1842.0,36.0,4.0,car,new car,4.0
35.0,0<=X<200,2576.0,7.0,2.0,real estate,radio/tv,2.0
55.0,>=200,1424.0,12.0,3.0,real estate,furniture/equipment,4.0
61.0,0<=X<200,1512.0,15.0,3.0,life insurance,repairs,3.0
30.0,no checking,11054.0,36.0,4.0,car,used car,2.0
29.0,no checking,518.0,6.0,3.0,real estate,radio/tv,1.0
34.0,no checking,2759.0,12.0,2.0,life insurance,furniture/equipment,4.0
35.0,no checking,2670.0,24.0,4.0,car,used car,4.0
31.0,<0,4817.0,24.0,2.0,life insurance,new car,3.0
29.0,no checking,2679.0,24.0,4.0,no known property,used car,1.0
36.0,<0,3905.0,11.0,2.0,real estate,new car,2.0
35.0,<0,3386.0,12.0,3.0,no known property,used car,4.0
27.0,<0,343.0,6.0,4.0,real estate,domestic appliance,1.0
32.0,no checking,4594.0,18.0,3.0,car,radio/tv,2.0
37.0,<0,3620.0,36.0,1.0,life insurance,furniture/equipment,2.0
36.0,<0,1721.0,15.0,2.0,real estate,new car,3.0
34.0,0<=X<200,3017.0,12.0,3.0,real estate,furniture/equipment,1.0
38.0,0<=X<200,754.0,12.0,4.0,life insurance,retraining,4.0
34.0,no checking,1950.0,18.0,4.0,car,business,1.0
63.0,<0,2924.0,24.0,3.0,no known property,used car,4.0
29.0,<0,1659.0,24.0,4.0,car,radio/tv,2.0
32.0,no checking,7238.0,48.0,3.0,car,radio/tv,3.0
26.0,no checking,2764.0,33.0,2.0,car,business,2.0
35.0,no checking,4679.0,24.0,3.0,car,used car,3.0
22.0,0<=X<200,3092.0,24.0,3.0,car,radio/tv,2.0
23.0,<0,448.0,6.0,4.0,life insurance,education,4.0
28.0,<0,654.0,9.0,4.0,car,new car,3.0
36.0,no checking,1238.0,6.0,4.0,life insurance,retraining,4.0
33.0,0<=X<200,1245.0,18.0,4.0,car,radio/tv,2.0
26.0,<0,3114.0,18.0,1.0,life insurance,furniture/equipment,4.0
24.0,no checking,2569.0,39.0,4.0,car,used car,4.0
25.0,>=200,5152.0,24.0,4.0,car,radio/tv,2.0
39.0,0<=X<200,1037.0,12.0,3.0,real estate,business,4.0
44.0,<0,1478.0,15.0,4.0,car,furniture/equipment,4.0
23.0,0<=X<200,3573.0,12.0,1.0,real estate,radio/tv,1.0
26.0,0<=X<200,1201.0,24.0,4.0,life insurance,new car,1.0
57.0,<0,3622.0,30.0,4.0,life insurance,furniture/equipment,4.0
30.0,no checking,960.0,15.0,3.0,life insurance,furniture/equipment,2.0
44.0,no checking,1163.0,12.0,4.0,real estate,new car,4.0
47.0,0<=X<200,1209.0,6.0,4.0,life insurance,new car,4.0
52.0,no checking,3077.0,12.0,2.0,car,radio/tv,4.0
62.0,no checking,3757.0,24.0,4.0,no known property,new car,4.0
35.0,no checking,1418.0,10.0,3.0,real estate,new car,2.0
26.0,no checking,3518.0,6.0,2.0,life insurance,new car,3.0
26.0,no checking,1934.0,12.0,2.0,no known property,radio/tv,2.0
42.0,0<=X<200,8318.0,27.0,2.0,no known property,business,4.0
27.0,no checking,1237.0,6.0,1.0,life insurance,radio/tv,1.0
38.0,0<=X<200,368.0,6.0,4.0,life insurance,radio/tv,4.0
39.0,<0,2122.0,12.0,3.0,real estate,new car,2.0
20.0,<0,2996.0,24.0,2.0,car,furniture/equipment,4.0
29.0,0<=X<200,9034.0,36.0,4.0,no known property,furniture/equipment,1.0
40.0,no checking,1585.0,24.0,4.0,life insurance,furniture/equipment,3.0
32.0,0<=X<200,1301.0,18.0,4.0,real estate,radio/tv,2.0
28.0,>=200,1323.0,6.0,2.0,car,new car,4.0
27.0,<0,3123.0,24.0,4.0,life insurance,new car,1.0
42.0,<0,5493.0,36.0,2.0,no known property,used car,4.0
49.0,>=200,1126.0,9.0,2.0,real estate,radio/tv,4.0
38.0,0<=X<200,1216.0,24.0,4.0,no known property,radio/tv,4.0
24.0,<0,1207.0,24.0,4.0,life insurance,new car,4.0
27.0,no checking,1309.0,10.0,4.0,life insurance,new car,4.0
36.0,>=200,2360.0,15.0,2.0,car,used car,2.0
34.0,0<=X<200,6850.0,15.0,1.0,life insurance,new car,2.0
28.0,no checking,1413.0,24.0,4.0,life insurance,radio/tv,2.0
45.0,no checking,8588.0,39.0,4.0,car,used car,2.0
26.0,<0,759.0,12.0,4.0,real estate,new car,2.0
32.0,no checking,4686.0,36.0,2.0,no known property,used car,2.0
26.0,>=200,2687.0,15.0,2.0,life insurance,business,4.0
20.0,0<=X<200,585.0,12.0,4.0,real estate,radio/tv,4.0
54.0,no checking,2255.0,24.0,4.0,life insurance,new car,1.0
37.0,<0,609.0,6.0,4.0,life insurance,new car,3.0
40.0,<0,1361.0,6.0,2.0,real estate,new car,4.0
23.0,no checking,7127.0,36.0,2.0,life insurance,furniture/equipment,4.0
43.0,<0,1203.0,6.0,3.0,life insurance,new car,2.0
36.0,no checking,700.0,6.0,4.0,no known property,radio/tv,4.0
44.0,no checking,5507.0,24.0,3.0,no known property,repairs,4.0
24.0,<0,3190.0,18.0,2.0,real estate,radio/tv,2.0
53.0,<0,7119.0,48.0,3.0,no known property,furniture/equipment,4.0
23.0,no checking,3488.0,24.0,3.0,car,used car,4.0
26.0,0<=X<200,1113.0,18.0,4.0,real estate,radio/tv,4.0
30.0,0<=X<200,7966.0,26.0,2.0,car,used car,3.0
31.0,no checking,1532.0,15.0,4.0,car,education,3.0
42.0,no checking,1503.0,4.0,2.0,real estate,radio/tv,1.0
31.0,<0,2302.0,36.0,4.0,car,radio/tv,4.0
41.0,<0,662.0,6.0,3.0,real estate,new car,4.0
32.0,0<=X<200,2273.0,36.0,3.0,car,education,1.0
28.0,0<=X<200,2631.0,15.0,2.0,car,new car,4.0
41.0,no checking,1503.0,12.0,4.0,real estate,used car,4.0
26.0,no checking,1311.0,24.0,4.0,life insurance,radio/tv,3.0
25.0,no checking,3105.0,24.0,4.0,car,radio/tv,2.0
33.0,>=200,2319.0,21.0,2.0,car,education,1.0
75.0,<0,1374.0,6.0,4.0,life insurance,new car,3.0
37.0,0<=X<200,3612.0,18.0,3.0,life insurance,furniture/equipment,4.0
42.0,<0,7763.0,48.0,4.0,no known property,new car,4.0
45.0,>=200,3049.0,18.0,1.0,life insurance,furniture/equipment,1.0
23.0,0<=X<200,1534.0,12.0,1.0,real estate,radio/tv,1.0
60.0,no checking,2032.0,24.0,4.0,no known property,new car,4.0
31.0,<0,6350.0,30.0,4.0,life insurance,furniture/equipment,4.0
34.0,>=200,2864.0,18.0,2.0,real estate,furniture/equipment,1.0
61.0,no checking,1255.0,12.0,4.0,real estate,new car,4.0
43.0,<0,1333.0,24.0,4.0,real estate,new car,2.0
37.0,no checking,2022.0,24.0,4.0,car,new car,4.0
32.0,no checking,1552.0,24.0,3.0,car,radio/tv,1.0
24.0,<0,626.0,12.0,4.0,real estate,radio/tv,4.0
35.0,no checking,8858.0,48.0,2.0,no known property,used car,1.0
23.0,no checking,996.0,12.0,4.0,real estate,repairs,4.0
45.0,no checking,1750.0,6.0,2.0,life insurance,radio/tv,4.0
34.0,<0,6999.0,48.0,1.0,real estate,radio/tv,1.0
27.0,0<=X<200,1995.0,12.0,4.0,car,new car,1.0
67.0,0<=X<200,1199.0,9.0,4.0,life insurance,education,4.0
22.0,0<=X<200,1331.0,12.0,2.0,car,radio/tv,1.0
28.0,0<=X<200,2278.0,18.0,3.0,car,new car,3.0
29.0,no checking,5003.0,21.0,1.0,life insurance,new car,4.0
27.0,<0,3552.0,24.0,3.0,car,furniture/equipment,4.0
31.0,0<=X<200,1928.0,18.0,2.0,real estate,furniture/equipment,2.0
49.0,<0,2964.0,24.0,4.0,no known property,used car,4.0
24.0,<0,1546.0,24.0,4.0,car,radio/tv,4.0
29.0,>=200,683.0,6.0,2.0,life insurance,radio/tv,1.0
37.0,0<=X<200,12389.0,36.0,1.0,no known property,new car,4.0
37.0,0<=X<200,4712.0,24.0,4.0,life insurance,business,2.0
23.0,0<=X<200,1553.0,24.0,3.0,life insurance,radio/tv,2.0
36.0,<0,1372.0,12.0,2.0,car,new car,3.0
34.0,no checking,2578.0,24.0,2.0,car,radio/tv,2.0
41.0,0<=X<200,3979.0,48.0,4.0,car,radio/tv,1.0
31.0,<0,6758.0,48.0,3.0,car,radio/tv,2.0
23.0,<0,3234.0,24.0,4.0,real estate,furniture/equipment,4.0
38.0,no checking,5954.0,30.0,3.0,car,radio/tv,2.0
26.0,no checking,5433.0,24.0,2.0,life insurance,used car,4.0
22.0,<0,806.0,15.0,4.0,life insurance,business,4.0
27.0,0<=X<200,1082.0,9.0,4.0,car,radio/tv,4.0
24.0,no checking,2788.0,15.0,2.0,car,furniture/equipment,3.0
27.0,0<=X<200,2930.0,12.0,2.0,real estate,radio/tv,1.0
33.0,no checking,1927.0,24.0,3.0,car,education,2.0
27.0,0<=X<200,2820.0,36.0,4.0,car,new car,4.0
27.0,no checking,937.0,24.0,4.0,car,retraining,3.0
30.0,0<=X<200,1056.0,18.0,3.0,real estate,new car,3.0
49.0,0<=X<200,3124.0,12.0,1.0,real estate,new car,3.0
26.0,no checking,1388.0,9.0,4.0,real estate,furniture/equipment,2.0
33.0,0<=X<200,2384.0,36.0,4.0,no known property,repairs,1.0
52.0,no checking,2133.0,12.0,4.0,no known property,new car,4.0
20.0,<0,2039.0,18.0,1.0,real estate,furniture/equipment,4.0
36.0,<0,2799.0,9.0,2.0,real estate,new car,2.0
21.0,<0,1289.0,12.0,4.0,life insurance,furniture/equipment,1.0
47.0,<0,1217.0,18.0,4.0,real estate,domestic appliance,3.0
60.0,<0,2246.0,12.0,3.0,life insurance,furniture/equipment,3.0
58.0,<0,385.0,12.0,4.0,real estate,radio/tv,3.0
42.0,0<=X<200,1965.0,24.0,4.0,car,new car,4.0
36.0,no checking,1572.0,21.0,4.0,real estate,business,4.0
20.0,0<=X<200,2718.0,24.0,3.0,life insurance,new car,4.0
40.0,<0,1358.0,24.0,4.0,car,other,3.0
32.0,0<=X<200,931.0,6.0,1.0,life insurance,new car,1.0
23.0,<0,1442.0,24.0,4.0,car,new car,4.0
36.0,0<=X<200,4241.0,24.0,1.0,real estate,business,4.0
31.0,no checking,2775.0,18.0,2.0,life insurance,new car,2.0
32.0,no checking,3863.0,24.0,1.0,no known property,business,2.0
45.0,0<=X<200,2329.0,7.0,1.0,real estate,radio/tv,1.0
30.0,0<=X<200,918.0,9.0,4.0,life insurance,furniture/equipment,1.0
34.0,0<=X<200,1837.0,24.0,4.0,no known property,education,4.0
28.0,no checking,3349.0,36.0,4.0,car,furniture/equipment,2.0
23.0,>=200,1275.0,10.0,4.0,life insurance,furniture/equipment,2.0
22.0,<0,2828.0,24.0,4.0,real estate,furniture/equipment,4.0
74.0,no checking,4526.0,24.0,3.0,real estate,business,2.0
50.0,0<=X<200,2671.0,36.0,4.0,no known property,radio/tv,4.0
33.0,no checking,2051.0,18.0,4.0,real estate,radio/tv,1.0
45.0,no checking,1300.0,15.0,4.0,no known property,used car,4.0
22.0,<0,741.0,12.0,4.0,life insurance,domestic appliance,3.0
48.0,>=200,1240.0,10.0,1.0,no known property,new car,4.0
29.0,<0,3357.0,21.0,4.0,car,radio/tv,2.0
22.0,<0,3632.0,24.0,1.0,car,used car,4.0
22.0,no checking,1808.0,18.0,4.0,real estate,furniture/equipment,1.0
48.0,0<=X<200,12204.0,48.0,2.0,car,business,2.0
27.0,0<=X<200,9157.0,60.0,2.0,no known property,radio/tv,2.0
37.0,<0,3676.0,6.0,1.0,real estate,new car,3.0
21.0,0<=X<200,3441.0,30.0,2.0,car,furniture/equipment,4.0
49.0,no checking,640.0,12.0,4.0,real estate,new car,2.0
27.0,0<=X<200,3652.0,21.0,2.0,life insurance,business,3.0
32.0,no checking,1530.0,18.0,3.0,life insurance,new car,2.0
38.0,no checking,3914.0,48.0,4.0,real estate,business,2.0
22.0,<0,1858.0,12.0,4.0,car,furniture/equipment,1.0
65.0,<0,2600.0,18.0,4.0,no known property,radio/tv,4.0
35.0,no checking,1979.0,15.0,4.0,car,radio/tv,2.0
41.0,>=200,2116.0,6.0,2.0,real estate,furniture/equipment,2.0
29.0,0<=X<200,1437.0,9.0,2.0,no known property,new car,3.0
36.0,no checking,4042.0,42.0,4.0,real estate,furniture/equipment,4.0
64.0,no checking,3832.0,9.0,1.0,real estate,education,4.0
28.0,<0,3660.0,24.0,2.0,car,radio/tv,4.0
44.0,<0,1553.0,18.0,4.0,car,furniture/equipment,3.0
23.0,0<=X<200,1444.0,15.0,4.0,life insurance,radio/tv,1.0
19.0,no checking,1980.0,9.0,2.0,car,furniture/equipment,2.0
25.0,0<=X<200,1355.0,24.0,3.0,car,new car,4.0
47.0,no checking,1393.0,12.0,4.0,life insurance,education,4.0
28.0,no checking,1376.0,24.0,4.0,car,radio/tv,1.0
21.0,no checking,15653.0,60.0,2.0,car,radio/tv,4.0
34.0,no checking,1493.0,12.0,4.0,car,radio/tv,3.0
26.0,<0,4370.0,42.0,3.0,life insurance,radio/tv,2.0
27.0,<0,750.0,18.0,4.0,real estate,education,1.0
38.0,0<=X<200,1308.0,15.0,4.0,car,repairs,4.0
40.0,no checking,4623.0,15.0,3.0,life insurance,education,2.0
33.0,no checking,1851.0,24.0,4.0,car,radio/tv,2.0
32.0,<0,1880.0,18.0,4.0,life insurance,radio/tv,1.0
27.0,no checking,7980.0,36.0,4.0,car,business,4.0
32.0,<0,4583.0,30.0,2.0,real estate,furniture/equipment,2.0
26.0,no checking,1386.0,12.0,2.0,life insurance,new car,2.0
38.0,>=200,947.0,24.0,4.0,no known property,new car,3.0
40.0,<0,684.0,12.0,4.0,car,education,4.0
50.0,<0,7476.0,48.0,4.0,no known property,education,1.0
37.0,0<=X<200,1922.0,12.0,4.0,life insurance,furniture/equipment,2.0
45.0,<0,2303.0,24.0,4.0,real estate,new car,1.0
42.0,0<=X<200,8086.0,36.0,2.0,car,new car,4.0
35.0,no checking,2346.0,24.0,4.0,car,used car,3.0
22.0,<0,3973.0,14.0,1.0,no known property,new car,4.0
41.0,0<=X<200,888.0,12.0,4.0,car,new car,4.0
37.0,no checking,10222.0,48.0,4.0,car,radio/tv,3.0
28.0,0<=X<200,4221.0,30.0,2.0,car,business,1.0
41.0,0<=X<200,6361.0,18.0,2.0,no known property,furniture/equipment,1.0
23.0,>=200,1297.0,12.0,3.0,real estate,radio/tv,4.0
23.0,<0,900.0,12.0,4.0,car,new car,2.0
50.0,no checking,2241.0,21.0,4.0,real estate,furniture/equipment,2.0
35.0,0<=X<200,1050.0,6.0,4.0,life insurance,furniture/equipment,1.0
50.0,>=200,1047.0,6.0,2.0,life insurance,education,4.0
27.0,no checking,6314.0,24.0,4.0,no known property,other,2.0
34.0,0<=X<200,3496.0,30.0,4.0,car,furniture/equipment,2.0
27.0,no checking,3609.0,48.0,1.0,real estate,business,1.0
43.0,<0,4843.0,12.0,3.0,life insurance,new car,4.0
47.0,>=200,3017.0,30.0,4.0,life insurance,radio/tv,4.0
27.0,no checking,4139.0,24.0,3.0,life insurance,business,3.0
31.0,no checking,5742.0,36.0,2.0,car,business,2.0
42.0,no checking,10366.0,60.0,2.0,life insurance,new car,4.0
24.0,no checking,2080.0,6.0,1.0,car,new car,2.0
41.0,no checking,2580.0,21.0,4.0,real estate,business,2.0
26.0,no checking,4530.0,30.0,4.0,car,radio/tv,4.0
33.0,no checking,5150.0,24.0,4.0,car,furniture/equipment,4.0
24.0,0<=X<200,5595.0,72.0,2.0,car,radio/tv,2.0
64.0,<0,2384.0,24.0,4.0,real estate,radio/tv,4.0
26.0,no checking,1453.0,18.0,3.0,real estate,radio/tv,1.0
56.0,no checking,1538.0,6.0,1.0,no known property,education,2.0
37.0,no checking,2279.0,12.0,4.0,no known property,radio/tv,4.0
33.0,no checking,1478.0,15.0,4.0,real estate,radio/tv,3.0
47.0,no checking,5103.0,24.0,3.0,no known property,radio/tv,3.0
31.0,0<=X<200,9857.0,36.0,1.0,life insurance,business,3.0
34.0,no checking,6527.0,60.0,4.0,no known property,new car,4.0
27.0,>=200,1347.0,10.0,4.0,life insurance,radio/tv,2.0
30.0,0<=X<200,2862.0,36.0,4.0,no known property,new car,3.0
35.0,no checking,2753.0,9.0,3.0,car,radio/tv,4.0
31.0,<0,3651.0,12.0,1.0,life insurance,new car,3.0
25.0,<0,975.0,15.0,2.0,life insurance,furniture/equipment,3.0
25.0,0<=X<200,2631.0,15.0,3.0,real estate,repairs,2.0
29.0,0<=X<200,2896.0,24.0,2.0,car,radio/tv,1.0
44.0,<0,4716.0,6.0,1.0,real estate,new car,3.0
28.0,no checking,2284.0,24.0,4.0,car,radio/tv,2.0
50.0,no checking,1236.0,6.0,2.0,life insurance,used car,4.0
29.0,0<=X<200,1103.0,12.0,4.0,real estate,radio/tv,3.0
38.0,no checking,926.0,12.0,1.0,life insurance,new car,2.0
24.0,no checking,1800.0,18.0,4.0,car,radio/tv,2.0
40.0,>=200,1905.0,15.0,4.0,car,education,4.0
29.0,no checking,1123.0,12.0,4.0,car,furniture/equipment,4.0
46.0,<0,6331.0,48.0,4.0,no known property,used car,4.0
47.0,>=200,1377.0,24.0,4.0,no known property,radio/tv,2.0
41.0,0<=X<200,2503.0,30.0,4.0,life insurance,business,2.0
32.0,0<=X<200,2528.0,27.0,4.0,life insurance,business,1.0
35.0,no checking,5324.0,15.0,1.0,no known property,new car,4.0
24.0,0<=X<200,6560.0,48.0,3.0,life insurance,new car,2.0
25.0,0<=X<200,2969.0,12.0,4.0,life insurance,furniture/equipment,3.0
25.0,0<=X<200,1206.0,9.0,4.0,real estate,radio/tv,4.0
37.0,0<=X<200,2118.0,9.0,2.0,real estate,radio/tv,2.0
32.0,no checking,629.0,18.0,4.0,life insurance,radio/tv,3.0
35.0,<0,1198.0,6.0,4.0,no known property,education,4.0
46.0,no checking,2476.0,21.0,4.0,real estate,used car,4.0
25.0,<0,1138.0,9.0,4.0,real estate,radio/tv,4.0
27.0,0<=X<200,14027.0,60.0,4.0,no known property,new car,2.0
63.0,no checking,7596.0,30.0,1.0,car,used car,4.0
40.0,no checking,3077.0,30.0,3.0,car,radio/tv,2.0
32.0,no checking,1505.0,18.0,4.0,no known property,radio/tv,2.0
31.0,>=200,3148.0,24.0,3.0,car,radio/tv,2.0
31.0,0<=X<200,6148.0,20.0,3.0,car,used car,4.0
34.0,>=200,1337.0,9.0,4.0,car,radio/tv,2.0
24.0,0<=X<200,433.0,6.0,4.0,life insurance,education,2.0
24.0,<0,1228.0,12.0,4.0,real estate,new car,2.0
66.0,0<=X<200,790.0,9.0,4.0,real estate,radio/tv,3.0
21.0,no checking,2570.0,27.0,3.0,real estate,new car,3.0
41.0,no checking,250.0,6.0,2.0,real estate,new car,2.0
47.0,no checking,1316.0,15.0,2.0,life insurance,radio/tv,2.0
25.0,<0,1882.0,18.0,4.0,car,radio/tv,4.0
59.0,0<=X<200,6416.0,48.0,4.0,no known property,business,3.0
36.0,>=200,1275.0,24.0,2.0,real estate,business,4.0
33.0,0<=X<200,6403.0,24.0,1.0,car,radio/tv,2.0
21.0,<0,1987.0,24.0,2.0,real estate,radio/tv,4.0
44.0,0<=X<200,760.0,8.0,4.0,real estate,radio/tv,2.0
28.0,no checking,2603.0,24.0,2.0,car,used car,4.0
37.0,no checking,3380.0,4.0,1.0,real estate,new car,1.0
29.0,0<=X<200,3990.0,36.0,3.0,no known property,domestic appliance,2.0
23.0,0<=X<200,11560.0,24.0,1.0,car,used car,4.0
35.0,<0,4380.0,18.0,3.0,car,new car,4.0
45.0,no checking,6761.0,6.0,1.0,no known property,new car,3.0
26.0,0<=X<200,4280.0,30.0,4.0,car,business,4.0
32.0,<0,2325.0,24.0,2.0,car,new car,3.0
23.0,0<=X<200,1048.0,10.0,4.0,real estate,radio/tv,4.0
41.0,no checking,3160.0,21.0,4.0,life insurance,radio/tv,3.0
22.0,<0,2483.0,24.0,4.0,real estate,furniture/equipment,4.0
30.0,<0,14179.0,39.0,4.0,life insurance,furniture/equipment,4.0
28.0,<0,1797.0,13.0,3.0,life insurance,business,1.0
23.0,<0,2511.0,15.0,1.0,car,new car,4.0
37.0,<0,1274.0,12.0,3.0,real estate,new car,1.0
26.0,no checking,5248.0,21.0,1.0,car,used car,3.0
33.0,no checking,3029.0,15.0,2.0,car,used car,2.0
49.0,<0,428.0,6.0,2.0,life insurance,furniture/equipment,1.0
23.0,<0,976.0,18.0,1.0,car,new car,2.0
23.0,0<=X<200,841.0,12.0,2.0,real estate,business,4.0
25.0,no checking,5771.0,30.0,4.0,car,radio/tv,2.0
55.0,no checking,1555.0,12.0,4.0,no known property,repairs,4.0
32.0,<0,1285.0,24.0,4.0,no known property,new car,4.0
74.0,>=200,1299.0,6.0,1.0,real estate,new car,1.0
39.0,>=200,1271.0,15.0,3.0,no known property,radio/tv,4.0
31.0,no checking,1393.0,24.0,2.0,real estate,new car,2.0
35.0,<0,691.0,12.0,4.0,life insurance,new car,3.0
59.0,no checking,5045.0,15.0,1.0,car,new car,4.0
24.0,<0,2124.0,18.0,4.0,real estate,furniture/equipment,4.0
24.0,<0,2214.0,12.0,4.0,life insurance,radio/tv,3.0
30.0,no checking,12680.0,21.0,4.0,no known property,new car,4.0
27.0,no checking,2463.0,24.0,4.0,life insurance,new car,3.0
40.0,0<=X<200,1155.0,12.0,3.0,real estate,radio/tv,3.0
31.0,<0,3108.0,30.0,2.0,life insurance,furniture/equipment,4.0
31.0,no checking,2901.0,10.0,1.0,real estate,used car,4.0
28.0,0<=X<200,3617.0,12.0,1.0,car,furniture/equipment,4.0
63.0,no checking,1655.0,12.0,2.0,real estate,radio/tv,4.0
26.0,<0,2812.0,24.0,2.0,real estate,used car,4.0
25.0,<0,8065.0,36.0,3.0,no known property,education,2.0
36.0,no checking,3275.0,21.0,1.0,car,used car,4.0
52.0,no checking,2223.0,24.0,4.0,life insurance,radio/tv,4.0
66.0,>=200,1480.0,12.0,2.0,no known property,new car,4.0
25.0,<0,1371.0,24.0,4.0,real estate,new car,4.0
37.0,no checking,3535.0,36.0,4.0,car,new car,4.0
25.0,<0,3509.0,18.0,4.0,real estate,radio/tv,1.0
38.0,no checking,5711.0,36.0,4.0,car,used car,2.0
67.0,0<=X<200,3872.0,18.0,2.0,car,repairs,4.0
25.0,0<=X<200,4933.0,39.0,2.0,real estate,radio/tv,2.0
60.0,no checking,1940.0,24.0,4.0,real estate,new car,4.0
31.0,0<=X<200,1410.0,12.0,2.0,real estate,retraining,2.0
23.0,0<=X<200,836.0,12.0,4.0,life insurance,new car,2.0
60.0,0<=X<200,6468.0,20.0,1.0,real estate,used car,4.0
35.0,0<=X<200,1941.0,18.0,4.0,life insurance,business,2.0
40.0,no checking,2675.0,22.0,3.0,car,radio/tv,4.0
38.0,no checking,2751.0,48.0,4.0,car,used car,3.0
50.0,0<=X<200,6224.0,48.0,4.0,no known property,education,4.0
27.0,<0,5998.0,40.0,4.0,no known property,education,3.0
39.0,0<=X<200,1188.0,21.0,2.0,life insurance,business,4.0
41.0,no checking,6313.0,24.0,3.0,car,used car,4.0
27.0,no checking,1221.0,6.0,1.0,life insurance,furniture/equipment,2.0
51.0,>=200,2892.0,24.0,3.0,no known property,furniture/equipment,4.0
32.0,no checking,3062.0,24.0,4.0,no known property,furniture/equipment,3.0
22.0,no checking,2301.0,9.0,2.0,life insurance,furniture/equipment,4.0
51.0,<0,7511.0,18.0,1.0,life insurance,used car,4.0
22.0,no checking,1258.0,12.0,2.0,life insurance,furniture/equipment,4.0
54.0,no checking,717.0,24.0,4.0,car,new car,4.0
35.0,0<=X<200,1549.0,9.0,4.0,real estate,new car,2.0
54.0,no checking,1597.0,24.0,4.0,no known property,education,4.0
48.0,0<=X<200,1795.0,18.0,3.0,real estate,radio/tv,4.0
24.0,<0,4272.0,20.0,1.0,life insurance,furniture/equipment,4.0
35.0,no checking,976.0,12.0,4.0,car,radio/tv,4.0
24.0,0<=X<200,7472.0,12.0,1.0,real estate,new car,2.0
24.0,<0,9271.0,36.0,2.0,car,new car,1.0
26.0,0<=X<200,590.0,6.0,3.0,real estate,radio/tv,3.0
65.0,no checking,930.0,12.0,4.0,real estate,radio/tv,4.0
55.0,0<=X<200,9283.0,42.0,1.0,no known property,used car,2.0
26.0,0<=X<200,1778.0,15.0,2.0,real estate,new car,1.0
26.0,0<=X<200,907.0,8.0,3.0,real estate,business,2.0
28.0,0<=X<200,484.0,6.0,3.0,real estate,radio/tv,3.0
24.0,<0,9629.0,36.0,4.0,car,used car,4.0
54.0,<0,3051.0,48.0,3.0,car,domestic appliance,4.0
46.0,<0,3931.0,48.0,4.0,no known property,new car,4.0
54.0,0<=X<200,7432.0,36.0,2.0,life insurance,new car,2.0
62.0,no checking,1338.0,6.0,1.0,real estate,domestic appliance,4.0
24.0,no checking,1554.0,6.0,1.0,car,radio/tv,2.0
43.0,<0,15857.0,36.0,2.0,car,other,3.0
26.0,<0,1345.0,18.0,4.0,real estate,radio/tv,3.0
27.0,no checking,1101.0,12.0,3.0,real estate,new car,2.0
24.0,>=200,3016.0,12.0,3.0,car,radio/tv,1.0
41.0,<0,2712.0,36.0,2.0,life insurance,furniture/equipment,2.0
47.0,<0,731.0,8.0,4.0,real estate,new car,4.0
35.0,no checking,3780.0,18.0,3.0,car,furniture/equipment,2.0
30.0,<0,1602.0,21.0,4.0,car,new car,3.0
33.0,<0,3966.0,18.0,1.0,real estate,new car,4.0
36.0,no checking,4165.0,18.0,2.0,car,business,2.0
