Date Reported As Of,Description,Current Phase,Design Start,Forecast Completion
03/2018,Restore tunnel systems at the Battery Park and West Street Underpass tunnels.,Construction,11/19/2012,07/30/2018
08/2018,Restore tunnel systems at the Battery Park and West Street Underpass tunnels.,Construction,11/19/2012,12/06/2018
01/2019,Restore tunnel systems at the Battery Park and West Street Underpass tunnels.,Construction,11/19/2012,
05/2019,Restore tunnel systems at the Battery Park and West Street Underpass tunnels.,Construction,11/19/2012,11/14/2019
09/2019,Restore tunnel systems at the Battery Park and West Street Underpass tunnels.,Construction,11/19/2012,
01/2020,Restore tunnel systems at the Battery Park and West Street Underpass tunnels.,Construction,11/19/2012,
05/2020,Restore tunnel systems at the Battery Park and West Street Underpass tunnels.,Construction,11/19/2012,
10/2020,Restore tunnel systems at the Battery Park and West Street Underpass tunnels.,Construction,11/19/2012,
09/2013,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,08/03/2012,08/11/2017
01/2014,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,08/03/2012,01/31/2018
05/2014,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,08/03/2012,01/31/2018
02/2015,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,08/03/2012,03/11/2018
08/2015,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,03/12/2019
01/2016,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,05/25/2019
06/2016,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,08/12/2019
11/2016,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,12/11/2019
04/2017,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,06/10/2020
09/2017,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,07/08/2020
03/2018,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,11/01/2020
08/2018,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,07/13/2021
01/2019,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,12/08/2021
05/2019,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,03/16/2022
09/2019,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,11/20/2022
01/2020,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Design,10/01/2012,03/12/2023
05/2020,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Construction Procurement,10/01/2012,11/09/2022
10/2020,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Construction Procurement,10/01/2012,05/08/2023
03/2021,"This project will reconstruct the Hannah St. Pumping Station, the largest City-owned wastewater collection and pumping station on Staten Island.  Built in 1977, the facility has numerous deficiencies, needing  a comprehensive upgrade.",Construction,10/01/2012,06/05/2024
05/2014,The goal of this project is to upgrade facilities at Rockaway and Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Design,08/01/2014,12/31/2019
01/2016,The goal of this project is to upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Design,08/01/2014,08/01/2023
06/2016,The goal of this project is to upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Design,09/11/2015,04/04/2023
11/2016,The goal of this project is to upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction Procurement,09/11/2015,09/17/2022
04/2017,The goal of this project is to upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction Procurement,09/11/2015,02/25/2021
09/2017,The goal of this project is to upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction Procurement,09/11/2015,04/09/2021
03/2018,The goal of this project is to upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction,09/11/2015,03/15/2022
08/2018,The goal of this project is to upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction,09/11/2015,03/16/2022
01/2019,The goal of this project is to upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction,09/11/2015,06/15/2022
05/2019,The goal of this project is to upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction,09/11/2015,03/15/2022
09/2019,Upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction,09/11/2015,04/13/2022
01/2020,Upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction,09/11/2015,04/13/2022
05/2020,Upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction,09/11/2015,03/15/2022
10/2020,Upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction,09/11/2015,01/31/2022
03/2021,Upgrade facilities at the Coney Island WPCP for the Level 1 Step Feed Biological Nutrient Removal (BNR) Process.,Construction,09/11/2015,02/24/2022
02/2015,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",Design,12/02/2014,10/08/2018
08/2015,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",Design,12/02/2014,11/29/2018
01/2016,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",Design,12/02/2014,06/01/2019
06/2016,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",Design,12/02/2014,06/01/2019
11/2016,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",Design,12/02/2014,07/01/2019
04/2017,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",Construction Procurement,12/02/2014,07/01/2019
09/2017,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",Construction,12/02/2014,04/20/2021
03/2018,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",Construction,12/02/2014,07/12/2021
08/2018,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",Construction,12/02/2014,07/12/2021
01/2019,"Replacement of trunk water main on Flatbush Avenue between Sterling place and 8th Avenue in addition to the distribution water main in 6th Avenue between Union Street and Park Place, and sections of adjoining streets.",Construction,12/02/2014,07/12/2021
05/2019,"72"""" Trunk Water Main and Combined Sewer Replacement in Flatbush Ave. between Sterling Pl. and 8th Ave., etc., Borough of Brooklyn.    WM-6 in:",Construction,11/24/2014,07/12/2021
09/2019,"72"" Trunk Water Main and Combined Sewer Replacement in Flatbush Ave. between Sterling Pl. and 8th Ave., etc., Borough of Brooklyn.    WM-6 in:",Construction,11/24/2014,07/12/2021
08/2015,"Install high level storm sewers, combined and sanitary sewers and water main in Fresh Creek Basin including: Glenwood Road between Rockaway Parkway and Williams Avenue, Farragut Road from East 102nd Street to East 108th Street, and adjacent streets.",Design,08/15/2015,07/06/2019
01/2016,"Install high level storm sewers, combined and sanitary sewers and water main in Fresh Creek Basin including: Glenwood Road between Rockaway Parkway and Williams Avenue, Farragut Road from East 102nd Street to East 108th Street, and adjacent streets.",Design,08/15/2015,07/06/2019
06/2016,"Install high level storm sewers, combined and sanitary sewers and water main in Fresh Creek Basin including: Glenwood Road between Rockaway Parkway and Williams Avenue, Farragut Road from East 102nd Street to East 108th Street, and adjacent streets.",Design,08/15/2015,07/06/2019
11/2016,"Install high level storm sewers, combined and sanitary sewers and water main in Fresh Creek Basin including: Glenwood Road between Rockaway Parkway and Williams Avenue, Farragut Road from East 102nd Street to East 108th Street, and adjacent streets.",Construction Procurement,08/15/2015,07/06/2019
04/2017,"Install high level storm sewers, combined and sanitary sewers and water main in Fresh Creek Basin including: Glenwood Road between Rockaway Parkway and Williams Avenue, Farragut Road from East 102nd Street to East 108th Street, and adjacent streets.",Construction Procurement,08/15/2015,07/06/2019
09/2017,"Install high level storm sewers, combined and sanitary sewers and water main in Fresh Creek Basin including: Glenwood Road between Rockaway Parkway and Williams Avenue, Farragut Road from East 102nd Street to East 108th Street, and adjacent streets.",Construction,08/15/2015,09/17/2020
03/2018,"Install high level storm sewers, combined and sanitary sewers and water main in Fresh Creek Basin including: Glenwood Road between Rockaway Parkway and Williams Avenue, Farragut Road from East 102nd Street to East 108th Street, and adjacent streets.",Construction,08/15/2015,09/17/2020
08/2018,"Install high level storm sewers, combined and sanitary sewers and water main in Fresh Creek Basin including: Glenwood Road between Rockaway Parkway and Williams Avenue, Farragut Road from East 102nd Street to East 108th Street, and adjacent streets.",Construction,08/15/2015,09/17/2020
01/2019,"Install high level storm sewers, combined and sanitary sewers and water main in Fresh Creek Basin including: Glenwood Road between Rockaway Parkway and Williams Avenue, Farragut Road from East 102nd Street to East 108th Street, and adjacent streets.",Construction,08/15/2015,09/17/2020
05/2019,"Installations of H.L.S.S., Storm, Sanitary & Combined Sewers and Water Main work in Fresh Creek Basin Area-Phase 2B, Brooklyn.",Construction,08/17/2015,09/17/2020
09/2019,"Installations of H.L.S.S., Storm, Sanitary & Combined Sewers and Water Main work in Fresh Creek Basin Area-Phase 2B, Brooklyn.",Construction,08/17/2015,09/17/2020
08/2015,"Storm sewer extensions, catch basins sanitary sewer replacement and water main work in the area bounded by Baisley Boulevard, Guy R. Brewer Boulevard and North Conduit Avenue.",Design,03/26/2015,06/30/2019
01/2016,"Storm sewer extensions, catch basins sanitary sewer replacement and water main work in the area bounded by Baisley Boulevard, Guy R. Brewer Boulevard and North Conduit Avenue.",Design,03/26/2015,03/30/2019
06/2016,"Storm sewer extensions, catch basins sanitary sewer replacement and water main work in the area bounded by Baisley Boulevard, Guy R. Brewer Boulevard and North Conduit Avenue.",Design,03/26/2015,05/02/2019
11/2016,"Storm sewer extensions, catch basins sanitary sewer replacement and water main work in the area bounded by Baisley Boulevard, Guy R. Brewer Boulevard and North Conduit Avenue.",Design,03/26/2015,06/29/2019
04/2017,"Storm sewer extensions, catch basins sanitary sewer replacement and water main work in the area bounded by Baisley Boulevard, Guy R. Brewer Boulevard and North Conduit Avenue.",Construction Procurement,03/26/2015,06/14/2019
09/2017,"Storm sewer extensions, catch basins sanitary sewer replacement and water main work in the area bounded by Baisley Boulevard, Guy R. Brewer Boulevard and North Conduit Avenue.",Construction Procurement,03/26/2015,03/12/2020
03/2018,"Storm sewer extensions, catch basins sanitary sewer replacement and water main work in the area bounded by Baisley Boulevard, Guy R. Brewer Boulevard and North Conduit Avenue.",Construction,03/26/2015,08/26/2020
08/2018,"Storm sewer extensions, catch basins sanitary sewer replacement and water main work in the area bounded by Baisley Boulevard, Guy R. Brewer Boulevard and North Conduit Avenue.",Construction,03/26/2015,08/26/2020
01/2019,"Storm sewer extensions, catch basins sanitary sewer replacement and water main work in the area bounded by Baisley Boulevard, Guy R. Brewer Boulevard and North Conduit Avenue.",Construction,03/26/2015,08/26/2020
05/2019,"Storm extensions, catch basins, sanitary replacements and water main work in the area bounded by Baisley Boulevard, Guy R. Brewer Boulevard and North Conduit Avenue.",Construction,03/26/2015,08/26/2020
09/2019,"Storm extensions, catch basins, sanitary replacements and water main work in the area bounded by Baisley Boulevard, Guy R. Brewer Boulevard and North Conduit Avenue.",Construction,03/26/2015,08/26/2020
11/2016,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including Foster Avenue, Avenue D, and DeWitt Avenue.",Design,11/21/2016,07/15/2020
04/2017,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including Foster Avenue, Avenue D, and DeWitt Avenue.",Design,11/21/2016,07/15/2020
09/2017,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including Foster Avenue, Avenue D, and DeWitt Avenue.",Design,11/21/2016,07/15/2020
03/2018,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including Foster Avenue, Avenue D, and DeWitt Avenue.",Design,11/21/2016,04/11/2020
08/2018,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including Foster Avenue, Avenue D, and DeWitt Avenue.",Design,11/21/2016,01/28/2021
01/2019,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including Foster Avenue, Avenue D, and DeWitt Avenue.",Design,11/21/2016,04/29/2021
05/2019,"Installations of H.L.S.S., Storm, Sanitary & Combined Sewers and Water Main work in Fresh Creek Basin Area-Phase 3B, Brooklyn.",Design,11/21/2016,03/01/2023
09/2019,"Installations of H.L.S.S., Storm, Sanitary & Combined Sewers and Water Main work in Fresh Creek Basin Area-Phase 3B, Brooklyn.",Design,11/21/2016,05/01/2024
09/2013,"Roadway reconstruction including new storm and sanitary sewerw, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Design,02/26/2008,07/04/2019
01/2014,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Design,02/26/2008,07/04/2019
05/2014,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Design,02/26/2008,07/04/2019
02/2015,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Design,02/26/2008,06/22/2018
08/2015,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Design,02/26/2008,06/28/2018
01/2016,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Design,02/26/2008,06/19/2019
06/2016,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Construction Procurement,02/26/2008,09/22/2018
11/2016,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Construction,02/26/2008,10/30/2020
04/2017,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Construction,02/26/2008,10/30/2020
09/2017,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Construction,02/26/2008,10/30/2020
03/2018,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Construction,02/26/2008,10/30/2020
08/2018,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Construction,02/26/2008,10/30/2020
01/2019,"Roadway reconstruction including new storm and sanitary sewer, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south, and Hickory Avenue and Quintard Street to the east and west.",Construction,02/26/2008,10/30/2020
05/2019,"Roadway reconstruction including new storm and sanitary sewers, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south and Hickory Avenue and Quintard Street to the east and west.",Construction,02/26/2008,10/30/2020
09/2019,"Roadway reconstruction including new storm and sanitary sewers, and water main: South Beach area defined by McClean Avenue to the north, Olympia Boulevard to the south and Hickory Avenue and Quintard Street to the east and west.",Construction,02/26/2008,10/30/2020
09/2013,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Design,09/30/2013,10/13/2017
01/2014,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Design,09/30/2013,10/13/2017
05/2014,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Design,09/30/2013,10/13/2017
02/2015,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Design,09/30/2013,06/15/2018
08/2015,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Design,09/30/2013,07/16/2018
01/2016,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Construction Procurement,09/30/2013,06/15/2018
06/2016,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Construction Procurement,09/30/2013,10/31/2018
11/2016,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Construction Procurement,09/30/2013,03/15/2019
04/2017,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Construction,09/30/2013,09/22/2019
09/2017,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Construction,09/30/2013,09/22/2019
03/2018,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Construction Procurement,09/30/2013,06/03/2020
08/2018,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Construction,09/30/2013,06/02/2021
01/2019,Installation of trunk and distribution water mains for the 3rd water tunnel shaft 32B at 2nd Avenue.,Construction,09/30/2013,06/02/2021
05/2019,"Trunk and Distribution Main Connection to shaft 32B in 2nd Ave., etc., together with all work incidental thereto, Borough of Manhattan.    2nd Avenue from East 33rd Street to East 37th Street",Construction,09/30/2013,06/02/2021
09/2019,"Trunk and Distribution Main Connection to shaft 32B in 2nd Ave., etc., together with all work incidental thereto, Borough of Manhattan.    2nd Avenue from East 33rd Street to East 37th Street",Construction,09/30/2013,06/02/2021
02/2015,Installation of a new trunk water main in Francis Lewis Boulevard and adjacent locations.,Design,11/17/2014,01/12/2018
08/2015,Installation of a new trunk water main in Francis Lewis Boulevard and adjacent locations.,Design,11/17/2014,01/12/2018
01/2016,Installation of a new trunk water main in Francis Lewis Boulevard and adjacent locations.,Design,01/15/2015,06/14/2018
06/2016,Installation of a new trunk water main in Francis Lewis Boulevard and adjacent locations.,Design,01/15/2015,08/29/2018
11/2016,Installation of a new trunk water main in Francis Lewis Boulevard and adjacent locations.,Construction Procurement,01/15/2015,12/29/2018
04/2017,Installation of a new trunk water main in Francis Lewis Boulevard and adjacent locations.,Construction Procurement,01/15/2015,12/14/2018
09/2017,"Installation of a new Trunk Water Main and Storm Sewer on 90th Ave between Francis Lewis Boulevard and and Braddock Ave, Queens",Construction,01/15/2015,07/29/2020
03/2018,"Installation of a new Trunk Water Main and Storm Sewer on 90th Ave between Francis Lewis Boulevard and and Braddock Ave, Queens",Construction,01/15/2015,07/29/2020
08/2018,"Installation of a new Trunk Water Main and Storm Sewer on 90th Ave between Francis Lewis Boulevard and and Braddock Ave, Queens",Construction,01/15/2015,07/29/2020
01/2019,"Installation of a new Trunk Water Main and Storm Sewer on 90th Ave between Francis Lewis Boulevard and and Braddock Ave, Queens",Construction,01/15/2015,07/29/2020
05/2019,"Installation of new trunk water main in Francis Lewis Blvd bt. 90th and 100th Avenues, etc.  This project to provide high quality water and improve fire protection in the project area. This sewer portion of the project is needed to eliminate flooding in the general area..",Construction,01/15/2015,07/29/2020
09/2019,"Installation of new trunk water main in Francis Lewis Blvd bt. 90th and 100th Avenues, etc.  This project to provide high quality water and improve fire protection in the project area. This sewer portion of the project is needed to eliminate flooding in the general area..",Construction,01/15/2015,07/29/2020
01/2014,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Design,01/27/2014,12/17/2018
05/2014,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Design,01/27/2014,12/17/2018
02/2015,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Design,01/27/2014,03/02/2019
08/2015,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Construction Procurement,01/27/2014,03/02/2019
01/2016,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Construction Procurement,01/27/2014,02/26/2019
06/2016,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Construction,01/27/2014,06/25/2019
11/2016,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Construction,01/27/2014,06/25/2019
04/2017,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Construction,01/27/2014,06/25/2019
09/2017,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Construction,01/27/2014,06/25/2019
03/2018,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Construction,01/27/2014,06/25/2019
08/2018,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Construction,01/27/2014,06/25/2019
01/2019,"Install new high level storm sewers, combined and sanitary sewers, and water main: Fresh Creek Basin area including East 108th Street between Flatlands Avenue and the outfall at Avenue K.",Construction,01/27/2014,12/31/2019
05/2019,"Installations of H.L.S.S., Storm, Sanitary & Combined Sewers and Water Main work in Fresh Creek Basin Area, E 108th Street between Flatlands Ave and Outfall at Ave K, 26th Wards, Brooklyn.",Construction,01/27/2014,09/21/2020
09/2019,"Installations of H.L.S.S., Storm, Sanitary & Combined Sewers and Water Main work in Fresh Creek Basin Area, E 108th Street between Flatlands Ave and Outfall at Ave K, 26th Wards, Brooklyn.",Construction,01/27/2014,09/21/2020
09/2013,Design and construction of right-of-way green infrastructure to help DEP comply with New York State Department Environment Conservation (NYSDEC) consent order which states that NYC must better manage its combined sewer overflows.,Design,04/01/2013,12/31/2016
01/2014,Design and construction of right-of-way green infrastructure to help DEP comply with New York State Department Environment Conservation (NYSDEC) consent order which states that NYC must better manage its combined sewer overflows.,Design,04/01/2013,12/31/2016
05/2014,Design and construction of right-of-way green infrastructure in order for the city to comply with NYS DEC consent order which states that NYC must manage 1” of rain on 10% of impervious surfaces by 2030 to reduce combined sewer overflows.,Design,04/01/2013,12/31/2016
02/2015,Design and construction of right-of-way green infrastructure in order for the city to comply with NYS DEC consent order which states that NYC must manage 1” of rain on 10% of impervious surfaces by 2030 to reduce combined sewer overflows.,Design,04/01/2013,12/31/2016
08/2015,Design and construction of right-of-way green infrastructure in order for the city to comply with NYS DEC consent order which states that NYC must manage 1” of rain on 10% of impervious surfaces by 2030 to reduce combined sewer overflows.,Design,04/01/2013,12/31/2016
01/2016,Design and construction of right-of-way green infrastructure in order for the city to comply with NYS DEC consent order which states that NYC must manage 1” of rain on 10% of impervious surfaces by 2030 to reduce combined sewer overflows.,Design,04/01/2013,12/31/2020
06/2016,Design and construction of right-of-way green infrastructure in order for the city to comply with NYS DEC consent order which states that NYC must manage 1” of rain on 10% of impervious surfaces by 2030 to reduce combined sewer overflows.,Design,04/01/2013,12/31/2016
11/2016,Design and construction of right-of-way green infrastructure in order for the city to comply with NYS DEC consent order which states that NYC must manage 1” of rain on 10% of impervious surfaces by 2030 to reduce combined sewer overflows.,Design,04/01/2013,09/30/2018
04/2017,Design and construction of right-of-way green infrastructure in order for the city to comply with NYS DEC consent order which states that NYC must manage 1” of rain on 10% of impervious surfaces by 2030 to reduce combined sewer overflows.,Design,04/01/2013,09/30/2019
09/2017,Design and construction of right-of-way green infrastructure in order for the city to comply with NYS DEC consent order which states that NYC must manage 1” of rain on 10% of impervious surfaces by 2030 to reduce combined sewer overflows.,Design,04/01/2013,01/15/2019
03/2018,Design and construction of right-of-way green infrastructure in order for the city to comply with NYS DEC consent order which states that NYC must manage 1” of rain on 10% of impervious surfaces by 2030 to reduce combined sewer overflows.,Design,04/01/2013,01/15/2019
08/2018,Design and construction of right-of-way green infrastructure in order for the city to comply with NYS DEC consent order which states that NYC must manage 1” of rain on 10% of impervious surfaces by 2030 to reduce combined sewer overflows.,Design,04/01/2013,01/15/2019
01/2019,Design and construction of right-of-way green infrastructure in order for the city to comply with NYS DEC consent order which states that NYC must manage 1” of rain on 10% of impervious surfaces by 2030 to reduce combined sewer overflows.,Design,04/01/2013,11/28/2019
