steel/table4.V18,steel/table4.V19,steel/table4.V5,steel/table4.V6,steel/table4.V9
0.0089,0.3636,205,33,98
0.0125,0.9444,29,18,116
0.0161,0.7097,104,31,89
0.0066,0.36,176,25,104
0.0059,0.7692,75,13,93
0.2511,0.609,10429,578,33
0.0136,0.2771,1125,83,76
0.0184,0.4386,561,57,61
0.0061,0.5882,108,17,102
0.0501,0.2528,2148,269,113
0.0066,0.9,14,10,122
0.1267,0.654,6249,263,39
0.0096,0.7222,54,18,102
0.0612,0.2519,5665,405,36
0.0169,0.4894,240,47,118
0.016,0.9643,63,28,80
0.0177,0.2913,790,103,119
0.0059,0.8889,60,9,92
0.1059,0.77,981,187,97
0.0083,0.3111,996,45,59
0.0089,0.8824,84,17,99
0.0132,0.6667,155,27,83
0.0053,0.8182,84,11,102
0.0074,0.5454,165,22,87
0.0966,0.1476,37334,908,19
0.1141,0.7346,5877,211,47
0.0083,0.9333,125,15,61
0.0083,0.9333,115,15,68
0.0077,0.6842,127,19,90
0.0053,0.8182,68,11,94
0.0049,0.8889,52,9,91
0.0108,1.0,172,15,101
0.0828,0.5355,6019,211,16
0.0089,1.0,126,12,103
0.0096,0.6191,176,21,86
0.0079,0.8667,102,15,95
0.0066,0.1525,492,59,101
0.0738,0.3844,6114,320,40
0.0875,0.758,3455,157,67
0.1205,0.2739,10904,617,28
0.0155,0.6364,169,33,105
0.0041,0.875,30,8,80
0.0047,0.7273,77,11,98
0.123,0.2834,12012,607,30
0.3105,0.4022,24365,1084,22
0.0059,0.3636,82,22,105
0.0053,0.9,45,10,86
0.0251,0.1667,2691,204,89
0.0148,0.3333,178,60,120
0.0066,0.2308,265,39,88
0.1274,0.7489,6404,231,38
0.0051,0.7,60,10,100
0.0071,1.0,199,12,74
0.0077,1.0,155,13,55
0.0452,0.7531,543,81,93
0.0081,0.9167,92,12,29
0.0162,1.0,78,22,95
0.0089,0.8,320,15,55
0.0053,0.75,59,12,95
0.1311,0.5687,6185,313,41
0.0177,0.3333,624,72,85
0.0072,0.7143,205,14,92
0.0044,0.375,122,16,107
0.0089,0.9231,309,13,36
0.0177,0.8276,263,29,87
0.0081,0.4583,78,24,95
0.0077,0.6191,162,21,85
0.1086,0.2409,12388,631,29
0.1237,0.6693,5962,251,41
0.003,0.6667,12,6,99
0.0125,0.7391,80,23,113
0.032,1.0,82,44,58
0.0834,0.8035,3333,173,35
0.1332,0.2435,18896,768,22
0.3878,0.8686,8391,609,103
0.0037,0.3333,72,15,111
0.0084,0.8235,191,17,101
0.1289,0.6295,6422,278,43
0.0035,0.2069,359,29,30
0.1264,0.2458,14949,720,27
0.0036,1.0,53,6,40
0.0611,0.7615,880,109,101
0.1291,0.7085,6661,247,41
0.0065,0.7857,95,14,24
0.011,0.4167,313,36,68
0.0081,0.1209,585,91,99
0.0125,0.8947,178,19,105
0.0083,0.6087,86,23,28
0.0044,1.0,12,6,113
0.117,0.2166,11542,757,42
0.1246,0.5909,5632,286,45
0.0102,0.5833,103,24,125
0.0059,0.2381,284,42,97
0.1602,0.1916,20894,1169,18
0.0155,0.9546,58,22,111
0.01,0.9444,76,18,130
0.0098,0.9286,108,14,77
0.0066,0.0909,1170,99,29
0.1303,0.6704,6503,264,40
0.0124,0.9546,76,22,109
0.0066,0.5625,126,16,103
0.1291,0.6364,6426,275,37
0.0088,0.0968,969,124,92
0.0089,0.9231,56,13,108
0.0047,0.6667,38,12,104
0.008,0.6111,158,18,106
0.0081,0.44,178,25,92
0.0154,0.4667,158,45,122
0.0103,0.875,131,16,33
0.0047,0.8889,38,9,85
0.1127,0.6611,5593,239,42
0.0053,0.4737,139,19,89
0.0059,0.7273,69,11,78
0.0059,1.0,16,8,114
0.0122,0.3954,188,43,86
0.0037,1.0,9,5,107
0.011,0.7895,133,19,107
0.0227,0.9688,110,32,111
0.0103,0.5185,113,27,125
0.0176,0.4615,277,52,113
0.1014,0.7474,5261,190,46
0.0053,0.9,106,10,107
0.0108,0.9375,74,16,196
0.1261,0.5662,5951,302,38
0.0074,0.303,313,33,86
0.0055,0.6923,78,13,89
0.0132,0.0874,1733,206,93
0.1245,0.2119,16584,821,25
0.1086,0.2444,12509,622,27
0.0339,0.1957,3811,235,78
0.0053,0.3913,166,23,91
0.0147,0.5405,152,37,100
0.0178,0.6667,72,36,120
0.0089,0.8571,111,14,93
0.0133,0.6286,133,35,112
0.0095,0.7222,211,18,49
0.0132,0.4865,383,37,97
0.0074,0.7143,121,14,91
0.0081,0.7857,98,14,84
0.0104,0.875,131,16,95
0.0048,0.5333,91,15,105
0.1289,0.5795,6653,302,42
0.0137,0.5116,243,43,104
0.0139,0.9583,76,24,120
0.0074,0.4762,257,21,91
0.0176,0.3692,158,65,111
0.014,0.5938,249,32,49
0.0213,0.725,292,40,120
0.0103,0.875,32,16,120
0.1143,0.7176,6293,216,47
0.1244,0.5671,5499,298,43
0.0139,0.7308,147,26,85
0.0065,1.0,140,11,76
0.0073,0.8571,83,14,101
0.0117,0.64,231,25,67
0.112,0.2243,12489,700,31
0.1015,0.7225,4019,191,41
0.0089,0.8824,128,17,87
0.0081,0.6471,156,17,74
0.0037,1.0,16,5,109
0.107,0.2199,9892,682,42
0.1259,0.6196,6432,276,39
0.0165,0.162,1058,142,112
0.0087,1.0,141,12,105
0.0158,0.3418,339,79,104
0.0094,0.7273,131,22,118
0.0037,1.0,16,5,109
0.0041,0.5833,140,12,38
0.0052,1.0,22,7,116
0.0088,0.9231,110,13,100
0.0073,0.3226,273,31,93
0.0218,0.766,134,47,114
0.0088,0.2381,762,63,88
0.1305,0.5673,5933,312,38
0.0059,0.4211,117,19,135
0.1303,0.7166,6878,247,38
0.0072,0.9091,81,11,141
0.0066,0.4737,55,19,104
0.1303,0.6887,6010,257,39
0.0059,0.4545,126,22,90
0.0037,0.25,144,20,110
0.0064,1.0,113,11,93
0.0041,0.5833,56,12,85
0.0066,0.9,46,10,95
0.0047,0.6667,68,12,107
0.0061,0.625,81,16,98
0.0066,0.6,202,15,85
0.0044,1.0,16,6,110
0.0154,0.75,118,28,82
0.0147,0.7692,103,26,101
0.0126,0.2833,2409,60,37
0.0053,0.9,56,10,90
0.0124,0.7407,206,27,95
0.0148,0.6452,231,31,117
0.0096,0.5652,260,23,46
0.014,0.6552,128,29,96
0.1297,0.1855,15704,976,25
0.0129,0.7857,290,28,43
0.0081,0.6471,147,17,78
0.0136,0.1783,2028,129,28
0.0164,0.9643,65,28,118
0.0125,0.7727,115,22,87
0.0102,0.6071,75,28,134
0.016,0.113,1421,239,104
0.0066,0.75,60,12,48
0.0088,0.4444,258,27,75
0.0254,0.4057,561,106,120
0.0169,0.5349,147,43,84
0.1141,0.7416,6057,209,39
0.0041,0.7778,58,9,100
0.0093,0.4333,122,30,107
0.1807,0.2641,15650,943,23
0.0164,0.9643,81,28,113
0.4177,0.9578,10166,593,78
0.0257,0.6604,168,53,120
0.0089,0.8824,166,17,61
0.107,0.2517,12718,596,31
0.0044,0.2857,112,21,110
0.1303,0.6189,6277,286,40
0.1595,0.2124,21987,1050,21
0.1113,0.2389,8726,653,41
0.0126,0.7083,94,24,104
0.0071,0.8,209,15,96
0.0243,0.8049,251,41,115
0.0087,0.75,367,16,55
0.0059,0.9091,64,11,103
0.0044,0.3333,115,18,115
0.0144,0.6389,152,36,121
0.296,0.4929,16686,842,19
0.0071,0.8,100,15,85
0.1044,0.7172,4223,198,38
0.0037,0.8333,17,6,122
0.0049,0.8,66,10,101
0.0416,0.6867,181,83,113
0.0118,0.8,73,20,103
0.0065,0.9167,41,12,88
0.0103,0.6364,140,22,105
0.0044,1.0,18,6,113
0.0132,0.8571,64,21,94
0.1098,0.2203,11510,699,40
0.0066,0.1915,265,47,106
0.0047,0.8,51,10,102
0.0088,0.1121,975,107,108
0.0047,0.5,131,16,81
0.1276,0.6337,6686,273,36
0.1274,0.6578,6172,263,39
0.0154,0.75,83,28,115
0.1099,0.6898,5702,216,45
0.0066,0.45,108,20,145
0.0083,0.3684,552,38,79
0.0071,0.4286,227,28,77
0.0094,0.8,303,20,54
0.0054,0.3913,138,23,48
0.0117,0.32,137,50,120
0.0166,0.56,659,50,49
0.0073,0.6667,101,15,99
0.0059,0.8,24,10,124
0.014,0.6786,123,28,95
0.0071,0.8,139,15,71
0.0103,0.9444,116,18,88
0.024,0.7193,860,57,91
0.0059,0.4545,147,22,91
0.1289,0.6863,6562,255,36
0.0089,0.8,57,15,70
0.0185,0.9259,149,27,93
0.1129,0.2095,10821,754,36
0.0153,0.3962,657,53,71
0.0103,0.8235,121,17,67
0.0213,0.58,293,50,133
0.008,0.9167,226,12,84
0.1043,0.6213,5576,235,43
0.0132,0.3913,201,46,112
0.0089,1.0,84,12,84
0.1043,0.237,13041,616,37
0.0066,0.5,145,18,101
0.0095,0.8667,129,15,101
0.0053,0.5385,62,13,109
0.0213,0.2156,5044,167,11
0.0391,0.2435,6965,271,68
0.0089,0.8,75,15,89
0.0213,0.2959,268,98,125
0.091,0.6927,3631,179,45
0.0103,0.7778,121,18,119
0.1291,0.6604,6281,265,42
0.0116,0.8889,217,18,53
0.0066,1.0,106,11,96
0.0081,0.55,78,20,129
0.034,0.1133,4860,406,96
0.0059,0.9091,74,11,95
0.0052,0.4375,83,16,161
0.0074,0.6667,51,15,99
0.0052,1.0,16,7,102
0.0083,0.175,1183,80,57
0.0096,0.52,109,25,102
0.0102,0.7368,395,19,75
0.0115,0.8889,140,18,103
0.1271,0.2058,15601,865,23
0.0066,0.8461,35,13,118
0.0294,0.9091,130,44,109
0.0133,0.3273,252,55,52
0.0074,0.2941,378,34,77
0.0037,1.0,12,5,111
0.0068,0.8461,84,13,87
0.0129,0.3818,512,55,127
0.1071,0.2679,12477,560,36
0.0087,0.8,127,15,111
0.0103,0.7,63,20,118
0.1303,0.548,5846,323,44
0.0052,0.7778,54,9,106
0.1298,0.7012,6987,251,43
0.0102,0.8235,166,17,104
0.0147,0.6897,125,29,81
0.0189,0.7273,551,44,56
0.0053,1.0,54,9,116
0.0047,0.8889,102,9,70
0.0053,0.9,63,10,78
0.0053,0.5294,213,17,96
0.0213,0.5179,238,56,118
0.0052,0.875,16,8,109
0.0118,0.4848,226,33,100
0.0089,0.6,255,25,77
0.013,0.7333,408,30,57
0.0052,0.2333,175,30,111
0.0083,0.4516,263,31,86
0.0179,0.6875,132,32,104
0.0059,0.7143,82,14,93
0.0066,0.3462,119,26,97
0.073,0.5323,1666,186,96
0.0243,0.5593,304,59,111
0.1054,0.2422,9582,611,39
0.0099,0.65,210,20,70
0.011,0.6522,238,23,78
0.0161,0.8461,74,26,129
0.0088,0.2105,970,57,66
0.006,0.8333,64,12,91
0.0072,0.75,119,16,81
0.1127,0.7251,5695,211,40
0.0159,0.3607,145,61,128
0.0056,0.6667,112,15,87
0.0061,0.5,154,20,69
0.0074,0.5263,136,19,99
0.4957,0.8807,19629,788,22
0.0121,0.7692,83,26,115
0.017,0.3286,995,70,95
0.0096,0.6191,126,21,173
0.0081,0.44,224,25,77
0.0088,0.7059,62,17,87
0.0077,0.8667,264,15,53
0.0066,0.75,63,12,89
0.0156,0.625,203,40,121
0.0061,1.0,58,10,99
0.0193,0.2061,794,131,119
0.0213,0.5577,196,52,104
0.0109,0.2941,294,51,127
0.0041,0.7778,35,9,102
0.0073,0.625,91,16,103
0.0089,0.8,143,15,76
0.0192,0.2385,1283,109,110
0.0052,0.5833,42,12,175
0.1318,0.6416,6543,279,39
0.0066,0.4286,130,21,109
0.0125,0.5862,415,29,82
0.0103,0.7,69,20,100
0.016,0.6286,125,35,118
0.0089,0.7143,140,21,58
0.0059,0.3333,168,24,102
0.1077,0.2572,13699,587,37
0.1259,0.631,6603,271,38
0.0147,0.4762,170,42,107
0.0081,1.0,39,11,110
0.105,0.7857,3936,182,38
0.0065,0.7857,66,14,101
0.1064,0.238,12515,626,37
0.017,0.92,77,25,76
0.0083,0.8235,114,17,67
0.0096,0.3939,501,33,49
0.0037,0.3333,73,15,110
0.0402,1.0,173,68,65
0.1291,0.2274,17977,796,24
0.0053,0.5625,66,16,88
0.0059,0.1067,583,75,89
0.1276,0.5965,6310,290,41
0.0125,0.68,77,25,95
0.107,0.2273,12260,660,33
0.0088,0.6,187,20,49
0.0059,0.6154,59,13,85
0.01,0.85,178,20,50
0.0117,0.5714,194,28,101
0.1274,0.6654,6353,260,37
0.0059,0.5,109,16,89
0.0044,1.0,12,6,111
0.0053,0.6923,93,13,42
0.0065,0.75,67,12,106
0.0132,0.3103,444,58,97
0.0088,0.5714,71,21,131
0.0303,0.9318,176,44,90
0.0074,0.5882,77,17,76
0.0066,0.9,66,10,75
0.0139,0.7917,243,24,118
0.2739,0.3783,21036,1015,24
0.0065,0.4583,242,24,90
0.0125,0.7083,105,24,90
0.0236,0.1624,2904,197,22
0.0161,0.6471,576,34,84
0.0133,0.9167,68,24,115
0.0251,0.6296,286,54,95
0.0055,0.6923,74,13,78
0.0074,1.0,101,10,153
0.0081,0.5789,135,19,36
0.0301,0.2656,1095,192,117
0.0071,0.8571,103,14,85
0.0088,0.6667,99,18,61
0.0102,1.0,227,14,36
0.0151,0.2188,1275,96,84
0.0081,0.1964,706,56,96
0.0142,0.4615,360,52,113
0.0096,0.1884,540,69,110
0.1289,0.7479,7327,234,35
0.0036,0.6,108,10,84
0.0053,0.375,167,24,23
0.1291,0.6944,7003,252,40
0.0124,1.0,52,21,56
0.0053,0.8182,71,11,22
0.0037,0.7143,25,7,99
0.0072,0.75,149,16,95
0.0065,0.4091,160,22,70
0.0047,0.8889,31,9,99
0.0047,1.0,48,8,98
0.0148,0.5102,652,49,73
0.0101,0.2698,1125,63,101
0.0066,0.6923,55,13,114
0.2868,0.5456,11388,735,29
0.0043,0.8571,101,7,44
0.0084,0.8461,112,13,86
0.0081,0.55,123,20,79
0.0077,0.7222,220,18,52
0.0058,0.7143,82,14,90
0.0103,0.4828,104,29,108
0.0166,0.6585,665,41,35
0.1311,0.5742,6454,310,40
0.0148,0.6061,203,33,96
0.0066,0.6429,162,14,73
0.0065,0.6923,113,13,94
0.0101,0.1687,500,83,86
0.0074,0.7692,53,13,90
0.1276,0.6028,6399,287,41
0.0059,0.8333,66,12,87
0.0148,0.4098,479,61,82
0.1254,0.5882,5830,289,44
0.8759,0.9302,15775,1275,61
0.0066,0.6471,116,17,64
0.0052,0.6364,59,11,107
0.1311,0.5345,6816,333,36
0.0531,0.4211,1843,171,115
0.0047,0.4444,189,18,99
0.0162,0.8148,181,27,84
0.0053,0.75,60,12,99
0.0118,0.8,147,20,104
0.015,0.6944,143,36,109
0.0074,0.4348,142,23,100
0.0071,0.6316,123,19,77
0.014,1.0,52,19,89
0.0233,0.1633,5323,245,19
0.0059,0.6154,139,13,61
0.0269,0.4568,383,81,96
0.0237,1.0,65,40,85
0.0052,0.3889,116,18,162
0.0059,1.0,66,8,97
0.0066,0.6923,84,13,104
0.0074,1.0,22,10,127
0.1291,0.6604,6592,265,44
0.0066,0.4286,96,21,108
0.0133,0.3273,160,55,112
0.1051,0.8034,4331,178,45
0.1276,0.5786,6108,299,40
0.1114,0.7295,5941,207,45
0.0074,0.3571,215,28,105
0.0162,0.8461,231,26,56
0.0115,0.7619,151,21,104
0.0106,1.0,248,18,53
0.0564,0.2379,2791,332,114
0.008,0.8125,114,16,79
0.0962,0.5796,3912,226,29
0.006,0.8,50,10,105
0.0067,0.7333,65,15,102
0.0037,1.0,12,5,115
0.0074,0.7143,53,14,79
0.0073,0.9091,57,11,89
0.1091,0.2394,11211,639,35
0.0096,0.4643,261,28,91
0.0078,0.6842,154,19,93
0.1154,0.785,6376,200,54
0.0074,0.5,110,20,100
0.0088,0.8571,42,14,127
0.0059,0.6154,68,13,109
0.0111,0.375,419,40,97
0.0088,0.2791,347,43,95
0.0095,0.3333,297,48,89
0.0047,0.8,50,10,93
0.0071,0.1967,806,61,83
0.0088,0.8333,114,18,101
0.0776,0.2234,4315,470,82
0.1643,0.2251,25323,1022,24
0.0044,0.75,17,8,105
0.0081,1.0,106,11,100
0.5906,0.6941,20726,1193,25
0.0044,1.0,6,6,118
0.0155,0.5833,235,36,87
0.0198,0.5745,780,47,77
0.0158,0.8387,350,31,78
0.1289,0.625,6998,280,43
0.0052,0.6364,39,11,172
0.1254,0.6391,5706,266,43
0.0118,0.2319,463,69,118
0.0095,0.8,250,20,77
0.0059,1.0,114,10,77
0.1649,0.3027,13349,740,29
0.1289,0.5401,6280,324,40
0.0047,0.5333,109,15,100
0.0074,0.6667,21,15,120
0.0155,0.3134,838,67,90
0.0096,0.194,788,67,61
0.1279,0.2266,17825,790,24
0.105,0.2244,9484,655,41
0.0066,0.8182,61,11,92
0.008,0.7222,140,18,90
0.0095,0.8,184,20,77
0.0037,0.8333,16,6,106
0.0052,0.4667,77,15,97
0.0047,0.4706,120,17,84
0.008,0.9286,113,14,75
0.0059,0.2857,386,35,90
0.0091,0.75,245,20,56
0.0074,0.7143,62,14,98
0.0083,0.4375,137,32,103
0.0066,0.9,35,10,117
0.0065,1.0,63,9,156
0.0118,0.4211,490,38,86
0.6209,0.9343,16469,929,27
0.0158,0.2157,938,102,75
0.1123,0.0144,152655,10449,0
0.1156,0.6305,5885,249,40
0.0037,0.625,148,8,61
0.0094,0.64,231,25,65
0.0096,0.8421,220,19,115
0.0089,0.2941,323,51,88
0.1254,0.5743,6476,296,43
0.0921,0.22,4663,709,115
0.019,1.0,68,26,79
0.1007,0.2398,8957,588,35
0.0055,1.0,70,9,99
0.0089,0.5,728,30,36
0.0107,0.72,263,25,59
0.0071,0.8571,93,14,91
0.1027,0.2553,9576,564,37
0.0072,0.9091,101,11,148
0.0096,0.6842,74,19,109
0.0029,1.0,8,4,105
0.0148,0.2353,1148,85,89
0.0044,0.8571,16,7,119
0.0103,0.9333,107,15,104
0.0057,0.7,198,10,101
0.036,0.6712,312,73,122
0.025,0.8095,254,42,116
0.1022,0.7513,4364,185,74
0.026,0.2687,2059,134,169
0.0126,0.5862,99,29,109
0.0058,0.8889,110,9,93
0.0086,0.875,165,16,70
0.003,1.0,15,5,110
0.0089,0.8,67,15,107
0.0089,0.3571,301,42,89
0.1157,0.24,14069,675,26
0.0228,0.7046,287,44,112
0.0081,0.2,594,55,93
0.053,0.4138,873,174,106
0.0079,0.9286,51,14,120
0.0103,0.1505,812,93,51
0.0089,0.2927,436,41,71
0.0083,0.3256,949,43,59
0.0697,0.6073,3288,191,36
0.1262,0.2428,16759,729,24
0.1254,0.5944,6318,286,46
0.0142,0.3288,430,73,93
0.0089,0.48,155,25,145
0.0073,0.9091,67,11,92
0.0155,0.7778,261,27,88
0.1127,0.6711,6170,228,51
0.0059,0.8333,70,12,82
0.0048,0.381,88,21,67
0.0067,0.7333,84,15,83
0.0053,0.8182,69,11,87
0.0053,0.2647,169,34,85
0.0118,0.2667,217,60,108
0.0251,0.2906,938,117,102
0.0166,0.7931,994,29,15
0.0059,0.6667,17,12,121
0.1047,0.5485,5617,268,42
0.0049,0.8,68,10,101
0.0103,0.8235,125,17,83
0.0199,0.551,149,49,122
0.2979,0.9688,3256,417,89
0.0125,0.3778,759,45,44
0.1421,0.9595,1695,247,103
0.0071,0.8571,66,14,84
0.1158,0.7476,6213,210,55
0.0117,0.9412,49,17,108
0.0074,0.7692,26,13,120
0.0103,0.5,138,28,93
0.0053,0.4091,433,22,62
0.0118,0.8421,71,19,84
0.1252,0.4942,6337,344,41
0.0109,0.8824,247,17,43
0.0053,0.8182,110,11,99
0.0258,0.3889,521,90,104
0.0073,0.1754,540,57,95
0.0065,0.6111,284,18,87
0.1254,0.6464,6499,263,43
0.0066,0.3333,121,27,151
0.0172,0.375,461,64,112
0.0283,0.5783,505,83,97
0.0096,0.2203,297,59,110
0.0097,0.8,52,20,116
0.031,0.6269,1035,67,46
0.0047,0.5333,185,15,97
0.1073,0.7449,5003,196,49
0.0103,0.8947,69,19,113
0.1274,0.5767,5969,300,42
0.0065,0.8461,78,13,87
0.0111,0.3,397,50,33
0.0132,0.72,96,25,86
0.0059,0.5714,68,14,105
0.1298,0.6423,6570,274,40
0.0106,0.6207,196,29,90
0.0187,0.2167,1006,120,104
0.109,0.2542,9183,602,40
0.0186,0.4627,1176,67,56
0.1077,0.2546,11089,593,31
0.0071,0.75,61,16,105
0.0081,0.1222,653,90,95
0.003,1.0,12,4,110
0.0162,0.2895,705,76,73
0.0053,0.6923,153,13,101
0.0153,0.3962,229,53,111
0.1056,0.296,13309,500,31
0.0071,0.7059,108,17,69
0.0236,0.4384,509,73,80
0.0054,0.75,69,12,95
0.0147,0.7407,102,27,84
0.0124,1.0,231,17,33
0.0059,0.8889,26,9,120
0.0083,0.5833,111,24,118
0.011,0.6,229,25,101
0.0073,0.3846,124,26,107
0.0052,1.0,17,7,121
0.008,0.3793,182,29,115
0.0184,0.2841,1126,88,93
0.0053,0.2571,271,35,85
0.0103,0.7368,69,19,118
0.0154,0.5652,612,46,103
0.0081,0.6111,163,18,83
0.0209,0.5484,1111,62,50
0.0088,0.6316,275,19,78
0.0065,0.3929,204,28,71
0.0184,0.3571,339,70,119
0.0081,0.6875,102,16,115
0.1148,0.2815,10796,572,38
0.0082,0.3784,335,37,86
0.0049,1.0,52,8,104
0.0055,0.75,62,12,91
0.0108,0.8824,230,17,93
0.0169,0.5,631,46,91
0.0096,0.5909,101,22,108
0.0059,0.8333,150,12,99
0.0051,0.5385,57,13,107
0.0053,0.9,54,10,104
0.0147,0.6667,304,30,85
