steel/table3.V19,steel/table3.V24,steel/table3.V25,steel/table3.V26,steel/table3.V4,steel/table3.V5,steel/table3.V6,steel/table3.V7,steel/table3.V8,steel/table3.V9,V3
0.5294,1.2787,0.5263,-0.3868,1752560,116,17,19,9105,65,1752541
0.75,1.301,0.55,-0.2656,130780,110,12,20,10340,71,130760
0.76,1.1461,-0.2632,-0.1129,240480,146,25,18,16579,105,240466
0.2222,1.4771,0.8667,-0.2991,224035,83,18,31,7446,71,224005
0.3684,1.4314,0.4815,-0.241,2044475,197,38,29,19139,86,2044448
0.1341,2.0294,0.8972,-0.1232,2014317,477,82,107,53536,96,2014210
0.1967,2.2787,0.1789,-0.0927,1512467,14309,793,469,1661835,31,1512277
0.9231,1.1761,0.2,-0.3025,3755492,122,13,15,10893,65,3755477
0.7222,1.1761,0.1333,0.0865,639376,128,18,15,17802,132,639361
0.8889,0.9542,0.1111,0.338,639857,65,9,9,11132,161,639848
0.6667,1.3617,-0.1154,-0.0148,1283536,244,39,25,30769,113,1283513
0.5882,1.1761,0.3333,-0.215,719024,116,17,15,11656,71,719009
0.2712,1.9395,0.8161,-0.1694,1594517,794,59,87,84410,62,1594430
0.5306,1.7559,0.5439,-0.1875,2839625,1015,49,59,105560,76,2839568
0.7778,0.699,-0.2857,-0.0395,1013647,16,9,5,1967,115,1013642
0.322,2.0086,0.8137,0.5917,135298,892,59,104,181730,68,135196
0.4342,1.4314,-0.1818,-0.146,79387,434,76,51,47440,97,79360
0.4832,1.9031,-0.5349,-0.1799,2740889,6532,356,186,685717,43,2740809
1.0,0.4771,-0.25,-0.0807,203200,9,4,4,1059,107,203197
0.9,0.9031,-0.1111,-0.0839,4726836,57,10,8,6684,101,4726828
0.0794,2.5922,0.9054,-0.3475,814627,7292,466,536,608995,43,814236
0.5745,1.1461,-0.4815,-0.0633,4194684,169,47,27,20262,107,4194670
0.0657,2.5515,0.9607,-0.4283,2551201,2705,213,359,197957,28,2550845
0.9,0.9031,-0.7037,-0.079,2304550,119,30,12,14029,110,2304542
0.5556,1.2041,0.0625,0.0726,1539097,101,27,17,13866,128,1539081
0.85,1.1761,-0.1177,-0.2313,2650795,144,20,16,14169,84,2650780
0.7143,1.2305,0.4118,-0.3765,456548,91,14,17,7263,64,456531
0.6154,1.3979,0.36,-0.1153,1002587,211,26,28,23894,102,1002562
0.6842,0.9542,-0.3077,0.0075,5996739,79,19,11,10188,116,5996730
0.8267,1.7324,-0.5645,-0.159,7275852,4239,150,76,456305,65,7275798
0.5278,1.301,-0.4737,-0.065,3967197,313,72,35,37460,106,3967177
1.0,0.6021,-0.2,-0.0098,1819728,16,5,4,2028,111,1819724
0.8667,0.7782,-0.8461,-0.0931,2312039,111,45,19,12886,109,2312033
0.9231,1.6812,0.75,-0.1093,813500,442,13,48,50393,76,813452
0.3429,1.6021,0.7,-0.1828,587452,289,35,40,30229,75,587412
0.75,1.1461,0.5714,-0.087,281958,57,8,14,6661,110,281944
0.4348,1.2305,0.4118,-0.5185,1859633,80,23,17,4931,41,1859616
0.8461,1.0,-0.0909,-0.2112,1990031,59,13,11,5957,89,1990021
0.8333,1.0,0.0,-0.1461,1398179,65,12,10,7104,89,1398169
0.6316,1.8261,-0.6012,-0.1956,1786320,6662,266,131,685894,41,1786253
0.5588,1.7781,0.3667,-0.2904,5331309,1284,68,61,116623,42,5331249
0.6154,0.8451,-0.125,0.031,1733276,26,13,7,3431,123,1733269
0.4091,1.4914,0.7097,-0.2475,1743250,227,22,31,21864,74,1743219
0.5806,1.301,0.1,-0.0891,3981677,114,31,24,13292,104,3981657
0.1867,2.1072,0.7813,-0.188,2787427,1543,150,151,160372,81,2787299
0.9167,0.8451,-0.3636,-0.1053,1589168,57,12,7,6528,103,1589161
1.0,0.699,-0.1667,-0.0161,1110861,16,6,5,2015,111,1110856
0.7778,0.9031,0.125,-0.2446,1168994,32,9,8,3094,85,1168986
1.0,0.6021,-0.7143,0.0076,142260,34,14,5,4385,121,142256
0.6667,0.699,-0.1667,0.0137,1962347,16,9,6,2076,123,1962342
0.1026,2.1038,0.937,-0.177,128981,788,78,127,83011,86,128854
0.6387,1.8261,-0.6171,-0.179,2943144,6882,274,131,723207,48,2943077
0.369,1.6128,0.2439,-0.0785,923211,709,84,55,83627,105,923170
0.6316,1.3222,0.4286,-0.161,701126,183,19,21,19652,91,701105
0.5758,1.1461,-0.2632,0.0072,2258662,123,33,17,15858,116,2258648
0.625,1.0414,0.0909,-0.1445,625588,87,16,11,9527,84,625577
0.6383,1.7993,-0.65,-0.1939,1889228,6490,282,140,669614,36,1889165
0.2699,2.2201,0.0602,-0.1057,2432111,8709,578,322,996980,47,2431945
0.8962,0.9031,-0.9158,-0.1064,2161408,343,106,28,39231,105,2161400
0.645,1.7993,-0.6272,-0.1854,1445656,6294,262,153,656298,45,1445593
0.2076,1.8389,0.6812,-0.2601,573118,884,106,98,83716,77,573049
0.4615,1.3979,0.76,-0.205,385557,107,13,26,10888,96,385532
0.6842,1.3617,-0.1154,-0.2415,3522508,196,38,27,19028,84,3522485
0.2297,2.2878,0.0361,-0.066,702873,18071,814,534,2160349,27,702679
0.4444,1.415,0.6923,-0.1097,367455,135,18,26,15385,103,367429
0.75,1.2305,0.2941,-0.1582,1635864,144,16,17,15517,84,1635847
1.0,1.0,-0.6296,-0.1212,1099516,150,27,12,16873,96,1099506
0.45,1.3424,0.5909,0.0,1620708,154,20,22,19711,103,1620686
0.2438,2.29,0.0461,-0.0812,919496,17810,763,456,2094532,25,919301
0.6154,1.1461,0.4286,-0.2738,7865,60,13,14,5577,86,7851
0.2413,2.1584,-0.0588,-0.1063,1711281,10913,634,359,1248379,25,1711137
0.5,1.2787,0.0526,-0.0302,732327,146,36,29,18123,114,732308
0.7202,1.8389,-0.6057,-0.1871,2350536,6472,243,129,673434,44,2350467
0.75,1.3979,0.4,-0.1301,1276817,252,20,25,28061,92,1276792
0.5333,1.2553,0.5556,-0.0978,2426519,109,15,18,12587,103,2426501
0.375,1.3424,0.4545,0.0376,1313714,126,32,24,16734,125,1313692
0.3015,2.2175,-0.1129,-0.1052,1317154,12212,617,372,1398637,27,1316989
0.75,1.1139,0.0769,-0.0652,2673616,118,16,13,14120,103,2673603
0.5263,1.0792,-0.4,-0.0683,334316,114,38,21,13595,106,334304
0.7273,1.5315,0.2941,-0.4119,676657,655,33,35,49303,54,676623
0.8177,1.8129,-0.586,-0.189,622437,6277,192,109,651641,43,622372
0.9091,0.9542,-0.1,-0.2069,2921970,62,11,9,6294,80,2921961
0.6279,1.4472,-0.4815,0.0343,2008620,345,86,56,45673,123,2008592
0.7,1.2787,0.2632,-0.321,2338875,169,20,19,14689,64,2338856
0.9231,1.2041,0.25,-0.25,1302067,130,13,17,12480,61,1302051
0.7097,1.2041,-0.2727,-0.248,2750765,122,31,23,11743,82,2750749
0.2593,1.5441,0.8,-0.0759,1581956,139,27,35,16441,110,1581921
0.8125,1.0792,-0.0769,-0.2019,2506159,101,16,12,10318,74,2506147
0.8846,1.3424,-0.0435,-0.2112,328453,329,26,23,33217,58,328431
0.8571,1.1461,0.1429,-0.1681,3178563,133,14,14,14163,84,3178549
0.5911,1.8195,-0.6163,-0.1823,2290212,5753,291,160,602131,40,2290146
0.4231,1.4914,0.6452,-0.2043,212188,221,26,31,22508,66,212157
0.7046,1.5051,0.0313,-0.3087,3866570,638,44,36,56456,53,3866538
0.9828,0.7782,-0.8947,-0.1014,2184752,194,58,10,22315,105,2184746
0.3731,1.4624,0.1379,-0.0184,947878,354,67,47,44478,120,947849
0.7172,1.8325,-0.6114,-0.1919,1914070,6615,244,131,684236,36,1914002
0.8644,1.0792,-0.8824,-0.1078,942532,536,118,52,61209,106,942520
0.8889,0.699,-0.375,-0.0369,1593120,18,9,8,2219,117,1593115
0.2683,1.716,0.7885,-0.12,701451,352,41,53,39648,92,701399
0.6027,1.9191,-0.5363,-0.1933,1658584,6828,297,152,705056,42,1658501
0.5714,1.3617,0.3043,-0.2317,2023150,268,28,25,26356,84,2023127
0.48,1.3424,0.4545,0.0087,189695,103,25,26,13299,122,189673
0.75,0.8451,-0.5333,-0.0339,1299257,53,20,12,6554,113,1299250
0.5,1.5563,0.75,0.1076,189141,145,18,39,20557,132,189105
0.44,1.5563,0.6944,-0.1313,3980769,289,25,36,32134,92,3980733
0.4,1.5563,0.6667,-0.2701,1918128,324,30,36,30269,65,1918092
0.5982,2.1335,0.0368,-0.0902,2066684,1981,219,206,230693,104,2066548
1.0,0.4771,-0.9286,-0.0359,4104163,59,42,8,7281,97,4104160
0.36,1.9494,0.7977,-0.2261,1771642,771,50,89,76380,63,1771553
0.6154,1.1461,0.4286,-0.2244,1758011,67,13,15,6652,86,1757997
0.7,1.0792,0.4167,-0.0989,800138,56,10,12,6459,104,800126
0.5156,1.3222,-0.3636,-0.0764,419405,289,64,37,34165,109,419384
0.8421,0.8451,-0.5625,-0.3158,581546,74,19,12,6481,79,581539
0.4483,1.5911,0.6667,-0.0548,1058279,308,29,39,37264,113,1058240
0.7143,1.1761,0.3333,-0.1223,4443777,114,14,15,12808,102,4443762
0.1469,2.2279,0.8757,-0.2431,118242,1590,143,172,154035,80,118073
0.2783,2.1303,-0.3973,-0.224,29792,16052,805,400,1594353,26,29657
0.5862,1.3222,0.1905,-0.218,1978842,185,29,24,18517,88,1978821
0.8667,1.0,-0.2308,-0.0294,724202,59,15,11,7330,112,724192
0.2358,1.7853,0.5246,-0.2095,182154,703,123,87,71130,63,182093
0.9412,1.0,-0.375,0.3643,15765,102,17,10,17813,162,15755
1.0,1.0792,0.0,-0.214,238020,113,12,12,11369,86,238008
0.8571,0.699,-0.1667,0.0418,818589,17,7,6,2267,129,818584
0.3158,1.4914,0.8065,-0.1451,1934337,127,19,31,13897,99,1934306
0.7692,1.0414,0.0909,0.4208,28553,72,13,12,13094,168,28542
0.5714,1.0,0.2,-0.467,570244,35,14,10,2388,51,570234
0.975,1.1139,-0.6667,-0.0448,533745,207,40,23,25309,115,533732
0.5811,1.1461,-0.6744,-0.0521,149552,265,74,46,32153,114,149538
0.875,0.9542,0.2222,0.3954,48244,36,8,9,6430,172,48235
0.8,1.3424,0.2727,-0.225,1066722,212,20,22,21031,77,1066700
0.7857,1.1139,0.1539,0.0322,4025564,89,14,13,11759,125,4025551
0.5454,1.4624,0.5862,-0.2233,1229628,269,22,29,26745,71,1229599
0.5323,1.3222,-0.3636,-0.2463,70478,288,62,34,27785,84,70457
0.2598,2.2355,0.1105,-0.084,1469845,13946,589,406,1635177,33,1469673
0.7778,1.0,0.3,0.3307,612672,52,9,10,8857,161,612662
0.76,1.0792,-0.3684,-0.0258,1136924,142,25,15,17707,119,1136912
0.8571,1.2305,0.2941,-0.1162,2294312,172,14,18,19457,91,2294295
0.1144,2.2672,0.773,-0.0184,264160,3297,367,270,414252,113,263975
0.7576,1.0,-0.6,0.2394,219230,116,33,32,18402,150,219220
0.2877,1.8692,0.7162,-0.0822,143858,578,73,90,67901,100,143784
1.0,1.0,-0.0909,-0.1326,1759951,62,11,10,6884,93,1759941
0.7222,1.2787,0.3158,-0.1279,2274383,163,18,19,18196,93,2274364
0.75,1.1761,0.4,-0.2513,902203,73,12,16,6996,80,902188
0.9231,1.2041,0.25,-0.1063,2497138,137,13,16,15672,85,2497122
0.7692,1.0,0.0,-0.1835,2860168,76,13,10,7943,79,2860158
0.8,1.0414,-0.0833,-0.1652,1279991,111,15,11,11861,84,1279980
0.4286,1.2305,0.6471,-0.1903,2939222,69,14,18,7151,92,2939205
0.4,1.3802,0.6667,-0.1184,1715307,110,20,24,12413,100,1715283
0.52,1.3222,0.381,-0.1388,2644097,153,25,21,16865,90,2644076
0.6552,1.0792,-0.3684,-0.1851,28984,128,29,16,13352,96,28972
0.6667,1.3979,0.68,-0.1349,308956,134,12,25,14838,100,308931
0.3488,1.6128,0.6342,-0.0979,9670878,235,43,45,27135,106,9670837
0.2407,1.7404,0.7636,-0.1797,162940,395,54,59,41476,92,162885
0.8,1.7324,0.7778,0.0086,179312,480,15,54,61966,102,179258
1.0,0.4771,-0.9118,0.0002,2555028,86,34,7,11010,52,2555025
0.3429,1.6233,0.7143,-0.4515,221142,294,35,42,20642,47,221100
0.7883,1.8129,-0.6286,-0.1808,2087946,6515,222,104,683149,39,2087881
0.7407,1.3222,0.0476,-0.1325,1564557,140,27,22,15545,99,1564536
0.8125,1.1761,0.1333,-0.1832,778465,132,16,15,13800,68,778450
0.7333,1.0,-0.0909,-0.2744,119036,86,15,10,7987,73,119026
0.8333,0.9542,-0.1,-0.141,1199753,67,12,10,7367,87,1199744
0.6264,1.7781,-0.6491,-0.1694,2449893,5816,273,132,618320,51,2449833
0.4167,1.4314,0.6296,-0.1594,1536631,155,24,27,16678,96,1536604
0.1616,2.1271,0.8806,-0.0247,2003457,1004,99,134,125338,109,2003323
0.8067,1.8808,-0.2083,-0.1549,356016,1812,119,135,196003,82,355940
0.3088,2.1673,0.8571,-0.4218,881856,1949,68,162,144252,56,881709
0.6111,1.3617,0.5217,-0.1704,1063527,170,18,23,18052,79,1063504
0.8,0.7782,-0.25,-0.1836,731423,34,10,6,3553,91,731417
0.192,1.7853,0.6066,-0.0488,161069,617,125,83,75121,113,161008
0.6524,1.6721,-0.6148,-0.1893,281703,3703,187,94,384266,37,281656
0.8333,0.8451,-0.3,0.093,1581952,54,12,7,7555,123,1581945
0.4167,1.3424,0.5454,0.0289,252958,97,24,23,12775,123,252936
0.7391,1.2553,0.0556,-0.2432,572004,196,23,18,18986,82,571986
0.4688,1.4624,0.4828,-0.0916,1151838,217,32,32,25231,107,1151809
0.7771,1.6812,-0.6279,-0.1903,377585,3985,166,99,413005,41,377537
0.4286,1.301,0.7,-0.0666,1421746,83,14,20,9917,110,1421726
0.3182,2.4533,0.7782,-0.3257,60340,3042,198,284,262543,70,60056
0.625,1.8865,-0.4867,-0.1848,47376,5757,240,136,600689,38,47299
0.5667,1.1461,-0.1765,-0.0209,1048832,138,30,16,17295,114,1048818
0.9083,2.0899,-0.8409,-0.2148,19123,14386,851,424,1445817,27,19000
0.6667,0.7782,0.0,0.0101,983189,17,9,7,2198,122,983183
0.2586,2.5011,0.2618,-0.2248,4314267,19818,905,583,1966409,46,4313950
0.8,1.1461,0.4286,-0.2601,2488282,78,10,14,7387,79,2488268
0.2307,2.3222,0.1191,-0.0525,695788,17706,802,537,2147442,24,695578
0.6667,1.0792,0.1667,-0.5227,2824741,76,15,12,4643,43,2824729
0.3636,1.4914,0.7419,-0.1231,1155025,190,22,31,21326,95,1154994
0.6923,1.0414,0.1818,-0.2014,2082338,60,13,11,6133,91,2082327
0.3636,1.5563,0.5556,-0.2489,3632989,308,44,44,29612,82,3632953
0.4706,1.2305,0.5294,-0.0263,639507,81,17,17,10095,113,639490
1.0,1.3617,0.6087,-0.2395,2128907,171,9,23,16645,77,2128884
0.8182,0.9031,-0.1111,-0.2435,945557,52,11,8,5035,81,945549
0.7345,1.7324,-0.5846,-0.1558,7318440,4071,177,99,439881,56,7318386
0.8,1.0414,-0.0833,-0.1562,2946700,110,15,11,11881,83,2946689
0.4643,1.3802,0.4583,-0.0809,548953,170,28,25,20000,105,548929
0.2164,2.233,-0.0058,-0.0886,1253240,13975,795,441,1630309,29,1253069
0.8298,1.7781,-0.6154,-0.19,555021,5970,188,118,618937,43,554961
0.2066,2.2201,0.0602,-0.0944,2240365,10986,755,444,1273434,44,2240199
0.3306,1.8921,-0.025,-0.0292,1541574,1834,242,128,227896,114,1541496
0.6429,1.1761,0.4,-0.2159,877428,114,14,15,11442,81,877413
0.9048,1.2787,0.0,-0.1248,337112,262,21,19,29349,88,337093
0.8461,1.3222,0.4762,-0.1722,1214748,140,13,23,14835,82,1214727
0.1717,2.0607,0.8522,-0.0101,2020117,695,99,117,88065,111,2020002
0.5385,1.6532,0.8444,-0.1568,369415,176,13,45,18996,99,369370
0.5116,1.0792,-0.4545,-0.0012,395420,140,43,13,17898,118,395408
0.1299,2.444,0.8921,-0.0974,9831856,2962,231,284,342202,101,9831578
0.2652,2.1732,-0.0261,-0.1035,1587011,11505,577,349,1320194,27,1586862
0.375,1.6128,0.6342,-0.2402,2682435,376,40,43,36566,81,2682394
0.55,1.9395,0.8736,-0.2267,100337,630,20,87,62357,64,100250
0.2551,1.9868,0.7423,-0.2654,1025473,1348,98,100,126759,81,1025376
0.6364,1.2553,-0.1429,-0.0195,856784,180,33,23,22591,119,856766
0.6848,1.6721,-0.627,-0.1879,260396,3661,184,87,380538,43,260349
0.6129,1.1761,-0.2105,-0.1737,1093492,184,31,15,19460,96,1093477
0.5454,1.3617,0.4783,-0.184,183711,201,22,23,20993,79,183688
0.6701,1.7324,-0.5909,-0.1819,189384,4130,197,98,432500,37,189330
0.6956,1.1139,-0.1875,-0.2127,1301945,85,23,16,8566,93,1301932
0.7778,0.8451,0.0,-0.1102,1074276,39,9,7,4442,101,1074269
0.3823,1.5563,0.6389,-0.1769,1115654,270,34,38,28445,96,1115618
0.3333,1.2553,0.7222,-0.1015,458941,70,15,18,8051,106,458923
0.3913,1.5185,0.7273,-0.5076,663171,167,23,33,10526,35,663138
0.2532,1.9395,0.7701,-0.3131,134190,952,79,90,83708,77,134103
0.3696,1.6021,0.575,0.0066,889721,247,46,61,31824,121,889681
0.3846,1.3222,0.7619,-0.0236,1709661,76,13,21,9498,118,1709640
0.375,1.2553,0.6667,-0.074,2413186,60,16,19,7112,110,2413168
0.2633,2.2355,-0.0058,-0.0951,1299402,11875,657,387,1375431,32,1299230
0.1471,1.9777,0.8947,-0.1147,1981483,571,68,95,64701,98,1981388
0.6875,1.1139,0.1539,-0.071,1439674,104,16,13,12367,110,1439661
0.8095,0.9031,-0.5294,-0.1634,2293208,59,21,8,6318,97,2293200
0.8461,0.9542,-0.1818,-0.1433,800972,68,13,10,7457,91,800963
0.5965,1.5051,-0.0588,0.0096,735528,337,57,43,43551,119,735496
0.7561,1.7708,-0.6194,-0.1911,686304,6227,205,117,644765,38,686245
0.9,1.0,-0.7222,-0.0137,214075,160,40,18,20199,117,214065
0.7391,1.0792,-0.2941,0.0305,283428,60,23,18,7914,124,283416
0.5635,1.8129,-0.6243,-0.1911,2254729,6176,307,140,639433,36,2254664
0.2448,1.7076,0.3137,-0.0197,1207040,935,143,98,117325,119,1206989
0.7857,1.0,-0.0909,-0.305,828914,68,14,10,6049,77,828904
0.6667,1.0414,0.4545,0.3223,625675,52,9,11,8801,159,625664
0.9444,1.2305,0.0,-0.2397,4212863,210,18,17,20438,48,4212846
0.6875,1.3617,0.0435,-0.2816,728304,375,32,23,34485,48,728281
0.5652,1.6628,0.1522,-0.2066,903521,1228,69,64,124716,55,903475
0.6364,1.3424,0.3636,-0.2278,2563241,173,22,23,17100,85,2563219
0.7333,0.9031,-0.2727,-0.0296,259248,51,15,13,6335,117,259240
0.2472,2.2122,-0.0686,-0.0962,1278089,13553,708,424,1567858,30,1277926
0.6168,1.1139,-0.803,0.0353,189532,350,107,39,46379,125,189519
0.5714,1.0,-0.375,-0.0777,2656867,78,28,17,9208,105,2656857
0.8333,0.9542,-0.1,-0.1688,1846289,61,12,10,6490,96,1846280
0.6413,1.8633,-0.5876,-0.1895,2854430,6450,276,143,669129,43,2854357
0.5714,1.1761,0.4667,-0.1747,3467567,64,14,15,6761,91,3467552
0.3402,1.4914,-0.0606,-0.0171,422528,419,97,47,52715,117,422497
0.2394,2.238,-0.0442,-0.092,990473,15896,756,469,1847464,22,990300
0.7301,1.6721,-0.605,-0.1948,327870,3437,163,82,354240,45,327823
0.6732,1.8195,-0.6185,-0.1902,1413720,6357,257,129,658914,41,1413654
0.5238,1.2305,-0.2273,-0.0087,895642,102,42,22,12942,114,895625
1.0,1.1139,0.3077,0.1693,435883,96,9,13,14369,128,435870
0.5714,1.3424,0.4545,-0.2787,422886,184,21,24,16987,85,422864
0.5,1.5441,0.5714,-0.1962,1294539,308,30,35,31689,79,1294504
0.7269,1.8261,-0.6127,-0.2,1740188,6855,238,142,701946,38,1740121
0.8649,1.7482,0.4286,-0.2199,360936,1467,37,68,146487,83,360880
0.56,1.3979,0.44,-0.0903,1388398,159,25,29,18514,105,1388373
0.8,0.9542,0.1111,-0.117,54905,55,10,9,6216,100,54896
0.1252,2.3463,0.6667,-0.0538,1082953,7579,591,431,917886,95,1082731
0.4479,1.9685,0.5376,-0.153,3928612,2400,96,95,260185,69,3928519
0.5,1.1761,0.4667,-0.056,726679,75,16,15,9062,104,726664
0.5,1.3617,0.6522,-0.0587,1370812,111,16,23,13374,110,1370789
0.4,1.1461,0.5714,-0.0971,745380,68,15,14,7859,106,745366
0.6154,1.301,0.6,-0.2098,1060732,110,13,20,11126,84,1060712
0.1933,2.3075,-0.0773,-0.0545,333576,21110,1138,597,2554885,21,333373
0.785,1.7708,-0.6242,-0.1902,633082,6008,200,112,622760,45,633023
0.5294,1.5185,0.7273,0.063,184383,201,17,35,27349,123,184350
0.3556,1.9685,0.6559,-0.113,851553,1784,90,99,202537,95,851460
0.3469,1.6335,0.6047,-0.2022,184498,460,49,44,46972,86,184455
0.7143,1.1461,0.2857,-0.1175,5427424,104,14,14,11748,84,5427410
0.8198,1.6721,-0.6667,-0.1857,114815,3918,172,88,408392,39,114768
0.4828,1.4914,0.5484,-0.2476,30238,268,29,31,25809,79,30207
0.7,1.0,0.3,-0.1563,4022595,61,10,10,6588,91,4022585
0.6667,0.9031,0.25,-0.0791,287972,32,9,8,3772,105,287964
0.6429,1.2041,0.4375,-0.0972,638484,114,14,17,13173,94,638468
0.7778,1.0414,0.3636,0.3654,106180,34,9,12,5942,167,106169
0.8387,1.0414,-0.5769,-0.1645,1736822,120,31,18,12834,90,1736811
0.2353,1.9685,0.7419,-0.3109,2961953,1130,102,101,99671,77,2961860
0.8,1.2041,0.25,-0.1403,5916489,141,15,16,15515,99,5916473
0.6364,1.1139,0.4615,-0.144,1319076,68,11,13,7451,97,1319063
0.8947,1.1461,-0.1765,-0.2576,880535,155,19,14,14729,71,880521
0.9091,0.9542,-0.1,-0.2536,2368345,59,11,9,5637,86,2368336
0.3333,1.415,0.4615,-0.0221,762937,198,42,34,24783,118,762911
0.8461,0.9542,-0.1818,-0.2858,838663,68,13,9,6216,80,838654
0.875,1.1461,0.5,0.4569,236280,60,8,14,11189,178,236266
0.7813,1.8129,-0.5667,-0.0336,1471038,1939,192,116,239860,109,1470973
0.8125,1.0792,-0.5385,0.0043,530483,116,32,19,14912,121,530471
0.75,1.1761,0.4,-0.1958,3681252,79,12,15,8132,86,3681237
0.9375,0.9031,-0.4667,-0.1015,4072440,82,16,9,9431,100,4072432
0.375,1.5051,0.7188,-0.2268,1928773,192,24,32,19002,82,1928741
0.2414,1.6233,0.6667,-0.0085,86815,279,58,51,35410,118,86773
1.0,0.7782,0.0,-0.0881,496428,25,6,6,2918,105,496422
0.549,1.8261,-0.6012,-0.1926,2300856,6279,306,149,648910,36,2300789
1.0,0.9542,0.1111,0.2561,270711,70,8,9,11255,143,270702
0.45,1.3617,0.6087,-0.0658,1334443,156,20,23,18654,101,1334420
0.6667,1.2553,0.6667,-0.1776,5202324,85,9,18,8948,97,5202306
1.0,0.699,-0.9138,-0.0473,2295433,122,58,13,14877,116,2295428
0.4857,1.9445,-0.3529,-0.169,2606006,6381,280,166,678752,41,2605918
0.4615,1.3979,-0.4048,-0.0371,88808,383,91,58,47204,114,88783
0.45,1.4314,0.6667,-0.1667,5437060,146,20,27,15572,88,5437033
0.6756,1.8195,-0.6271,-0.1837,1946007,7038,262,133,735371,42,1945941
0.6842,1.1139,0.0,-0.0576,2126462,103,19,13,12424,112,2126449
0.771,1.7243,-0.6159,-0.1563,7754931,4396,179,100,474761,68,7754878
0.6757,1.8325,-0.6114,-0.1925,1761480,6776,259,133,700391,37,1761412
0.9091,1.301,0.5,0.1841,210956,132,11,20,20007,124,210936
0.8571,0.699,-0.1667,-0.0049,1681985,19,7,6,2420,120,1681980
0.7857,1.0,-0.0909,-0.1229,1067171,68,14,10,7634,96,1067161
0.6122,1.0792,-0.6,0.0082,1417288,156,49,17,20131,122,1417276
0.5454,1.2305,0.6471,-0.1745,3550771,71,11,17,7502,91,3550754
0.875,0.8451,0.0,-0.099,322292,33,8,7,3806,102,322285
0.1438,2.2945,0.8934,-0.112,1837460,2490,146,197,283038,19,1837263
0.8889,1.0414,0.2727,0.5237,31995,66,9,11,12872,178,31984
0.217,1.8261,0.6567,-0.154,1211795,780,106,83,84461,96,1211728
0.1931,2.1239,0.7068,-0.1407,897032,2875,202,161,316233,82,896899
0.6,1.0,-0.5238,-0.2079,4364076,106,35,22,10747,89,4364066
0.3158,1.4771,0.6,-0.1187,424112,212,38,32,23916,90,424082
1.0,0.6021,-0.5,-0.0205,1156111,21,8,5,2633,120,1156107
0.9167,1.0792,0.0833,-0.1127,335000,101,12,12,11471,81,334988
0.2615,1.6721,0.6383,-0.0924,1446835,409,65,53,47513,103,1446788
0.3543,1.8451,0.1143,0.0029,2584775,1909,175,125,245067,120,2584705
0.5,1.0,0.0,-0.0791,1137757,55,20,14,6483,109,1137747
0.3013,1.9243,-0.1064,-0.024,2013541,2795,312,171,349157,115,2013457
0.7576,1.415,0.0385,-0.2575,294091,451,33,27,42862,25,294065
0.5571,1.2787,-0.5128,-0.034,75777,384,70,42,47481,115,75758
0.9412,1.2305,0.0588,-0.154,96269,194,17,17,21009,77,96252
0.6316,1.8751,-0.5833,-0.1827,1516628,6999,285,165,732196,43,1516553
0.8571,1.0792,0.0,-0.1733,563239,114,14,12,12063,79,563227
0.7037,1.3222,0.0952,-0.4119,3824807,287,27,23,21603,27,3824786
0.7,1.0,0.3,-0.2572,807880,53,10,10,5039,81,807870
0.7174,1.301,-0.3939,-0.1004,3744552,274,46,29,31551,101,3744532
0.2955,1.8261,0.806,-0.2199,273387,677,44,67,67597,72,273320
0.2355,1.9345,0.2907,-0.0259,2315172,2160,259,149,269308,116,2315086
0.8333,1.0414,-0.2667,0.0073,1835349,83,18,12,10702,116,1835338
1.0,0.8451,0.1429,-0.1809,1362998,32,6,7,3355,98,1362991
0.6667,1.0792,0.3333,0.3751,198776,74,12,12,13025,163,198764
0.5833,1.3979,0.44,-0.112,2794911,172,24,25,19549,105,2794886
0.3413,1.9956,0.2828,-0.175,148463,3187,208,198,336567,87,148364
0.2903,1.699,0.82,-0.105,2030738,319,31,50,36546,101,2030688
0.3158,1.6233,0.7143,-0.0836,920619,264,38,42,30966,106,920577
0.4583,1.5051,0.6563,-0.1557,552815,208,24,32,22478,84,552783
0.6,1.415,0.5385,-0.2252,19841,234,20,26,23207,66,19815
0.2143,1.8389,0.8261,-0.2034,1208843,372,56,70,37930,77,1208774
0.3771,1.8062,0.6406,-0.5274,751656,521,61,67,31515,43,751592
0.45,1.4314,0.6667,-0.2987,2845256,182,20,27,16337,72,2845229
0.7707,1.6721,-0.6116,-0.1938,239088,3324,157,85,343029,42,239041
0.5333,1.1461,0.4286,-0.3512,1194814,63,15,14,5232,73,1194800
0.8,1.0414,-0.0833,-0.2826,547511,102,15,11,9367,77,547500
0.2963,1.7559,0.7193,-0.1339,267297,549,54,58,60860,94,267240
0.234,1.9395,0.7471,-0.1535,411717,787,94,94,85268,94,411630
0.5,1.415,0.6539,-0.1702,3529007,180,18,26,19118,80,3528981
0.8182,0.9031,-0.1111,-0.1151,1131524,38,11,8,4304,96,1131516
0.6316,0.9031,-0.3333,-0.0341,1458136,49,19,12,6058,118,1458128
0.3514,1.7324,0.7593,-0.2722,1809524,471,37,54,43880,62,1809470
0.1831,2.2201,0.8434,-0.2246,66362,1421,142,185,141034,47,66196
0.2857,1.7924,0.8065,-0.2663,81706,407,42,63,38223,84,81644
