school/pe.Borough,school/pe.Admin District,school/pe.Geographical District,school/pe.Location Code,school/pe.School Level ,school/pe.Student Enrollment,school/pe.Full Time Licensed PE Teachers,school/pe.F Status PE Teachers*,school/pe.Itinerant PE Teachers*,school/pe.Sum of F Status and Itinerant*,school/pe.Total Part Time and Full Time PE Teachers*,school/pe.Shared PE teachers with another school*,school/pe.Ratio of Full Time Licensed PE Teachers to Students*,DBN
Manhattan,6,6,M115,Elementary                         ,457,1,0,0,0,1,0,1:457,06M115
Staten Island,31,31,R035,Elementary                         ,381,1,0,0,0,1,0,1:381,31R035
Queens,30,30,Q212,Elementary                         ,764,1,0,0,0,1,0,1:764,30Q212
Brooklyn,18,18,K673,High School                        ,132,1,0,0,0,1,0,1:132,18K673
Manhattan,2,2,M586,High School                        ,47,1,0,0,0,1,0,1:47,02M586
Bronx,10,10,X565,High School                        ,372,3,0,0,0,3,0,1:124,10X565
Queens,24,24,Q267,High School                        ,398,2,0,0,0,2,0,1:199,24Q267
Brooklyn,20,20,K163,K-8                                ,594,1,0,0,0,1,0,1:594,20K163
Queens,27,27,Q314,High School                        ,246,1,0,0,0,1,0,1:246,27Q314
Bronx,11,11,X083,K-8                                ,1676,3,0,0,0,3,0,1:559,11X083
Manhattan,2,2,M600,High School                        ,1617,5,0,0,0,5,0,1:323,02M600
Queens,29,29,Q492,High School                        ,365,1,0,0,0,1,0,1:365,29Q492
Brooklyn,20,20,K748,Elementary                         ,547,1,0,0,0,1,0,1:547,20K748
Manhattan,5,5,M046,K-8                                ,611,1,0,0,0,1,0,1:611,05M046
Queens,29,29,Q132,Elementary                         ,337,1,0,0,0,1,0,1:337,29Q132
Bronx,9,9,X109,Elementary                         ,628,1,0,0,0,1,0,1:628,09X109
Bronx,7,7,X369,Elementary                         ,200,0,0,0,0,0,0,0,07X369
Queens,24,24,Q610,High School                        ,2079,6,0,0,0,6,0,1:347,24Q610
Bronx,7,7,X001,Elementary                         ,556,1,0,0,0,1,0,1:556,07X001
Brooklyn,21,21,K177,Elementary                         ,913,0,0,0,0,0,0,0,21K177
Brooklyn,75,15,K372,Elementary                         ,209,1,0,0,0,1,0,1:209,75K372
Brooklyn,15,15,K088,Junior High-Intermediate-Middle    ,1277,4,0,0,0,4,0,1:319,15K088
Staten Island,31,31,R049,Junior High-Intermediate-Middle    ,713,3,0,0,0,3,0,1:238,31R049
Manhattan,4,4,M037,Elementary                         ,161,0,0,0,0,0,0,0,04M037
Queens,25,25,Q540,High School                        ,284,2,0,0,0,2,0,1:142,25Q540
Bronx,11,11,X160,Elementary                         ,354,1,0,0,0,1,0,1:354,11X160
Bronx,10,10,X243,Secondary School                   ,563,3,0,0,0,3,1,1:188,10X243
Bronx,11,11,X514,High School                        ,359,2,0,0,0,2,0,1:180,11X514
Queens,25,25,Q022,Elementary                         ,822,0,0,0,0,0,0,0,25Q022
Queens,30,30,Q235,Junior High-Intermediate-Middle    ,136,1,0,0,0,1,0,1:136,30Q235
Manhattan,1,1,M034,K-8                                ,314,1,0,0,0,1,0,1:314,01M034
Brooklyn,17,17,K397,Elementary                         ,177,0,0,0,0,0,0,0,17K397
Bronx,10,10,X007,Elementary                         ,738,1,0,0,0,1,0,1:738,10X007
Bronx,7,7,X298,Junior High-Intermediate-Middle    ,246,1,0,0,0,1,0,1:246,07X298
Manhattan,1,1,M064,Elementary                         ,218,1,0,0,0,1,0,1:218,01M064
Manhattan,5,5,M030,Elementary                         ,234,2,0,0,0,2,0,1:117,05M030
Bronx,10,10,X546,High School                        ,351,1,0,0,0,1,0,1:351,10X546
Brooklyn,17,17,K399,Elementary                         ,416,1,0,0,0,1,0,1:416,17K399
Manhattan,2,2,M051,Elementary                         ,313,0,1,0,1,1,0,0,02M051
Bronx,10,10,X445,High School                        ,2971,10,0,0,0,10,0,1:297,10X445
Manhattan,5,5,M318,Elementary                         ,213,0,0,0,0,0,0,0,05M318
Manhattan,2,2,M575,High School                        ,519,3,0,0,0,3,0,1:173,02M575
Queens,30,30,Q085,Elementary                         ,540,1,0,0,0,1,0,1:540,30Q085
Queens,27,27,Q146,K-8                                ,671,1,0,0,0,1,0,1:671,27Q146
Brooklyn,13,13,K133,Elementary                         ,651,0,0,0,0,0,0,0,13K133
Brooklyn,18,18,K208,Elementary                         ,380,0,0,0,0,0,0,0,18K208
Brooklyn,19,19,K306,K-8                                ,434,2,0,0,0,2,0,1:217,19K306
Queens,24,24,Q199,Elementary                         ,895,0,0,0,0,0,0,0,24Q199
Brooklyn,17,17,K524,High School                        ,390,2,0,0,0,2,0,1:195,17K524
Staten Island,31,31,R019,Elementary                         ,574,0,0,0,0,0,0,0,31R019
Bronx,11,11,X249,High School                        ,294,0,0,0,0,0,0,0,11X249
Queens,75,26,Q177,K-12 All Grades                    ,453,5,0,0,0,5,0,1:91,75Q177
Bronx,12,12,X682,High School                        ,418,1,0,0,0,1,0,1:418,12X682
Queens,27,27,Q043,K-8                                ,797,1,0,0,0,1,0,1:797,27Q043
Staten Island,31,31,R047,High School                        ,481,2,0,0,0,2,0,1:241,31R047
Bronx,8,8,X349,High School                        ,378,1,0,0,0,1,0,1:378,08X349
Bronx,7,7,X179,Elementary                         ,305,0,0,0,0,0,0,0,07X179
Bronx,9,9,X324,Secondary School                   ,516,2,0,0,0,2,0,1:258,09X324
Bronx,7,7,X277,Elementary                         ,384,1,0,0,0,1,0,1:384,07X277
Staten Island,31,31,R060,Elementary                         ,842,0,0,0,0,0,0,0,31R060
Brooklyn,22,22,K234,Junior High-Intermediate-Middle    ,1957,6,0,0,0,6,0,1:326,22K234
Brooklyn,32,32,K549,High School                        ,350,2,0,0,0,2,0,1:175,32K549
Queens,25,25,Q670,High School                        ,703,3,0,0,0,3,0,1:234,25Q670
Bronx,9,9,X227,High School                        ,369,2,0,0,0,2,0,1:185,09X227
Bronx,11,11,X021,Elementary                         ,633,1,0,0,0,1,0,1:633,11X021
Bronx,11,11,X370,Junior High-Intermediate-Middle    ,361,2,0,0,0,2,0,1:181,11X370
Staten Island,31,31,R044,Elementary                         ,791,1,0,0,0,1,0,1:791,31R044
Brooklyn,19,19,K661,Junior High-Intermediate-Middle    ,374,1,0,0,0,1,0,1:374,19K661
Brooklyn,18,18,K588,Junior High-Intermediate-Middle    ,182,1,0,0,0,1,0,1:182,18K588
Brooklyn,75,15,K369,K-12 All Grades                    ,540,4,0,0,0,4,0,1:135,75K369
Brooklyn,17,17,K354,Junior High-Intermediate-Middle    ,196,2,0,0,0,2,0,1:98,17K354
Manhattan,5,5,M125,Elementary                         ,198,1,0,0,0,1,0,1:198,05M125
Queens,24,24,Q264,High School                        ,551,2,0,0,0,2,0,1:276,24Q264
Brooklyn,19,19,K273,Elementary                         ,288,1,0,0,0,1,0,1:288,19K273
Queens,30,30,Q301,High School                        ,534,1,0,0,0,1,0,1:534,30Q301
Brooklyn,15,15,K443,Junior High-Intermediate-Middle    ,553,0,0,0,0,0,0,0,15K443
Manhattan,2,2,M267,Elementary                         ,372,1,0,0,0,1,0,1:372,02M267
Bronx,8,8,X559,High School                        ,251,1,0,0,0,1,0,1:251,08X559
Bronx,11,11,X189,Elementary                         ,350,0,0,0,0,0,0,0,11X189
Manhattan,1,1,M515,High School                        ,419,1,0,0,0,1,0,1:419,01M515
Manhattan,4,4,M377,Junior High-Intermediate-Middle    ,136,0,0,0,0,0,0,0,04M377
Queens,26,26,Q430,High School                        ,4324,9,0,0,0,9,0,1:480,26Q430
Queens,25,25,Q252,Secondary School                   ,561,3,0,0,0,3,0,1:187,25Q252
Bronx,10,10,X434,High School                        ,399,2,0,0,0,2,1,1:200,10X434
Brooklyn,17,13,K340,Junior High-Intermediate-Middle    ,241,1,0,0,0,1,0,1:241,17K340
Brooklyn,14,14,K632,High School                        ,101,1,0,0,0,1,0,1:101,14K632
Manhattan,2,2,M343,Elementary                         ,330,1,0,0,0,1,0,1:330,02M343
Queens,30,30,Q555,High School                        ,841,5,0,0,0,5,0,1:168,30Q555
Manhattan,6,6,M210,K-8                                ,416,1,0,0,0,1,0,1:416,06M210
Brooklyn,21,21,K690,Secondary School                   ,884,5,0,0,0,5,0,1:177,21K690
Brooklyn,18,18,K566,High School                        ,201,2,0,0,0,2,0,1:101,18K566
Staten Island,31,31,R005,Elementary                         ,279,0,0,0,0,0,0,0,31R005
Queens,30,30,Q580,Secondary School                   ,515,2,0,0,0,2,0,1:258,30Q580
Bronx,12,12,X212,K-8                                ,380,2,0,0,0,2,0,1:190,12X212
Brooklyn,23,23,K522,Junior High-Intermediate-Middle    ,157,1,0,0,0,1,0,1:157,23K522
Staten Island,31,31,R058,Elementary                         ,674,1,0,0,0,1,0,1:674,31R058
Bronx,10,10,X246,Elementary                         ,710,1,0,0,0,1,0,1:710,10X246
Manhattan,6,6,M211,High School                        ,273,1,0,0,0,1,0,1:273,06M211
Brooklyn,16,16,K627,Elementary                         ,242,1,0,0,0,1,0,1:242,16K627
Bronx,8,8,X269,Secondary School                   ,606,2,0,0,0,2,0,1:303,08X269
Bronx,12,12,X098,Junior High-Intermediate-Middle    ,196,1,0,0,0,1,0,1:196,12X098
Manhattan,1,1,M020,Elementary                         ,459,1,0,0,0,1,0,1:459,01M020
Manhattan,1,1,M110,Elementary                         ,342,1,0,0,0,1,0,1:342,01M110
Bronx,7,7,X157,Elementary                         ,573,1,0,0,0,1,0,1:573,07X157
Brooklyn,23,23,K156,Elementary                         ,662,0,0,0,0,0,0,0,23K156
Brooklyn,14,14,K685,High School                        ,225,1,0,0,0,1,0,1:225,14K685
Brooklyn,13,13,K003,Elementary                         ,343,1,0,0,0,1,0,1:343,13K003
Bronx,8,8,X293,High School                        ,413,1,0,0,0,1,0,1:413,08X293
Queens,75,25,Q255,K-12 All Grades                    ,394,8,0,0,0,8,0,1:49,75Q255
Manhattan,4,4,M495,High School                        ,409,1,0,0,0,1,0,1:409,04M495
Queens,75,26,Q811,K-12 All Grades                    ,342,4,0,0,0,4,0,1:86,75Q811
Manhattan,1,1,M696,High School                        ,544,3,0,0,0,3,0,1:181,01M696
Queens,24,24,Q311,Junior High-Intermediate-Middle    ,527,2,0,0,0,2,0,1:264,24Q311
Brooklyn,20,20,K503,Elementary                         ,1060,1,0,0,0,1,0,1:1060,20K503
Staten Island,31,31,R026,Elementary                         ,220,0,0,0,0,0,0,0,31R026
Staten Island,75,31,R721,Secondary School                   ,406,4,0,0,0,4,0,1:102,75R721
Bronx,12,12,X273,Junior High-Intermediate-Middle    ,232,1,0,0,0,1,0,1:232,12X273
Brooklyn,17,23,K484,Junior High-Intermediate-Middle    ,130,1,0,0,0,1,0,1:130,17K484
Brooklyn,14,14,K126,Junior High-Intermediate-Middle    ,374,1,0,0,0,1,0,1:374,14K126
Brooklyn,13,13,K419,High School                        ,506,3,0,0,0,3,0,1:169,13K419
Brooklyn,19,19,K615,High School                        ,754,4,0,0,0,4,0,1:189,19K615
Bronx,12,12,X134,Elementary                         ,592,0,0,0,0,0,0,0,12X134
Brooklyn,20,20,K179,Elementary                         ,835,0,0,0,0,0,0,0,20K179
Manhattan,6,6,M048,Elementary                         ,529,0,0,0,0,0,0,0,06M048
Manhattan,1,1,M539,K-12 All Grades                    ,1734,6,0,0,0,6,0,1:289,01M539
Bronx,7,7,X551,Secondary School                   ,559,3,0,0,0,3,0,1:186,07X551
Bronx,11,11,X153,Elementary                         ,659,1,0,0,0,1,0,1:659,11X153
Manhattan,2,2,M124,Elementary                         ,703,0,0,0,0,0,0,0,02M124
Manhattan,2,2,M425,High School                        ,546,1,0,0,0,1,0,1:546,02M425
Bronx,8,8,X100,Elementary                         ,525,0,0,0,0,0,0,0,08X100
Manhattan,2,2,M158,Elementary                         ,673,1,0,0,0,1,0,1:673,02M158
Brooklyn,19,19,K218,Junior High-Intermediate-Middle    ,369,2,0,0,0,2,0,1:185,19K218
Manhattan,4,4,M409,High School                        ,145,1,0,0,0,1,0,1:145,04M409
Manhattan,2,2,M520,High School                        ,351,2,0,0,0,2,0,1:176,02M520
Brooklyn,20,20,K609,Secondary School                   ,541,2,0,0,0,2,0,1:271,20K609
Brooklyn,21,21,K153,Elementary                         ,453,0,0,0,0,0,0,0,21K153
Manhattan,2,2,M289,Junior High-Intermediate-Middle    ,278,0,0,1,1,1,1,0,02M289
Queens,29,29,Q283,Secondary School                   ,579,3,0,0,0,3,0,1:193,29Q283
Brooklyn,18,18,K276,Elementary                         ,548,0,0,0,0,0,0,0,18K276
Brooklyn,16,16,K584,Junior High-Intermediate-Middle    ,68,1,0,0,0,1,0,1:68,16K584
Manhattan,2,2,M114,Junior High-Intermediate-Middle    ,427,1,0,0,0,1,0,1:427,02M114
Queens,28,28,Q686,High School                        ,1031,6,0,0,0,6,0,1:172,28Q686
Bronx,10,10,X351,High School                        ,432,2,0,0,0,2,0,1:216,10X351
Brooklyn,20,20,K506,Elementary                         ,804,0,0,0,0,0,0,0,20K506
Brooklyn,18,18,K589,High School                        ,155,1,0,0,0,1,0,1:155,18K589
Brooklyn,20,20,K445,High School                        ,3434,18,0,0,0,18,0,1:191,20K445
Brooklyn,18,18,K637,High School                        ,248,2,0,0,0,2,0,1:124,18K637
Bronx,10,10,X396,Elementary                         ,296,2,0,0,0,2,0,1:148,10X396
Queens,29,29,Q265,High School                        ,457,2,0,0,0,2,0,1:229,29Q265
Bronx,11,11,X509,High School                        ,315,2,0,0,0,2,0,1:158,11X509
Bronx,9,9,X568,Secondary School                   ,374,2,0,0,0,2,0,1:187,09X568
Brooklyn,19,19,K325,Elementary                         ,199,1,0,0,0,1,0,1:199,19K325
Queens,29,29,Q116,K-8                                ,658,2,0,0,0,2,0,1:329,29Q116
Brooklyn,18,18,K268,Elementary                         ,358,0,0,0,0,0,0,0,18K268
Bronx,75,10,X188,K-12 All Grades                    ,390,5,0,0,0,5,0,1:78,75X188
Manhattan,2,2,M212,Elementary                         ,336,1,0,0,0,1,0,1:336,02M212
Brooklyn,21,21,K188,Elementary                         ,416,1,0,0,0,1,0,1:416,21K188
Manhattan,2,2,M397,K-8                                ,465,1,0,0,0,1,0,1:465,02M397
Brooklyn,13,13,K008,K-8                                ,915,1,0,0,0,1,0,1:915,13K008
Bronx,75,10,X469,Elementary                         ,233,2,0,0,0,2,0,1:117,75X469
Manhattan,4,4,M038,Elementary                         ,174,1,0,0,0,1,0,1:174,04M038
Manhattan,6,6,M319,Junior High-Intermediate-Middle    ,456,1,0,0,0,1,0,1:456,06M319
Brooklyn,13,13,K492,K-8                                ,511,1,0,0,0,1,0,1:511,13K492
Bronx,8,8,X146,Elementary                         ,353,0,0,0,0,0,0,0,08X146
Bronx,10,10,X331,Junior High-Intermediate-Middle    ,384,1,0,0,0,1,0,1:384,10X331
Brooklyn,19,19,K452,Junior High-Intermediate-Middle    ,314,1,0,0,0,1,0,1:314,19K452
Brooklyn,17,17,K770,Elementary                         ,231,1,0,0,0,1,0,1:231,17K770
Manhattan,3,2,M479,High School                        ,1277,2,0,0,0,2,0,1:639,03M479
Brooklyn,23,23,K401,Elementary                         ,227,1,0,0,0,1,0,1:227,23K401
Brooklyn,23,23,K646,High School                        ,163,2,0,0,0,2,0,1:82,23K646
Manhattan,2,2,M438,High School                        ,331,3,0,0,0,3,0,1:110,02M438
Brooklyn,19,19,K660,High School                        ,385,4,0,0,0,4,0,1:96,19K660
Manhattan,2,2,M089,Elementary                         ,366,0,0,1,1,1,1,0,02M089
Brooklyn,15,15,K010,Elementary                         ,908,1,0,0,0,1,0,1:908,15K010
Manhattan,2,2,M534,High School                        ,439,1,0,0,0,1,0,1:439,02M534
Manhattan,4,4,M155,Elementary                         ,274,1,0,0,0,1,0,1:274,04M155
Brooklyn,19,19,K422,Secondary School                   ,382,3,0,0,0,3,0,1:127,19K422
Manhattan,2,2,M139,High School                        ,363,2,0,0,0,2,1,1:182,02M139
Queens,27,27,Q260,High School                        ,292,2,0,0,0,2,0,1:146,27Q260
Bronx,10,10,X477,High School                        ,414,0,0,0,0,0,0,0,10X477
Manhattan,2,2,M280,High School                        ,260,1,1,0,1,2,1,1:260,02M280
Brooklyn,21,21,K253,Elementary                         ,823,0,0,0,0,0,0,0,21K253
Staten Island,31,31,R020,Elementary                         ,462,0,0,0,0,0,0,0,31R020
Brooklyn,20,20,K204,Elementary                         ,1126,0,0,0,0,0,0,0,20K204
Brooklyn,22,22,K405,High School                        ,3909,17,0,0,0,17,0,1:230,22K405
Manhattan,3,3,M485,High School                        ,2652,6,0,0,0,6,0,1:442,03M485
Manhattan,2,2,M580,High School                        ,499,3,0,0,0,3,0,1:166,02M580
Brooklyn,16,16,K028,Elementary                         ,138,1,0,0,0,1,0,1:138,16K028
Manhattan,2,2,M551,High School                        ,430,1,0,0,0,1,0,1:430,02M551
Manhattan,2,2,M308,High School                        ,325,1,0,0,0,1,0,1:325,02M308
Queens,27,27,Q324,High School                        ,289,2,0,0,0,2,0,1:145,27Q324
Manhattan,2,2,M422,Secondary School                   ,594,4,0,0,0,4,0,1:149,02M422
Queens,27,27,Q042,K-8                                ,625,2,0,0,0,2,0,1:313,27Q042
Bronx,10,10,X442,High School                        ,409,2,0,0,0,2,0,1:205,10X442
Brooklyn,17,17,K246,Junior High-Intermediate-Middle    ,407,1,0,0,0,1,0,1:407,17K246
Bronx,10,10,X054,Elementary                         ,406,0,0,0,0,0,0,0,10X054
Manhattan,3,3,M245,Junior High-Intermediate-Middle    ,394,0,0,0,0,0,0,0,03M245
Manhattan,5,5,M517,K-8                                ,244,1,0,0,0,1,0,1:244,05M517
Bronx,7,7,X049,Elementary                         ,572,1,0,0,0,1,0,1:572,07X049
Bronx,9,9,X329,High School                        ,257,1,0,0,0,1,0,1:257,09X329
Brooklyn,17,17,K394,K-8                                ,453,1,0,0,0,1,0,1:453,17K394
Bronx,7,7,X547,High School                        ,343,2,0,0,0,2,0,1:172,07X547
Queens,27,27,Q104,Elementary                         ,619,0,0,0,0,0,0,0,27Q104
Manhattan,2,2,M411,High School                        ,439,1,0,0,0,1,0,1:439,02M411
Brooklyn,17,17,K547,High School                        ,344,3,0,0,0,3,0,1:115,17K547
Queens,75,0,Q256,K-12 All Grades                    ,370,6,0,0,0,6,0,1:62,75Q256
Brooklyn,14,14,K561,High School                        ,648,3,0,0,0,3,0,1:216,14K561
Brooklyn,21,21,K097,Elementary                         ,772,0,0,0,0,0,0,0,21K097
Brooklyn,23,23,K514,High School                        ,174,1,0,0,0,1,0,1:174,23K514
Bronx,9,9,X215,Junior High-Intermediate-Middle    ,247,1,0,0,0,1,0,1:247,09X215
Manhattan,2,2,M418,High School                        ,652,2,0,0,0,2,0,1:326,02M418
Bronx,9,9,X274,Elementary                         ,696,1,0,0,0,1,0,1:696,09X274
Manhattan,2,2,M294,High School                        ,320,1,0,0,0,1,0,1:320,02M294
Queens,30,30,Q575,High School                        ,975,4,0,0,0,4,0,1:244,30Q575
Brooklyn,21,21,K096,Junior High-Intermediate-Middle    ,693,2,0,0,0,2,0,1:347,21K096
Staten Island,31,31,R009,Elementary                         ,222,1,0,0,0,1,0,1:222,31R009
Bronx,7,7,X025,Elementary                         ,441,0,0,0,0,0,0,0,07X025
Queens,29,29,Q248,High School                        ,427,2,0,0,0,2,0,1:214,29Q248
Queens,28,28,Q680,Secondary School                   ,693,3,0,0,0,3,0,1:231,28Q680
Queens,28,28,Q072,Junior High-Intermediate-Middle    ,419,2,0,0,0,2,0,1:210,28Q072
Brooklyn,17,17,K122,High School                        ,542,2,0,1,1,3,1,1:271,17K122
Brooklyn,15,15,K136,Junior High-Intermediate-Middle    ,462,2,0,0,0,2,0,1:231,15K136
Brooklyn,14,14,K477,High School                        ,369,2,0,0,0,2,0,1:185,14K477
Bronx,8,8,X467,Junior High-Intermediate-Middle    ,306,0,0,1,1,1,1,0,08X467
Manhattan,5,5,M194,Elementary                         ,161,1,0,0,0,1,0,1:161,05M194
Queens,28,28,Q206,Elementary                         ,530,0,0,0,0,0,0,0,28Q206
Manhattan,6,6,M178,Elementary                         ,272,1,0,0,0,1,0,1:272,06M178
Bronx,7,7,X031,K-8                                ,638,0,0,0,0,0,0,0,07X031
Staten Island,31,31,R007,Junior High-Intermediate-Middle    ,1144,2,0,0,0,2,0,1:572,31R007
Manhattan,2,2,M500,High School                        ,244,1,0,0,0,1,0,1:244,02M500
Queens,27,27,Q323,Secondary School                   ,1346,4,0,0,0,4,0,1:337,27Q323
Brooklyn,13,13,K056,Elementary                         ,177,0,0,0,0,0,0,0,13K056
Manhattan,5,5,M670,Secondary School                   ,526,2,0,0,0,2,0,1:263,05M670
Queens,28,28,Q054,Elementary                         ,554,0,0,0,0,0,0,0,28Q054
Queens,24,24,Q299,High School                        ,594,2,0,0,0,2,0,1:297,24Q299
Manhattan,2,2,M288,High School                        ,377,1,0,0,0,1,0,1:377,02M288
Manhattan,2,2,M400,High School                        ,1144,6,0,0,0,6,0,1:191,02M400
Brooklyn,20,20,K170,Elementary                         ,1015,1,0,0,0,1,0,1:1015,20K170
Manhattan,2,2,M011,Elementary                         ,884,2,0,0,0,2,0,1:442,02M011
Brooklyn,16,16,K057,Junior High-Intermediate-Middle    ,201,1,0,0,0,1,0,1:201,16K057
Queens,26,26,Q178,K-8                                ,492,1,0,0,0,1,0,1:492,26Q178
Bronx,9,9,X350,Secondary School                   ,215,1,0,0,0,1,0,1:215,09X350
Bronx,9,9,X328,Junior High-Intermediate-Middle    ,185,1,0,0,0,1,0,1:185,09X328
Brooklyn,15,15,K423,High School                        ,123,1,0,0,0,1,0,1:123,15K423
Brooklyn,14,14,K110,Elementary                         ,402,0,0,0,0,0,0,0,14K110
Brooklyn,23,23,K493,High School                        ,268,1,0,0,0,1,0,1:268,23K493
Queens,27,27,Q273,Elementary                         ,312,0,0,0,0,0,0,0,27Q273
Manhattan,1,1,M015,Elementary                         ,146,1,0,0,0,1,0,1:146,01M015
Queens,28,28,Q139,Elementary                         ,741,0,0,0,0,0,0,0,28Q139
Bronx,75,12,X352,K-8                                ,445,2,0,0,0,2,0,1:223,75X352
Manhattan,2,2,M300,High School                        ,355,1,0,0,0,1,0,1:355,02M300
Manhattan,2,2,M340,Elementary                         ,140,0,0,0,0,0,0,0,02M340
Brooklyn,19,19,K683,High School                        ,285,2,0,0,0,2,0,1:143,19K683
Manhattan,2,2,M313,High School                        ,182,1,0,0,0,1,0,1:182,02M313
Bronx,9,9,X454,Junior High-Intermediate-Middle    ,411,2,0,0,0,2,0,1:206,09X454
Brooklyn,21,21,K728,High School                        ,153,1,0,0,0,1,0,1:153,21K728
Brooklyn,13,13,K113,Junior High-Intermediate-Middle    ,309,1,0,0,0,1,0,1:309,13K113
Brooklyn,32,32,K552,High School                        ,173,1,0,0,0,1,0,1:173,32K552
Queens,24,24,Q293,High School                        ,491,1,0,0,0,1,0,1:491,24Q293
Bronx,9,9,X294,Elementary                         ,474,1,0,0,0,1,0,1:474,09X294
Brooklyn,15,15,K321,Elementary                         ,1427,1,1,0,1,2,0,1:1427,15K321
Brooklyn,18,18,K068,Junior High-Intermediate-Middle    ,378,1,0,0,0,1,0,1:378,18K068
Bronx,12,12,X321,High School                        ,103,1,0,0,0,1,0,1:103,12X321
Brooklyn,17,17,K600,High School                        ,1168,6,0,0,0,6,0,1:195,17K600
Brooklyn,21,21,K225,K-8                                ,888,1,0,0,0,1,0,1:888,21K225
Brooklyn,21,21,K540,High School                        ,2141,9,0,0,0,9,0,1:238,21K540
Queens,27,27,Q223,Elementary                         ,531,0,0,0,0,0,0,0,27Q223
Queens,25,25,Q242,Early Childhood                    ,341,0,0,0,0,0,0,0,25Q242
Bronx,9,9,X058,Elementary                         ,424,0,0,0,0,0,0,0,09X058
Queens,29,29,Q313,High School                        ,288,1,0,0,0,1,0,1:288,29Q313
Brooklyn,22,22,K134,Elementary                         ,550,0,0,0,0,0,0,0,22K134
Brooklyn,75,14,K373,High School                        ,333,2,0,0,0,2,0,1:167,75K373
Manhattan,2,2,M420,High School                        ,1709,5,0,0,0,5,0,1:342,02M420
Bronx,11,11,X544,High School                        ,411,1,0,0,0,1,0,1:411,11X544
Brooklyn,22,22,K197,Elementary                         ,559,1,0,0,0,1,0,1:559,22K197
Brooklyn,13,13,K350,High School                        ,243,1,0,0,0,1,0,1:243,13K350
Queens,27,27,Q362,Elementary                         ,476,0,0,0,0,0,0,0,27Q362
Brooklyn,17,17,K161,Elementary                         ,330,0,0,0,0,0,0,0,17K161
Queens,26,26,Q159,Elementary                         ,612,0,0,0,0,0,0,0,26Q159
Queens,24,24,Q153,Elementary                         ,1215,1,0,0,0,1,0,1:1215,24Q153
Manhattan,2,2,M225,K-8                                ,268,0,0,0,0,0,0,0,02M225
Manhattan,6,6,M322,Junior High-Intermediate-Middle    ,309,2,0,0,0,2,0,1:155,06M322
Brooklyn,17,17,K532,Elementary                         ,389,1,0,0,0,1,0,1:389,17K532
Brooklyn,15,15,K463,High School                        ,208,1,0,0,0,1,0,1:208,15K463
Bronx,75,10,X168,K-12 All Grades                    ,439,4,0,0,0,4,0,1:110,75X168
Manhattan,5,5,M285,High School                        ,188,1,0,0,0,1,0,1:188,05M285
Manhattan,5,5,M036,Elementary                         ,335,0,0,0,0,0,0,0,05M036
Manhattan,2,2,M933,Junior High-Intermediate-Middle    ,227,1,0,0,0,1,0,1:227,02M933
Staten Island,31,31,R057,Elementary                         ,601,0,0,0,0,0,0,0,31R057
Bronx,8,8,X335,Elementary                         ,242,1,0,0,0,1,0,1:242,08X335
Queens,30,30,Q151,Elementary                         ,346,0,0,0,0,0,0,0,30Q151
Manhattan,2,2,M507,High School                        ,445,2,0,0,0,2,1,1:223,02M507
Queens,25,25,Q425,High School                        ,3316,16,0,0,0,16,0,1:207,25Q425
Queens,75,30,Q277,K-12 All Grades                    ,291,7,0,0,0,7,0,1:42,75Q277
Manhattan,5,5,M692,High School                        ,459,2,0,0,0,2,0,1:230,05M692
Brooklyn,32,32,K562,Junior High-Intermediate-Middle    ,305,2,0,0,0,2,0,1:153,32K562
Queens,27,27,Q317,Elementary                         ,419,1,0,0,0,1,0,1:419,27Q317
Queens,24,24,Q211,Elementary                         ,261,1,0,0,0,1,0,1:261,24Q211
Manhattan,1,1,M142,Elementary                         ,308,1,0,0,0,1,0,1:308,01M142
Bronx,9,9,X361,Junior High-Intermediate-Middle    ,384,2,0,0,0,2,0,1:192,09X361
Queens,26,26,Q495,High School                        ,2911,11,0,0,0,11,0,1:265,26Q495
Brooklyn,21,21,K128,Elementary                         ,429,0,0,0,0,0,0,0,21K128
Brooklyn,14,14,K018,Elementary                         ,154,0,0,0,0,0,0,0,14K018
Manhattan,6,6,M028,Elementary                         ,620,0,0,0,0,0,0,0,06M028
Brooklyn,18,18,K279,Elementary                         ,385,0,0,0,0,0,0,0,18K279
Bronx,11,11,X357,Elementary                         ,231,0,0,0,0,0,0,0,11X357
Bronx,8,8,X519,High School                        ,188,1,0,0,0,1,0,1:188,08X519
Queens,27,27,Q106,Elementary                         ,173,0,0,0,0,0,0,0,27Q106
Queens,27,27,Q282,Junior High-Intermediate-Middle    ,257,1,0,0,0,1,0,1:257,27Q282
Bronx,11,11,X078,Elementary                         ,724,0,0,0,0,0,0,0,11X078
Brooklyn,19,19,K149,Elementary                         ,601,1,0,0,0,1,0,1:601,19K149
Brooklyn,19,19,K328,Elementary                         ,199,0,0,0,0,0,0,0,19K328
Queens,29,29,Q181,Elementary                         ,287,0,0,0,0,0,0,0,29Q181
Queens,24,24,Q089,Elementary                         ,1948,2,0,0,0,2,0,1:974,24Q089
Bronx,9,9,X517,High School                        ,365,0,0,0,0,0,0,0,09X517
Brooklyn,14,14,K250,Elementary                         ,505,1,0,0,0,1,0,1:505,14K250
Queens,28,28,Q328,High School                        ,426,1,0,0,0,1,0,1:426,28Q328
