school/oss.LOCATION NAME,school/oss.LOCATION CATEGORY,school/oss.ADMINISTRATIVE DISTRICT,school/oss.AMERICAN INDIAN/ALASKAN NATIVE STUDENTS With 2 or More Suspensions or Removals,school/oss.ASIAN STUDENTS With 2 or More Suspensions or Removals,school/oss.BLACK STUDENTS With 2 or More Suspensions or Removals,school/oss.HISPANIC STUDENTS With 2 or More Suspensions or Removals,school/oss.WHITE STUDENTS With 2 or More Suspensions or Removals,school/oss.MULTI-RACIAL STUDENTS With 2 or More Suspensions or Removals,school/oss.UNKNOWN STUDENTS With 2 or More Suspensions or Removals,school/oss.TOTAL STUDENTS With 2 or More Suspensions or Removals,DBN
Academy for Scholarship and Entrepreneurship: A Co,High school,11.0,*,*,10,*,*,*,*,13,11X270
P.S. 305 Dr. Peter Ray,Elementary,13.0,*,*,*,*,*,*,*,*,13K305
High School for Service & Learning at Erasmus,High school,17.0,*,*,*,*,*,*,*,15,17K539
Jacqueline Kennedy Onassis High School,High school,2.0,*,*,17,22,*,*,*,42,02M529
P.S. 018 John Peter Zenger,Elementary,7.0,*,*,*,*,*,*,*,*,07X018
P.S. 241 Emma L. Johnston,Elementary,17.0,*,*,*,*,*,*,*,*,17K241
Waterside Children's Studio School,Elementary,27.0,*,*,*,*,*,*,*,*,27Q317
M.S. 035 Stephen Decatur,Junior High-Intermediate-Middle,16.0,*,*,*,*,*,*,*,*,16K035
New Dorp High School,High school,31.0,*,*,27,10,11,*,*,49,31R440
P.S. 97 The Highlawn,Elementary,21.0,*,*,*,*,*,*,*,*,21K097
"Metropolitan High School, The",High school,12.0,*,*,8,10,*,*,*,19,12X248
P.S. 6 Corporal Allan F. Kivlehan School,Elementary,31.0,*,*,*,*,*,*,*,*,31R006
P.S. 186 Castlewood,Elementary,26.0,*,*,*,*,*,*,*,*,26Q186
J.H.S. 054 Booker T. Washington,Junior High-Intermediate-Middle,3.0,*,*,7,*,*,*,*,14,03M054
High School of Applied Communication,High school,24.0,*,*,*,*,*,*,*,*,24Q267
Bronx Green Middle School,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,*,11X326
P.S. 056 Norwood Heights,Elementary,10.0,*,*,*,*,*,*,*,*,10X056
P.S. X721 - Stephen McSweeney School,High school,75.0,*,*,*,*,*,*,*,*,75X721
P.S. 068 Bronx,Elementary,11.0,*,*,*,*,*,*,*,7,11X068
Fiorello H. LaGuardia High School of Music & Art a,High school,3.0,*,*,*,*,*,*,*,*,03M485
York Early College Academy,Secondary School,28.0,*,*,*,*,*,*,*,9,28Q284
P.S. 214,K-8,12.0,*,*,*,*,*,*,*,15,12X214
Bronx Delta School,Elementary,8.0,*,*,*,*,*,*,*,*,08X392
Emma Lazarus High School,High school,2.0,*,*,*,*,*,*,*,*,02M394
P.S. 56 The Louis Desario School,Elementary,31.0,*,*,*,*,*,*,*,*,31R056
North Queens Community High School,High school,25.0,*,*,*,*,*,*,*,*,25Q792
Office of Academic Policy,High school,2.0,*,*,*,*,*,*,*,*,02M972
Felisa Rincon de Gautier Institute for Law and Pub,High school,8.0,*,*,*,*,*,*,*,20,08X519
The Joan Snow Pre-K Center,District Pre-K Center,22.0,*,*,*,*,*,*,*,*,22K853
New Millennium Business Academy Middle School,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,6,09X328
P.S. 503: The School of Discovery,Elementary,20.0,*,*,*,*,*,*,*,*,20K503
P.S. 067 Mohegan School,Elementary,12.0,*,*,*,*,*,*,*,6,12X067
P.S. 230 Doris L. Cohen,Elementary,15.0,*,*,*,*,*,*,*,*,15K230
P.S. 108 Sal Abbracciamento,Elementary,19.0,*,*,*,*,*,*,*,*,19K108
P.S. 194 Raoul Wallenberg,Elementary,22.0,*,*,*,*,*,*,*,*,22K194
J.H.S. 145 Arturo Toscanini,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,*,09X145
P.S. 161 Arthur Ashe School,Elementary,28.0,*,*,*,*,*,*,*,*,28Q161
M.S. 250 West Side Collaborative Middle School,Junior High-Intermediate-Middle,3.0,*,*,*,*,*,*,*,*,03M250
Women's Academy of Excellence,High school,8.0,*,*,*,*,*,*,*,6,08X282
Home Schooling,Central-HQ-Citywide,10.0,*,*,*,*,*,*,*,*,10X444
Kurt Hahn Expeditionary Learning School,High school,18.0,*,*,*,*,*,*,*,22,18K569
Excelsior Preparatory High School,High school,29.0,*,*,*,*,*,*,*,19,29Q265
Essence School,Junior High-Intermediate-Middle,19.0,*,*,*,*,*,*,*,*,19K311
P.S. 171 Peter G. Van Alst,Elementary,30.0,*,*,*,*,*,*,*,*,30Q171
Bronx Regional High School,High school,12.0,*,*,*,*,*,*,*,9,12X480
Automotive High School Yabc,High school,14.0,*,*,*,*,*,*,*,*,14K923
I.S. 364 Gateway,Junior High-Intermediate-Middle,19.0,*,*,*,*,*,*,*,*,19K364
School for International Studies,Secondary School,15.0,*,*,*,*,*,*,*,*,15K497
P.S. 050 Clara Barton,Elementary,12.0,*,*,*,*,*,*,*,*,12X050
Satellite Academy High School,High school,2.0,*,*,*,*,*,*,*,*,02M570
P.S. 162 John Golden,Elementary,26.0,*,*,*,*,*,*,*,*,26Q162
Corona Arts and Sciences Academy,Junior High-Intermediate-Middle,24.0,*,*,*,*,*,*,*,*,24Q311
J.H.S. 218 James P. Sinnott,Junior High-Intermediate-Middle,19.0,*,*,*,*,*,*,*,6,19K218
Young Voices Academy of the Bronx,Elementary,11.0,*,*,*,*,*,*,*,*,11X357
P.S. 099 Kew Gardens,Elementary,28.0,*,*,*,*,*,*,*,*,28Q099
I.S. 392,Junior High-Intermediate-Middle,23.0,*,*,*,*,*,*,*,*,23K392
P.S. 160 Walt Disney,Elementary,11.0,*,*,*,*,*,*,*,*,11X160
Paula Hedbavny School,K-8,6.0,*,*,*,*,*,*,*,*,06M278
Gotham Professional Arts Academy,High school,16.0,*,*,*,*,*,*,*,*,16K594
Academy for Environmental Leadership,High school,32.0,*,*,*,*,*,*,*,9,32K403
Sixth Avenue Elementary School,Elementary,2.0,*,*,*,*,*,*,*,*,02M340
47 The American Sign Language and English Secondar,High school,2.0,*,*,*,*,*,*,*,*,02M047
P.S. K753 - School for Career Development,High school,75.0,*,*,*,*,*,*,*,*,75K753
Union Square Academy for Health Sciences,High school,2.0,*,*,*,*,*,*,*,*,02M533
P.S. 250 George H. Lindsay,Elementary,14.0,*,*,*,*,*,*,*,*,14K250
P.S. X012 Lewis and Clark School,Secondary School,75.0,*,*,*,*,*,*,*,*,75X012
"Mathematics, Science Research and Technology Magne",High school,29.0,*,*,*,*,*,*,*,*,29Q492
Gaynor McCown Expeditionary Learning School,High school,31.0,*,*,*,*,*,*,*,*,31R064
International High School at Prospect Heights,High school,17.0,*,*,*,*,*,*,*,*,17K524
P.S. 149 Sojourner Truth,K-8,3.0,*,*,*,*,*,*,*,6,03M149
P.S./I.S. 210 - Twenty-first Century Academy for C,K-8,6.0,*,*,*,*,*,*,*,*,06M210
I.S. 347 School of Humanities,Junior High-Intermediate-Middle,32.0,*,*,*,*,*,*,*,*,32K347
P.S. 249 The Caton,Elementary,17.0,*,*,*,*,*,*,*,*,17K249
Jill Chaifetz Transfer High School,High school,7.0,*,*,*,*,*,*,*,*,07X379
High School for Teaching and the Professions,High school,10.0,*,*,*,8,*,*,*,11,10X433
P.S. 158 Warwick,Elementary,19.0,*,*,*,*,*,*,*,*,19K158
P.S. 145 Andrew Jackson,Elementary,32.0,*,*,*,*,*,*,*,*,32K145
P.S. 397 Foster-Laurie,Elementary,17.0,*,*,*,*,*,*,*,*,17K397
Queens Explorers Elementary School,Elementary,27.0,*,*,*,*,*,*,*,*,27Q316
P.S. 245,Elementary,22.0,*,*,*,*,*,*,*,*,22K245
Conselyea Preparatory School,Junior High-Intermediate-Middle,14.0,*,*,*,*,*,*,*,*,14K577
Eagle Academy for Young Men,Secondary School,9.0,*,*,*,*,*,*,*,*,09X231
P.S. 093 Albert G. Oliver,Elementary,8.0,*,*,*,*,*,*,*,*,08X093
P.S. 157 Grove Hill,Elementary,7.0,*,*,*,*,*,*,*,*,07X157
FDNY High School for Fire and Life Safety,High school,19.0,*,*,9,*,*,*,*,10,19K502
P.S. 152 Gwendoline N. Alleyne School,Elementary,30.0,*,*,*,*,*,*,*,*,30Q152
P.S. 020 Port Richmond,Elementary,31.0,*,*,*,*,*,*,*,*,31R020
P.S. 206 Joseph F Lamb,K-8,22.0,*,*,*,*,*,*,*,*,22K206
P.S. 297 Abraham Stockton,Elementary,14.0,*,*,*,*,*,*,*,*,14K297
The Richmond Pre-K Center,District Pre-K Center,31.0,*,*,*,*,*,*,*,*,31R066
Benjamin Banneker Academy,High school,13.0,*,*,*,*,*,*,*,*,13K670
P.S. 043 Jonas Bronck,Elementary,7.0,*,*,*,*,*,*,*,*,07X043
P.S. 163 Bath Beach,K-8,20.0,*,*,*,*,*,*,*,*,20K163
I.S. 528 Bea Fuller Rodgers School,Junior High-Intermediate-Middle,6.0,*,*,*,*,*,*,*,*,06M528
P.S./I.S. 266,K-8,26.0,*,*,*,*,*,*,*,*,26Q266
P.S. 327 Dr. Rose B. English,K-8,23.0,*,*,*,*,*,*,*,*,23K327
I.S. 010 Horace Greeley,Junior High-Intermediate-Middle,30.0,*,*,10,15,*,*,*,31,30Q010
P.S. 166 The Richard Rodgers School of The Arts an,Elementary,3.0,*,*,*,*,*,*,*,*,03M166
P.S. 188 The Island School,K-8,1.0,*,*,*,*,*,*,*,10,01M188
P.S. 199 Jessie Isador Straus,Elementary,3.0,*,*,*,*,*,*,*,*,03M199
New World High School,High school,11.0,*,*,*,*,*,*,*,*,11X513
The Urban Assembly Institute for New Technologies,Junior High-Intermediate-Middle,5.0,*,*,*,*,*,*,*,*,05M410
District 28 Pre-K Center,District Pre-K Center,28.0,*,*,*,*,*,*,*,*,28Q335
I.S. 119 The Glendale,K-8,24.0,*,*,*,10,*,*,*,15,24Q119
P.S. 134 George F. Bristow,Elementary,12.0,*,*,*,*,*,*,*,*,12X134
Academy for Social Action,High school,5.0,*,*,*,*,*,*,*,*,05M367
P.S. 176 Ovington,Elementary,20.0,*,*,*,*,*,*,*,*,20K176
Liberty High School Academy for Newcomers,High school,2.0,*,*,*,*,*,*,*,*,02M550
Luisa Pineiro Fuentes School of Science and Discov,Elementary,10.0,*,*,*,*,*,*,*,*,10X307
P.S. 094 The Henry Longfellow,Elementary,15.0,*,*,*,*,*,*,*,*,15K094
Queens Metropolitan High School,High school,28.0,*,*,*,*,*,*,*,14,28Q686
P.S. Q255,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75Q255
P.S./I.S. 30 Mary White Ovington,K-8,20.0,*,*,*,*,*,*,*,11,20K030
Ampark Neighborhood,Elementary,10.0,*,*,*,*,*,*,*,*,10X344
Urban Assembly New York Harbor School,High school,2.0,*,*,*,*,*,*,*,9,02M551
P.S. 017 Henry David Thoreau,Elementary,30.0,*,*,*,*,*,*,*,*,30Q017
P.S. 207,Early Childhood,10.0,*,*,*,*,*,*,*,*,10X207
Global Neighborhood Secondary School,Junior High-Intermediate-Middle,4.0,*,*,*,*,*,*,*,6,04M381
P.S. 054 Samuel C. Barnes,Elementary,13.0,*,*,*,*,*,*,*,*,13K054
P.S. 153 Homecrest,Elementary,21.0,*,*,*,*,6,*,*,10,21K153
Bronx Community High School,High school,8.0,*,*,*,*,*,*,*,6,08X377
P.S./M.S. 029 Melrose School,K-8,7.0,*,*,7,9,*,*,*,19,07X029
M.S. K394,K-8,17.0,*,*,*,*,*,*,*,*,17K394
Bronx Guild,High school,8.0,*,*,*,*,*,*,*,*,08X452
Mark Twain I.S. 239 for the Gifted & Talented,Junior High-Intermediate-Middle,21.0,*,*,*,*,*,*,*,*,21K239
P.S. 089 Cypress Hills,K-8,19.0,*,*,*,11,*,*,*,13,19K089
M.S. 061 Dr. Gladstone H. Atwell,Junior High-Intermediate-Middle,17.0,*,*,7,*,*,*,*,8,17K061
P.S. 069 Daniel D. Tompkins,Elementary,31.0,*,*,*,*,*,*,*,*,31R069
Monroe Academy for Visual Arts & Design,High school,12.0,*,*,*,*,*,*,*,7,12X692
P.S. 452,Elementary,3.0,*,*,*,*,*,*,*,*,03M452
P.S. 109 Sedgwick,Elementary,9.0,*,*,*,*,*,*,*,*,09X109
Fordham High School for the Arts,High school,10.0,*,*,*,*,*,*,*,*,10X437
P.S. 008 Isaac Varian,Elementary,10.0,*,*,*,*,*,*,*,6,10X008
P.S. 103 Hector Fontanez,Elementary,11.0,*,*,*,*,*,*,*,*,11X103
P.S. Q222 - Fire Fighter Christopher A. Santora Sc,Early Childhood,30.0,*,*,*,*,*,*,*,*,30Q222
Frank Sinatra School of the Arts High School,High school,30.0,*,*,*,*,*,*,*,*,30Q501
P.S. 034 Franklin D. Roosevelt,K-8,1.0,*,*,*,*,*,*,*,14,01M034
P.S. 290 Juan Morel Campos,Elementary,19.0,*,*,*,*,*,*,*,*,19K290
P.S. 053 The Barbara Esselborn School,Elementary,31.0,*,*,*,*,*,*,*,*,31R053
Leadership Institute,High school,9.0,*,*,*,*,*,*,*,*,09X276
P.S. 001 Courtlandt School,Elementary,7.0,*,*,*,*,*,*,*,*,07X001
P.S. 064 Robert Simon,Elementary,1.0,*,*,*,*,*,*,*,*,01M064
Mosaic Preparatory Academy,Elementary,4.0,*,*,*,*,*,*,*,*,04M375
P.S. 291,Elementary,10.0,*,*,*,*,*,*,*,*,10X291
The Fresh Creek School,Elementary,19.0,*,*,*,*,*,*,*,*,19K325
P.S. 041 Greenwich Village,Elementary,2.0,*,*,*,*,*,*,*,*,02M041
Bronx Academy for Software Engineering (BASE),High school,10.0,*,*,*,8,*,*,*,13,10X264
P.S. 129 John H. Finley,K-8,5.0,*,*,*,*,*,*,*,*,05M129
Robert E. Peary School,K-8,75.0,*,*,*,*,*,*,*,*,75Q075
High School for Dual Language and Asian Studies,High school,2.0,*,*,*,*,*,*,*,*,02M545
P.S. 148 Queens,Elementary,30.0,*,*,*,*,*,*,*,*,30Q148
The Bellaire School,Elementary,29.0,*,*,11,*,*,*,*,13,29Q135
P.S. 233 Langston Hughes,Elementary,18.0,*,*,*,*,*,*,*,*,18K233
Mott Hall III,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,*,09X128
Brooklyn Arts and Science Elementary School,Elementary,17.0,*,*,8,*,*,*,*,11,17K705
P.S. 239,Elementary,24.0,*,*,*,*,*,*,*,*,24Q239
Academy for Young Writers,Secondary School,19.0,*,*,23,*,*,*,*,27,19K404
P.S. 35 The Clove Valley School,Elementary,31.0,*,*,*,*,*,*,*,*,31R035
East Fordham Academy for the Arts,Junior High-Intermediate-Middle,10.0,*,*,*,*,*,*,*,*,10X459
P.S. 212,Elementary,30.0,*,*,*,*,*,*,*,*,30Q212
South Richmond High School I.S./P.S. 25,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75R025
P.S. 006 West Farms,Elementary,12.0,*,*,*,*,*,*,*,*,12X006
P.S. 064 Pura Belpre,Elementary,9.0,*,*,*,*,*,*,*,*,09X064
P.S. 65 The Academy of Innovative Learning,Elementary,31.0,*,*,*,*,*,*,*,*,31R065
P.S. 100 Isaac Clason,Elementary,8.0,*,*,*,*,*,*,*,*,08X100
P.S. 214 Cadwallader Colden,Elementary,25.0,*,*,*,*,*,*,*,*,25Q214
High School for Media and Communications,High school,6.0,*,*,*,*,*,*,*,*,06M463
P.S. X114 - Luis Llorens Torres Schools,Elementary,9.0,*,*,*,*,*,*,*,*,09X114
Home Schooling,Central-HQ-Citywide,25.0,*,*,*,*,*,*,*,*,25Q444
A. Philip Randolph Campus High School,High school,6.0,*,*,*,*,*,*,*,15,06M540
J.H.S. 143 Eleanor Roosevelt,Junior High-Intermediate-Middle,6.0,*,*,*,12,*,*,*,13,06M143
Madiba Prep Middle School,Junior High-Intermediate-Middle,16.0,*,*,*,*,*,*,*,*,16K681
P.S. 184 Newport,K-8,23.0,*,*,*,*,*,*,*,*,23K184
P.S. 048 William Wordsworth,Elementary,28.0,*,*,*,*,*,*,*,*,28Q048
Bronx Compass High School,High school,8.0,*,*,*,*,*,*,*,*,08X561
P.S. 315 Lab School,K-8,10.0,*,*,*,*,*,*,*,*,10X315
P.S. 019 Judith K. Weiss,K-8,11.0,*,*,*,*,*,*,*,*,11X019
Home Schooling,Central-HQ-Citywide,75.0,*,*,*,*,*,*,*,*,75Q444
P.S. 036 Unionport,Elementary,8.0,*,*,*,*,*,*,*,*,08X036
P.S. 58 - The School of Heroes,Elementary,24.0,*,*,*,*,*,*,*,*,24Q058
P.S. 081 Thaddeus Stevens,Elementary,16.0,*,*,*,*,*,*,*,*,16K081
Liberty Avenue Middle School,Junior High-Intermediate-Middle,19.0,*,*,*,*,*,*,*,*,19K662
P.S. 050 Talfourd Lawn Elementary School,Elementary,28.0,*,*,*,*,*,*,*,*,28Q050
Brooklyn Frontiers High School,High school,15.0,*,*,16,*,*,*,*,19,15K423
Manhattan Center for Science and Mathematics,High school,4.0,*,*,*,*,*,*,*,*,04M435
I.S. 211 John Wilson,Junior High-Intermediate-Middle,18.0,*,*,*,*,*,*,*,44,18K211
P.S. 204 Vince Lombardi,Elementary,20.0,*,*,*,*,*,*,*,*,20K204
Home Schooling,Central-HQ-Citywide,29.0,*,*,*,*,*,*,*,*,29Q444
Academy for College Preparation and Career Explora,Secondary School,17.0,*,*,26,*,*,*,*,31,17K382
P.S. 234 Independence School,Elementary,2.0,*,*,*,*,*,*,*,*,02M234
M.S. 302 Luisa Dessus Cruz,Junior High-Intermediate-Middle,8.0,*,*,*,*,*,*,*,9,08X302
Bronx High School of Science,High school,10.0,*,*,*,*,*,*,*,*,10X445
East Side Community School,Secondary School,1.0,*,*,*,*,*,*,*,*,01M450
P.S. 096 Joseph Lanzetta,K-8,4.0,*,*,10,6,*,*,*,19,04M096
Bayside High School,High school,26.0,*,*,*,*,*,*,*,8,26Q495
Richard R. Green High School of Teaching,High school,2.0,*,*,8,*,*,*,*,13,02M580
Jonas Bronck Academy,Junior High-Intermediate-Middle,10.0,*,*,*,*,*,*,*,7,10X228
P.S. 029 John M. Harrigan,Elementary,15.0,*,*,*,*,*,*,*,9,15K029
P.S. K369 - Coy L. Cox School,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75K369
Upper School @ P.S. 25,Junior High-Intermediate-Middle,16.0,*,*,*,*,*,*,*,*,16K534
P.S. 277,Elementary,7.0,*,*,*,*,*,*,*,6,07X277
Fort Hill Collaborative Elementary School,Elementary,31.0,*,*,*,*,*,*,*,*,31R010
P.S. 018 Park Terrace,K-8,6.0,*,*,*,*,*,*,*,*,06M018
Learners and Leaders,Elementary,24.0,*,*,*,*,*,*,*,*,24Q305
P.S. 69 Vincent D. Grippo School,Elementary,20.0,*,*,*,*,*,*,*,*,20K069
Goldie Maple Academy,K-8,27.0,*,*,*,*,*,*,*,*,27Q333
P.S. 013 M. L. Lindemeyer,Elementary,31.0,*,*,*,*,*,*,*,*,31R013
Collegiate Institute for Math and Science,High school,11.0,*,*,*,*,*,*,*,11,11X288
Aspirations Diploma Plus High School,High school,23.0,*,*,*,*,*,*,*,*,23K646
Susan E. Wagner High School,High school,31.0,*,*,31,34,19,*,*,85,31R460
Eagle Academy for Young Men II,Secondary School,23.0,*,*,*,*,*,*,*,*,23K644
P.S. 190 Sheffield,Elementary,19.0,*,*,*,*,*,*,*,*,19K190
P.S. X015 Institute for Environmental Learning,K-8,10.0,*,*,*,*,*,*,*,*,10X015
P.S. 028 Wright Brothers,Elementary,6.0,*,*,*,*,*,*,*,*,06M028
Brooklyn Theatre Arts High School,High school,18.0,*,*,13,*,*,*,*,14,18K567
P.S. 251 Paerdegat,Elementary,22.0,*,*,*,*,*,*,*,11,22K251
Urban Assembly School for Careers in Sports,High school,7.0,*,*,*,*,*,*,*,*,07X548
J.H.S. 008 Richard S. Grossley,Junior High-Intermediate-Middle,28.0,*,*,*,*,*,*,*,9,28Q008
P.S./M.S. 194,K-8,11.0,*,*,*,7,*,*,*,12,11X194
P.S. 020 Anna Silver,Elementary,1.0,*,*,*,*,*,*,*,*,01M020
P.S. 110 Florence Nightingale,Elementary,1.0,*,*,*,*,*,*,*,*,01M110
Home Schooling,Central-HQ-Citywide,6.0,*,*,*,*,*,*,*,*,06M444
P.S. 284 Lew Wallace,K-8,23.0,*,*,6,*,*,*,*,8,23K284
J.H.S. 223 The Montauk,Junior High-Intermediate-Middle,20.0,*,*,*,7,*,*,*,13,20K223
P.S. 057 Crescent,Elementary,12.0,*,*,*,*,*,*,*,*,12X057
Mott Haven Community High School,High school,7.0,*,*,*,*,*,*,*,*,07X557
Hospital Schools - Staten Island,Ungraded,75.0,*,*,*,*,*,*,*,*,75R405
P.S. 146 Ann M. Short,Elementary,4.0,*,*,*,*,*,*,*,6,04M146
I.S. 340,Junior High-Intermediate-Middle,17.0,*,*,*,*,*,*,*,*,17K340
Lower East Side Preparatory High School,High school,1.0,*,*,*,*,*,*,*,*,01M515
Newtown High School,High school,24.0,*,*,*,*,*,*,*,*,24Q455
P.S. 095 Sheila Mencher,K-8,10.0,*,*,*,10,*,*,*,16,10X095
P.S. 046 Albert V. Maniscalco,Elementary,31.0,*,*,*,*,*,*,*,*,31R046
P.S. 181 Brooklyn,K-8,17.0,*,*,*,*,*,*,*,11,17K181
C Columbus Hs Yabc,High school,11.0,*,*,*,*,*,*,*,*,11X417
P.S. 346 Abe Stark,Elementary,19.0,*,*,*,*,*,*,*,*,19K346
P.S. 011 Purvis J. Behan,Elementary,13.0,*,*,*,*,*,*,*,*,13K011
Kappa III,Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,*,12X316
Home Schooling,Central-HQ-Citywide,30.0,*,*,*,*,*,*,*,*,30Q444
Concord High School,High school,31.0,*,*,*,*,*,*,*,*,31R470
Bronx High School for Writing and Communication Ar,High school,11.0,*,*,11,*,*,*,*,16,11X253
P.S. 134 Henrietta Szold,Elementary,1.0,*,*,*,*,*,*,*,*,01M134
Thurgood Marshall Academy Lower School,Elementary,5.0,*,*,*,*,*,*,*,*,05M318
Frances Perkins Academy,High school,14.0,*,*,9,*,*,*,*,11,14K632
Forsyth Satellite Academy,High school,1.0,*,*,*,*,*,*,*,*,01M458
P.S. 179,Elementary,7.0,*,*,*,*,*,*,*,*,07X179
Belmont Preparatory High School,High school,10.0,*,*,*,*,*,*,*,*,10X434
P.S. 111 Adolph S. Ochs,Elementary,2.0,*,*,*,*,*,*,*,*,02M111
I.S. 237,Junior High-Intermediate-Middle,25.0,*,*,*,*,*,*,*,8,25Q237
Eleanor Roosevelt High School,High school,2.0,*,*,*,*,*,*,*,*,02M416
Bronx Haven High School,High school,7.0,*,*,*,*,*,*,*,*,07X381
Stephen T. Mather Building Arts & Craftsmanship Hi,High school,2.0,*,*,*,8,*,*,*,11,02M139
P.S. 046 Arthur Tappan,K-8,5.0,*,*,9,*,*,*,*,13,05M046
P.S. 108 Assemblyman Angelo Del Toro Educational C,K-8,4.0,*,*,9,*,*,*,*,14,04M108
Manhattan International High School,High school,2.0,*,*,*,*,*,*,*,*,02M459
P.S. 215 Morris H. Weiss,Elementary,21.0,*,*,*,*,*,*,*,*,21K215
M.S. 137 America's School of Heroes,Junior High-Intermediate-Middle,27.0,*,7,*,14,*,*,*,28,27Q137
School for Legal Studies,High school,14.0,*,*,7,*,*,*,*,11,14K477
The River School,Elementary,2.0,*,*,*,*,*,*,*,*,02M281
P.S. 032 Samuel Mills Sprole,Elementary,15.0,*,*,*,*,*,*,*,*,15K032
P.S. 360,Elementary,29.0,*,*,*,*,*,*,*,*,29Q360
Essex Street Academy,High school,2.0,*,*,*,*,*,*,*,*,02M294
J.H.S. 220 John J. Pershing,Junior High-Intermediate-Middle,20.0,*,*,*,*,*,*,*,*,20K220
P.S. 89,Elementary,2.0,*,*,*,*,*,*,*,*,02M089
P.S. 015 Jackie Robinson,Elementary,29.0,*,*,*,*,*,*,*,6,29Q015
P.S. 091 Bronx,Elementary,10.0,*,*,*,*,*,*,*,*,10X091
Young Women's Leadership School,Secondary School,4.0,*,*,*,*,*,*,*,*,04M610
The STEAM Bridge School,Elementary,11.0,*,*,*,*,*,*,*,*,11X481
J.H.S. 185 Edward Bleeker,Junior High-Intermediate-Middle,25.0,*,*,*,*,*,*,*,13,25Q185
J.H.S. 067 Louis Pasteur,Junior High-Intermediate-Middle,26.0,*,*,*,*,*,*,*,*,26Q067
Adult and Continuing Education,High school,79.0,*,*,*,*,*,*,*,*,79K755
Bronx Engineering and Technology Academy,High school,10.0,*,*,*,*,*,*,*,*,10X213
John Dewey High School,High school,21.0,*,*,13,*,*,*,*,20,21K540
P.S. 066 Jacqueline Kennedy Onassis,Elementary,27.0,*,*,*,*,*,*,*,*,27Q066
P.S. 096 Richard Rodgers,Elementary,11.0,*,*,*,*,*,*,*,*,11X096
Validus Preparatory Academy: An Expeditionary Lear,High school,9.0,*,*,6,*,*,*,*,9,09X263
Queens Academy High School,High school,25.0,*,*,*,*,*,*,*,*,25Q540
Brooklyn Arbor Elementary School,Elementary,14.0,*,*,*,*,*,*,*,*,14K414
P.S. 136 Roy Wilkins,Elementary,29.0,*,*,*,*,*,*,*,*,29Q136
Home Instruction - S.I.,Ungraded,75.0,*,*,*,*,*,*,*,*,75R505
J.H.S. 217 Robert A. Van Wyck,Junior High-Intermediate-Middle,28.0,*,*,6,*,*,*,*,14,28Q217
Yorkville East Middle School,Junior High-Intermediate-Middle,2.0,*,*,*,*,*,*,*,*,02M177
P.S. 253,Elementary,21.0,*,*,*,*,*,*,*,*,21K253
NYC iSchool,High school,2.0,*,*,*,*,*,*,*,*,02M376
P.S. 061 Francisco Oller,Elementary,12.0,*,*,*,*,*,*,*,*,12X061
Brownsville Academy High School,High school,17.0,*,*,14,*,*,*,*,16,17K568
P.S. 131 Abigail Adams,Elementary,29.0,*,*,*,*,*,*,*,*,29Q131
Beacon High School,High school,3.0,*,*,*,*,*,*,*,*,03M479
P.S. 132 Juan Pablo Duarte,Elementary,6.0,*,*,*,*,*,*,*,*,06M132
Emolior Academy,Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,*,12X383
Brooklyn Institute for Liberal Arts,High school,17.0,*,*,*,*,*,*,*,*,17K745
Bronx Leadership Academy II High School,High school,7.0,*,*,*,6,*,*,*,10,07X527
P.S. 28 - The Thomas Emanuel Early Childhood Cente,Early Childhood,24.0,*,*,*,*,*,*,*,*,24Q028
J.H.S. 080 The Mosholu Parkway,Junior High-Intermediate-Middle,10.0,*,*,*,*,*,*,*,8,10X080
Grover Cleveland High School,High school,24.0,*,*,6,28,*,*,*,39,24Q485
Bushwick Community High School,High school,32.0,*,*,*,*,*,*,*,*,32K564
Evergreen Middle School for Urban Exploration,Junior High-Intermediate-Middle,32.0,*,*,*,*,*,*,*,*,32K562
West Brooklyn Community High School,High school,15.0,*,*,*,*,*,*,*,*,15K529
"High School for Arts, Imagination and Inquiry",High school,3.0,*,*,10,*,*,*,*,14,03M299
P.S. 123,Elementary,27.0,*,*,*,*,*,*,*,*,27Q123
P.S. 8 Shirlee Solomon,Elementary,31.0,*,*,*,*,*,*,*,*,31R008
Quest to Learn,Secondary School,2.0,*,*,*,8,*,*,*,16,02M422
P.S. 091 Richard Arkwright,Elementary,24.0,*,*,*,*,*,*,*,*,24Q091
Aviation Career & Technical Education High School,High school,24.0,*,*,*,*,*,*,*,*,24Q610
P.S. 051 Elias Howe,Elementary,2.0,*,*,*,*,*,*,*,*,02M051
The Urban Assembly School for Law and Justice,High school,13.0,*,*,7,*,*,*,*,9,13K483
Urban Assembly Gateway School for Technology,High school,2.0,*,*,*,*,*,*,*,*,02M507
Tag Young Scholars,K-8,4.0,*,*,*,*,*,*,*,*,04M012
