school/qr.School Year,school/qr.Overall Rating,DBN
SY07-08,WD,12X196
SY07-08,WD,27Q183
SY07-08,P,05M286
SY10-11,P,15K429
SY07-08,WD,13K499
SY06-07,WD,20K490
SY06-07,P,30Q127
SY06-07,P,30Q017
SY07-08,P,21K410
SY 11-12,D,26Q435
SY06-07,WD,25Q130
SY07-08,UPF,29Q109
SY06-07,P,31R057
SY08-09,WD,75X754
SY10-11,P,02M605
SY08-09,P,25Q193
SY10-11,WD,21K101
SY07-08,P,75K373
SY06-07,WD,02M167
SY06-07,P,04M096
SY07-08,WD,11X111
SY08-09,P,14K050
SY06-07,U,21K288
SY07-08,WD,07X551
SY08-09,U,15K530
SY06-07,P,15K462
SY07-08,P,75M094
SY09-10,WD,02M407
SY07-08,P,25Q120
SY07-08,WD,02M489
SY07-08,WD,15K131
SY07-08,UPF,04M635
SY07-08,WD,25Q079
SY07-08,WD,20K105
SY06-07,U,03M246
SY10-11,D,11X178
SY06-07,P,02M006
SY06-07,U,21K096
SY08-09,P,10X243
SY07-08,P,30Q445
SY10-11,P,29Q195
SY06-07,P,32K551
SY10-11,P,14K577
SY08-09,P,09X328
SY07-08,P,29Q195
SY09-10,P,25Q425
SY08-09,P,11X089
SY10-11,P,24Q087
SY07-08,P,11X106
SY06-07,P,21K348
SY06-07,P,27Q096
SY06-07,P,11X135
SY06-07,P,23K323
SY07-08,WD,24Q113
SY10-11,U,24Q455
SY06-07,P,31R470
SY07-08,WD,30Q575
SY09-10,WD,31R046
SY06-07,P,10X308
SY 11-12,P,22K194
SY07-08,WD,27Q053
SY 11-12,U,32K545
SY 11-12,P,25Q163
SY06-07,WD,11X076
SY07-08,WD,31R005
SY08-09,WD,10X081
SY06-07,P,12X684
SY07-08,WD,10X059
SY07-08,WD,11X180
SY 11-12,P,10X008
SY06-07,WD,28Q121
SY07-08,WD,24Q058
SY10-11,D,31R014
SY06-07,WD,75X188
SY07-08,WD,24Q081
SY06-07,WD,28Q082
SY08-09,P,19K260
SY07-08,P,32K551
SY06-07,WD,15K131
SY07-08,WD,17K249
SY06-07,P,12X158
SY06-07,WD,25Q154
SY06-07,P,04M206
SY08-09,UPF,21K344
SY07-08,WD,02M225
SY06-07,P,32K075
SY 11-12,P,30Q145
SY07-08,WD,09X250
SY 11-12,P,09X035
SY06-07,WD,03M180
SY 11-12,D,17K091
SY06-07,P,75X811
SY06-07,WD,02M041
SY09-10,P,02M615
SY 11-12,WD,18K563
SY10-11,P,02M313
SY09-10,P,20K223
SY07-08,WD,07X005
SY07-08,P,27Q215
SY 11-12,D,02M544
SY07-08,O,03M009
SY06-07,WD,75M226
SY07-08,WD,08X530
SY06-07,P,06M223
SY10-11,P,28Q182
SY08-09,WD,14K586
SY07-08,WD,02M570
SY07-08,WD,28Q217
SY09-10,WD,02M519
SY09-10,P,17K533
SY07-08,WD,07X223
SY06-07,WD,26Q173
SY06-07,WD,02M040
SY09-10,WD,19K510
SY10-11,P,06M187
SY07-08,P,06M346
SY07-08,WD,04M050
SY07-08,WD,14K250
SY08-09,P,09X329
SY 11-12,P,17K316
SY07-08,WD,02M575
SY10-11,P,31R080
SY09-10,P,09X227
SY 11-12,D,02M167
SY 11-12,P,22K381
SY06-07,P,30Q078
SY06-07,P,06M152
SY 11-12,D,16K057
SY10-11,P,10X382
SY10-11,D,29Q231
SY07-08,WD,20K185
SY10-11,D,30Q111
SY07-08,P,30Q286
SY09-10,P,16K534
SY06-07,WD,31R032
SY07-08,UPF,14K488
SY 11-12,WD,75M035
SY06-07,P,10X228
SY08-09,P,17K161
SY 11-12,D,09X229
SY07-08,WD,14K610
SY10-11,D,22K361
SY06-07,P,29Q492
SY 11-12,P,10X020
SY06-07,P,07X298
SY06-07,P,17K537
SY08-09,P,08X130
SY07-08,P,15K261
SY09-10,P,09X236
SY10-11,P,30Q166
SY07-08,P,75R025
SY07-08,WD,25Q214
SY07-08,P,75Q752
SY06-07,WD,09X413
SY06-07,P,02M550
SY09-10,P,17K289
SY07-08,P,25Q200
SY06-07,P,27Q114
SY06-07,P,11X041
SY06-07,P,25Q281
SY06-07,P,10X310
SY06-07,P,01M034
SY06-07,WD,75R373
SY06-07,P,07X029
SY09-10,UPF,07X655
SY07-08,P,12X061
SY09-10,UPF,11X142
SY05-06,P,29Q135
SY07-08,P,07X277
SY07-08,WD,04M155
SY07-08,WD,27Q650
SY 11-12,D,08X125
SY06-07,P,31R044
SY07-08,WD,12X318
SY 11-12,P,31R060
SY06-07,P,27Q197
SY06-07,P,31R046
SY06-07,WD,19K108
SY07-08,P,31R050
SY07-08,P,06M540
SY 11-12,P,13K674
SY07-08,P,01M332
SY08-09,P,25Q130
SY10-11,P,13K287
SY09-10,WD,21K199
SY06-07,P,14K157
SY08-09,P,27Q105
SY07-08,WD,01M142
SY08-09,UPF,22K198
SY 11-12,P,20K102
SY06-07,P,08X540
SY07-08,WD,27Q063
SY06-07,WD,02M413
SY06-07,WD,07X018
SY07-08,P,10X159
SY08-09,P,09X199
SY07-08,P,13K492
SY07-08,P,10X243
SY06-07,P,28Q680
SY10-11,D,16K584
SY07-08,WD,28Q144
SY06-07,U,18K252
SY06-07,P,07X600
SY06-07,WD,25Q670
SY07-08,WD,26Q041
SY10-11,WD,20K503
SY07-08,WD,13K430
SY07-08,WD,09X042
SY08-09,P,03M149
SY09-10,WD,01M188
SY09-10,UPF,29Q496
SY07-08,WD,15K094
SY07-08,WD,06M132
SY06-07,P,23K493
SY10-11,U,27Q410
SY 11-12,D,10X390
SY 11-12,D,75K140
SY08-09,P,07X296
SY06-07,P,16K309
SY07-08,WD,26Q067
SY06-07,P,07X031
SY09-10,P,29Q231
SY07-08,P,29Q036
SY07-08,P,16K584
SY06-07,P,31R011
SY05-06,WD,14K685
SY07-08,WD,02M475
SY07-08,P,13K265
SY07-08,WD,75Q993
SY08-09,UPF,04M155
SY07-08,WD,07X161
SY10-11,WD,02M413
SY06-07,P,13K509
SY06-07,WD,31R029
SY05-06,U,08X269
SY10-11,WD,14K132
SY07-08,WD,31R075
SY06-07,P,19K218
SY06-07,WD,23K514
SY06-07,P,22K139
SY07-08,WD,08X293
SY06-07,P,10X396
SY06-07,P,23K165
SY07-08,P,08X125
SY06-07,P,03M145
SY10-11,D,12X273
SY07-08,WD,27Q137
SY09-10,P,07X385
SY07-08,WD,28Q174
SY06-07,P,02M300
SY 11-12,P,08X182
SY07-08,WD,29Q176
SY 11-12,D,05M123
SY09-10,P,21K344
SY07-08,WD,25Q242
SY08-09,P,08X560
SY06-07,P,29Q015
SY 11-12,P,10X291
SY08-09,P,09X053
SY08-09,WD,75Q023
SY 11-12,P,24Q199
SY 11-12,D,21K337
SY06-07,P,06M346
SY 11-12,D,09X058
SY 11-12,P,13K054
SY07-08,P,28Q054
SY 11-12,P,09X109
SY07-08,WD,75K771
SY06-07,WD,32K554
SY07-08,P,16K309
SY07-08,WD,28Q117
SY08-09,P,05M469
SY07-08,WD,26Q216
SY06-07,P,26Q018
SY06-07,P,15K520
SY07-08,P,15K520
SY07-08,WD,09X218
SY09-10,P,31R064
SY07-08,WD,30Q092
SY 11-12,D,06M468
SY 11-12,D,17K394
SY10-11,D,30Q151
SY07-08,WD,21K099
SY07-08,WD,05M046
SY06-07,P,03M258
SY10-11,P,13K008
SY08-09,P,23K332
SY06-07,P,14K322
SY07-08,WD,31R055
SY06-07,WD,16K021
SY09-10,WD,12X300
SY10-11,D,10X439
SY07-08,WD,28Q101
SY09-10,P,19K615
SY07-08,WD,22K217
SY07-08,WD,08X312
SY06-07,P,30Q222
SY 11-12,P,09X028
SY08-09,P,11X103
SY10-11,WD,03M245
SY 11-12,D,08X071
SY10-11,D,02M500
SY07-08,WD,30Q069
SY07-08,WD,09X199
SY07-08,WD,02M407
SY06-07,WD,28Q008
SY06-07,P,09X229
SY 11-12,P,12X047
SY06-07,WD,07X551
SY06-07,P,10X159
SY07-08,WD,07X043
SY06-07,P,15K463
SY07-08,P,32K291
SY06-07,P,17K316
SY07-08,WD,75R373
SY06-07,P,32K162
SY10-11,P,26Q115
SY09-10,P,10X433
SY10-11,D,05M685
SY06-07,P,16K393
SY07-08,WD,02M545
SY05-06,P,11X265
SY06-07,P,24Q087
SY06-07,WD,30Q575
SY 11-12,P,18K233
SY09-10,WD,28Q310
SY09-10,P,06M349
SY06-07,WD,28Q099
SY05-06,WD,75R721
SY07-08,WD,29Q134
SY 11-12,D,17K399
SY09-10,WD,20K490
SY09-10,P,28Q190
SY07-08,WD,10X306
SY07-08,WD,25Q169
SY07-08,WD,31R011
SY10-11,D,17K484
SY09-10,P,30Q151
SY08-09,WD,10X056
SY07-08,WD,27Q060
SY10-11,D,13K336
SY06-07,P,75K370
SY 11-12,P,29Q132
SY 11-12,D,19K677
SY06-07,WD,19K007
SY10-11,WD,18K244
SY07-08,WD,05M175
SY07-08,P,16K028
SY09-10,UPF,17K528
SY07-08,P,09X170
SY07-08,P,12X050
SY 11-12,D,09X064
SY07-08,WD,19K190
SY09-10,P,22K495
SY07-08,WD,14K380
SY10-11,WD,27Q124
SY10-11,U,08X125
SY07-08,P,19K510
SY07-08,WD,24Q264
SY07-08,WD,05M161
SY06-07,P,02M419
SY 11-12,P,19K108
SY06-07,P,14K577
SY06-07,P,23K518
SY07-08,WD,11X083
SY10-11,WD,24Q600
SY06-07,WD,17K092
SY09-10,P,29Q036
SY 11-12,P,08X376
SY08-09,P,02M460
SY06-07,P,08X216
SY07-08,WD,30Q148
SY07-08,WD,05M685
SY06-07,P,30Q149
SY07-08,P,15K015
SY10-11,P,17K246
SY06-07,P,04M555
SY07-08,P,26Q186
SY07-08,P,09X313
SY10-11,P,14K017
SY06-07,WD,08X119
SY06-07,U,18K515
SY10-11,P,25Q252
SY 11-12,P,06M210
SY07-08,WD,15K146
SY08-09,P,02M520
SY07-08,WD,24Q087
SY07-08,WD,03M415
SY06-07,P,04M964
SY 11-12,P,08X140
SY09-10,P,01M063
SY06-07,U,13K419
SY06-07,P,16K026
SY 11-12,D,25Q237
SY07-08,P,31R044
SY06-07,WD,27Q060
SY06-07,WD,08X530
SY06-07,U,10X438
SY07-08,P,25Q029
SY07-08,P,20K176
SY07-08,P,22K245
SY07-08,P,23K522
SY 11-12,D,14K582
SY06-07,WD,14K380
SY07-08,WD,26Q205
SY06-07,WD,25Q129
SY 11-12,D,19K583
SY07-08,P,08X295
SY06-07,U,09X329
SY10-11,P,10X226
SY 11-12,P,06M218
SY07-08,WD,30Q010
SY06-07,U,29Q251
SY06-07,U,19K504
SY10-11,U,11X415
SY06-07,P,31R045
SY07-08,WD,03M180
SY 11-12,P,11X083
SY10-11,WD,02M407
SY07-08,P,31R016
SY06-07,P,02M234
SY07-08,UPF,30Q502
SY07-08,P,01M184
SY07-08,WD,12X098
SY07-08,WD,10X118
SY08-09,P,29Q238
SY 11-12,P,31R050
SY 11-12,D,17K241
SY07-08,WD,06M048
SY06-07,P,19K364
SY08-09,P,15K448
SY07-08,WD,11X288
SY06-07,P,24Q088
SY06-07,WD,75M035
SY05-06,P,10X331
SY09-10,P,24Q299
SY07-08,P,03M243
SY07-08,WD,75X186
SY10-11,WD,15K024
SY10-11,D,11X370
SY07-08,WD,15K295
SY06-07,P,31R003
SY07-08,P,05M194
SY10-11,WD,26Q067
SY06-07,WD,15K169
SY09-10,P,03M307
SY08-09,WD,09X260
SY06-07,P,07X030
SY07-08,WD,22K535
SY10-11,P,18K279
SY06-07,P,75K077
SY08-09,P,10X268
SY 11-12,P,09X404
SY08-09,P,29Q259
SY 11-12,WD,27Q062
SY08-09,WD,01M110
SY09-10,P,13K350
SY09-10,P,31R024
SY07-08,P,32K545
SY08-09,P,17K398
SY06-07,P,75X721
SY09-10,P,23K647
SY07-08,P,07X162
SY08-09,UPF,31R044
SY10-11,P,07X473
SY 11-12,P,03M054
SY08-09,UPF,12X198
SY07-08,WD,16K021
SY06-07,WD,75M138
SY05-06,WD,02M407
SY06-07,P,04M072
SY10-11,D,31R030
SY08-09,U,18K114
SY06-07,WD,21K177
SY06-07,U,09X313
SY10-11,U,28Q470
SY09-10,P,24Q560
SY 11-12,D,25Q129
SY07-08,P,13K011
SY06-07,WD,14K196
SY08-09,P,14K582
SY07-08,WD,19K311
SY07-08,P,75K371
SY09-10,U,08X560
SY06-07,P,30Q076
SY07-08,WD,06M018
SY07-08,WD,10X015
SY07-08,WD,02M313
SY06-07,P,23K284
SY10-11,P,23K522
SY07-08,WD,20K204
SY08-09,P,30Q445
SY 11-12,P,30Q150
SY06-07,P,32K545
SY09-10,UPF,27Q400
SY09-10,WD,75Q811
SY 11-12,D,10X437
SY 11-12,P,06M018
SY09-10,P,11X189
SY07-08,P,15K463
SY 11-12,D,17K221
SY07-08,WD,31R045
SY07-08,P,11X270
SY09-10,P,02M460
SY09-10,UPF,08X305
SY 11-12,WD,24Q049
SY10-11,WD,24Q125
SY06-07,P,09X215
SY09-10,P,05M670
SY 11-12,D,07X018
SY08-09,P,19K345
SY06-07,WD,19K292
SY09-10,P,25Q244
SY 11-12,P,11X127
SY07-08,P,10X094
SY 11-12,P,13K270
SY06-07,P,09X002
SY06-07,P,02M288
SY07-08,WD,04M610
SY06-07,P,03M208
SY07-08,WD,09X011
SY08-09,P,05M175
SY09-10,P,19K504
SY08-09,P,27Q114
SY10-11,U,02M625
SY09-10,P,19K166
SY07-08,WD,11X019
SY07-08,P,16K035
SY10-11,P,11X542
SY06-07,P,14K018
SY07-08,WD,32K556
SY07-08,WD,32K075
SY07-08,WD,26Q566
SY06-07,P,07X157
SY 11-12,D,07X369
SY06-07,P,09X055
SY09-10,P,29Q038
SY05-06,WD,24Q093
SY09-10,P,28Q690
SY10-11,WD,28Q174
SY 11-12,P,06M423
SY07-08,WD,32K384
SY07-08,WD,28Q080
SY08-09,P,08X650
SY07-08,P,31R445
SY07-08,WD,11X096
SY08-09,P,18K581
SY 11-12,P,20K686
SY06-07,U,03M044
SY10-11,WD,26Q158
SY06-07,WD,31R060
SY09-10,UPF,19K013
SY07-08,P,27Q225
SY05-06,U,24Q560
SY07-08,WD,02M131
SY08-09,P,17K625
SY07-08,P,16K455
SY06-07,WD,02M575
SY09-10,P,02M575
SY06-07,WD,27Q400
SY06-07,P,12X098
SY08-09,UPF,02M047
SY10-11,U,15K530
SY06-07,WD,11X019
SY06-07,WD,09X170
SY07-08,P,09X230
SY10-11,P,20K227
SY08-09,UPF,10X094
SY06-07,P,27Q282
SY08-09,P,31R004
SY07-08,P,23K178
SY 11-12,D,03M494
SY07-08,P,13K571
SY08-09,UPF,29Q037
SY 11-12,D,06M528
SY08-09,P,08X405
SY06-07,P,14K477
SY 11-12,P,09X457
SY06-07,WD,31R440
SY 11-12,D,19K149
SY06-07,WD,02M255
SY07-08,P,75K140
SY08-09,P,07X427
SY08-09,P,75X811
SY08-09,P,01M020
SY06-07,P,05M200
SY06-07,P,05M318
SY06-07,WD,08X182
SY06-07,P,17K548
SY07-08,WD,20K187
SY 11-12,P,23K697
SY08-09,UPF,21K096
SY07-08,O,14K031
SY09-10,P,28Q680
SY10-11,U,75K140
SY07-08,P,11X112
SY05-06,WD,02M560
SY 11-12,D,09X114
SY10-11,P,15K656
SY06-07,P,24Q102
SY06-07,P,31R036
SY06-07,WD,03M485
SY 11-12,D,08X367
SY07-08,P,07X203
SY07-08,WD,19K273
SY07-08,WD,18K268
SY07-08,WD,31R008
SY08-09,P,11X370
SY10-11,D,04M381
SY 11-12,D,27Q053
SY08-09,P,30Q122
SY 11-12,P,11X078
SY 11-12,D,12X300
SY10-11,D,21K215
SY07-08,WD,07X157
SY06-07,P,10X442
SY09-10,UPF,02M625
SY06-07,P,08X519
SY06-07,WD,11X106
SY06-07,P,11X544
SY09-10,P,02M529
SY07-08,P,13K527
SY07-08,WD,14K050
SY08-09,WD,06M178
SY05-06,P,03M299
SY09-10,P,11X253
SY07-08,P,29Q251
SY10-11,D,03M241
SY07-08,WD,29Q268
SY07-08,P,24Q091
SY 11-12,D,18K581
SY06-07,P,09X232
SY06-07,P,32K296
SY10-11,D,06M528
SY07-08,WD,10X284
SY08-09,P,27Q106
SY08-09,WD,18K598
SY07-08,UPF,13K301
SY07-08,P,17K012
SY08-09,P,05M318
SY07-08,P,21K288
SY07-08,WD,08X405
SY06-07,P,11X087
SY10-11,P,23K518
SY09-10,P,28Q196
SY06-07,WD,23K327
SY09-10,P,19K260
SY07-08,WD,02M124
SY06-07,P,08X337
SY07-08,WD,17K568
SY06-07,P,25Q022
SY06-07,P,13K527
SY06-07,U,13K046
SY06-07,WD,25Q024
SY06-07,P,16K262
SY10-11,WD,22K152
SY06-07,WD,06M467
SY 11-12,P,22K052
SY07-08,P,31R036
SY 11-12,WD,31R861
SY10-11,D,11X272
SY 11-12,D,23K137
SY07-08,P,75X754
SY07-08,WD,12X248
SY06-07,P,23K392
SY08-09,WD,26Q430
SY06-07,P,27Q333
SY10-11,P,27Q210
SY06-07,P,29Q138
SY07-08,WD,28Q690
SY07-08,P,08X072
SY10-11,P,09X053
SY07-08,WD,25Q499
SY09-10,P,75R025
SY05-06,P,02M420
SY08-09,UPF,30Q126
SY06-07,U,22K240
SY 11-12,P,28Q139
SY09-10,P,05M133
SY06-07,P,05M302
SY06-07,P,10X085
SY07-08,WD,11X265
SY07-08,P,06M173
SY07-08,WD,10X020
SY07-08,P,13K046
SY08-09,P,75X352
SY07-08,WD,24Q012
SY06-07,P,05M317
SY06-07,WD,26Q221
SY07-08,P,02M312
SY07-08,P,28Q030
SY08-09,P,27Q480
SY07-08,WD,30Q235
SY09-10,P,24Q296
SY06-07,WD,17K241
SY07-08,WD,13K009
SY07-08,P,22K078
SY07-08,P,10X228
SY06-07,WD,25Q165
SY10-11,WD,14K614
SY09-10,P,23K643
SY07-08,P,21K228
SY09-10,P,02M655
SY06-07,WD,27Q062
SY08-09,P,75Q075
SY06-07,WD,08X333
SY 11-12,WD,03M165
SY06-07,WD,26Q094
SY06-07,U,28Q284
SY 11-12,D,28Q086
SY05-06,P,17K544
SY07-08,WD,18K244
SY07-08,WD,13K282
SY06-07,P,17K568
SY10-11,D,19K171
SY09-10,UPF,08X107
SY08-09,P,06M368
SY09-10,P,22K278
SY06-07,P,06M348
SY09-10,P,75K771
SY07-08,WD,21K212
SY10-11,P,16K026
SY08-09,P,75R721
SY06-07,P,25Q425
SY07-08,WD,25Q670
SY06-07,WD,31R058
SY06-07,P,11X299
SY07-08,WD,32K296
SY07-08,P,03M299
SY06-07,U,09X276
SY07-08,P,02M260
SY10-11,D,07X049
SY06-07,P,17K289
SY10-11,D,19K166
SY06-07,WD,75Q256
SY09-10,WD,27Q047
SY 11-12,D,29Q134
SY10-11,P,29Q251
SY09-10,WD,09X260
SY08-09,WD,21K337
SY08-09,P,13K054
SY06-07,P,07X043
SY07-08,WD,24Q267
SY06-07,P,09X109
SY05-06,P,12X248
SY07-08,WD,32K106
SY10-11,U,17K382
SY06-07,P,10X437
SY07-08,WD,10X315
SY08-09,P,14K322
SY06-07,P,24Q455
SY06-07,WD,14K031
SY06-07,P,10X360
SY 11-12,D,10X306
SY08-09,P,14K474
SY06-07,WD,28Q139
SY07-08,P,08X560
SY 11-12,D,17K533
SY06-07,WD,10X340
SY06-07,P,22K245
SY07-08,WD,32K274
SY07-08,WD,31R019
SY09-10,WD,31R002
SY06-07,P,11X287
SY 11-12,P,11X144
SY07-08,WD,31R440
SY07-08,WD,08X069
SY10-11,P,27Q064
SY06-07,P,08X123
SY06-07,P,32K145
SY10-11,P,25Q185
SY10-11,P,17K354
SY06-07,P,02M440
SY07-08,P,28Q182
SY07-08,P,75X352
SY06-07,P,18K211
SY06-07,P,32K556
SY06-07,P,27Q650
SY06-07,WD,11X153
SY 11-12,D,11X105
SY07-08,U,03M246
SY09-10,P,07X527
SY08-09,WD,75K753
SY07-08,WD,09X058
SY10-11,WD,17K543
SY06-07,WD,31R019
SY07-08,WD,24Q049
SY08-09,WD,25Q525
SY06-07,WD,22K217
SY09-10,P,13K020
SY06-07,P,12X286
SY 11-12,P,25Q263
SY06-07,WD,30Q228
SY08-09,WD,13K483
SY10-11,D,08X375
SY10-11,P,31R018
SY08-09,P,10X344
SY06-07,P,02M183
SY 11-12,D,29Q268
SY07-08,P,17K398
SY06-07,P,07X473
SY09-10,P,07X495
SY07-08,P,15K698
SY07-08,WD,20K180
SY07-08,P,16K267
SY07-08,WD,27Q260
SY07-08,WD,27Q097
SY07-08,WD,06M325
SY 11-12,WD,10X280
SY07-08,WD,01M188
SY06-07,WD,11X272
SY07-08,WD,02M303
SY06-07,WD,04M108
SY10-11,P,16K040
SY10-11,WD,02M150
SY07-08,WD,16K335
SY 11-12,D,06M132
SY08-09,P,09X219
SY06-07,P,10X225
SY06-07,P,27Q106
SY07-08,UPF,15K530
SY07-08,WD,18K233
SY07-08,WD,02M289
SY07-08,WD,10X213
SY06-07,WD,20K204
SY06-07,P,02M198
SY07-08,P,29Q231
SY06-07,WD,22K236
SY06-07,P,19K507
SY07-08,P,14K016
SY07-08,WD,32K045
SY07-08,WD,02M418
SY10-11,D,04M375
SY09-10,P,03M256
SY07-08,WD,05M692
SY05-06,P,03M075
SY09-10,P,05M685
SY06-07,WD,25Q079
SY09-10,UPF,02M586
SY07-08,WD,06M311
SY 11-12,WD,22K326
SY06-07,P,13K605
SY 11-12,P,05M154
SY10-11,D,15K519
SY06-07,P,19K345
SY10-11,D,03M084
SY07-08,UPF,18K114
SY 11-12,P,24Q007
SY10-11,P,21K281
SY08-09,P,21K348
SY07-08,WD,29Q238
SY06-07,P,21K329
SY08-09,UPF,02M425
SY07-08,P,28Q470
SY10-11,P,30Q234
SY06-07,P,29Q195
SY09-10,P,28Q040
SY10-11,P,20K505
SY07-08,WD,12X682
SY07-08,WD,24Q028
SY09-10,WD,02M489
SY 11-12,P,21K216
SY07-08,O,03M485
SY06-07,P,04M007
SY09-10,WD,15K698
SY06-07,P,06M218
SY06-07,P,10X213
SY06-07,P,32K106
SY09-10,P,05M499
SY08-09,P,75K721
SY09-10,P,14K477
SY07-08,WD,21K525
SY07-08,WD,15K010
SY09-10,P,24Q293
SY 11-12,D,12X134
SY07-08,WD,21K128
SY 11-12,P,27Q090
SY06-07,WD,12X217
SY10-11,P,18K115
SY06-07,WD,03M163
SY07-08,WD,19K346
SY07-08,P,30Q084
SY06-07,WD,25Q214
SY07-08,P,09X114
SY09-10,P,27Q308
SY10-11,P,08X295
SY08-09,P,75Q752
SY09-10,P,32K549
SY06-07,P,32K384
SY07-08,P,03M494
SY 11-12,WD,31R029
SY07-08,P,03M241
SY06-07,WD,20K069
SY07-08,WD,19K409
SY08-09,P,14K477
SY 11-12,P,26Q162
SY06-07,P,30Q151
SY06-07,P,32K299
SY06-07,P,07X154
SY 11-12,P,75X017
SY07-08,WD,25Q020
SY06-07,P,14K488
SY 11-12,P,07X001
SY06-07,P,02M655
SY07-08,WD,23K392
SY 11-12,D,14K477
SY08-09,P,23K522
SY06-07,WD,14K250
SY06-07,WD,02M042
SY09-10,P,09X505
SY 11-12,P,11X189
SY07-08,P,03M283
SY06-07,WD,18K244
SY07-08,WD,27Q232
SY06-07,P,02M408
SY07-08,WD,29Q265
SY07-08,WD,75M138
SY06-07,P,01M345
SY06-07,P,02M620
SY 11-12,P,24Q019
SY06-07,WD,10X209
SY08-09,P,27Q262
SY08-09,WD,10X374
SY10-11,D,12X278
SY 11-12,D,08X335
SY06-07,P,30Q230
SY05-06,P,13K483
SY06-07,P,25Q120
SY06-07,P,27Q047
SY06-07,WD,15K698
SY 11-12,D,05M369
SY06-07,P,75K396
SY08-09,WD,75X010
SY10-11,P,31R020
SY06-07,WD,22K134
SY 11-12,P,30Q171
SY06-07,P,20K506
SY10-11,D,19K302
SY07-08,WD,31R018
SY09-10,WD,13K492
SY06-07,WD,19K013
SY09-10,WD,05M125
SY09-10,P,10X440
SY07-08,UPF,02M047
SY07-08,P,32K347
SY 11-12,P,27Q056
SY08-09,P,31R052
SY06-07,P,06M048
SY07-08,P,13K008
SY07-08,P,26Q158
SY08-09,WD,75K053
SY 11-12,P,09X088
SY07-08,P,01M134
SY06-07,WD,02M212
SY 11-12,U,19K328
SY06-07,WD,22K255
SY10-11,WD,03M243
SY 11-12,D,07X277
SY06-07,P,12X300
SY06-07,P,15K443
SY08-09,WD,26Q566
SY06-07,P,13K008
SY06-07,P,23K055
SY07-08,P,29Q052
SY 11-12,P,23K522
SY05-06,WD,12X278
SY08-09,P,15K519
SY07-08,WD,24Q128
SY08-09,P,11X016
SY07-08,WD,26Q046
SY07-08,WD,10X209
SY07-08,WD,06M178
SY07-08,WD,21K468
SY09-10,WD,31R460
SY07-08,P,28Q160
SY05-06,WD,21K101
SY08-09,P,04M964
SY 11-12,D,06M346
SY07-08,WD,04M182
SY10-11,P,17K092
SY10-11,D,25Q194
SY07-08,WD,07X321
SY 11-12,P,18K566
SY07-08,U,05M317
SY09-10,P,14K126
SY06-07,WD,05M133
SY07-08,WD,14K319
SY08-09,P,21K572
SY10-11,P,06M152
SY 11-12,P,12X067
SY07-08,WD,21K177
SY09-10,WD,31R075
SY06-07,P,75K140
SY06-07,P,24Q014
SY10-11,D,28Q008
SY09-10,WD,31R445
SY07-08,P,02M414
SY08-09,P,19K202
SY 11-12,D,22K193
SY 11-12,P,10X310
SY09-10,P,02M442
SY07-08,WD,23K165
SY06-07,P,16K081
SY 11-12,P,19K346
SY09-10,P,13K103
SY 11-12,P,15K429
SY06-07,P,10X319
SY07-08,P,02M316
SY06-07,WD,18K208
SY05-06,WD,24Q530
SY09-10,P,29Q295
SY06-07,WD,31R053
SY06-07,WD,75K372
SY06-07,WD,02M124
SY06-07,U,10X391
SY 11-12,P,18K114
SY10-11,P,15K039
SY07-08,O,11X076
SY10-11,D,21K153
SY 11-12,D,17K161
SY08-09,P,05M285
SY 11-12,P,06M128
SY 11-12,P,13K430
SY08-09,UPF,08X377
SY07-08,P,14K454
SY07-08,WD,04M037
SY06-07,P,09X199
SY 11-12,P,31R038
SY07-08,WD,28Q140
SY07-08,P,08X540
SY06-07,P,06M004
SY09-10,P,30Q149
SY10-11,P,26Q074
SY06-07,WD,16K335
SY07-08,WD,14K157
SY09-10,P,01M509
SY07-08,WD,02M198
SY 11-12,P,06M098
SY06-07,P,15K295
SY07-08,WD,31R022
SY07-08,WD,26Q133
SY10-11,WD,20K506
SY07-08,P,17K340
SY06-07,WD,31R005
SY06-07,P,06M132
SY06-07,U,75K811
SY 11-12,D,04M050
SY10-11,P,22K207
SY07-08,WD,31R455
SY06-07,P,31R049
SY09-10,WD,20K127
SY 11-12,D,32K151
SY 11-12,P,02M303
SY06-07,P,11X249
SY07-08,WD,17K543
SY06-07,P,24Q028
SY06-07,P,25Q029
SY10-11,WD,20K160
SY10-11,P,05M129
SY07-08,WD,03M245
SY09-10,P,27Q475
SY 11-12,D,12X550
SY07-08,WD,21K121
SY06-07,P,10X546
SY10-11,WD,25Q189
SY 11-12,D,05M036
SY05-06,P,09X239
SY06-07,WD,26Q115
SY07-08,WD,75Q256
SY05-06,WD,17K590
SY 11-12,D,11X270
SY07-08,WD,08X650
SY 11-12,D,10X054
SY07-08,WD,20K160
SY08-09,P,27Q183
SY06-07,P,75Q233
SY07-08,P,21K344
SY09-10,WD,11X111
SY 11-12,D,29Q492
SY06-07,WD,31R080
SY10-11,P,16K498
SY08-09,UPF,20K179
SY06-07,WD,26Q133
SY09-10,WD,17K537
SY 11-12,P,10X206
SY10-11,D,11X160
SY06-07,WD,84K704
SY06-07,P,02M544
SY07-08,P,17K022
SY09-10,P,07X065
SY 11-12,D,10X059
SY07-08,P,07X025
SY08-09,P,03M185
SY07-08,WD,24Q005
SY08-09,WD,17K543
SY 11-12,D,08X448
