school/gender.chool Name,school/gender.Grade,school/gender.Year,school/gender.Category,school/gender.Number Tested,school/gender.Mean Scale Score,school/gender.Level1_N,school/gender.Level1_%,school/gender.Level2_N,school/gender.Level2_%,school/gender.Level3_N,school/gender.Level3_%,school/gender.Level4_N,school/gender.Level4_%,school/gender.Level3+4_N,school/gender.Level3+4_%,DBN
PS X114  LUIS LLORENS TORRES SCHOOLS,3,2013,Female,60,284.0,31.0,51.7,26.0,43.3,3.0,5.0,0.0,0.0,3.0,5.0,09X114
PS 80 THE THURGOOD MARSHALL MAGNET SCHOOL OF MULTIMEDIA AND COMMUNICATION,4,2016,Female,40,299.0,11.0,27.5,17.0,42.5,11.0,27.5,1.0,2.5,12.0,30.0,28Q080
PS 152 DYCKMAN VALLEY,All Grades,2017,Female,126,295.0,42.0,33.3,48.0,38.1,31.0,24.6,5.0,4.0,36.0,28.6,06M152
PS 6 CORPORAL ALLAN F KIVLEHAN SCHOOL,5,2014,Male,79,297.0,25.0,31.6,27.0,34.2,20.0,25.3,7.0,8.9,27.0,34.2,31R006
QUEST TO LEARN,8,2014,Female,32,313.0,3.0,9.4,13.0,40.6,12.0,37.5,4.0,12.5,16.0,50.0,02M422
PS 375 JACKIE ROBINSON SCHOOL,All Grades,2015,Male,109,277.0,69.0,63.3,29.0,26.6,11.0,10.1,0.0,0.0,11.0,10.1,17K375
PS 112 BRONXWOOD,4,2017,Male,30,292.0,11.0,36.7,15.0,50.0,4.0,13.3,0.0,0.0,4.0,13.3,11X112
PS 174 DUMONT,3,2013,Male,33,272.0,24.0,72.7,8.0,24.2,1.0,3.0,0.0,0.0,1.0,3.0,19K174
PS 21 MARGARET EMERY ELM PARK,3,2017,Male,33,305.0,9.0,27.3,8.0,24.2,16.0,48.5,0.0,0.0,16.0,48.5,31R021
PS 043,4,2016,Male,49,294.0,16.0,32.7,22.0,44.9,10.0,20.4,1.0,2.0,11.0,22.4,27Q043
IS 024 MYRA S BARNES,6,2016,Female,168,318.0,16.0,9.5,59.0,35.1,50.0,29.8,43.0,25.6,93.0,55.4,31R024
JHS 054 BOOKER T WASHINGTON,8,2015,Male,105,328.0,7.0,6.7,16.0,15.2,51.0,48.6,31.0,29.5,82.0,78.1,03M054
IS 034 TOTTENVILLE,7,2014,Female,191,316.0,18.0,9.4,80.0,41.9,73.0,38.2,20.0,10.5,93.0,48.7,31R034
PS 163 FLUSHING HEIGHTS,5,2017,Male,45,317.0,8.0,17.8,16.0,35.6,12.0,26.7,9.0,20.0,21.0,46.7,25Q163
THE ANDERSON SCHOOL,3,2016,Female,30,364.0,0.0,0.0,0.0,0.0,12.0,40.0,18.0,60.0,30.0,100.0,03M334
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,All Grades,2016,Male,43,292.0,19.0,44.2,13.0,30.2,7.0,16.3,4.0,9.3,11.0,25.6,01M332
PSIS 266,5,2017,Male,43,317.0,9.0,20.9,13.0,30.2,13.0,30.2,8.0,18.6,21.0,48.8,26Q266
PS 004 MAURICE WOLLIN,All Grades,2014,Female,176,312.0,32.0,18.2,69.0,39.2,51.0,29.0,24.0,13.6,75.0,42.6,31R004
PS 161 ARTHUR ASHE SCHOOL,4,2013,Male,54,317.0,4.0,7.4,23.0,42.6,22.0,40.7,5.0,9.3,27.0,50.0,28Q161
AMISTAD DUAL LANGUAGE SCHOOL,5,2017,Male,22,297.0,7.0,31.8,7.0,31.8,6.0,27.3,2.0,9.1,8.0,36.4,06M311
CHOOL OF THE FUTURE HS,6,2016,Female,46,333.0,3.0,6.5,7.0,15.2,14.0,30.4,22.0,47.8,36.0,78.3,02M413
PS 043,6,2017,Male,35,275.0,21.0,60.0,11.0,31.4,3.0,8.6,0.0,0.0,3.0,8.6,27Q043
GRANT AVENUE ELEMENTARY SCHOOL,All Grades,2013,Male,56,280.0,34.0,60.7,13.0,23.2,9.0,16.1,0.0,0.0,9.0,16.1,09X449
IS 228 DAVID A BOODY,6,2015,Male,252,298.0,73.0,29.0,115.0,45.6,45.0,17.9,19.0,7.5,64.0,25.4,21K228
NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,6,2016,Female,120,331.0,3.0,2.5,21.0,17.5,47.0,39.2,49.0,40.8,96.0,80.0,15K443
LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,7,2015,Male,59,305.0,12.0,20.3,30.0,50.8,8.0,13.6,9.0,15.3,17.0,28.8,02M896
PS 124 YUNG WING,5,2017,Male,77,327.0,7.0,9.1,23.0,29.9,26.0,33.8,21.0,27.3,47.0,61.0,02M124
PS 176 CAMBRIA HEIGHTS,5,2016,Male,54,304.0,14.0,25.9,22.0,40.7,12.0,22.2,6.0,11.1,18.0,33.3,29Q176
PS 043,5,2013,Female,57,295.0,20.0,35.1,25.0,43.9,8.0,14.0,4.0,7.0,12.0,21.1,27Q043
PS 256 BENJAMIN BANNEKER,3,2014,Male,29,277.0,18.0,62.1,10.0,34.5,1.0,3.4,0.0,0.0,1.0,3.4,13K256
EAST SIDE ELEMENTARY SCHOOL PS 267,5,2016,Male,9,329.0,1.0,11.1,1.0,11.1,4.0,44.4,3.0,33.3,7.0,77.8,02M267
PS 099 KEW GARDENS,4,2016,Male,75,319.0,10.0,13.3,19.0,25.3,23.0,30.7,23.0,30.7,46.0,61.3,28Q099
MS 301 PAUL L DUNBAR,8,2014,Male,40,266.0,26.0,65.0,13.0,32.5,1.0,2.5,0.0,0.0,1.0,2.5,08X301
PSIS 045 HORACE E GREENE,3,2017,Male,35,293.0,13.0,37.1,15.0,42.9,7.0,20.0,0.0,0.0,7.0,20.0,32K045
VILLAGE ACADEMY,7,2014,Female,61,280.0,31.0,50.8,25.0,41.0,5.0,8.2,0.0,0.0,5.0,8.2,27Q319
PS 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,4,2017,Male,56,325.0,6.0,10.7,18.0,32.1,14.0,25.0,18.0,32.1,32.0,57.1,20K748
PS 204 MORRIS HEIGHTS,5,2016,Male,48,293.0,16.0,33.3,23.0,47.9,6.0,12.5,3.0,6.3,9.0,18.8,09X204
WASHINGTON HEIGHTS ACADEMY,4,2013,Female,31,307.0,5.0,16.1,17.0,54.8,6.0,19.4,3.0,9.7,9.0,29.0,06M366
PS 031 SAMUEL F DUPONT,3,2013,Male,43,312.0,7.0,16.3,20.0,46.5,13.0,30.2,3.0,7.0,16.0,37.2,14K031
PS 048 WILLIAM G WILCOX,All Grades,2017,Male,301,320.0,30.0,10.0,102.0,33.9,104.0,34.6,65.0,21.6,169.0,56.1,31R048
PS 200 THE JAMES MCCUNE SMITH SCHOOL,5,2013,Male,38,278.0,23.0,60.5,12.0,31.6,3.0,7.9,0.0,0.0,3.0,7.9,05M200
PS 194 COUNTEE CULLEN,All Grades,2013,Male,58,253.0,50.0,86.2,7.0,12.1,1.0,1.7,0.0,0.0,1.0,1.7,05M194
PS 152 EVERGREEN,All Grades,2013,Female,199,287.0,90.0,45.2,84.0,42.2,24.0,12.1,1.0,0.5,25.0,12.6,08X152
PS 153 ADAM CLAYTON POWELL,3,2013,Female,82,310.0,27.0,32.9,16.0,19.5,35.0,42.7,4.0,4.9,39.0,47.6,06M153
PS 161 ARTHUR ASHE SCHOOL,4,2015,Female,38,315.0,4.0,10.5,16.0,42.1,14.0,36.8,4.0,10.5,18.0,47.4,28Q161
PS 096 RICHARD RODGERS,3,2016,Female,89,308.0,24.0,27.0,31.0,34.8,28.0,31.5,6.0,6.7,34.0,38.2,11X096
JHS 162 LOLA RODRIGUEZ DE TIO,All Grades,2013,Female,195,276.0,126.0,64.6,54.0,27.7,14.0,7.2,1.0,0.5,15.0,7.7,07X162
PS 299 THOMAS WARREN FIELD,4,2016,Male,13,294.0,6.0,46.2,3.0,23.1,3.0,23.1,1.0,7.7,4.0,30.8,32K299
PS 065 MOTHER HALE ACADEMY,5,2016,Male,20,280.0,11.0,55.0,7.0,35.0,2.0,10.0,0.0,0.0,2.0,10.0,07X065
PS 064 PURA BELPRE,5,2014,Female,79,269.0,60.0,75.9,17.0,21.5,2.0,2.5,0.0,0.0,2.0,2.5,09X064
JOHN ERICSSON MIDDLE SCHOOL 126,7,2013,Male,47,272.0,29.0,61.7,17.0,36.2,1.0,2.1,0.0,0.0,1.0,2.1,14K126
PS 316 ELIJAH STROUD,4,2015,Male,17,293.0,4.0,23.5,11.0,64.7,2.0,11.8,0.0,0.0,2.0,11.8,17K316
BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,All Grades,2014,Female,14,275.0,8.0,57.1,5.0,35.7,1.0,7.1,0.0,0.0,1.0,7.1,17K705
PS 288 THE SHIRLEY TANYHILL,8,2013,Female,17,286.0,7.0,41.2,9.0,52.9,1.0,5.9,0.0,0.0,1.0,5.9,21K288
PS 036 UNIONPORT,All Grades,2014,Male,140,293.0,57.0,40.7,52.0,37.1,25.0,17.9,6.0,4.3,31.0,22.1,08X036
JHS 157 STEPHEN A HALSEY,7,2015,Female,226,316.0,32.0,14.2,73.0,32.3,88.0,38.9,33.0,14.6,121.0,53.5,28Q157
PS 315 LAB SCHOOL,All Grades,2015,Male,104,284.0,48.0,46.2,40.0,38.5,14.0,13.5,2.0,1.9,16.0,15.4,10X315
URBAN SCHOLARS COMMUNITY SCHOOL,3,2016,Male,21,279.0,13.0,61.9,3.0,14.3,5.0,23.8,0.0,0.0,5.0,23.8,12X463
PS 093 WILLIAM H PRESCOTT,All Grades,2017,Female,48,297.0,19.0,39.6,15.0,31.3,11.0,22.9,3.0,6.3,14.0,29.2,13K093
PS 021 PHILIP H SHERIDAN,All Grades,2013,Female,195,291.0,86.0,44.1,82.0,42.1,26.0,13.3,1.0,0.5,27.0,13.8,11X021
JHS 162 THE WILLOUGHBY,All Grades,2013,Female,253,287.0,110.0,43.5,113.0,44.7,25.0,9.9,5.0,2.0,30.0,11.9,32K162
IS 096 SETH LOW,6,2013,Female,88,294.0,29.0,33.0,44.0,50.0,9.0,10.2,6.0,6.8,15.0,17.0,21K096
COMMUNITY VOICES MIDDLE SCHOOL,8,2015,Female,88,292.0,27.0,30.7,49.0,55.7,10.0,11.4,2.0,2.3,12.0,13.6,29Q356
IS 125 THOM J MCCANN WOODSIDE,5,2013,Female,92,310.0,19.0,20.7,34.0,37.0,30.0,32.6,9.0,9.8,39.0,42.4,24Q125
JHS 151 LOU GEHRIG,7,2013,Female,47,278.0,30.0,63.8,15.0,31.9,2.0,4.3,0.0,0.0,2.0,4.3,07X151
PS 236 LANGSTON HUGHES,4,2015,Male,30,281.0,12.0,40.0,16.0,53.3,2.0,6.7,0.0,0.0,2.0,6.7,09X236
PS K225  THE EILEEN E ZAGLIN,6,2015,Female,43,309.0,3.0,7.0,25.0,58.1,11.0,25.6,4.0,9.3,15.0,34.9,21K225
PS 6 CORPORAL ALLAN F KIVLEHAN SCHOOL,5,2015,Male,70,294.0,21.0,30.0,36.0,51.4,11.0,15.7,2.0,2.9,13.0,18.6,31R006
IS 219 NEW VENTURE SCHOOL,6,2017,Female,48,268.0,29.0,60.4,16.0,33.3,2.0,4.2,1.0,2.1,3.0,6.3,09X219
NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH HS,7,2015,Male,63,341.0,0.0,0.0,8.0,12.7,28.0,44.4,27.0,42.9,55.0,87.3,01M539
PS 038 GEORGE CROMWELL,3,2017,Female,28,323.0,6.0,21.4,7.0,25.0,8.0,28.6,7.0,25.0,15.0,53.6,31R038
PS 146 ANN M SHORT,5,2016,Female,15,295.0,5.0,33.3,6.0,40.0,4.0,26.7,0.0,0.0,4.0,26.7,04M146
PS X114  LUIS LLORENS TORRES SCHOOLS,5,2017,Male,68,272.0,40.0,58.8,22.0,32.4,4.0,5.9,2.0,2.9,6.0,8.8,09X114
MS 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,7,2016,Female,22,322.0,1.0,4.5,6.0,27.3,11.0,50.0,4.0,18.2,15.0,68.2,04M224
PS 089 BRONX,All Grades,2017,Female,369,306.0,84.0,22.8,146.0,39.6,98.0,26.6,41.0,11.1,139.0,37.7,11X089
PS 166 HENRY GRADSTEIN,All Grades,2017,Female,320,335.0,26.0,8.1,76.0,23.8,95.0,29.7,123.0,38.4,218.0,68.1,30Q166
PS 202 ERNEST S JENKYNS,3,2013,Male,44,279.0,29.0,65.9,10.0,22.7,5.0,11.4,0.0,0.0,5.0,11.4,19K202
PS 086 THE IRVINGTON,4,2016,Female,26,284.0,12.0,46.2,13.0,50.0,1.0,3.8,0.0,0.0,1.0,3.8,32K086
PS 139 ALEXINE A FENTY,5,2016,Male,78,295.0,29.0,37.2,26.0,33.3,16.0,20.5,7.0,9.0,23.0,29.5,22K139
PSIS 187 HUDSON CLIFFS,4,2017,Male,49,319.0,6.0,12.2,15.0,30.6,17.0,34.7,11.0,22.4,28.0,57.1,06M187
MOTT HALL III,6,2017,Female,77,310.0,13.0,16.9,33.0,42.9,15.0,19.5,16.0,20.8,31.0,40.3,09X128
IS 034 TOTTENVILLE,6,2017,Female,168,320.0,10.0,6.0,71.0,42.3,34.0,20.2,53.0,31.5,87.0,51.8,31R034
PS 154 QUEENS,5,2015,Male,64,302.0,17.0,26.6,28.0,43.8,10.0,15.6,9.0,14.1,19.0,29.7,25Q154
TECHNOLOGY ARTS AND SCIENCES STUDIO,All Grades,2015,Male,77,280.0,37.0,48.1,33.0,42.9,7.0,9.1,0.0,0.0,7.0,9.1,01M301
PS 094 KINGS COLLEGE SCHOOL,All Grades,2014,Male,276,274.0,172.0,62.3,81.0,29.3,21.0,7.6,2.0,0.7,23.0,8.3,10X094
PS 089 CYPRESS HILLS,3,2014,Male,15,273.0,10.0,66.7,4.0,26.7,1.0,6.7,0.0,0.0,1.0,6.7,19K089
PS 290 JUAN MOREL CAMPOS,3,2014,Female,41,299.0,13.0,31.7,15.0,36.6,12.0,29.3,1.0,2.4,13.0,31.7,19K290
MS 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,All Grades,2013,Male,75,303.0,15.0,20.0,32.0,42.7,24.0,32.0,4.0,5.3,28.0,37.3,04M224
PS 011 PURVIS J BEHAN,All Grades,2013,Female,149,323.0,17.0,11.4,43.0,28.9,54.0,36.2,35.0,23.5,89.0,59.7,13K011
PS 058 THE CARROLL,3,2016,Female,64,341.0,3.0,4.7,9.0,14.1,33.0,51.6,19.0,29.7,52.0,81.3,15K058
PS 276 LOUIS MARSHALL,4,2017,Female,41,307.0,10.0,24.4,17.0,41.5,8.0,19.5,6.0,14.6,14.0,34.1,18K276
PS 011 WILLIAM T HARRIS,3,2013,Female,45,317.0,8.0,17.8,13.0,28.9,21.0,46.7,3.0,6.7,24.0,53.3,02M011
PS 005 ELLEN LURIE,5,2014,Female,46,283.0,22.0,47.8,17.0,37.0,6.0,13.0,1.0,2.2,7.0,15.2,06M005
ROBERT F WAGNER JR SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY,All Grades,2017,Female,68,332.0,2.0,2.9,15.0,22.1,25.0,36.8,26.0,38.2,51.0,75.0,24Q560
PS 033 CHELSEA PREP,3,2016,Female,45,334.0,4.0,8.9,10.0,22.2,20.0,44.4,11.0,24.4,31.0,68.9,02M033
PS 167 THE PARKWAY,All Grades,2015,Female,48,298.0,12.0,25.0,25.0,52.1,8.0,16.7,3.0,6.3,11.0,22.9,17K167
RED HOOK NEIGHBORHOOD SCHOOL,4,2015,Male,19,288.0,8.0,42.1,10.0,52.6,1.0,5.3,0.0,0.0,1.0,5.3,15K676
PS 280,3,2015,Male,72,284.0,34.0,47.2,24.0,33.3,12.0,16.7,2.0,2.8,14.0,19.4,30Q280
PS 031 WILLIAM T DAVIS,All Grades,2013,Female,111,280.0,64.0,57.7,35.0,31.5,11.0,9.9,1.0,0.9,12.0,10.8,31R031
PS 527  EAST SIDE SCHOOL FOR SOCIAL ACTION,All Grades,2016,Female,17,345.0,0.0,0.0,2.0,11.8,10.0,58.8,5.0,29.4,15.0,88.2,02M527
ESMT IS 190,7,2017,Female,44,302.0,12.0,27.3,15.0,34.1,14.0,31.8,3.0,6.8,17.0,38.6,12X190
PRUCE STREET SCHOOL,All Grades,2015,Male,74,332.0,3.0,4.1,17.0,23.0,34.0,45.9,20.0,27.0,54.0,73.0,02M397
PSMS 031 THE WILLIAM LLOYD GARRISON,4,2015,Female,28,267.0,22.0,78.6,5.0,17.9,0.0,0.0,1.0,3.6,1.0,3.6,07X031
PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,6,2013,Male,49,278.0,24.0,49.0,23.0,46.9,1.0,2.0,1.0,2.0,2.0,4.1,11X468
PS 094 DAVID D PORTER,5,2014,Female,34,326.0,3.0,8.8,13.0,38.2,7.0,20.6,11.0,32.4,18.0,52.9,26Q094
IS 364 GATEWAY,8,2013,Male,72,290.0,24.0,33.3,31.0,43.1,14.0,19.4,3.0,4.2,17.0,23.6,19K364
PS 333 MANHATTAN SCHOOL FOR CHILDREN,4,2014,Male,39,319.0,2.0,5.1,18.0,46.2,12.0,30.8,7.0,17.9,19.0,48.7,03M333
MS 596 PEACE ACADEMY,6,2014,Male,10,272.0,7.0,70.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,13K596
CIENCE TECHNOLOGY AND RESEARCH EARLY COLLEGE HS AT ERASMUS,All Grades,2013,Female,102,313.0,6.0,5.9,52.0,51.0,33.0,32.4,11.0,10.8,44.0,43.1,17K543
PS 149 DANNY KAYE,4,2016,Female,62,298.0,20.0,32.3,26.0,41.9,15.0,24.2,1.0,1.6,16.0,25.8,19K149
PS 036 UNIONPORT,4,2015,Male,55,292.0,23.0,41.8,21.0,38.2,8.0,14.5,3.0,5.5,11.0,20.0,08X036
PS 008 LUIS BELLIARD,5,2016,Male,31,279.0,17.0,54.8,12.0,38.7,2.0,6.5,0.0,0.0,2.0,6.5,06M008
PS 327 DR ROSE B ENGLISH,4,2016,Female,30,285.0,17.0,56.7,8.0,26.7,4.0,13.3,1.0,3.3,5.0,16.7,23K327
PS 094 KINGS COLLEGE SCHOOL,All Grades,2015,Female,276,285.0,133.0,48.2,106.0,38.4,29.0,10.5,8.0,2.9,37.0,13.4,10X094
JHS 074 NATHANIEL HAWTHORNE,7,2017,Male,183,327.0,19.0,10.4,42.0,23.0,70.0,38.3,52.0,28.4,122.0,66.7,26Q074
PAULA HEDBAVNY SCHOOL,5,2016,Male,20,303.0,5.0,25.0,6.0,30.0,7.0,35.0,2.0,10.0,9.0,45.0,06M278
TOMPKINS SQUARE MIDDLE SCHOOL,6,2013,Female,60,307.0,13.0,21.7,25.0,41.7,11.0,18.3,11.0,18.3,22.0,36.7,01M839
PSIS 295,6,2014,Female,32,307.0,4.0,12.5,17.0,53.1,8.0,25.0,3.0,9.4,11.0,34.4,29Q295
IS 232,7,2014,Female,75,282.0,44.0,58.7,23.0,30.7,8.0,10.7,0.0,0.0,8.0,10.7,09X232
BRONX WRITING ACADEMY,6,2015,Male,56,274.0,31.0,55.4,22.0,39.3,3.0,5.4,0.0,0.0,3.0,5.4,09X323
PSMS 11X498  VAN NEST ACADEMY,8,2016,Female,47,323.0,2.0,4.3,14.0,29.8,21.0,44.7,10.0,21.3,31.0,66.0,11X498
PS 66,7,2013,Female,46,307.0,10.0,21.7,21.0,45.7,12.0,26.1,3.0,6.5,15.0,32.6,18K066
PS K225  THE EILEEN E ZAGLIN,6,2013,Female,52,286.0,19.0,36.5,29.0,55.8,3.0,5.8,1.0,1.9,4.0,7.7,21K225
THE BELLAIRE SCHOOL,3,2016,Female,65,320.0,6.0,9.2,31.0,47.7,23.0,35.4,5.0,7.7,28.0,43.1,29Q135
PSIS 104 THE FORT HAMILTON SCHOOL,7,2014,Male,72,308.0,13.0,18.1,28.0,38.9,27.0,37.5,4.0,5.6,31.0,43.1,20K104
IS 117 JOSEPH H WADE,All Grades,2013,Female,283,276.0,170.0,60.1,88.0,31.1,22.0,7.8,3.0,1.1,25.0,8.8,09X117
CONSELYEA PREPARATORY SCHOOL,6,2013,Male,82,300.0,23.0,28.0,32.0,39.0,20.0,24.4,7.0,8.5,27.0,32.9,14K577
PS 116 ELIZABETH L FARRELL,3,2016,Male,40,298.0,15.0,37.5,16.0,40.0,8.0,20.0,1.0,2.5,9.0,22.5,32K116
COMMUNITY ACTION SCHOOL  MS 258,7,2015,Female,36,297.0,12.0,33.3,19.0,52.8,4.0,11.1,1.0,2.8,5.0,13.9,03M258
PS K225  THE EILEEN E ZAGLIN,3,2016,Female,47,319.0,9.0,19.1,13.0,27.7,20.0,42.6,5.0,10.6,25.0,53.2,21K225
JHS 157 STEPHEN A HALSEY,8,2016,Female,210,329.0,19.0,9.0,46.0,21.9,60.0,28.6,85.0,40.5,145.0,69.0,28Q157
PIONEER ACADEMY,5,2015,Male,91,297.0,34.0,37.4,34.0,37.4,22.0,24.2,1.0,1.1,23.0,25.3,24Q307
MOTT HALL V,8,2017,Male,49,302.0,10.0,20.4,19.0,38.8,18.0,36.7,2.0,4.1,20.0,40.8,12X242
PS 164 QUEENS VALLEY,4,2017,Male,28,309.0,5.0,17.9,11.0,39.3,8.0,28.6,4.0,14.3,12.0,42.9,25Q164
PS 071 FOREST,5,2013,Female,77,306.0,18.0,23.4,37.0,48.1,20.0,26.0,2.0,2.6,22.0,28.6,24Q071
PS 66,7,2015,Male,54,291.0,22.0,40.7,25.0,46.3,7.0,13.0,0.0,0.0,7.0,13.0,18K066
BROOKLYN STUDIO SECONDARY SCHOOL,All Grades,2013,Female,92,301.0,26.0,28.3,28.0,30.4,32.0,34.8,6.0,6.5,38.0,41.3,21K690
IS 204 OLIVER W HOLMES,All Grades,2013,Male,372,289.0,142.0,38.2,170.0,45.7,52.0,14.0,8.0,2.2,60.0,16.1,30Q204
CORNERSTONE ACADEMY FOR SOCIAL ACTION,5,2013,Male,28,295.0,11.0,39.3,11.0,39.3,6.0,21.4,0.0,0.0,6.0,21.4,11X189
PS 196 GRAND CENTRAL PARKWAY,All Grades,2015,Female,188,340.0,7.0,3.7,32.0,17.0,68.0,36.2,81.0,43.1,149.0,79.3,28Q196
NAPLES STREET ELEMENTARY SCHOOL,3,2017,Male,30,323.0,3.0,10.0,11.0,36.7,13.0,43.3,3.0,10.0,16.0,53.3,31R009
ACADEMY OF PUBLIC RELATIONS,8,2014,Male,42,259.0,30.0,71.4,12.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,07X298
PS 189,4,2014,Male,90,274.0,52.0,57.8,33.0,36.7,5.0,5.6,0.0,0.0,5.0,5.6,06M189
PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,6,2017,Male,49,300.0,10.0,20.4,27.0,55.1,8.0,16.3,4.0,8.2,12.0,24.5,29Q283
PS 321 WILLIAM PENN,All Grades,2017,Male,209,335.0,4.0,1.9,31.0,14.8,109.0,52.2,65.0,31.1,174.0,83.3,15K321
PARKSIDE PREPARATORY ACADEMY,7,2017,Male,70,297.0,21.0,30.0,32.0,45.7,16.0,22.9,1.0,1.4,17.0,24.3,17K002
THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,All Grades,2017,Male,143,281.0,80.0,55.9,45.0,31.5,15.0,10.5,3.0,2.1,18.0,12.6,09X274
PS 188 MICHAEL E BERDY,5,2017,Female,31,297.0,9.0,29.0,15.0,48.4,4.0,12.9,3.0,9.7,7.0,22.6,21K188
PS 175 CITY ISLAND,7,2013,Female,17,296.0,6.0,35.3,8.0,47.1,2.0,11.8,1.0,5.9,3.0,17.6,11X175
THE EAST VILLAGE COMMUNITY SCHOOL,4,2013,Female,8,309.0,2.0,25.0,2.0,25.0,3.0,37.5,1.0,12.5,4.0,50.0,01M315
PS 206 JOSEPH F LAMB,4,2017,Male,91,314.0,18.0,19.8,30.0,33.0,23.0,25.3,20.0,22.0,43.0,47.3,22K206
BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,7,2016,Female,57,304.0,14.0,24.6,25.0,43.9,14.0,24.6,4.0,7.0,18.0,31.6,09X505
PS 306,5,2017,Male,54,297.0,19.0,35.2,20.0,37.0,12.0,22.2,3.0,5.6,15.0,27.8,10X306
PS 085 JUDGE CHARLES VALLONE,All Grades,2013,Male,132,317.0,39.0,29.5,31.0,23.5,27.0,20.5,35.0,26.5,62.0,47.0,30Q085
PS 161 PEDRO ALBIZU CAMPOS,6,2014,Female,50,283.0,21.0,42.0,25.0,50.0,2.0,4.0,2.0,4.0,4.0,8.0,05M161
PS 132 JUAN PABLO DUARTE,4,2017,Male,44,278.0,18.0,40.9,20.0,45.5,5.0,11.4,1.0,2.3,6.0,13.6,06M132
PS 108 SAL ABBRACCIAMENTO,4,2016,Male,78,306.0,19.0,24.4,30.0,38.5,19.0,24.4,10.0,12.8,29.0,37.2,19K108
THE CHRISTA MCAULIFFE SCHOOL\IS 187,6,2015,Male,174,349.0,7.0,4.0,5.0,2.9,33.0,19.0,129.0,74.1,162.0,93.1,20K187
JHS 014 SHELL BANK,7,2013,Male,89,280.0,50.0,56.2,37.0,41.6,2.0,2.2,0.0,0.0,2.0,2.2,22K014
JHS 292 MARGARET S DOUGLAS,6,2017,Female,77,298.0,26.0,33.8,29.0,37.7,10.0,13.0,12.0,15.6,22.0,28.6,19K292
PS 070,All Grades,2017,Female,172,317.0,36.0,20.9,49.0,28.5,49.0,28.5,38.0,22.1,87.0,50.6,30Q070
DR JACQUELINE PEEK DAVIS SCHOOL,All Grades,2014,Male,42,278.0,24.0,57.1,15.0,35.7,2.0,4.8,1.0,2.4,3.0,7.1,17K012
NEW HEIGHTS MIDDLE SCHOOL,All Grades,2015,Male,161,270.0,118.0,73.3,37.0,23.0,5.0,3.1,1.0,0.6,6.0,3.7,17K722
MS 301 PAUL L DUNBAR,All Grades,2015,Male,91,259.0,77.0,84.6,13.0,14.3,1.0,1.1,0.0,0.0,1.0,1.1,08X301
IS 061 WILLIAM A MORRIS,7,2017,Male,131,289.0,59.0,45.0,38.0,29.0,28.0,21.4,6.0,4.6,34.0,26.0,31R061
RALPH A FABRIZIO SCHOOL,All Grades,2016,Female,245,313.0,50.0,20.4,78.0,31.8,82.0,33.5,35.0,14.3,117.0,47.8,20K170
LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,All Grades,2014,Female,88,300.0,27.0,30.7,38.0,43.2,20.0,22.7,3.0,3.4,23.0,26.1,10X307
PS 073 BRONX,3,2015,Female,46,273.0,30.0,65.2,13.0,28.3,2.0,4.3,1.0,2.2,3.0,6.5,09X073
JHS 157 STEPHEN A HALSEY,7,2016,Female,224,326.0,21.0,9.4,61.0,27.2,72.0,32.1,70.0,31.3,142.0,63.4,28Q157
PIONEER ACADEMY,5,2013,Female,15,298.0,5.0,33.3,7.0,46.7,3.0,20.0,0.0,0.0,3.0,20.0,24Q307
PS 140 EDWARD K ELLINGTON,All Grades,2016,Male,113,289.0,46.0,40.7,46.0,40.7,20.0,17.7,1.0,0.9,21.0,18.6,28Q140
PS 095 SHEILA MENCHER,8,2016,Female,59,301.0,13.0,22.0,28.0,47.5,14.0,23.7,4.0,6.8,18.0,30.5,10X095
PS 310 MARBLE HILL,3,2013,Male,51,280.0,32.0,62.7,13.0,25.5,6.0,11.8,0.0,0.0,6.0,11.8,10X310
PS 097 BRONX,3,2017,Male,53,299.0,15.0,28.3,24.0,45.3,14.0,26.4,0.0,0.0,14.0,26.4,11X097
PS 013 M L LINDEMEYER,3,2017,Male,65,309.0,14.0,21.5,18.0,27.7,31.0,47.7,2.0,3.1,33.0,50.8,31R013
PS 020 PORT RICHMOND,3,2017,Female,56,314.0,9.0,16.1,14.0,25.0,31.0,55.4,2.0,3.6,33.0,58.9,31R020
