school/base.School Name,school/base.School Type,school/base.Total Parent Response Rate (%),school/base.Total Teacher Response Rate (%),school/base.Total Student Response Rate (%),school/base.class,DBN
Eagle Academy for Young Men,MS/HS,37,69,90.0,True,09X231
P.S. 096 Richard Rodgers,ES,84,100,,False,11X096
P.S. 159 Luis Munoz Marin Biling,ES,92,100,,False,10X159
Aspire Preparatory Middle School,MS,25,45,95.0,True,11X322
P.S. X811,D75,31,68,94.0,False,75X811
P.S. Q023 @ Queens Children Center,D75,13,75,67.0,True,75Q023
P.S. 034 Franklin D. Roosevelt,ES/MS,40,88,94.0,True,01M034
Success Academy Charter School - Harlem 1,ES/MS,38,52,95.0,False,84M351
Andries Hudde,MS,25,94,95.0,True,22K240
GRANT AVENUE ELEMENTARY SCHOOL,ES,82,97,,False,09X449
M.S. 223 The Laboratory School of Finance and Technology,MS,61,97,98.0,False,07X223
P.S. 064 Robert Simon,ES,78,85,,False,01M064
Academy of Environmental Science Secondary High School,HS,87,100,94.0,True,04M635
DeWitt Clinton High School,HS,7,54,58.0,True,10X440
P.S. 046 Arthur Tappan,ES/MS,72,88,87.0,True,05M046
P.S. 042 Benjamin Altman,ES,91,93,,False,02M042
High School for Teaching and the Professions,HS,25,63,57.0,True,10X433
I.S. M286 Renaissance Leadership Academy,MS,64,64,94.0,False,05M286
P.S. 185 Walter Kassenbrock,ES,88,96,,False,20K185
Harvey Milk High School,HST,32,100,92.0,False,02M586
P.S. K004,D75,63,69,,False,75K004
P.S. 181 Brookfield,ES,63,96,,False,29Q181
P.S. 040 George W. Carver,ES,71,100,,False,16K040
Eximius College Preparatory Academy: A College Board School,HS,57,100,92.0,False,09X250
Brooklyn Theatre Arts High School,HS,22,100,83.0,True,18K567
P.S. 203 Oakland Gardens,ES,72,88,,False,26Q203
P.S. 095 The Gravesend,ES/MS,67,97,99.0,False,21K095
Achievement First Crown Heights Charter School,ES/MS,32,27,79.0,True,84K356
P.S. 121 Throop,ES,85,100,,False,11X121
P.S. K369 - Coy L. Cox School,D75,35,71,68.0,False,75K369
Hyde Leadership Charter School,ES/MS/HS,49,93,93.0,True,84X345
"I.S. X318 Math, Science & Technology Through Arts",MS,76,100,98.0,False,12X318
I.S. 219 New Venture School,MS,40,56,94.0,True,09X219
Community Partnership Charter School,ES/MS,58,83,97.0,False,84K702
M.S. 302 Luisa Dessus Cruz,MS,50,81,97.0,True,08X302
Knowledge and Power Preparatory Academy VI,MS,74,72,99.0,False,27Q282
P.S. 154 Jonathan D. Hyatt,ES,50,96,,True,07X154
P.S. 236 Langston Hughes,ECC,63,89,,False,09X236
"Business, Computer Applications & Entrepreneurship High School",HS,18,100,76.0,True,29Q496
M.S. 203,MS,65,96,97.0,True,07X203
Amistad Dual Language School,ES/MS,65,94,100.0,False,06M311
P.S. 222 Katherine R. Snyder,ES,83,95,,False,22K222
Abraham Lincoln Yabc,YABC,9,100,42.0,False,21K411
P.S. 055 Maure,ES,91,100,,False,28Q055
P.S. X114 - Luis Llorens Torres Schools,ES,66,82,,True,09X114
Marble Hill High School for International Studies,HS,61,93,97.0,True,10X477
Bronx Health Sciences High School,HS,20,91,88.0,True,11X249
New Visions Charter High School for the Humanities II,HS,50,87,94.0,True,84X208
P.S. 146 Edward Collins,ES,71,94,,False,08X146
"The Queens College School for Math, Science and Technology",ES/MS,61,93,100.0,True,25Q499
International Arts Business School,HS,5,90,78.0,True,17K544
New York City Montessori Charter School,ECC,34,55,,True,84X554
I.S. 141 The Steinway,MS,95,97,96.0,False,30Q141
P.S. 161 The Crown,ES/MS,63,63,91.0,True,17K161
P.S. 036 Margaret Douglas,ES,79,78,,False,05M036
Performing Arts and Technology High School,HS,42,61,68.0,False,19K507
P.S. 119 Amersfort,ES,54,94,,False,22K119
Pan American International High School,HS,38,93,79.0,True,24Q296
P.S. 013 Roberto Clemente,ES,44,94,,True,19K013
BATTERY PARK CITY SCHOOL,ES/MS,64,100,96.0,False,02M276
BRONX BRIDGES HIGH SCHOOL,HS,20,60,80.0,True,08X432
P.S. 111 Seton Falls,ES,19,59,,True,11X111
Forsyth Satellite Academy,HST,20,92,70.0,True,01M458
ESPERANZA PREPARATORY ACADEMY,MS/HS,79,100,98.0,False,04M372
Jamaica Gateway to the Sciences,HS,16,42,93.0,True,28Q350
Lower Manhattan Community Middle School,MS,36,83,95.0,False,02M896
"Elementary School for Math, Science, and Technology",ES,95,100,,False,10X382
Khalil Gibran International Academy,MS/HS,73,100,97.0,False,15K592
P.S. 134 Hollis,ES,51,79,,True,29Q134
P.S. 770 New American Academy,ECC,65,100,,False,17K770
BUSINESS OF SPORTS SCHOOL,HS,34,100,65.0,True,02M393
P.S. R373,D75,36,60,96.0,False,75R373
Professor Juan Bosch Public School,ECC,100,93,,False,06M178
P.S. Q016 The Nancy DeBenedittis School,ES,82,98,,False,24Q016
P.S. 288 The Shirley Tanyhill,ES/MS,41,68,98.0,True,21K288
ACADEMY FOR HEALTH CAREERS,HS,25,100,81.0,True,17K751
The Vida Bogart School for All Children,D75,31,68,95.0,True,75X352
P.S. 047 John Randolph,ES,82,83,,False,12X047
P.S. 155,ES,93,81,,False,27Q155
Explore Empower Charter School,ES,78,94,,False,84K742
J.H.S. 194 William Carr,MS,55,71,95.0,True,25Q194
High School of Telecommunication Arts and Technology,HS,15,90,90.0,False,20K485
I.S. 206 Ann Mersereau,MS,100,83,85.0,False,10X206
P.S./I.S. 187 Hudson Cliffs,ES/MS,79,88,99.0,True,06M187
I.S. 98 Bay Academy,MS,97,98,98.0,False,21K098
P.S. 143 Louis Armstrong,ES,27,91,,True,24Q143
J.H.S. 123 James M. Kieran,MS,47,92,90.0,True,08X123
P.S. 122 Mamie Fay,ES/MS,97,86,100.0,False,30Q122
Pelham Preparatory Academy,HS,65,89,93.0,False,11X542
P.S. 020 Anna Silver,ES,71,79,,True,01M020
P.S. 110 Florence Nightingale,ES,86,94,,True,01M110
Staten Island Community Charter School,ECC,85,96,,False,84R071
P.S. 049 Willis Avenue,ES,71,57,,True,07X049
P.S. 032 State Street,ES,65,98,,False,25Q032
HIGH SCHOOL FOR COMMUNITY LEADERSHIP,HS,41,79,81.0,False,28Q328
Entrada Academy,MS,36,45,91.0,True,12X384
P.S. 130 Abram Stevens Hewitt,ES,89,100,,False,08X130
Icahn Charter School 2,ES/MS,90,100,0.0,False,84X378
GLOBAL TECHNOLOGY PREPARATORY,MS,37,100,95.0,False,04M406
J.H.S. 008 Richard S. Grossley,MS,43,78,90.0,True,28Q008
"New Explorations into Science, Technology and Math High School",ES/MS/HS,46,57,96.0,True,01M539
P.S. 051,ECC,73,95,,False,27Q051
P.S. 310 Marble Hill,ES,75,95,,False,10X310
Invictus Preparatory Charter School,MS,39,100,99.0,False,84K386
Cultural Academy for the Arts and Sciences,HS,37,78,85.0,True,18K629
P.S. 102 Joseph O. Loretan,ES,9,23,,True,12X102
A. Philip Randolph Campus High School,HS,15,94,25.0,False,06M540
Brooklyn Academy High School,HST,29,83,65.0,False,13K553
P.S. 056 Lewis H. Latimer,ES,97,86,,False,13K056
The Bellaire School,ES,42,77,,True,29Q135
P.S. 154 Queens,ES,68,80,,False,25Q154
Bronx Aerospace High School,HS,25,70,73.0,True,11X545
P.S. 134 Henrietta Szold,ES,29,74,,True,01M134
"High School for Mathematics, Science and Engineering at City College",HS,36,91,84.0,False,05M692
Brooklyn Secondary School for Collaborative Studies,MS/HS,33,68,88.0,True,15K448
Marta Valle High School,HS,10,75,46.0,True,01M509
University Heights Secondary School,HS,63,90,84.0,False,07X495
P.S. 089 Bronx,ES/MS,37,92,76.0,False,11X089
East Side Middle School,MS,64,100,100.0,False,02M114
New York City Academy for Discovery,ES,62,97,,False,27Q306
INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,HS,13,74,88.0,False,02M438
P.S. X014 Senator John Calandra,ES,87,93,,False,08X014
P.S. 158 Bayard Taylor,ES,54,71,,True,02M158
I.S. 195 Roberto Clemente,MS,70,59,77.0,True,05M195
Renaissance School of the Arts,MS,92,80,98.0,False,04M377
Jacqueline Kennedy Onassis High School,HS,13,58,77.0,True,02M529
P.S. 175 The Lynn Gross Discovery School,ES,83,100,,False,28Q175
P.S. 204 Vince Lombardi,ES,68,99,,False,20K204
P.S. 230 Doris L. Cohen,ES,69,94,,False,15K230
Pace High School,HS,83,100,100.0,True,02M298
Kurt Hahn Expeditionary Learning School,HS,16,100,86.0,False,18K569
Brooklyn High School of the Arts,HS,19,86,90.0,True,15K656
J. M. Rapport School Career Development,D75,19,74,57.0,True,75X754
New York City Lab Middle School for Collaborative Studies,MS,64,94,99.0,False,02M312
I.S. 30 Mary White Ovington,MS,67,96,98.0,True,20K030
J.H.S. 104 Simon Baruch,MS,86,100,97.0,True,02M104
LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,MS,51,100,96.0,False,84K360
Luisa Piñeiro Fuentes School of Science and Discovery,ES,100,96,,False,10X307
P.S. 129 John H. Finley,ES/MS,22,50,78.0,True,05M129
P.S. 196,ES,72,83,,False,12X196
J.H.S. 226 Virgil I. Grissom,MS,55,83,86.0,True,27Q226
P.S. Q086,ES,82,95,,False,28Q086
Edward R. Murrow High School,HS,27,89,90.0,True,21K525
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,MS,70,92,92.0,False,10X363
Information Technology High School,HS,32,96,84.0,True,30Q502
P.S. 099 Kew Gardens,ES,69,96,100.0,False,28Q099
Bronx Academy of Health Careers,HS,25,90,77.0,True,11X290
Jonathan Levin High School for Media and Communications,HS,7,55,65.0,True,09X414
P.S. 030 Queens,ES,56,79,,True,28Q030
I.S. 136 Charles O. Dewey,MS,28,100,93.0,True,15K136
P.S. 054 Charles W. Leng,ES,59,77,,True,31R054
P.S. 238 Anne Sullivan,ES/MS,82,89,99.0,False,21K238
P.S. 11 Thomas Dongan School,ES,56,91,,True,31R011
P.S./I.S. 217 Roosevelt Island,ES/MS,56,86,98.0,False,02M217
P.S. 239,ES,67,96,,False,24Q239
International High School at LaGuardia Community College,HS,76,94,90.0,False,24Q530
Baruch College Campus High School,HS,25,36,94.0,True,02M411
Pan American International High School at Monroe,HS,68,100,90.0,False,12X388
Success Academy Charter School - Bed-Stuy 1,ECC,40,100,,False,84K367
P.S. 050 Frank Hankinson,ES,57,69,,False,31R050
River East Elementary,ES,85,96,,False,04M037
City College Academy of the Arts,MS/HS,44,66,90.0,False,06M293
M.S. 113 Ronald Edmonds Learning Center,MS,29,100,87.0,True,13K113
I.S. 364 Gateway,MS,37,100,95.0,True,19K364
M.S. X101 Edward R. Byrne,MS,79,91,100.0,False,08X101
Global Community Charter School,ECC,32,90,,False,84M085
P.S./M.S. 280 Mosholu Parkway,ES/MS,58,78,78.0,False,10X280
P.S. 056 Harry Eichler,ES,74,97,,False,27Q056
P.S. K134,ES,84,84,,False,22K134
P.S. 209 Margaret Mead,ES/MS,77,78,99.0,False,21K209
P.S. 006,ES,19,42,,False,17K006
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,HS,36,50,89.0,True,03M485
P.S. 169 Bay Terrace,ES,67,100,,False,25Q169
P.S. 219 Paul Klapper,ES/MS,37,84,100.0,False,25Q219
Manhattan International High School,HS,70,90,93.0,False,02M459
P.S. 207 Elizabeth G. Leary,ES/MS,55,96,98.0,True,22K207
P.S./ I.S. 155 Nicholas Herkimer,ES/MS,85,100,93.0,False,23K155
P.S. 236 Mill Basin,ES,67,93,,True,22K236
P.S. 059 Beekman Hill International,ES,63,76,,False,02M059
P.S. 196 Ten Eyck,ES,74,94,,False,14K196
New Design High School,HS,3,88,31.0,True,02M543
P.S. 112 Jose Celso Barbosa,ECC,89,98,,False,04M112
MOTT HALL CHARTER SCHOOL,MS,92,100,97.0,False,84X177
M.S. 131,MS,64,34,94.0,True,02M131
John Adams Yabc,YABC,71,100,88.0,False,27Q487
Fordham Leadership Academy for Business and Technology,HS,28,94,65.0,False,10X438
I.S. 289,MS,63,74,98.0,False,02M289
P.S. 192 - The Magnet School for Math and Science Inquiry,ES/MS,74,79,100.0,False,20K192
P.S. 159,ES,76,88,,False,26Q159
P.S. 209,ECC,98,100,,False,10X209
P.S. 053 Bay Terrace,ES,91,100,,False,31R053
Young Leaders Elementary School,ES,66,73,,True,07X369
Midwood High School,HS,17,81,76.0,False,22K405
P.S. 030 Wilton,ES,97,81,,False,07X030
The High School of Fashion Industries,HS,27,76,92.0,True,02M600
Brooklyn Institute for Liberal Arts,HS,84,86,96.0,True,17K745
P.S. 321 William Penn,ES,43,77,,False,15K321
Urban Academy Laboratory High School,HST,18,100,68.0,False,02M565
The Peck Slip School,ECC,90,100,,False,02M343
P.S. 085 Judge Charles Vallone,ES,58,95,,False,30Q085
HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,HS,47,88,77.0,True,02M437
Hillcrest High School,HS,36,86,40.0,False,28Q505
English Language Learners and International Support Preparatory Academy (ELLIS),HS,19,90,72.0,False,10X397
P.S. 247 Brooklyn,ES,64,77,,False,20K247
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,MS,78,91,87.0,True,19K678
P.S. 9 Ryer Avenue Elementary School,ES,64,100,,True,10X009
M.S. M247 Dual Language Middle School,MS,68,70,99.0,False,03M247
Urban Assembly School for the Performing Arts,HS,15,72,52.0,True,05M369
P.S. 025 Bilingual School,ES,45,82,,False,07X025
P.S. 127 Mckinley Park,ES,73,97,,False,20K127
Mott Hall Bronx High School,HS,13,87,71.0,True,09X252
Eagle Academy for Young Men II,MS/HS,20,68,75.0,False,23K644
P.S. 189/ The Bilingual Center,ES/MS,63,94,97.0,True,17K189
Alfred E. Smith Campus YABC,YABC,23,65,42.0,False,07X456
P.S. 194 Raoul Wallenberg,ES,75,97,,False,22K194
P.S. 022,ES,46,62,,True,17K022
Millennium High School,HS,37,100,98.0,False,02M418
PS 5 Port Morris,ES,44,87,90.0,False,07X005
Bronx Global Learning Institute for Girls Charter School,ES,84,91,,False,84X389
P.S. 059 William Floyd,ES,85,36,,True,14K059
P.S. 184 Newport,ES/MS,69,75,77.0,True,23K184
P.S. 146 Howard Beach,ES/MS,74,100,100.0,False,27Q146
P.S. X088 - S. Silverstein Little Sparrow School,ECC,28,47,,False,09X088
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,HS,28,96,87.0,False,02M427
Kappa,MS,87,93,100.0,True,09X215
"Facing History School, The",HS,49,89,81.0,False,02M303
P.S. Q233,D75,30,68,94.0,False,75Q233
Leadership Prep Bedford Stuyvesant Charter School,ES/MS,57,92,97.0,False,84K517
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,MS,85,61,94.0,False,18K366
Academy of Urban Planning,HS,33,100,69.0,True,32K552
P.S. X721 - Stephen McSweeney School,D75,44,87,96.0,False,75X721
P.S. 39 Francis J. Murphy Jr.,ES,55,87,,False,31R039
Williamsburg High School for Architecture and Design,HS,58,100,93.0,False,14K558
P.S. 102 The Bayview,ES,90,87,,False,20K102
Antonia Pantoja Preparatory Academy: A College Board School,MS/HS,38,47,71.0,True,08X376
P.S. 161 Pedro Albizu Campos,ES/MS,48,81,90.0,True,05M161
P.S. 132 Juan Pablo Duarte,ES,62,89,,True,06M132
Rachel Carson High School for Coastal Studies,HS,51,70,93.0,True,21K344
Talent Unlimited High School,HS,49,96,94.0,True,02M519
P.S. 084 Steinway,ES/MS,89,87,100.0,False,30Q084
Bronx Envision Academy,HS,47,93,86.0,False,12X511
THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,MS,50,100,89.0,False,05M410
P.S. 106,ES,31,68,,True,27Q106
School of the Future High School,MS/HS,65,63,94.0,True,02M413
P.S. 003 Charrette School,ES,74,94,,False,02M003
J.H.S. 202 Robert H. Goddard,MS,78,97,94.0,False,27Q202
Success Academy Charter School - Bronx 1,ECC,78,100,,False,84X493
Validus Preparatory Academy: An Expeditionary Learning School,HS,26,50,61.0,True,09X263
Freedom Academy High School,HS,16,90,78.0,True,13K509
Martin Van Buren High School,HS,23,100,76.0,True,26Q435
P.S. 160 Walter Francis Bishop,ES,47,88,,False,28Q160
P.S. 015 Roberto Clemente,ES,66,100,,False,01M015
P.S. 209 Clearview Gardens,ES,82,84,,False,25Q209
Gramercy Arts High School,HS,70,82,95.0,True,02M374
P.S. 005 Huguenot,ES,97,100,,False,31R005
PS 536,ECC,63,86,,False,12X536
P.S. 371 - Lillian L. Rashkis,D75,44,64,56.0,False,75K371
P.S. 216 Arturo Toscanini,ES,87,97,,False,21K216
El Puente Academy for Peace and Justice,HS,33,100,83.0,False,14K685
P.S. 203 The School for Future Leaders,ES,57,48,,False,22K203
I.S. 5 - The Walter Crowley Intermediate School,MS,73,88,96.0,True,24Q005
Pathways College Preparatory School: A College Board School,MS/HS,56,83,88.0,True,29Q259
Rockaway Collegiate High School,HS,31,100,79.0,True,27Q351
Bronx Academy High School,HST,13,100,92.0,False,08X560
P.S. /I.S. 384 Frances E. Carter,ES/MS,81,100,96.0,False,32K384
Frederick Douglass Academy VI High School,HS,29,78,74.0,True,27Q260
MURRAY HILL ACADEMY,HST,62,100,97.0,True,02M432
P.S. 044 Marcus Garvey,ES,49,76,,False,13K044
P.S. 089 Elmhurst,ES,97,95,,False,24Q089
P.S. 081 Thaddeus Stevens,ES,44,100,,False,16K081
P.S. 234 Independence School,ES,71,84,,False,02M234
P.S. 092 Adrian Hegeman,ES,36,93,,False,17K092
South Richmond High School I.S./P.S. 25,D75,43,73,66.0,False,75R025
"Heritage School, The",HS,68,100,91.0,True,04M680
P.S. 009 Sarah Anderson,ES,79,100,,False,03M009
Renaissance High School for Musical Theater & Technology,HS,21,88,86.0,False,08X293
P.S. M079 - Horan School,D75,60,62,100.0,True,75M079
Achievement First East New York Charter School,ES/MS,36,87,90.0,False,84K358
P.S. 038 George Cromwell,ES,100,73,,False,31R038
P.S. 017 Henry David Thoreau,ES,81,93,,False,30Q017
Kappa V,MS,100,84,100.0,True,23K518
P.S. 140 Nathan Straus,ES/MS,41,85,96.0,True,01M140
Leadership Institute,HS,58,73,61.0,False,09X276
The Urban Assembly Unison School,MS,60,100,100.0,True,13K351
Bread & Roses Integrated Arts High School,HS,27,89,79.0,True,05M685
The High School for Global Citizenship,HS,37,95,57.0,True,17K528
Bronx Community High School,HST,15,76,54.0,False,08X377
I.S. 211 John Wilson,MS,47,73,89.0,True,18K211
Brooklyn Bridge Academy,HST,24,78,81.0,False,18K578
I.S. 075 Frank D. Paulo,MS,83,99,98.0,False,31R075
I.S. 250 The Robert F. Kennedy Community Middle School,MS,54,100,97.0,False,25Q250
Academy for Language and Technology,HS,49,100,92.0,False,09X365
Queens High School for the Sciences at York College,HS,27,83,98.0,False,28Q687
J.H.S. 302 Rafael Cordero,MS,44,55,84.0,True,19K302
J.H.S. 118 William W. Niles,MS,77,83,98.0,True,10X118
P.S. 084 Jose De Diego,ES,55,74,,False,14K084
New Visions Charter High School for the Humanities,HS,27,29,70.0,True,84X553
Ebbets Field Middle School,MS,73,97,93.0,True,17K352
P.S. 018 Edward Bush,ES,96,89,,False,14K018
The Angelo Patri Middle School,MS,43,94,77.0,True,10X391
P.S. 256 Benjamin Banneker,ES,79,81,,False,13K256
Townsend Harris High School,HS,33,96,94.0,False,25Q525
P.S. 377 Alejandrina B. De Gautier,ES/MS,62,82,97.0,True,32K377
I.S. 096 Seth Low,MS,80,84,98.0,True,21K096
Women's Academy of Excellence,HS,13,68,87.0,True,08X282
Learning To Work Yabc At Monroe Academy,YABC,42,86,44.0,False,12X428
P.S. 196 Grand Central Parkway,ES,86,100,,False,28Q196
P.S. 093 Albert G. Oliver,ES,100,74,,False,08X093
East New York Family Academy,MS/HS,37,83,86.0,True,19K409
P.S. 094 The Henry Longfellow,ES,76,68,,True,15K094
P.S. 034 Oliver H. Perry,ES,87,84,,False,14K034
P.S. 100 The Coney Island School,ES,84,89,,False,21K100
Frederick Douglass Academy VIII Middle School,MS,80,80,98.0,False,19K452
Peninsula Preparatory Academy Charter School,ES,100,92,,False,84Q170
ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY,HS,18,91,71.0,True,27Q324
August Martin High School,HS,14,70,58.0,True,27Q400
P.S. 56 The Louis Desario School,ES,94,70,,False,31R056
Staten Island Technical High School,HS,90,98,99.0,False,31R605
High School for Youth and Community Development at Erasmus,HS,48,91,85.0,True,17K537
"Urban Assembly School of Business for Young Women, the",HS,62,72,80.0,True,02M316
RED HOOK NEIGHBORHOOD SCHOOL,ES,36,77,,False,15K676
J.H.S. 210 Elizabeth Blackwell,MS,53,62,94.0,True,27Q210
BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,HS,11,92,59.0,True,12X479
Queens Collegiate: A College Board School,MS/HS,39,96,86.0,True,28Q310
P.S. 183 Robert L. Stevenson,ES,61,90,,False,02M183
Satellite Academy High School,HST,14,100,75.0,False,02M570
Academy for Conservation and the Environment,HS,47,100,82.0,True,18K637
P.S. M094,D75,40,63,,True,75M094
M.S. 035 Stephen Decatur,MS,97,100,100.0,False,16K035
P.S. 205 Fiorello Laguardia,ES,98,100,,False,10X205
P.S. 035,D75,14,82,49.0,True,75M035
Samuel Gompers Career and Technical Education High School,HS,15,71,54.0,True,07X655
Urban Institute of Mathematics,MS,47,64,93.0,False,08X371
Franklin Delano Roosevelt YABC,YABC,14,59,46.0,False,20K658
Medgar Evers College Preparatory School,MS/HS,67,48,81.0,False,17K590
P.S. 262 El Hajj Malik El Shabazz Elementary School,ES/MS,48,54,92.0,False,16K262
Uncommon Charter HS,HS,51,100,90.0,False,84K999
Claremont International HS,HS,67,100,100.0,False,09X564
P.S. 069 Jackson Heights,ES,58,96,,False,30Q069
P.S. 026 Rufus King,ES,62,81,,False,26Q026
Explorations Academy,HS,27,60,75.0,True,12X251
P.S. 333 Manhattan School for Children,ES/MS,66,69,93.0,False,03M333
P.S. 041 Greenwich Village,ES,73,96,,False,02M041
The Urban Assembly School for Law and Justice,HS,53,100,93.0,False,13K483
Institute for Collaborative Education,MS/HS,26,88,89.0,False,02M407
Future Leaders Institute Charter School,ES/MS,51,100,99.0,True,84M861
P.S. 398 Walter Weaver,ES,77,88,,False,17K398
P.S. 022 Thomas Jefferson,ES,93,84,,False,25Q022
P.S. 254 Dag Hammarskjold,ES,95,98,,False,22K254
Benjamin N. Cardozo High School,HS,21,85,81.0,True,26Q415
Grand Concourse Academy Charter School,ES,80,100,,False,84X165
P.S. 094 Kings College School,ES,57,81,,False,10X094
Foreign Language Academy of Global Studies,HS,33,90,89.0,True,07X520
Cascades High School,HST,30,100,87.0,False,01M650
Academy of Finance and Enterprise,HS,71,100,98.0,False,24Q264
Success Academy Charter School - Cobble Hill,ECC,46,100,,False,84K129
J.H.S. 166 George Gershwin,MS,50,85,92.0,True,19K166
Manhattan Theatre Lab High School,HS,8,71,53.0,True,03M283
P.S. 244 Richard R. Green,ES,15,52,,False,18K244
P.S. / I.S. 54,ES,67,100,,True,10X054
P.S. 224 Hale A. Woodruff,ES,89,87,,False,19K224
J.H.S. 278 Marine Park,MS,53,92,93.0,False,22K278
P.S. 97 The Highlawn,ES,86,84,,False,21K097
BAYCHESTER ACADEMY,ES,70,90,,False,11X169
I.S. 318 Eugenio Maria De Hostos,MS,25,76,81.0,False,14K318
Peace and Diversity Academy,HS,99,95,98.0,False,12X278
P.S. 154 Harriet Tubman,ES,73,82,,True,05M154
P.S. 019 Roberto Clemente,ES,52,88,,False,14K019
P.S. 091 Richard Arkwright,ES,51,61,,False,24Q091
P.S. 232 Lindenwood,ES/MS,69,95,99.0,False,27Q232
P.S. Q222 - Fire Fighter Christopher A. Santora School,ECC,74,100,,False,30Q222
Urban Action Academy,HS,55,71,93.0,True,18K642
Life Academy High School for Film and Music,HS,50,94,77.0,False,21K559
"Ballet Tech, NYC Public School for Dance",ES/MS,61,89,100.0,False,02M442
Thomas A. Edison Career and Technical Education High School,HS,49,100,94.0,True,28Q620
P.S. 076 The Bennington School,ES,75,86,,True,11X076
P.S. 229 Emanuel Kaplan,ES,70,98,97.0,False,24Q229
Bard High School Early College Queens,HS,47,93,48.0,False,24Q299
Brooklyn Academy of Science and the Environment,HS,24,94,85.0,True,17K547
P.S. 174 Dumont,ES/MS,34,21,99.0,True,19K174
P.S. 226 Alfred De B.Mason,ES/MS,59,83,97.0,False,21K226
P.S. 024 Andrew Jackson,ES,72,90,,False,25Q024
P.S. 193 Alfred J. Kennedy,ES,71,78,,False,25Q193
P.S. 096,ES,57,87,,False,27Q096
School for Democracy and Leadership,MS/HS,61,100,93.0,True,17K533
P.S. 35 The Clove Valley School,ES,91,76,,False,31R035
M.S. 061 Dr. Gladstone H. Atwell,MS,41,76,93.0,True,17K061
P.S. 031 Samuel F. Dupont,ES,83,85,,False,14K031
Urban Assembly Institute of Math and Science for Young Women,MS/HS,14,72,73.0,True,13K527
Bronx Early College Academy for Teaching & Learning,MS/HS,41,82,89.0,True,09X324
P.S. 098 Shorac Kappock,ES,46,96,,True,06M098
"Urban Assembly Academy of Government and Law, The",HS,13,100,92.0,True,02M305
"Urban Assembly School for Applied Math and Science, The",MS/HS,58,98,75.0,True,09X241
Bronx Guild,HS,35,100,91.0,True,08X452
INNOVATION DIPLOMA PLUS,HST,49,100,47.0,False,03M404
P.S. 199 Frederick Wachtel,ES,71,79,,False,21K199
P.S. 299 Thomas Warren Field,ES,100,87,,True,32K299
P.S. 046 Alley Pond,ES,57,88,,False,26Q046
Growing Up Green Charter School,ES,60,96,,False,84Q321
Bronx High School for Writing and Communication Arts,HS,14,92,40.0,True,11X253
Ella Baker School,ES/MS,41,82,83.0,False,02M225
Academy for College Preparation and Career Exploration: A College Board School,MS/HS,8,79,87.0,True,17K382
Wave Preparatory Elementary School,ECC,69,96,,False,27Q362
Brooklyn East Collegiate Charter School,MS,75,95,77.0,False,84K780
The Mott Hall School,MS,75,95,99.0,True,06M223
P.S. 033 Chelsea Prep,ES,83,92,,False,02M033
Accion Academy,MS,65,100,91.0,False,12X341
P.S. X012 Lewis and Clark School,D75,12,35,58.0,True,75X012
P.S. 066 Jacqueline Kennedy Onassis,ES,96,78,,False,27Q066
Transit Tech Career and Technical Education High School,HS,11,85,75.0,True,19K615
P.S. 176 Cambria Heights,ES,57,89,,False,29Q176
Juan Morel Campos Secondary School,MS/HS,44,86,78.0,False,14K071
P.S. 007 Samuel Stern,ES/MS,50,77,95.0,True,04M007
It Takes a Village Academy,HS,61,100,93.0,False,18K563
Comprehensive Model School Project M.S. 327,MS/HS,71,86,84.0,False,09X327
Archer Elementary School,ECC,58,96,,False,12X531
"The High School for Enterprise, Business and Technology",HS,14,76,39.0,True,14K478
P.S. X017,D75,65,93,94.0,True,75X017
FORT GREENE PREPARATORY ACADEMY,MS,47,100,97.0,False,13K691
P.S. 035 Franz Siegel,ES,80,55,,False,09X035
P.S. 312 Bergen Beach,ES,81,94,,False,22K312
J.H.S. 057 Whitelaw Reid,MS,59,95,81.0,False,16K057
"High School for Construction Trades, Engineering and Architecture",HS,24,95,93.0,True,27Q650
High School for Language and Innovation,HS,75,88,95.0,False,11X509
High School of Economics and Finance,HS,42,96,89.0,False,02M489
P.S. 063 Author's Academy,ES,67,100,,False,09X063
Democracy Prep Charter School,MS/HS,60,93,87.0,False,84M350
Thomas Jefferson Yabc,YABC,6,88,55.0,False,19K431
Astor Collegiate Academy,HS,31,100,87.0,True,11X299
St. HOPE Leadership Academy Charter School,MS,91,100,99.0,False,84M388
High School for Environmental Studies,HS,10,99,74.0,True,02M400
Dr. Jacqueline Peek-Davis School,ES,56,79,,True,17K012
METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,MS/HS,63,100,89.0,False,28Q167
Success Academy Charter School - Harlem 4,ES,37,92,,False,84M386
