checking_status,credit_amount,own_telephone,property_magnitude
0<=X<200,3711.0,none,car
no checking,3594.0,none,life insurance
0<=X<200,3195.0,none,real estate
no checking,4454.0,none,real estate
0<=X<200,4736.0,none,car
0<=X<200,2991.0,none,car
no checking,2142.0,yes,real estate
<0,3161.0,yes,life insurance
0<=X<200,18424.0,yes,life insurance
no checking,2848.0,none,real estate
<0,14896.0,yes,no known property
<0,2359.0,none,life insurance
<0,3345.0,yes,life insurance
no checking,1817.0,none,no known property
no checking,12749.0,yes,car
<0,1366.0,none,life insurance
0<=X<200,2002.0,yes,life insurance
<0,6872.0,yes,life insurance
<0,697.0,yes,car
<0,1049.0,none,life insurance
<0,10297.0,yes,no known property
no checking,1867.0,yes,car
<0,1344.0,none,real estate
<0,1747.0,none,life insurance
0<=X<200,1670.0,yes,car
no checking,1224.0,none,real estate
no checking,522.0,yes,life insurance
<0,1498.0,none,car
0<=X<200,1919.0,none,no known property
>=200,745.0,none,real estate
0<=X<200,2063.0,yes,car
0<=X<200,6288.0,none,no known property
no checking,6842.0,yes,life insurance
no checking,3527.0,yes,life insurance
no checking,1546.0,none,real estate
no checking,929.0,yes,car
no checking,1455.0,none,real estate
<0,1845.0,none,life insurance
0<=X<200,8358.0,none,car
<0,3349.0,yes,no known property
no checking,2859.0,yes,no known property
no checking,1533.0,none,life insurance
no checking,3621.0,none,car
0<=X<200,3590.0,yes,car
<0,2145.0,yes,car
0<=X<200,4113.0,none,car
no checking,10974.0,yes,car
<0,1893.0,yes,life insurance
<0,1231.0,yes,life insurance
>=200,3656.0,none,life insurance
0<=X<200,1154.0,none,real estate
<0,4006.0,none,car
0<=X<200,3069.0,none,no known property
no checking,1740.0,none,real estate
0<=X<200,2353.0,none,life insurance
no checking,3556.0,none,no known property
no checking,2397.0,yes,car
0<=X<200,454.0,none,life insurance
0<=X<200,1715.0,none,car
0<=X<200,2520.0,none,life insurance
no checking,3568.0,yes,car
no checking,7166.0,yes,life insurance
<0,3939.0,none,real estate
0<=X<200,1514.0,none,real estate
no checking,7393.0,none,life insurance
<0,1193.0,none,no known property
<0,7297.0,none,no known property
no checking,2831.0,yes,car
>=200,1258.0,none,car
0<=X<200,753.0,none,real estate
0<=X<200,2427.0,none,life insurance
no checking,2538.0,none,car
0<=X<200,1264.0,none,life insurance
0<=X<200,8386.0,none,life insurance
no checking,4844.0,yes,car
>=200,2923.0,yes,car
<0,8229.0,none,life insurance
no checking,2028.0,none,life insurance
<0,1433.0,none,life insurance
>=200,6289.0,none,life insurance
no checking,1409.0,none,real estate
<0,6579.0,yes,no known property
0<=X<200,1743.0,none,life insurance
no checking,3565.0,none,life insurance
no checking,1569.0,none,car
<0,1936.0,none,car
<0,3959.0,yes,life insurance
no checking,2390.0,yes,car
no checking,1736.0,none,real estate
<0,3857.0,yes,life insurance
no checking,804.0,none,car
<0,1845.0,yes,no known property
0<=X<200,4576.0,none,car
