credit_amount,job,property_magnitude,purpose
433.0,skilled,life insurance,education
1228.0,unskilled resident,real estate,new car
790.0,unskilled resident,real estate,radio/tv
2570.0,skilled,real estate,new car
250.0,unskilled resident,real estate,new car
1316.0,unskilled resident,life insurance,radio/tv
1882.0,skilled,car,radio/tv
6416.0,skilled,no known property,business
1275.0,skilled,real estate,business
6403.0,skilled,car,radio/tv
1987.0,unskilled resident,real estate,radio/tv
760.0,unskilled resident,real estate,radio/tv
2603.0,skilled,car,used car
3380.0,skilled,real estate,new car
3990.0,unemp/unskilled non res,no known property,domestic appliance
11560.0,high qualif/self emp/mgmt,car,used car
4380.0,unskilled resident,car,new car
6761.0,high qualif/self emp/mgmt,no known property,new car
4280.0,unskilled resident,car,business
2325.0,skilled,car,new car
1048.0,unskilled resident,real estate,radio/tv
3160.0,skilled,life insurance,radio/tv
2483.0,skilled,real estate,furniture/equipment
14179.0,high qualif/self emp/mgmt,life insurance,furniture/equipment
1797.0,unskilled resident,life insurance,business
2511.0,skilled,car,new car
1274.0,unskilled resident,real estate,new car
5248.0,skilled,car,used car
3029.0,skilled,car,used car
428.0,skilled,life insurance,furniture/equipment
976.0,unskilled resident,car,new car
841.0,unskilled resident,real estate,business
5771.0,skilled,car,radio/tv
1555.0,skilled,no known property,repairs
1285.0,skilled,no known property,new car
1299.0,unemp/unskilled non res,real estate,new car
1271.0,skilled,no known property,radio/tv
1393.0,skilled,real estate,new car
691.0,skilled,life insurance,new car
5045.0,skilled,car,new car
2124.0,skilled,real estate,furniture/equipment
2214.0,unskilled resident,life insurance,radio/tv
12680.0,high qualif/self emp/mgmt,no known property,new car
2463.0,skilled,life insurance,new car
1155.0,unskilled resident,real estate,radio/tv
3108.0,unskilled resident,life insurance,furniture/equipment
2901.0,skilled,real estate,used car
3617.0,skilled,car,furniture/equipment
1655.0,unskilled resident,real estate,radio/tv
2812.0,skilled,real estate,used car
8065.0,high qualif/self emp/mgmt,no known property,education
3275.0,high qualif/self emp/mgmt,car,used car
2223.0,skilled,life insurance,radio/tv
1480.0,unemp/unskilled non res,no known property,new car
1371.0,skilled,real estate,new car
3535.0,skilled,car,new car
3509.0,skilled,real estate,radio/tv
5711.0,high qualif/self emp/mgmt,car,used car
3872.0,skilled,car,repairs
4933.0,skilled,real estate,radio/tv
1940.0,skilled,real estate,new car
1410.0,unskilled resident,real estate,retraining
836.0,unskilled resident,life insurance,new car
6468.0,high qualif/self emp/mgmt,real estate,used car
1941.0,unskilled resident,life insurance,business
2675.0,skilled,car,radio/tv
2751.0,skilled,car,used car
6224.0,skilled,no known property,education
5998.0,skilled,no known property,education
1188.0,skilled,life insurance,business
6313.0,high qualif/self emp/mgmt,car,used car
1221.0,skilled,life insurance,furniture/equipment
2892.0,skilled,no known property,furniture/equipment
3062.0,skilled,no known property,furniture/equipment
2301.0,skilled,life insurance,furniture/equipment
7511.0,skilled,life insurance,used car
1258.0,unskilled resident,life insurance,furniture/equipment
717.0,skilled,car,new car
1549.0,unemp/unskilled non res,real estate,new car
1597.0,skilled,no known property,education
1795.0,unskilled resident,real estate,radio/tv
4272.0,skilled,life insurance,furniture/equipment
976.0,skilled,car,radio/tv
7472.0,unemp/unskilled non res,real estate,new car
9271.0,skilled,car,new car
590.0,unskilled resident,real estate,radio/tv
930.0,skilled,real estate,radio/tv
9283.0,high qualif/self emp/mgmt,no known property,used car
1778.0,unemp/unskilled non res,real estate,new car
907.0,skilled,real estate,business
484.0,unskilled resident,real estate,radio/tv
9629.0,skilled,car,used car
3051.0,skilled,car,domestic appliance
3931.0,skilled,no known property,new car
7432.0,skilled,life insurance,new car
1338.0,skilled,real estate,domestic appliance
1554.0,skilled,car,radio/tv
15857.0,high qualif/self emp/mgmt,car,other
1345.0,skilled,real estate,radio/tv
1101.0,skilled,real estate,new car
3016.0,skilled,car,radio/tv
2712.0,skilled,life insurance,furniture/equipment
731.0,unskilled resident,real estate,new car
3780.0,high qualif/self emp/mgmt,car,furniture/equipment
1602.0,skilled,car,new car
3966.0,skilled,real estate,new car
4165.0,skilled,car,business
8335.0,skilled,no known property,used car
6681.0,skilled,no known property,business
2375.0,skilled,car,business
1216.0,skilled,car,new car
11816.0,skilled,car,business
5084.0,skilled,car,radio/tv
2327.0,unskilled resident,real estate,radio/tv
1082.0,skilled,car,new car
886.0,skilled,car,radio/tv
601.0,unskilled resident,real estate,furniture/equipment
2957.0,skilled,life insurance,used car
2611.0,skilled,real estate,radio/tv
5179.0,skilled,life insurance,furniture/equipment
2993.0,unskilled resident,real estate,used car
1943.0,skilled,real estate,repairs
1559.0,skilled,car,business
3422.0,skilled,life insurance,furniture/equipment
3976.0,skilled,car,furniture/equipment
6761.0,skilled,car,new car
1249.0,skilled,real estate,new car
1364.0,skilled,real estate,radio/tv
709.0,unskilled resident,real estate,radio/tv
2235.0,skilled,life insurance,new car
4042.0,skilled,life insurance,used car
1471.0,skilled,no known property,radio/tv
1442.0,unskilled resident,no known property,new car
10875.0,skilled,car,new car
1474.0,skilled,real estate,new car
894.0,skilled,life insurance,retraining
3343.0,skilled,no known property,furniture/equipment
3959.0,skilled,life insurance,new car
3577.0,skilled,real estate,new car
5804.0,skilled,real estate,used car
2169.0,skilled,car,business
2439.0,skilled,real estate,radio/tv
4526.0,unskilled resident,real estate,furniture/equipment
2210.0,unskilled resident,real estate,furniture/equipment
2221.0,skilled,car,furniture/equipment
2389.0,skilled,car,radio/tv
3331.0,skilled,life insurance,furniture/equipment
7409.0,skilled,life insurance,business
652.0,skilled,life insurance,furniture/equipment
7678.0,skilled,car,furniture/equipment
1343.0,skilled,real estate,new car
1382.0,skilled,real estate,business
874.0,skilled,real estate,domestic appliance
3590.0,unskilled resident,life insurance,furniture/equipment
1322.0,skilled,car,new car
1940.0,high qualif/self emp/mgmt,no known property,radio/tv
3595.0,skilled,car,radio/tv
1422.0,high qualif/self emp/mgmt,no known property,new car
6742.0,skilled,life insurance,radio/tv
7814.0,high qualif/self emp/mgmt,car,used car
9277.0,skilled,no known property,used car
2181.0,skilled,real estate,new car
1098.0,unemp/unskilled non res,car,radio/tv
4057.0,skilled,car,furniture/equipment
795.0,skilled,life insurance,education
2825.0,skilled,no known property,business
15672.0,skilled,car,business
6614.0,high qualif/self emp/mgmt,car,new car
7824.0,skilled,real estate,used car
2442.0,high qualif/self emp/mgmt,car,business
1829.0,skilled,car,radio/tv
2171.0,unskilled resident,life insurance,new car
5800.0,skilled,car,used car
1169.0,skilled,life insurance,radio/tv
8947.0,high qualif/self emp/mgmt,car,used car
2606.0,high qualif/self emp/mgmt,life insurance,radio/tv
1592.0,skilled,life insurance,furniture/equipment
2186.0,unskilled resident,real estate,furniture/equipment
4153.0,skilled,car,furniture/equipment
2625.0,skilled,life insurance,new car
3485.0,skilled,real estate,new car
10477.0,skilled,no known property,used car
1386.0,skilled,real estate,radio/tv
1278.0,high qualif/self emp/mgmt,real estate,radio/tv
1107.0,high qualif/self emp/mgmt,real estate,radio/tv
3763.0,unskilled resident,real estate,new car
3711.0,skilled,car,education
3594.0,unskilled resident,life insurance,used car
3195.0,unskilled resident,real estate,new car
4454.0,skilled,real estate,radio/tv
4736.0,unskilled resident,car,furniture/equipment
2991.0,skilled,car,radio/tv
2142.0,skilled,real estate,business
3161.0,skilled,life insurance,business
18424.0,high qualif/self emp/mgmt,life insurance,other
2848.0,skilled,real estate,used car
14896.0,high qualif/self emp/mgmt,no known property,new car
2359.0,skilled,life insurance,furniture/equipment
3345.0,high qualif/self emp/mgmt,life insurance,furniture/equipment
1817.0,skilled,no known property,furniture/equipment
12749.0,high qualif/self emp/mgmt,car,radio/tv
1366.0,skilled,life insurance,radio/tv
2002.0,skilled,life insurance,new car
6872.0,skilled,life insurance,furniture/equipment
697.0,skilled,car,new car
1049.0,skilled,life insurance,furniture/equipment
10297.0,skilled,no known property,used car
1867.0,skilled,car,radio/tv
1344.0,unskilled resident,real estate,new car
1747.0,unskilled resident,life insurance,furniture/equipment
1670.0,skilled,car,radio/tv
1224.0,skilled,real estate,new car
522.0,skilled,life insurance,radio/tv
1498.0,skilled,car,radio/tv
1919.0,high qualif/self emp/mgmt,no known property,radio/tv
745.0,unskilled resident,real estate,radio/tv
2063.0,high qualif/self emp/mgmt,car,radio/tv
6288.0,skilled,no known property,education
6842.0,high qualif/self emp/mgmt,life insurance,used car
3527.0,high qualif/self emp/mgmt,life insurance,new car
1546.0,unskilled resident,real estate,new car
929.0,skilled,car,furniture/equipment
1455.0,unskilled resident,real estate,new car
1845.0,skilled,life insurance,furniture/equipment
8358.0,skilled,car,new car
3349.0,skilled,no known property,furniture/equipment
2859.0,high qualif/self emp/mgmt,no known property,new car
1533.0,unskilled resident,life insurance,furniture/equipment
3621.0,skilled,car,radio/tv
3590.0,unemp/unskilled non res,car,business
2145.0,skilled,car,business
4113.0,skilled,car,used car
10974.0,high qualif/self emp/mgmt,car,furniture/equipment
1893.0,skilled,life insurance,new car
1231.0,high qualif/self emp/mgmt,life insurance,radio/tv
3656.0,unskilled resident,life insurance,radio/tv
1154.0,unskilled resident,real estate,radio/tv
4006.0,unskilled resident,car,new car
3069.0,skilled,no known property,furniture/equipment
1740.0,skilled,real estate,radio/tv
2353.0,skilled,life insurance,new car
3556.0,skilled,no known property,new car
2397.0,skilled,car,radio/tv
454.0,unskilled resident,life insurance,repairs
1715.0,skilled,car,radio/tv
2520.0,unskilled resident,life insurance,radio/tv
3568.0,high qualif/self emp/mgmt,car,radio/tv
7166.0,skilled,life insurance,radio/tv
3939.0,unskilled resident,real estate,new car
1514.0,skilled,real estate,repairs
7393.0,unskilled resident,life insurance,new car
1193.0,unemp/unskilled non res,no known property,new car
7297.0,skilled,no known property,business
2831.0,skilled,car,radio/tv
1258.0,unskilled resident,car,radio/tv
753.0,skilled,real estate,radio/tv
2427.0,skilled,life insurance,business
2538.0,unskilled resident,car,new car
1264.0,skilled,life insurance,new car
8386.0,skilled,life insurance,furniture/equipment
4844.0,high qualif/self emp/mgmt,car,business
2923.0,high qualif/self emp/mgmt,car,new car
8229.0,skilled,life insurance,used car
2028.0,unskilled resident,life insurance,furniture/equipment
1433.0,skilled,life insurance,furniture/equipment
6289.0,skilled,life insurance,business
1409.0,skilled,real estate,radio/tv
6579.0,high qualif/self emp/mgmt,no known property,used car
1743.0,unskilled resident,life insurance,radio/tv
3565.0,unskilled resident,life insurance,education
1569.0,unskilled resident,car,radio/tv
1936.0,unskilled resident,car,radio/tv
3959.0,high qualif/self emp/mgmt,life insurance,furniture/equipment
2390.0,skilled,car,new car
1736.0,unskilled resident,real estate,furniture/equipment
3857.0,high qualif/self emp/mgmt,life insurance,used car
804.0,skilled,car,radio/tv
1845.0,skilled,no known property,radio/tv
4576.0,skilled,car,used car
