credit/table11.job,credit/table11.property_magnitude,credit/table11.purpose,credit_amount
unskilled resident,car,radio/tv,1546.0
skilled,car,radio/tv,5943.0
high qualif/self emp/mgmt,no known property,used car,10623.0
high qualif/self emp/mgmt,life insurance,furniture/equipment,1474.0
skilled,real estate,new car,1371.0
skilled,life insurance,radio/tv,1413.0
skilled,real estate,radio/tv,1149.0
skilled,life insurance,new car,4817.0
skilled,car,used car,3850.0
skilled,real estate,used car,1409.0
unskilled resident,car,furniture/equipment,1521.0
skilled,life insurance,furniture/equipment,1592.0
high qualif/self emp/mgmt,life insurance,business,4712.0
unskilled resident,car,radio/tv,1459.0
skilled,car,new car,3535.0
skilled,life insurance,radio/tv,1595.0
unskilled resident,car,new car,1199.0
skilled,car,furniture/equipment,2746.0
skilled,real estate,radio/tv,2329.0
high qualif/self emp/mgmt,life insurance,furniture/equipment,7374.0
skilled,real estate,radio/tv,3060.0
skilled,car,furniture/equipment,1131.0
skilled,life insurance,furniture/equipment,5179.0
unskilled resident,car,radio/tv,1936.0
skilled,real estate,furniture/equipment,4583.0
high qualif/self emp/mgmt,car,other,15857.0
skilled,real estate,new car,1163.0
skilled,life insurance,furniture/equipment,8386.0
skilled,life insurance,new car,1207.0
skilled,car,new car,1216.0
skilled,real estate,business,1185.0
skilled,car,new car,1372.0
skilled,car,new car,1322.0
skilled,life insurance,radio/tv,683.0
skilled,life insurance,radio/tv,1347.0
skilled,car,furniture/equipment,3244.0
unskilled resident,real estate,retraining,1410.0
high qualif/self emp/mgmt,car,education,1905.0
skilled,life insurance,furniture/equipment,3114.0
skilled,no known property,radio/tv,2279.0
skilled,real estate,new car,759.0
high qualif/self emp/mgmt,car,new car,1961.0
skilled,car,radio/tv,1245.0
skilled,no known property,used car,2964.0
skilled,life insurance,retraining,894.0
unskilled resident,real estate,new car,1274.0
skilled,no known property,new car,2150.0
skilled,real estate,radio/tv,2647.0
unskilled resident,car,new car,685.0
skilled,car,radio/tv,4594.0
skilled,real estate,radio/tv,2872.0
skilled,car,radio/tv,2404.0
high qualif/self emp/mgmt,life insurance,radio/tv,1231.0
unskilled resident,no known property,business,3844.0
skilled,car,radio/tv,2238.0
skilled,car,new car,9271.0
unskilled resident,no known property,new car,1597.0
high qualif/self emp/mgmt,no known property,business,8318.0
high qualif/self emp/mgmt,real estate,business,4439.0
unskilled resident,real estate,radio/tv,1655.0
skilled,real estate,furniture/equipment,1237.0
skilled,car,new car,900.0
skilled,car,new car,8487.0
high qualif/self emp/mgmt,life insurance,furniture/equipment,1050.0
skilled,real estate,new car,1343.0
high qualif/self emp/mgmt,life insurance,used car,7057.0
skilled,real estate,furniture/equipment,2146.0
skilled,no known property,education,12612.0
skilled,real estate,domestic appliance,343.0
high qualif/self emp/mgmt,no known property,used car,6615.0
skilled,car,radio/tv,3342.0
unskilled resident,car,radio/tv,1659.0
high qualif/self emp/mgmt,car,used car,3868.0
skilled,real estate,furniture/equipment,1808.0
skilled,car,new car,2134.0
unskilled resident,car,furniture/equipment,1123.0
unskilled resident,life insurance,radio/tv,730.0
high qualif/self emp/mgmt,no known property,new car,6458.0
skilled,life insurance,new car,2662.0
skilled,real estate,used car,5804.0
skilled,real estate,radio/tv,1484.0
skilled,real estate,radio/tv,932.0
