credit/table4.checking_status,credit/table4.credit_history,credit/table4.duration,credit_amount
0<=X<200,existing paid,12.0,1331.0
>=200,critical/other existing credit,24.0,1275.0
0<=X<200,critical/other existing credit,18.0,1887.0
>=200,existing paid,24.0,1377.0
no checking,existing paid,39.0,2569.0
>=200,existing paid,12.0,3016.0
<0,critical/other existing credit,36.0,8065.0
0<=X<200,critical/other existing credit,24.0,11938.0
0<=X<200,delayed previously,24.0,1553.0
no checking,existing paid,9.0,1449.0
0<=X<200,existing paid,48.0,5951.0
0<=X<200,existing paid,6.0,2063.0
>=200,existing paid,21.0,2923.0
<0,all paid,24.0,1546.0
no checking,existing paid,24.0,5943.0
<0,critical/other existing credit,30.0,10623.0
>=200,existing paid,12.0,1474.0
<0,existing paid,24.0,1371.0
no checking,existing paid,24.0,1413.0
no checking,critical/other existing credit,18.0,1149.0
<0,existing paid,24.0,4817.0
no checking,critical/other existing credit,18.0,3850.0
<0,critical/other existing credit,12.0,1409.0
0<=X<200,existing paid,10.0,1521.0
no checking,critical/other existing credit,12.0,1592.0
0<=X<200,delayed previously,24.0,4712.0
no checking,critical/other existing credit,15.0,1459.0
no checking,critical/other existing credit,36.0,3535.0
no checking,existing paid,6.0,1595.0
<0,critical/other existing credit,24.0,1199.0
<0,all paid,36.0,2746.0
0<=X<200,existing paid,7.0,2329.0
0<=X<200,critical/other existing credit,18.0,7374.0
0<=X<200,existing paid,48.0,3060.0
<0,existing paid,18.0,1131.0
<0,existing paid,36.0,5179.0
<0,existing paid,18.0,1936.0
<0,no credits/all paid,30.0,4583.0
<0,existing paid,36.0,15857.0
no checking,critical/other existing credit,12.0,1163.0
0<=X<200,critical/other existing credit,30.0,8386.0
<0,existing paid,24.0,1207.0
<0,existing paid,18.0,1216.0
no checking,critical/other existing credit,12.0,1185.0
<0,existing paid,12.0,1372.0
0<=X<200,critical/other existing credit,11.0,1322.0
>=200,delayed previously,6.0,683.0
>=200,critical/other existing credit,10.0,1347.0
0<=X<200,no credits/all paid,18.0,3244.0
0<=X<200,no credits/all paid,12.0,1410.0
>=200,existing paid,15.0,1905.0
<0,no credits/all paid,18.0,3114.0
no checking,existing paid,12.0,2279.0
<0,existing paid,12.0,759.0
>=200,existing paid,18.0,1961.0
0<=X<200,critical/other existing credit,18.0,1245.0
<0,existing paid,24.0,2964.0
no checking,existing paid,10.0,894.0
<0,existing paid,12.0,1274.0
0<=X<200,existing paid,30.0,2150.0
<0,existing paid,6.0,2647.0
0<=X<200,existing paid,12.0,685.0
no checking,existing paid,18.0,4594.0
no checking,critical/other existing credit,24.0,2872.0
no checking,critical/other existing credit,18.0,2404.0
<0,critical/other existing credit,24.0,1231.0
0<=X<200,no credits/all paid,48.0,3844.0
no checking,critical/other existing credit,18.0,2238.0
<0,existing paid,36.0,9271.0
no checking,existing paid,10.0,1597.0
0<=X<200,no credits/all paid,27.0,8318.0
0<=X<200,existing paid,18.0,4439.0
no checking,critical/other existing credit,12.0,1655.0
0<=X<200,existing paid,8.0,1237.0
<0,existing paid,12.0,900.0
0<=X<200,existing paid,48.0,8487.0
0<=X<200,delayed previously,6.0,1050.0
>=200,critical/other existing credit,6.0,1343.0
0<=X<200,delayed previously,20.0,7057.0
no checking,critical/other existing credit,10.0,2146.0
0<=X<200,existing paid,36.0,12612.0
<0,existing paid,6.0,343.0
<0,critical/other existing credit,24.0,6615.0
no checking,critical/other existing credit,36.0,3342.0
<0,delayed previously,24.0,1659.0
no checking,critical/other existing credit,24.0,3868.0
no checking,delayed previously,18.0,1808.0
no checking,critical/other existing credit,9.0,2134.0
no checking,existing paid,12.0,1123.0
no checking,critical/other existing credit,7.0,730.0
no checking,all paid,18.0,6458.0
no checking,existing paid,18.0,2662.0
no checking,critical/other existing credit,24.0,5804.0
0<=X<200,existing paid,12.0,1484.0
no checking,delayed previously,6.0,932.0
