class,residence_since,num_dependents,employment,Key_0_0
good,2.0,1.0,1<=X<4,206
good,4.0,1.0,>=7,545
good,3.0,2.0,>=7,740
bad,4.0,1.0,>=7,457
bad,3.0,1.0,1<=X<4,362
bad,4.0,2.0,>=7,811
good,4.0,2.0,>=7,177
good,2.0,1.0,1<=X<4,73
good,4.0,1.0,>=7,23
good,3.0,1.0,>=7,803
good,4.0,1.0,<1,69
bad,4.0,2.0,>=7,241
good,4.0,1.0,<1,228
good,4.0,1.0,>=7,825
good,2.0,1.0,<1,610
good,4.0,2.0,>=7,213
good,4.0,1.0,>=7,936
good,4.0,1.0,>=7,198
good,4.0,1.0,>=7,709
good,2.0,1.0,unemployed,635
bad,1.0,1.0,4<=X<7,748
good,3.0,1.0,<1,345
good,4.0,1.0,>=7,64
good,2.0,1.0,unemployed,986
bad,1.0,1.0,<1,188
good,2.0,1.0,<1,467
good,3.0,1.0,4<=X<7,629
bad,4.0,1.0,4<=X<7,823
bad,4.0,1.0,1<=X<4,644
bad,4.0,2.0,4<=X<7,893
good,2.0,1.0,1<=X<4,280
good,4.0,1.0,1<=X<4,428
good,2.0,1.0,4<=X<7,770
good,3.0,1.0,unemployed,795
bad,3.0,1.0,1<=X<4,477
good,2.0,1.0,1<=X<4,593
good,1.0,1.0,1<=X<4,456
bad,2.0,2.0,>=7,289
good,4.0,1.0,>=7,296
good,2.0,1.0,<1,726
good,3.0,1.0,>=7,711
bad,4.0,1.0,>=7,597
bad,2.0,2.0,1<=X<4,951
bad,4.0,1.0,>=7,687
good,4.0,2.0,1<=X<4,917
good,2.0,2.0,1<=X<4,448
bad,3.0,1.0,<1,52
bad,4.0,1.0,>=7,890
good,4.0,1.0,>=7,958
bad,3.0,1.0,<1,319
bad,4.0,1.0,1<=X<4,326
good,2.0,1.0,1<=X<4,594
good,3.0,2.0,<1,621
good,4.0,1.0,>=7,513
good,3.0,1.0,>=7,956
bad,2.0,1.0,4<=X<7,310
good,2.0,1.0,1<=X<4,1
bad,4.0,1.0,<1,587
good,4.0,1.0,4<=X<7,781
good,4.0,2.0,>=7,806
good,3.0,1.0,4<=X<7,563
bad,4.0,1.0,1<=X<4,768
good,2.0,1.0,<1,350
good,4.0,1.0,4<=X<7,36
bad,4.0,1.0,>=7,645
bad,2.0,1.0,1<=X<4,412
good,4.0,1.0,4<=X<7,119
good,4.0,1.0,1<=X<4,46
bad,4.0,2.0,4<=X<7,349
good,2.0,2.0,>=7,222
good,3.0,1.0,<1,490
good,3.0,1.0,4<=X<7,459
good,2.0,1.0,1<=X<4,924
bad,2.0,1.0,1<=X<4,799
good,2.0,2.0,1<=X<4,15
good,2.0,1.0,1<=X<4,251
bad,2.0,1.0,1<=X<4,830
bad,4.0,1.0,<1,707
good,2.0,2.0,<1,872
bad,2.0,1.0,1<=X<4,218
good,4.0,1.0,1<=X<4,422
good,1.0,1.0,<1,264
good,4.0,1.0,>=7,744
good,2.0,1.0,>=7,38
good,4.0,1.0,>=7,398
good,4.0,1.0,4<=X<7,238
good,4.0,2.0,>=7,813
good,1.0,1.0,4<=X<7,689
good,1.0,1.0,<1,901
good,2.0,2.0,1<=X<4,475
good,4.0,1.0,1<=X<4,63
good,4.0,1.0,<1,578
good,2.0,1.0,>=7,346
bad,2.0,1.0,<1,212
good,3.0,1.0,4<=X<7,484
good,3.0,1.0,4<=X<7,295
good,4.0,1.0,1<=X<4,822
good,4.0,1.0,>=7,817
good,4.0,1.0,unemployed,84
bad,3.0,1.0,4<=X<7,327
bad,4.0,1.0,<1,382
good,3.0,2.0,4<=X<7,65
bad,2.0,1.0,1<=X<4,230
good,4.0,1.0,>=7,48
good,4.0,2.0,<1,409
good,4.0,2.0,>=7,354
good,4.0,1.0,>=7,276
good,4.0,1.0,1<=X<4,913
good,4.0,1.0,1<=X<4,630
good,3.0,1.0,1<=X<4,302
good,2.0,2.0,4<=X<7,603
good,4.0,1.0,<1,838
good,2.0,1.0,4<=X<7,511
good,4.0,1.0,4<=X<7,557
bad,3.0,1.0,1<=X<4,800
bad,4.0,1.0,>=7,253
good,4.0,1.0,<1,671
good,4.0,1.0,>=7,312
good,2.0,1.0,1<=X<4,820
good,1.0,1.0,>=7,950
good,2.0,2.0,1<=X<4,181
good,2.0,1.0,4<=X<7,887
good,2.0,1.0,1<=X<4,478
good,2.0,1.0,<1,270
good,2.0,1.0,1<=X<4,68
good,4.0,1.0,1<=X<4,756
bad,4.0,1.0,<1,343
good,4.0,1.0,>=7,605
good,2.0,1.0,>=7,182
bad,2.0,1.0,1<=X<4,204
bad,2.0,1.0,1<=X<4,388
good,2.0,2.0,1<=X<4,455
bad,4.0,1.0,>=7,868
bad,1.0,1.0,unemployed,406
bad,2.0,1.0,>=7,667
good,2.0,1.0,1<=X<4,47
good,1.0,1.0,4<=X<7,590
bad,4.0,1.0,<1,725
good,4.0,2.0,4<=X<7,95
bad,1.0,1.0,<1,356
bad,2.0,1.0,<1,833
good,4.0,1.0,<1,39
bad,4.0,2.0,4<=X<7,189
good,4.0,1.0,>=7,508
good,2.0,2.0,1<=X<4,677
good,1.0,1.0,<1,418
bad,2.0,1.0,<1,777
good,1.0,1.0,1<=X<4,423
good,4.0,2.0,>=7,9
good,1.0,1.0,1<=X<4,869
bad,3.0,1.0,<1,706
bad,2.0,1.0,1<=X<4,454
good,3.0,1.0,<1,774
bad,4.0,1.0,1<=X<4,121
good,4.0,2.0,1<=X<4,488
good,3.0,2.0,<1,582
good,2.0,2.0,1<=X<4,856
good,2.0,1.0,4<=X<7,826
good,1.0,2.0,4<=X<7,303
good,1.0,1.0,<1,705
good,1.0,1.0,<1,387
bad,4.0,2.0,<1,510
good,4.0,1.0,unemployed,243
bad,1.0,2.0,<1,389
bad,4.0,1.0,>=7,919
good,3.0,2.0,unemployed,880
bad,1.0,1.0,4<=X<7,338
bad,4.0,1.0,<1,351
bad,2.0,1.0,unemployed,313
good,4.0,1.0,1<=X<4,217
good,4.0,1.0,>=7,102
good,4.0,1.0,>=7,857
good,4.0,1.0,>=7,626
bad,2.0,1.0,1<=X<4,502
good,4.0,1.0,>=7,884
good,2.0,1.0,>=7,669
good,4.0,1.0,1<=X<4,983
good,2.0,1.0,1<=X<4,960
bad,2.0,1.0,>=7,324
good,1.0,1.0,<1,108
good,1.0,1.0,1<=X<4,129
bad,2.0,1.0,1<=X<4,128
good,2.0,1.0,>=7,262
good,4.0,1.0,4<=X<7,93
good,2.0,2.0,1<=X<4,757
good,2.0,1.0,1<=X<4,383
good,4.0,2.0,1<=X<4,715
bad,4.0,1.0,unemployed,328
bad,4.0,1.0,>=7,366
good,2.0,1.0,1<=X<4,66
good,3.0,1.0,1<=X<4,815
good,3.0,1.0,1<=X<4,194
good,2.0,1.0,>=7,141
bad,4.0,2.0,>=7,381
bad,2.0,1.0,1<=X<4,577
bad,2.0,1.0,4<=X<7,83
bad,2.0,1.0,unemployed,14
good,1.0,1.0,1<=X<4,165
bad,2.0,2.0,1<=X<4,246
good,2.0,1.0,4<=X<7,937
good,3.0,1.0,1<=X<4,202
good,1.0,1.0,<1,699
good,4.0,1.0,unemployed,53
good,2.0,1.0,unemployed,980
good,2.0,1.0,>=7,257
good,1.0,2.0,<1,746
good,4.0,2.0,>=7,533
good,4.0,1.0,4<=X<7,619
good,3.0,1.0,unemployed,443
good,3.0,1.0,>=7,96
good,4.0,1.0,4<=X<7,612
good,4.0,1.0,1<=X<4,476
good,4.0,1.0,>=7,829
bad,4.0,1.0,1<=X<4,559
good,4.0,1.0,unemployed,801
