band_type,customer,cylinder_number,grain_screened,ink_type,job_number,plating_tank,type_on_cylinder,unit_number
noband,roses,x753,no,coated,35761.0,1910,yes,9.0
band,gurney,w90,no,coated,37018.0,1911,yes,2.0
band,adco,t365,yes,uncoated,39200.0,1910,no,2.0
band,kmart,y270,no,coated,37371.0,1910,yes,2.0
band,hanoverhouse,t117,yes,uncoated,39027.0,1911,yes,2.0
band,hanoverhouse,t312,yes,uncoated,39027.0,1910,no,9.0
band,ames,g48,no,coated,37189.0,1910,yes,2.0
band,wards,t195,no,coated,37510.0,1910,yes,9.0
band,bestprod,f601,no,coated,37964.0,1910,yes,2.0
band,wards,f98,no,coated,37510.0,1910,no,2.0
band,bestprod,i357,no,coated,37965.0,1910,no,9.0
band,gurney,w92,no,coated,37018.0,1911,yes,9.0
band,childcraft,i365,yes,cover,34250.0,1911,no,2.0
band,modmat,i49,yes,uncoated,47301.0,1910,yes,2.0
band,modmat,i49,no,uncoated,47301.0,1911,yes,2.0
band,modmat,i49,yes,uncoated,47301.0,1911,yes,2.0
band,toysrus,g634,no,coated,35880.0,1910,yes,2.0
band,toysrus,g634,no,coated,35880.0,1910,?,2.0
band,toysrus,g69,no,coated,35880.0,1911,yes,2.0
band,tvguide,x768,yes,uncoated,25550.0,1911,yes,7.0
band,burdines,x13,no,coated,37068.0,1911,yes,2.0
band,sheplers,r30,yes,uncoated,35529.0,1911,yes,7.0
band,kidsrus,g407,yes,cover,29442.0,1910,yes,2.0
band,uscav,f620,yes,uncoated,35522.0,1911,no,2.0
band,colortile,x160,no,coated,37575.0,1910,yes,2.0
band,colortile,x7,yes,coated,34272.0,1910,yes,9.0
band,childcraft,i324,yes,uncoated,37001.0,1911,yes,7.0
band,sheplers,r6,yes,uncoated,35529.0,1910,yes,7.0
band,uscav,m374,yes,uncoated,35522.0,1911,no,7.0
band,kmart,aa1,no,coated,34514.0,1910,yes,7.0
band,kmart,aa17,no,coated,34514.0,1911,yes,7.0
band,tvguide,x139,yes,uncoated,25532.0,1910,yes,2.0
band,bestprod,t233,no,coated,37998.0,1910,?,2.0
band,guideposts,x216,yes,coated,23233.0,1911,yes,7.0
band,kmart,aa43,no,coated,34518.0,1911,no,7.0
band,penney,j29,no,coated,34014.0,1910,?,9.0
band,woolworth,x129,no,coated,34227.0,1910,yes,9.0
band,roses,g648,no,coated,36423.0,1910,yes,2.0
band,roses,x66,no,coated,34294.0,1910,yes,2.0
band,roses,g38,no,coated,34293.0,1910,yes,2.0
band,toysrus,x13,no,coated,34156.0,1911,yes,10.0
band,target,o5,no,coated,34453.0,1911,yes,2.0
band,target,r38,no,coated,34453.0,1910,yes,9.0
band,cvs,x36,yes,uncoated,34763.0,1911,?,2.0
band,cvs,x196,yes,uncoated,34763.0,1910,yes,2.0
band,toysrus,x292,no,uncoated,34157.0,1910,yes,2.0
band,target,r25,no,coated,34465.0,1910,yes,1.0
band,kmart,aa40,?,coated,34527.0,1910,yes,7.0
band,modmat,i347,yes,uncoated,47304.0,1911,yes,9.0
band,homeshop,1351,?,coated,36567.0,1910,no,2.0
band,kmart,aa28,?,uncoated,34533.0,1910,yes,2.0
band,hanoverhouse,f131,?,coated,34905.0,1910,yes,9.0
band,kmart,aa58,?,uncoated,34534.0,1911,yes,7.0
band,kmart,aa45,?,uncoated,34534.0,1911,yes,7.0
band,kmart,aa29,?,uncoated,34534.0,1911,yes,7.0
band,kmart,aa43,?,uncoated,34534.0,?,yes,7.0
band,homeshopping,i366,?,uncoated,36568.0,1911,?,2.0
band,bestprod,t31,?,uncoated,36054.0,1911,yes,2.0
band,venture,aa067,?,uncoated,24780.0,1911,yes,7.0
band,homeshop,i25,?,cover,36569.0,1910,yes,2.0
band,homeshop,i400,?,cover,36569.0,1910,yes,2.0
band,modmat,i305,?,coated,47401.0,1911,yes,2.0
band,target,r32,?,uncoated,35502.0,1910,yes,2.0
band,jfk,w368,?,coated,35986.0,1910,yes,7.0
band,colorfulimage,t30,?,coated,37046.0,1911,yes,7.0
band,bestprod,m337,?,cover,35831.0,1911,yes,2.0
band,kmart,aa56,?,uncoated,85725.0,1910,yes,7.0
band,toysrus,g433,?,uncoated,35661.0,1910,yes,2.0
band,eckerds,x799,?,uncoated,37392.0,1910,yes,2.0
band,modmat,i46,?,coated,47403.0,1911,yes,2.0
band,kmart,y209,?,uncoated,85741.0,1911,?,2.0
band,kmart,e302,?,uncoated,85750.0,1911,yes,2.0
band,modmat,i311,?,coated,47405.0,1911,yes,2.0
band,toysrus,t26,?,coated,37191.0,1911,yes,2.0
band,homeshop,t26,?,coated,35069.0,1911,yes,9.0
band,toysrus,m272,?,coated,37191.0,1910,yes,9.0
band,jcp,ee304,?,uncoated,35425.0,1911,yes,7.0
band,walmart,x255,?,uncoated,71331.0,1911,?,2.0
band,kmart,aa97,?,coated,85813.0,1910,yes,2.0
band,eckerd,e78,?,uncoated,38240.0,1911,no,2.0
band,eckerd,e38,?,uncoated,38240.0,1911,yes,9.0
band,kmart,aa7,?,uncoated,85813.0,1910,?,2.0
band,kmart,aa66,?,uncoated,85813.0,1910,?,9.0
band,best,j44,?,coated,38064.0,1910,yes,1.0
band,kmart,aa58,?,coated,85814.0,1910,?,2.0
band,kmart,aa70,?,uncoated,85814.0,1910,?,2.0
band,best,j70,?,uncoated,38064.0,1910,yes,1.0
