anode_space_ratio,band_type,blade_pressure,caliper,customer,cylinder_number,grain_screened,hardener,humifity,ink_temperature,ink_type,plating_tank,press_speed,proof_cut,roughness,timestamp,type_on_cylinder,unit_number,varnish_pct,wax
100.0,noband,25.0,0.3,eckerd,g467,no,1.0,92.0,16.0,coated,1910,1900.0,40.0,0.625,19900409,yes,2.0,1.1,2.5
96.9,band,33.0,0.3,jamesway,f227,no,0.0,75.0,14.0,coated,1911,2000.0,50.0,0.625,19900524,yes,1.0,0.0,0.0
96.9,band,38.0,0.2,burdines,g496,yes,0.2,72.0,16.0,uncoated,1910,1650.0,45.0,0.375,19900425,yes,9.0,15.0,2.5
100.0,band,,0.367,exxon,f329,yes,1.0,94.0,15.0,uncoated,1910,1500.0,60.0,1.0,19900418,yes,5.0,9.5,2.5
100.0,band,30.0,0.333,tvguide,x203,yes,1.0,74.0,18.0,uncoated,1911,1900.0,47.5,0.5,19900409,no,7.0,17.7,2.5
100.0,band,55.0,0.267,exxon,t313,yes,1.0,98.0,14.3,uncoated,1910,1600.0,47.5,0.75,19900417,yes,2.0,11.7,3.0
103.3,noband,20.0,0.3,target,r4,no,0.4,80.0,14.5,coated,1911,2400.0,37.5,1.0,19900606,yes,9.0,10.9,2.5
100.0,noband,32.0,0.267,target,r15,no,0.5,82.0,14.6,coated,1911,2400.0,52.5,,19900606,yes,2.0,10.5,2.5
96.6,noband,25.0,0.3,wards,x400,no,2.3,75.0,15.0,coated,1910,2300.0,45.0,0.75,19900517,yes,2.0,0.0,2.0
100.0,noband,35.0,0.3,target,o6,no,1.5,82.0,15.0,coated,1910,1720.0,40.0,1.0,19900426,no,9.0,0.0,1.5
103.2,noband,30.0,0.333,target,o14,no,3.0,75.0,15.0,coated,1910,1720.0,40.0,1.0,19900426,no,2.0,0.0,2.5
100.0,band,60.0,0.2,modmat,t244,yes,1.0,80.0,14.0,uncoated,1910,1700.0,50.0,0.75,19900505,no,7.0,4.4,2.5
100.0,noband,,0.233,modmat,m260,yes,0.6,79.0,13.23,uncoated,1910,1700.0,55.0,1.0,19900507,yes,1.0,18.9,2.0
96.8,noband,,0.267,modmat,t383,no,1.0,87.0,14.42,coated,1910,1700.0,40.0,1.0,19900507,yes,10.0,4.5,2.5
100.0,noband,50.0,0.2,modmat,t78,yes,0.9,82.0,14.5,uncoated,1910,1900.0,72.5,0.75,19900507,yes,2.0,2.2,3.0
103.3,noband,,0.2,modmat,m4,yes,0.9,69.0,16.08,uncoated,1910,1700.0,47.5,1.0,19900507,yes,5.0,3.3,2.5
100.0,band,30.0,0.3,modmat,f672,yes,0.5,72.0,15.0,uncoated,1910,1700.0,60.0,0.75,19900510,yes,2.0,15.9,3.0
100.0,noband,30.0,0.333,toysrus,x776,no,1.2,70.0,15.8,coated,1910,1900.0,50.0,,19900517,yes,9.0,0.0,2.5
100.0,noband,30.0,0.233,toysrus,x713,no,1.0,68.0,15.5,coated,1910,1900.0,50.0,0.8125,19900517,yes,2.0,0.0,1.5
100.0,noband,28.0,0.233,homeshopping,m432,no,1.2,80.0,15.0,coated,1910,1800.0,40.0,0.75,19900507,yes,9.0,0.0,2.5
100.0,noband,28.0,0.3,homeshopping,m257,no,1.2,88.0,15.0,coated,1910,1800.0,40.0,0.75,19900507,yes,2.0,0.0,2.5
103.3,noband,20.0,0.333,tvguide,x138,yes,0.8,80.0,14.1,uncoated,1911,1850.0,40.0,,19900606,no,7.0,24.8,2.5
,band,52.0,?,ntlwildlife,f670,yes,0.6,100.0,17.0,cover,?,1650.0,50.0,0.625,19900603,no,2.0,5.6,3.0
100.0,band,20.0,0.433,hanoverhouse,x787,yes,1.0,95.0,14.5,cover,1910,1950.0,52.5,0.75,19900617,no,7.0,0.0,2.0
100.0,band,70.0,0.2,natlwildlife,f590,yes,1.0,105.0,14.3,uncoated,1910,1600.0,50.0,0.75,19900602,no,2.0,0.0,3.0
96.7,noband,,0.333,jamesway,f19,no,1.0,84.0,15.0,coated,1911,,47.5,,19900608,?,6.0,5.6,2.5
96.9,noband,,?,jamesway,f89,no,1.0,80.0,15.0,coated,1911,,47.5,,19900608,?,1.0,5.6,2.5
90.0,noband,30.0,0.433,target,r17,no,1.0,81.0,15.9,coated,1910,2150.0,30.0,0.625,19900615,yes,9.0,0.0,2.5
90.0,noband,30.0,0.333,target,r29,no,1.0,78.0,16.3,coated,1910,2150.0,30.0,0.625,19900615,yes,2.0,0.0,2.5
103.3,noband,20.0,0.3,wards,x423,no,0.6,70.0,16.0,coated,1910,2250.0,30.0,0.8125,19900612,yes,2.0,0.0,1.5
103.3,noband,25.0,0.333,wards,x414,no,0.5,76.0,16.0,coated,1910,2250.0,30.0,0.875,19900612,yes,9.0,19.1,1.2
100.0,noband,30.0,0.467,wards,x84,no,1.0,98.0,15.0,coated,1910,2300.0,30.0,0.75,19900615,yes,9.0,0.0,2.25
100.0,noband,30.0,0.467,wards,x96,no,0.75,96.0,15.0,coated,1910,2300.0,30.0,0.75,19900615,yes,2.0,0.0,3.0
100.0,noband,38.0,0.433,childworld,g407,yes,1.1,90.0,16.3,uncoated,1910,1800.0,52.5,0.75,19900606,no,9.0,0.0,2.9
100.0,noband,38.0,0.233,childworld,g150,yes,1.0,82.0,15.0,uncoated,1910,1800.0,55.5,0.75,19900606,no,2.0,0.0,2.0
,noband,20.0,?,tvguide,x777,yes,0.8,85.0,14.6,uncoated,?,1850.0,40.0,,19900606,yes,2.0,21.7,2.5
93.5,noband,,0.3,downs,b6,yes,1.0,65.0,16.0,uncoated,1910,1300.0,50.0,0.75,19900614,yes,1.0,15.8,2.5
100.0,noband,,0.3,downs,f85,yes,0.7,90.0,16.5,uncoated,1910,1300.0,50.0,0.75,19900614,yes,6.0,11.3,2.5
100.0,band,49.0,0.367,global,i301,yes,1.1,92.0,13.0,cover,1910,1300.0,50.0,0.625,19900621,yes,7.0,0.0,3.0
100.0,noband,30.0,0.333,casualliving,f135,yes,0.9,86.0,14.0,uncoated,1910,1700.0,57.5,0.75,19900622,no,9.0,13.0,2.9
100.0,noband,28.0,0.3,casualliving,t178,yes,0.8,86.0,13.0,uncoated,1910,1700.0,55.0,0.75,19900622,no,2.0,13.7,3.0
,noband,30.0,?,campingworld,f257,?,1.0,80.0,15.5,coated,?,1750.0,,,19900611,yes,9.0,13.0,2.75
,noband,34.0,?,campingworld,f170,?,1.0,78.0,15.0,coated,?,1750.0,,0.625,19900611,yes,2.0,15.0,2.5
100.0,band,,0.4,childcraft,f77,yes,1.0,90.0,15.0,cover,1910,1500.0,50.0,0.75,19900622,no,6.0,0.0,2.5
100.0,band,30.0,0.233,tvguide,x95,yes,1.0,80.0,15.6,uncoated,1910,1950.0,55.0,1.0,19900626,no,7.0,35.8,2.7
103.2,band,30.0,0.333,oldvillageshop,m254,yes,1.0,82.0,13.5,uncoated,1910,1350.0,65.0,0.625,19900625,yes,2.0,0.0,2.5
100.0,band,40.0,0.4,globalequp,i347,no,1.0,100.0,14.0,uncoated,1910,1200.0,65.0,0.75,19900622,no,2.0,7.0,2.5
93.75,noband,24.0,0.3,wards,x116,no,0.6,,16.0,coated,1911,2200.0,50.0,0.875,19900625,?,6.0,0.0,1.2
103.2,band,32.0,0.4,oldvillageshop,m45,yes,1.0,74.0,15.0,uncoated,1910,1800.0,65.0,0.625,19900625,no,9.0,0.0,2.5
100.0,noband,24.0,0.333,wards,x273,no,0.6,75.0,15.5,coated,1911,2200.0,50.0,0.8125,19900625,?,2.0,0.0,1.5
96.9,band,30.0,0.167,yieldhouse,j6,yes,0.5,75.0,17.0,uncoated,1911,1700.0,62.5,0.75,19900702,yes,9.0,14.3,3.0
96.9,noband,25.0,0.2,ames,x135,no,1.1,75.0,15.0,coated,1911,2100.0,40.0,0.75,19900706,yes,9.0,0.0,2.4
96.9,noband,20.0,0.2,tvguide,x151,yes,0.8,80.0,14.0,uncoated,1911,1800.0,45.0,0.75,19900705,yes,2.0,18.0,2.5
,band,20.0,0.333,guideposts,x750,yes,1.0,71.0,14.5,uncoated,?,1650.0,50.0,0.625,19900330,no,7.0,11.1,2.5
100.0,band,25.0,0.333,massey,t245,yes,1.0,93.0,15.1,uncoated,1910,1650.0,60.0,1.0,19900707,yes,2.0,0.0,2.5
100.0,band,35.0,0.367,massey,f374,yes,0.5,100.0,13.5,uncoated,1910,1750.0,50.0,0.75,19900708,no,2.0,0.0,2.7
100.0,noband,45.0,0.3,modmat,b181,yes,0.6,80.0,16.5,uncoated,1910,1400.0,40.0,,19900710,yes,2.0,20.3,3.0
96.8,noband,60.0,0.433,modmat,m332,yes,0.9,70.0,16.0,uncoated,1911,1400.0,30.0,,19900710,yes,7.0,21.8,3.0
100.0,noband,28.0,0.3,massey,t234,yes,0.5,82.0,14.0,uncoated,1910,1700.0,37.5,0.625,19900710,yes,9.0,0.0,2.5
96.8,noband,,0.333,modmat,m39,yes,0.8,74.0,14.6,uncoated,1911,1400.0,50.0,0.75,19900710,yes,5.0,7.5,2.4
96.8,noband,,0.5,modmat,f450,yes,0.5,73.0,13.8,uncoated,1911,1400.0,57.5,0.75,19900710,yes,1.0,4.4,2.0
96.8,band,30.0,0.2,ames,x281,no,0.8,73.0,14.0,coated,1911,2100.0,45.0,0.75,19900706,yes,2.0,0.0,2.5
96.8,noband,20.0,0.2,hills,x346,no,0.6,87.0,14.7,coated,1911,2150.0,30.0,0.875,19900710,yes,9.0,0.0,1.5
100.0,noband,32.0,0.333,hills,x235,no,0.8,86.0,15.3,coated,1910,2150.0,40.0,0.8125,19900710,yes,2.0,0.0,2.2
96.8,noband,,0.4,modmat,b125,yes,1.0,87.0,15.0,coated,1911,1250.0,55.0,0.75,19900710,yes,10.0,0.0,2.5
96.8,noband,,0.4,modmat,t280,yes,1.0,93.0,15.0,coated,1911,1250.0,55.0,0.75,19900710,yes,9.0,0.0,2.5
93.75,band,26.0,0.3,rei,t8,yes,1.3,87.0,16.0,uncoated,1911,1450.0,60.0,0.625,19900726,no,2.0,10.5,3.0
105.2,noband,50.0,0.3,rei,f257,yes,0.7,103.0,18.0,uncoated,1910,1600.0,60.0,0.625,19900727,no,2.0,22.1,3.0
105.2,noband,58.0,0.367,rei,f261,yes,1.0,70.0,14.5,uncoated,1910,1600.0,57.5,0.625,19900726,no,7.0,20.2,3.0
93.75,noband,50.0,0.3,uscav,f264,yes,1.0,85.0,14.0,uncoated,1911,1660.0,62.5,0.75,19900723,no,7.0,3.5,3.0
105.2,noband,45.0,0.367,uscav,f294,yes,1.0,80.0,14.8,uncoated,1910,1660.0,65.0,0.375,19900723,no,2.0,19.5,3.0
93.75,noband,29.0,0.267,eckerds,x232,no,1.1,88.0,14.2,coated,1911,2350.0,50.0,1.0,19900723,yes,2.0,0.0,2.5
105.2,noband,41.0,0.333,eckerds,x750,no,1.0,72.0,13.0,coated,1910,2350.0,50.0,1.0,19900723,yes,10.0,0.0,2.0
105.2,noband,20.0,0.4,roses,x351,no,0.8,78.0,14.0,coated,1910,2100.0,45.0,0.75,19900723,no,2.0,25.6,2.5
105.2,noband,25.0,0.333,roses,x25,no,0.8,70.0,13.1,coated,1910,2100.0,50.0,0.75,19900723,yes,7.0,21.7,2.5
93.3,noband,25.0,0.267,target,o7,no,0.5,78.0,15.5,coated,1910,1900.0,32.5,1.0,19900620,?,2.0,0.0,2.5
103.2,noband,25.0,0.5,target,o15,no,0.8,78.0,15.5,coated,1910,1900.0,32.5,1.0,19900620,?,9.0,0.0,1.4
100.0,noband,35.0,0.2,wards,x753,no,1.1,72.0,15.0,coated,1911,2500.0,40.0,0.75,19900719,yes,9.0,0.0,2.1
100.0,noband,20.0,0.367,wards,x823,no,0.7,78.0,15.0,coated,1911,2500.0,40.0,0.75,19900719,yes,2.0,0.0,2.5
111.1,noband,20.0,0.2,wards,x60,no,0.6,80.0,15.0,coated,1910,2000.0,45.0,0.8125,19900718,yes,9.0,0.0,1.5
100.0,band,30.0,0.167,walmart,j40,?,1.0,75.0,16.0,uncoated,1910,1800.0,,0.5,19900806,no,9.0,0.0,2.1
111.1,noband,,0.4,roses,x153,no,1.0,88.0,15.2,coated,1910,2300.0,40.0,0.875,19900730,yes,2.0,5.9,2.5
111.1,noband,,0.333,roses,x272,no,1.1,90.0,14.7,coated,1910,2300.0,40.0,0.875,19900730,yes,9.0,0.0,3.0
93.3,noband,23.0,0.367,downs,f131,yes,1.0,79.0,16.2,uncoated,1910,1500.0,57.5,0.5,19900730,yes,2.0,19.0,3.0
105.1,noband,55.0,0.333,rei,f76,yes,0.8,88.0,16.5,uncoated,1910,1550.0,60.0,0.75,19900727,no,2.0,22.1,3.0
93.3,noband,30.0,0.3,downs,f383,yes,0.5,79.0,15.8,uncoated,1910,1500.0,55.0,0.5,19900730,yes,9.0,12.4,3.0
111.1,noband,50.0,0.3,rei,f374,yes,1.0,70.0,14.7,uncoated,1910,1550.0,60.0,0.75,19900727,no,7.0,20.2,3.0
111.1,noband,,0.3,wards,j15,no,1.1,78.0,15.2,coated,1910,2150.0,45.0,1.0,19900801,yes,2.0,13.3,2.5
111.1,noband,,0.267,wards,j38,no,0.4,80.0,14.7,coated,1910,2150.0,35.0,1.0,19900811,yes,9.0,5.5,2.5
100.0,band,32.0,0.5,walmart,j60,no,1.3,70.0,15.0,uncoated,1910,1950.0,35.0,0.5,19900804,yes,2.0,0.0,2.5
100.0,band,35.0,0.233,walmart,j60,no,1.5,70.0,15.0,coated,1910,2000.0,35.0,0.5,19900805,no,2.0,0.0,2.5
100.0,noband,26.0,0.333,walmart,j40,?,0.9,94.0,17.0,uncoated,1910,1900.0,,0.25,19900811,no,9.0,0.0,2.5
106.7,noband,34.0,0.2,walmart,j45,no,1.3,80.0,14.0,uncoated,1911,1900.0,,0.3125,19900811,no,2.0,3.4,2.5
96.8,noband,,0.2,ames,x315,no,0.9,84.0,15.6,coated,1910,2400.0,30.0,1.0,19900807,yes,2.0,0.0,2.5
96.8,noband,,0.333,ames,x766,no,1.4,92.0,15.8,coated,1910,2400.0,30.0,1.0,19900807,yes,9.0,0.0,3.0
100.0,noband,42.0,0.2,sheplers,w717,yes,0.8,70.0,14.5,uncoated,1910,1700.0,45.0,0.75,19900810,yes,7.0,5.3,3.0
100.0,noband,45.0,0.267,sheplers,w516,yes,0.6,75.0,13.5,uncoated,1910,1700.0,40.0,0.75,19900810,yes,2.0,0.0,3.0
100.0,noband,25.0,0.2,tvguide,x35,yes,0.9,75.0,16.2,uncoated,1910,1850.0,50.0,0.75,19900809,yes,7.0,3.3,2.7
106.9,noband,50.0,0.333,dunns,f633,yes,0.9,70.0,14.8,uncoated,1910,1420.0,45.0,0.75,19900813,no,7.0,13.0,3.0
106.9,noband,45.0,0.233,dunns,m200,yes,0.6,67.0,14.3,uncoated,1910,1420.0,45.0,0.75,19900813,no,2.0,12.3,3.0
103.3,noband,30.0,0.267,target,r15,no,1.0,90.0,14.0,coated,1911,2000.0,45.0,0.75,19900812,no,2.0,0.0,3.0
106.9,noband,25.0,0.233,mervyns,x65,no,0.8,68.0,15.8,coated,1910,2000.0,30.0,0.75,19900812,no,7.0,6.4,2.3
100.0,noband,30.0,0.5,walmart,x333,no,0.9,70.0,13.6,coated,1910,2000.0,30.0,0.8125,19900813,yes,9.0,0.0,2.3
106.9,noband,25.0,0.333,mervyns,x282,no,0.9,71.0,16.8,coated,1910,2000.0,30.0,0.75,19900812,yes,2.0,18.0,2.5
106.9,noband,30.0,0.167,walmart,x184,no,0.6,70.0,14.6,coated,1910,2000.0,30.0,0.8125,19900813,yes,2.0,0.0,1.5
106.9,noband,26.0,0.167,target,r22,no,1.0,90.0,18.0,coated,1910,1875.0,45.0,0.5,19900814,yes,9.0,8.3,3.0
106.9,noband,33.0,0.367,target,r23,no,0.9,100.0,15.0,coated,1910,2000.0,45.0,0.75,19900812,yes,9.0,2.3,2.75
100.0,noband,,0.3,dunns,f236,yes,0.9,78.0,15.5,uncoated,1910,1350.0,45.0,0.75,19900819,yes,1.0,11.1,2.2
103.3,noband,,0.233,dunns,f38,yes,0.5,64.0,16.0,uncoated,1911,1350.0,45.0,0.75,19900819,yes,5.0,11.1,2.5
100.0,noband,30.0,0.333,lazarus,x91,yes,1.0,85.0,14.9,uncoated,1910,1600.0,45.0,1.0,19900818,no,2.0,17.3,2.8
100.0,noband,30.0,0.367,lazarus,x132,yes,1.2,83.0,14.7,uncoated,1910,1600.0,30.0,1.0,19900818,no,10.0,10.8,2.6
93.75,noband,30.0,0.367,ames,x377,no,1.0,84.0,15.3,coated,1910,2400.0,57.5,1.0,19900820,yes,2.0,19.0,3.0
93.75,noband,30.0,?,ames,x129,no,1.0,78.0,14.2,coated,1910,2400.0,57.5,1.0,19900820,yes,10.0,10.5,2.5
108.1,band,28.0,0.367,galls,t204,yes,0.9,84.0,15.0,uncoated,1911,1600.0,47.5,0.75,19900830,?,1.0,2.2,3.0
100.0,noband,25.0,0.333,tvguide,x197,yes,0.8,70.0,15.2,uncoated,1911,1850.0,57.5,0.625,19900831,no,7.0,11.1,2.5
100.0,noband,25.0,0.267,tvguide,x138,yes,0.6,81.0,15.6,uncoated,1911,1850.0,57.5,0.75,19900831,no,2.0,9.8,2.7
93.75,noband,30.0,0.533,ames,x727,no,0.7,80.0,15.4,coated,1910,2400.0,40.0,0.8125,19900825,yes,2.0,10.2,1.7
93.75,noband,30.0,0.3,ames,x60,no,0.8,82.0,16.1,coated,1910,2400.0,45.0,0.75,19900825,yes,9.0,0.0,2.0
100.0,noband,,0.3,competitivedge,f192,yes,0.8,70.0,15.0,uncoated,1911,,40.0,,19900824,yes,1.0,10.0,2.5
93.75,noband,,0.3,competitivedge,m254,yes,1.0,70.0,15.0,uncoated,1910,1500.0,42.5,,19900824,yes,5.0,13.4,2.5
93.75,noband,55.0,0.333,austads,i353,yes,0.8,70.0,14.0,uncoated,1910,1600.0,52.5,0.625,19900821,no,7.0,7.9,3.0
93.75,noband,55.0,0.433,austads,i346,yes,0.5,80.0,14.0,uncoated,1910,1600.0,52.5,,19900821,yes,2.0,9.9,3.0
93.6,band,36.0,0.367,target,r6,no,1.0,72.0,15.2,coated,1910,2200.0,35.0,1.0,19900921,yes,1.0,0.0,2.5
93.75,band,33.0,0.267,target,r6,no,1.0,70.0,15.0,coated,1910,2350.0,35.0,1.0,19900921,no,1.0,0.0,2.5
,band,32.0,?,colortile,g657,no,1.5,72.0,16.0,coated,?,1673.0,,0.5,19900920,no,2.0,0.0,2.5
100.0,band,28.0,0.2,target,r7,no,1.0,73.0,15.5,coated,1910,1850.0,40.0,0.75,19900913,no,1.0,0.0,2.8
100.0,noband,45.0,0.233,modmat,f126,yes,1.0,70.0,14.5,uncoated,1911,1650.0,60.0,0.75,19900909,no,7.0,15.6,2.5
103.3,noband,32.0,0.267,modmat,f159,yes,1.3,88.0,14.9,uncoated,1910,1700.0,60.0,0.375,19900909,no,2.0,10.3,3.0
103.3,noband,40.0,0.3,modmat,f337,yes,1.0,60.0,14.5,uncoated,1910,1650.0,60.0,0.75,19900909,no,2.0,19.0,2.5
103.3,noband,28.0,0.267,modmat,f679,yes,0.6,86.0,15.0,uncoated,1910,1700.0,65.0,0.25,19900909,no,9.0,10.5,2.5
106.25,noband,,0.367,modmat,m103,yes,0.5,70.0,13.0,uncoated,1911,1600.0,55.0,,19900910,yes,5.0,14.1,2.5
106.25,noband,,0.367,modmat,m309,yes,0.8,68.0,12.0,uncoated,1911,1600.0,65.0,,19900910,yes,1.0,0.0,2.8
106.25,noband,,0.233,modmat,t284,yes,1.0,74.0,15.5,coated,1911,1600.0,55.0,,19900910,yes,10.0,0.0,2.5
90.3,noband,,0.2,modmat,t333,yes,0.7,71.0,14.0,coated,1910,1600.0,55.0,,19900910,yes,9.0,0.0,2.5
103.3,noband,38.0,0.267,modmat,f679,yes,0.7,80.0,14.5,uncoated,1910,1900.0,65.0,0.25,19900915,yes,9.0,15.8,2.9
103.3,noband,30.0,0.267,modmat,f159,yes,1.1,76.0,14.0,uncoated,1910,1900.0,60.0,0.375,19900915,yes,2.0,10.3,2.6
93.75,band,30.0,0.267,target,r6,no,0.9,82.0,14.0,coated,1910,2150.0,40.0,0.625,19900924,no,1.0,0.0,2.5
93.55,band,32.0,0.133,kmart,g55,no,0.9,80.0,14.0,coated,1910,2000.0,55.0,0.625,19901002,no,1.0,8.0,2.5
93.55,band,30.0,0.367,kmart,g55,no,1.0,76.0,14.5,coated,1910,2000.0,55.0,0.5,19901002,yes,1.0,8.0,2.5
93.55,band,22.0,0.267,tvguide,x753,yes,1.1,89.0,17.0,uncoated,1910,1650.0,55.0,1.0,19901003,no,7.0,10.4,2.5
96.97,band,32.0,0.2,kmart,g150,no,0.9,78.0,17.0,uncoated,1911,1900.0,55.0,0.25,19901002,yes,2.0,9.7,3.0
93.55,noband,35.0,0.2,toysrus,x271,no,1.0,70.0,16.0,coated,1910,2050.0,42.5,0.8125,19901001,yes,2.0,0.0,1.7
93.55,noband,30.0,0.2,toysrus,x251,no,1.0,76.0,15.0,coated,1910,2050.0,42.5,0.875,19901001,no,9.0,3.6,2.5
106.25,noband,20.0,0.233,walmart,x326,no,1.2,76.0,14.5,coated,1911,2225.0,35.0,0.75,19900926,no,9.0,0.0,2.7
106.25,noband,20.0,0.3,walmart,x206,no,1.2,74.0,14.5,coated,1911,2225.0,35.0,0.75,19900926,no,2.0,0.0,2.0
100.0,noband,35.0,0.233,target,r9,no,0.8,88.0,15.0,coated,1910,,30.0,0.75,19900926,yes,9.0,7.7,2.8
96.97,noband,25.0,0.433,tvguide,x820,yes,0.7,88.0,14.5,uncoated,1911,2000.0,47.5,0.625,19900926,no,2.0,34.5,2.5
96.97,noband,,0.367,modmat,f337,yes,0.7,76.0,14.0,uncoated,1911,1600.0,60.0,1.0,19900924,yes,1.0,5.6,2.5
96.97,noband,,0.4,modmat,f126,yes,0.7,72.0,16.0,uncoated,1911,1600.0,60.0,1.0,19900924,yes,5.0,15.2,2.1
114.3,band,30.0,0.3,kmart,g71,no,0.8,76.0,15.2,uncoated,1911,1700.0,47.5,0.75,19901006,no,9.0,17.5,2.5
107.4,noband,40.0,0.333,casliving,m74,yes,1.0,80.0,16.8,uncoated,1911,1700.0,42.5,0.625,19901007,yes,7.0,0.0,3.0
114.3,band,25.0,0.3,kmart,g67,no,0.8,72.0,15.0,uncoated,1911,1500.0,47.5,0.75,19901007,yes,9.0,22.0,2.5
114.3,band,28.0,0.333,kmart,g84,no,0.5,85.0,14.0,uncoated,1911,1800.0,47.5,0.75,19901004,yes,2.0,16.5,2.5
93.55,band,24.0,0.233,kmart,g150,no,0.9,76.0,18.0,uncoated,1910,1600.0,55.0,0.25,19901001,yes,2.0,10.0,3.0
107.4,band,40.0,0.333,brendls,x828,no,0.4,80.0,16.5,coated,1911,1800.0,30.0,0.625,19901005,yes,7.0,0.0,2.5
103.125,noband,45.0,0.233,casliving,m65,yes,0.7,70.0,18.0,uncoated,1910,1700.0,42.5,0.625,19901007,no,2.0,0.0,3.0
114.29,band,25.0,0.3,tvguide,x367,yes,1.0,65.0,14.0,uncoated,1911,1500.0,47.5,0.625,19901010,yes,7.0,16.1,2.5
114.29,noband,50.0,0.333,servmerch,t178,yes,1.0,80.0,,uncoated,1911,1391.0,60.0,0.625,19901017,yes,7.0,12.4,2.7
114.29,noband,50.0,0.333,servmerch,t200,yes,0.7,70.0,,uncoated,1911,1391.0,60.0,0.625,19901017,yes,2.0,19.0,2.7
114.29,noband,28.0,0.3,target,r34,no,0.7,74.0,14.0,uncoated,1911,2500.0,35.0,0.25,19901010,yes,9.0,0.0,2.5
114.29,noband,25.0,0.3,target,r15,no,0.5,74.0,13.0,uncoated,1911,2500.0,40.0,0.25,19901010,yes,2.0,0.0,2.5
110.7,noband,30.0,0.333,ames,x420,no,1.5,85.0,14.0,coated,1911,2290.0,30.0,0.75,19901008,no,2.0,15.0,2.0
110.7,noband,30.0,0.3,ames,x389,no,1.0,80.0,15.0,coated,1911,2290.0,30.0,0.75,19901008,no,9.0,15.0,2.5
114.29,noband,30.0,0.333,toysrus,x37,no,1.2,80.0,16.3,coated,1911,2100.0,30.0,0.8125,19901014,yes,2.0,0.0,2.5
114.29,noband,30.0,?,toysrus,x771,no,1.2,72.0,14.9,coated,1911,2100.0,30.0,1.25,19901014,yes,9.0,3.6,2.5
100.0,band,,0.367,woolwrth,g465,no,1.1,75.0,13.0,coated,1910,2000.0,35.0,0.75,19901027,yes,9.0,0.0,2.5
98.3,band,28.0,0.267,tvguide,x185,yes,1.0,71.0,15.0,uncoated,1910,1500.0,52.5,0.75,19901101,yes,7.0,7.4,2.5
100.0,band,30.0,0.2,kmart,x199,yes,1.0,78.0,16.0,uncoated,1910,2100.0,65.0,0.75,19901102,no,2.0,12.0,2.0
100.0,noband,25.0,0.233,kmart,x251,yes,1.0,100.0,17.5,uncoated,1910,2250.0,65.0,1.125,19901031,no,9.0,17.5,2.5
100.0,noband,22.0,0.2,kmart,x199,yes,1.0,80.0,17.0,uncoated,1910,2250.0,65.0,1.0,19901031,no,2.0,15.0,2.5
96.77,band,,0.2,ames,g519,no,1.2,76.0,16.0,coated,1910,2180.0,37.5,0.9375,19901102,yes,9.0,0.0,2.9
,band,30.0,?,wards,g459,?,1.0,73.0,16.1,coated,?,2000.0,,0.625,19901023,yes,2.0,0.0,2.8
100.0,band,,0.367,woolworth,g465,no,1.1,75.0,13.0,coated,1910,2000.0,35.0,0.75,19901027,yes,9.0,0.0,2.5
101.67,band,32.0,0.3,woolworth,g3,no,0.9,78.0,15.9,coated,1910,2150.0,35.0,0.375,19901030,yes,9.0,0.0,1.7
96.77,band,25.0,0.233,ames,g98,no,1.0,85.0,15.5,coated,1910,2000.0,40.0,0.75,19901031,no,2.0,4.7,2.5
96.77,band,,0.267,ames,g625,no,0.8,78.0,17.2,coated,1910,2180.0,40.0,0.9375,19901102,yes,2.0,1.0,2.4
96.77,band,30.0,0.267,tvguide,x129,yes,1.0,72.0,17.0,uncoated,1910,1600.0,50.0,0.625,19901107,yes,7.0,14.3,2.5
100.0,band,20.0,0.2,tvguide,x243,yes,1.0,73.0,17.0,uncoated,1911,1800.0,50.0,0.4375,19901114,no,7.0,18.5,2.5
96.77,noband,52.0,0.2,modmat,t281,yes,1.0,76.0,13.5,uncoated,1910,1726.0,40.0,0.75,19901108,yes,2.0,4.4,3.0
96.77,noband,35.0,0.267,hills,g81,no,1.1,79.0,16.4,coated,1910,2400.0,40.0,0.3125,19901105,yes,9.0,0.5,2.6
100.0,band,24.0,0.233,hills,g81,no,1.0,70.0,15.0,coated,1910,0.0,40.0,0.25,19901109,no,9.0,0.5,3.0
100.0,band,28.0,0.2,woolworth,g462,no,0.0,80.0,13.0,coated,1910,1500.0,32.5,0.75,19901108,no,1.0,0.0,0.0
96.77,noband,34.0,0.233,hills,g108,no,0.9,81.0,15.6,coated,1910,2400.0,40.0,0.5,19901105,yes,2.0,0.0,
96.77,noband,32.0,0.2,hills,g640,no,0.9,80.0,15.8,coated,1910,2400.0,37.5,0.5,19901107,yes,7.0,0.0,2.5
101.67,noband,25.0,0.267,target,o28,no,1.0,75.0,14.9,coated,1910,1660.0,45.0,1.0,19901105,yes,2.0,10.5,2.5
101.67,noband,20.0,0.2,target,o21,no,,80.0,14.0,coated,1910,,45.0,,19901105,yes,9.0,7.6,
103.33,noband,30.0,0.2,kmart,x127,no,1.3,80.0,16.0,coated,1910,2200.0,45.0,0.75,19901107,no,2.0,3.1,2.5
96.77,noband,30.0,0.2,kmart,x374,no,1.3,72.0,15.5,coated,1910,2200.0,50.0,0.75,19901107,no,9.0,5.1,2.5
96.77,band,45.0,0.233,modmat,f601,yes,0.7,90.0,13.6,uncoated,1910,1386.0,40.0,0.75,19901106,no,7.0,0.0,3.0
