ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,New Georeferenced Column,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
805,M145,03M145,PS 145(MN),M145,150 WEST 105 STREET,M,3,343,150 WEST 105 STREET CONSOLIDATED LOCATION,2,"P.S. 145, The Bloomingdale School |  West Prep Academy |  150 WEST 105 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-85.025494 42.627459),23906,,,,
208,K178,23K178,PS 178(BROOKLYN),K178,2163 DEAN STREET,K,23,302,,1,PS 178(BROOKLYN),0,2,3,0,2,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.915367 40.675005),13516,55,2,17,46
509,K465,17K543,"SCIENCE,TECH., & RESEARCH EARLY COLLEGE HS@ERASMUS-STAR(BROOKLYN)",K543,911 FLATBUSH AVENUE,K,17,469,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,7,"ERASMUS HALL HS(BS) |ACADEMY FOR COLLEGE PREPARATION & CAREER EXPLORATION(BS)|ACADEMY OF HOSPITALITY &TOURISM(BS)|ERASMUS CAMPUS BUSINESS TEC(BS) |HS FOR YOUTH & COMMUNITY DEVELOPMENT@ERASMUS(BS)|HS FOR SERVICE & LEARNING@ERASMUS(BS)|SCIENCE,TECH., & RESEARCH EARLY COLLEGE HS@ERASMUS-STAR(BROOKLYN)",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-73.958476 40.649472),13510,60,2,11,43
314,K269,22K361,PS 361(BROOKLYN),K361,3109 NEWKIRK AVENUE,K,22,351,3109 NEWKIRK AVENUE CONSOLIDATED LOCATION,2,PS 269(BROOKLYN)  | PS 361(BROOKLYN)  | 1957 Nostand Avenue Consolidated Location,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-73.946979 40.640072),17217,61,2,26,40
923,M460,,40 IRVING PLACE CONSOLIDATED LOCATION,,40 IRVING PLACE,M,2,2265,40 IRVING PLACE CONSOLIDATED LOCATION,8,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving HS|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|Washington Irving evening school|40 IRVING PLACE CONSOLIDATED LOCATION,3,8,17,2,7,10C,2001-2500,1.21,7.43,22.93,3.29,4.29,POINT (-75.003693 40.152439),6974,,,,
283,K243,16K243,PS 243(BROOKLYN),K243,1580 DEAN STREET,K,16,223,,1,PS 243(BROOKLYN),0,1,2,0,1,2C,1-250,0.25,0.88,1.69,0.57,0.45,POINT (-73.93494 40.67606),17615,16,2,49,49
542,K515,18K637,ACADEMY FOR CONSERVATION & THE ENVIRONMENT(BS),K637,6565 Flatlands Avenue,K,18,222,6565 Flatlands Avenue CONSOLIDATED LOCATION,6,South Shore |Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment | 6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-73.916477 40.633516),13827,5,2,8,42
657,M030,85M030,P.S. 030 Hernandez/Hughes,M030,144-176 East 128 St.,M,85,240,144-176 East 128 St. CONSOLIDATED LOCATION,3,P.S. 030 Hernandez/Hughes|  P.S. 138|  Success Academy Charter School - Harlem 2|  144-176 EAST 128 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-84.369694 43.009296),9393,,,,
765,M121,04M038,PS 38(MANHATTAN),M038,232 EAST 103 STREET,M,4,199,232 EAST 103 STREET CONSOLIDATED LOCATION,2,PS 38(MANHATTAN) |  HARLEM PREP CHARTER SCHOOL(MN) |  232 EAST 103 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-81.594577 27.913066),1310,,,,
1057,Q024,25Q024,PS 24(QUEENS),Q024,141-11 HOLLY AVENUE,Q,25,983,,1,PS 24(QUEENS),0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-82.574486 27.412186),3994,,,,
1184,Q158,26Q158,MS 158(QN),Q158,46-35 OCEANIA STREET,Q,26,1061,,1,MS 158(QN),0,2,2,2,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-74.151298 40.695502),17000,,,,
402,K328,84K769,HYDE LEADERSHIP CHARTER SCHOOL BROOKLYN(BN),K769,330 ALABAMA AVENUE,K,19,343,330 ALABAMA AVENUE CONSOLIDATED LOCATION,2,P.S. 328 Phyllis Wheatley|Hyde Leadership Charter School- Brooklyn|330 ALABAMA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-81.670377 29.636791),24666,,,,
1038,Q007,24Q007,PS 7(QUEENS),Q007,80-55 CORNISH AVENUE,Q,24,932,,1,PS 7(QUEENS),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.882107 40.739407),14784,66,3,5,68
561,K625,,150 ALBANY AVENUE CONSOLIDATED LOCATION,,150 ALBANY AVENUE,K,17,770,150 ALBANY AVENUE CONSOLIDATED LOCATION,2,Pathways in Technology Early College High School  |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,1,9,11,3,4,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-93.719616 32.473872),12336,,,,
1074,Q041,26Q041,PS 41(QUEENS),Q041,214-43 35 AVENUE,Q,26,486,,1,PS 41(QUEENS),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-121.970482 36.957186),11500,,,,
1201,Q171,30Q171,PS 171(QUEENS),Q171,14-14 29 AVENUE,Q,30,460,,1,PS 171(QUEENS),0,1,1,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-72.801112 44.784948),2604,,,,
674,M044,,100 WEST 77 STREET CONSOLIDATED LOCATION,,100 WEST 77 STREET,M,3,1110,100 WEST 77 STREET CONSOLIDATED LOCATION,3,MS 245 COMPUTER SCHOOL(MN)| IS/JHS 247(MN)| THE ANDERSON SCHOOL(MN)|  100 WEST 77 STREET CONSOLIDATED LOCATION,1,0,2,0,1,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-81.565258 29.478932),24635,,,,
1029,M916,05M517,TEACHERS COLLEGE COMMUNITY SCHOOL(MN),M517,168 Morningside Ave.,M,5,272,,1,TEACHERS COLLEGE COMMUNITY SCHOOL(MN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.953284 40.812435),12424,37,4,36,17
1181,Q156,29Q289,QUEENS UNITED MIDDLE SCHOOL(QS),Q289,229-02 137 Avenue,Q,29,194,229-02 137 AVENUE CONSOLIDATED LOCATION,2,P.S. 156 Laurelton |  Queens United Middle School |  229-02 137 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-73.742884 40.672975),15313,63,3,47,63
531,K500,18K500,CANARSIE HS(BS),K617,1600 ROCKAWAY PARKWAY,K,18,SCHOOL CLOSED,1600 ROCKAWAY PARKWAY CONSOLIDATED LOCATION,4,Canarsie HS | High School for Innovation in Advertising and Medi |  High School for Medical Professions |  Urban Action Academy |  1600 ROCKAWAY PARKWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,POINT (-73.897959 40.641223),13827,5,2,8,42
955,M490,03M492,HS FOR LAW ADVOCACY & COMMUNITY JUSTICE(MN),M492,122 AMSTERDAM AVENUE,M,3,358,122 AMSTERDAM AVENUE CONSOLIDATED LOCATION,5,"High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-74.277678 40.657145),17004,,,,
1199,Q169,25Q294,BELL ACADEMY(QN),Q294,18-25 212 STREET,Q,25,370,18-25 212 STREET CONSOLIDATED LOCATION,2,P.S. 169 Bay Terrace |  BELL Academy |  18-25 212 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-106.54398 35.103207),6575,,,,
773,M125,05M362,Columbia Secondary School,M362,425 West 123rd St,M,5,604,425 West 123rd St CONSOLIDATED LOCATION,3,P.S. 125 Ralph Bunche|Columbia Secondary School|KIPP STAR College Prep Charter School|425 WEST 123 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,POINT (-90.439207 34.013793),15388,,,,
794,M136,05M685,BREAD & ROSES INTEGRATED ARTS  HS(MN),M685,6 EDGECOMBE AVENUE,M,5,SCHOOL CLOSED,6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,4,Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  Bread & Roses Integrated Arts High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,POINT (-73.947623 40.817461),12427,18,4,36,20
588,K806,15K592,KHALIL GIBRAN INTERNATIONAL ACADEMY,K592,50 Navy St.,K,15,216,,1,KHALIL GIBRAN INTERNATIONAL ACADEMY,0,4,3,1,2,2C,1-250,0.25,0.88,1.69,0.57,0.45,POINT (-73.980532 40.697845),16865,68,2,48,54
662,M040,02M040,PS 40 AUGUSTUS SAINT GAUDENS(MANHATTAN),M040,319 East 19th St,M,2,634,319 East 19th St CONSOLIDATED LOCATION,2,P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,POINT (-83.596608 42.590141),7641,,,,
718,M083,04M182,THE BILINGUAL BICULTURAL SCHOOL PS 182(MN),M182,219 EAST 109 STREET,M,4,320,219 EAST 109 STREET CONSOLIDATED LOCATION,2,P.S. 083 Luis Munoz Rivera |  The Bilingual Bicultural School |  219 EAST 109 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-83.436172 43.734021),75,,,,
890,M340,02M340,SIXTH AVENUE ELEMENTARY SCHOOL(MS),M340,590 Sixth Avenue,M,2,208,,1,SIXTH AVENUE ELEMENTARY SCHOOL(MS),0,1,0,0,1,2C,1-250,0.25,0.88,1.69,0.57,0.45,POINT (-73.710061 42.713263),1819,,,,
928,M465,06M468,HS FOR HEALTH CAREERS & SCIENCES(MN),M468,549 AUDUBON AVENUE,M,6,346,549 AUDUBON AVENUE CONSOLIDATED LOCATION,5,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-80.660106 28.010919),21888,,,,
908,M445,02M445,SEWARD PARK HS(MANHATTAN),M294,350 GRAND STREET,M,2,260,350 GRAND STREET CONSOLIDATED LOCATION,7,ESSEX STREET ACADEMY(MS)| THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT & LAW(MANHATTAN) |LOWER MANHATTAN ARTS ACADEMY(MS)|SEWARD PARK HS(MANHATTAN)|NEW DESIGN HS(MS)| HS FOR DUAL LANGUAGE & ASIAN STUDIES(MS) |SEWARD PARK GED(MANHATTAN)|350 GRAND STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-74.747046 40.204073),28083,,,,
378,K310,20K310,PS 310 (BS),K310,942 62ND STREET,K,20,410,,1,PS 310 (BS),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-122.919029 44.053645),1720,,,,
1144,Q119,24Q119,IS 119(QN),Q119,74-01 78 AVENUE,Q,24,1270,,1,IS 119(QN),0,0,4,0,0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,POINT (-87.814657 41.757037),10411,,,,
416,K356,23K392,I.S. 392,K392,104 SUTTER AVENUE,K,23,290,104 SUTTER AVENUE CONSOLIDATED LOCATION,2,P.S. 156 Waverly |  I.S. 392 |  104 SUTTER AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-73.918267 40.665949),17614,55,2,17,46
966,M510,,198 FORSYTH STREET CONSOLIDATED LOCATION,,198 FORSYTH STREET,M,1,272,198 FORSYTH STREET CONSOLIDATED LOCATION,2,Forsyth Satellite Academy |  Cascades High School |  198 FORSYTH STREET CONSOLIDATED LOCATION,0,4,18,2,2,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.990733 40.722532),11723,70,4,32,2
749,M111,02M111,PS 111(MS),M111,440 WEST 53 STREET,M,2,357,,1,PS 111(MS),0,0,3,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-80.292164 25.870688),22649,,,,
620,K994,13K595,BEDFORD ACADEMY HS(BN),K595,1119 Bedford Ave,K,13,263,,1,BEDFORD ACADEMY HS(BN),0,2,0,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-75.027868 39.931394),27936,,,,
429,K383,32K383,J.H.S. 383 Philippa Schuyler,K383,1300 GREENE AVENUE,K,32,862,1300 GREENE AVENUE CONSOLIDATED LOCATION,2,J.H.S. 383 Philippa Schuyler| Achievement First Bushwick Charter School| 1300 GREENE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,POINT (-73.91947 40.698094),13828,42,2,37,53
514,K470,17K544,Brooklyn Institute for Liberal Arts,K544,600 KINGSTON AVENUE,K,17,312,600 KINGSTON AVENUE CONSOLIDATED LOCATION,5,GEORGE WINGATE HS(BS) |GEORGE W. WINGATE HS GED (BS) |THE SCHOOL FOR HUMAN RIGHTS(BROOKLYN) | Brooklyn Institute for Liberal Arts |HS FOR PUBLIC SERVICE HEROES OF TOMORROW(BS),N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-73.942431 40.658787),16866,17,2,11,44
1155,Q131,29Q131,PS 131(QS),Q131,170-45 84 AVENUE,Q,29,808,,1,PS 131(QS),0,1,0,1,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.793915 40.716802),24340,25,3,24,65
433,K390,17K354,The School of Integrated Learning,K354,1224 PARK PLACE,K,17,263,1224 PARK PLACE CONSOLIDATED LOCATION,2,The School for Integrated Learning|KIPP AMP Charter School|1224 PARK PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-73.937248 40.672726),17615,16,2,49,49
1109,Q080,28Q080,PS 80(QUEENS),Q080,171-05 137 AVENUE,Q,28,494,,1,PS 80(QUEENS),0,3,3,1,2,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.768994 40.672879),24669,41,3,46,71
1237,Q201,25Q201,PS 201(QUEENS),Q201,65-11 155 STREET,Q,25,433,,1,PS 201(QUEENS),0,0,2,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.813364 40.736534),14509,25,3,24,65
824,M158,,1458 YORK AVENUE  CONSOLIDATED LOCATION,,1458 YORK AVENUE,M,2,957,1458 YORK AVENUE  CONSOLIDATED LOCATION,2,P.S. 158 Bayard Taylor | Yorkville East Middle School | 1458 YORK AVENUE  CONSOLIDATED LOCATION,0,1,1,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.951072 40.770522),10092,23,4,1,11
170,K149,19K149,PS 149(BROOKLYN),K149,700 SUTTER AVENUE,K,19,606,,1,PS 149(BROOKLYN),0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-121.554712 38.58105),11108,,,,
32,K022,17K022,Brooklyn Arts and Science Elementary School,K705,443 St. Marks Avenue,K,17,360,443 ST. MARKS AVENUE CONSOLIDATED LOCATION,2,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-73.960179 40.676794),13829,16,2,48,49
34,K022,,443 ST MARKS AVENUE CONSOLIDATED LOCATION,,443 ST. MARKS AVENUE,K,17,847,443 ST MARKS AVENUE CONSOLIDATED LOCATION,2,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,0,2,0,2,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.960179 40.676794),13829,16,2,48,49
152,K135,18K135,PS 135(BS),K135,684 LINDEN BOULEVARD,K,18,557,,1,PS 135(BS),0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-73.932997 40.653613),16866,61,2,17,40
268,K229,20K229,PS 229(BROOKLYN),K229,1400 BENSON AVENUE,K,20,1217,,1,PS 229(BROOKLYN),0,0,0,0,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-74.013097 40.610808),13511,1,2,44,37
45,K029,15K029,PS 29(BROOKLYN),K029,425 HENRY STREET,K,15,867,,1,PS 29(BROOKLYN),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-122.22593 38.112191),1181,,,,
856,M194,,244 WEST 144 STREET CONSOLIDATED LOCATION,,244 WEST 144 STREET,M,5,1057,244 WEST 144 STREET CONSOLIDATED LOCATION,2,P.S. 194 Countee Cullen|Harlem Village Academy Charter School|244 WEST 144 STREET CONSOLIDATED LOCATION,3,3,0,2,4,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-84.635306 41.930934),24585,,,,
165,K145,32K145,PS 145(BN),K145,100 NOLL STREET,K,32,522,,1,PS 145(BN),0,1,2,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-95.412355 42.509533),6366,,,,
744,M102,04M102,PS 102(MN),M102,315 EAST 113 STREET,M,4,285,,1,PS 102(MN),0,2,4,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-83.132304 42.680047),20458,,,,
66,K049,14K049,IS 49(BN),K449,223 GRAHAM AVENUE,K,14,SCHOOL CLOSED,223 GRAHAM AVENUE CONSOLIDATED LOCATION,2,IS 49| Lyons Community School| 223 Graham Avenue Consolidated Location,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,POINT (-88.021736 41.868304),14470,,,,
575,K722,75K721,P721 OTC(BS),K721,64 AVENUE X,K,21,472,,1,P721 OTC(BS),0,0,2,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.981319 40.589321),18183,21,2,45,35
184,K161,84K741,SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS),K741,330 CROWN STREET,K,17,637,330 CROWN STREET CONSOLIDATED LOCATION,2,P.S. 161 The Crown|SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7(BS)|330 CROWN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,POINT (-73.949206 40.6662),13509,17,2,48,44
689,M054,03M054,JHS 54(MN),M054,103 WEST 107 STREET,M,3,829,,1,JHS 54(MN),0,2,4,2,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-89.970393 34.617036),7432,,,,
300,K258,75K140,P140(BN),K140,141 MACON STREET,K,13,321,141 MACON STREET CONSOLIDATED LOCATION,2,|P140(BN)|LEADERSHIP PREP BEDFORD STUYVESANT CHARTER SCHOOL(BN)| 141 Macon Street Consolidated Location,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-73.945917 40.681508),17618,69,2,49,51
18,K013,84K742,ACHIEVEMENT FIRST EAST NY CHARTER SCHOOL(BN),K358,557 PENNSYLVANIA AVENUE,K,19,494,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-80.282856 40.709545),9598,,,,
448,K400,21K468,Kingsborough Early College School,K468,2630 Benson Ave,K,21,562,2630 BENSON AVENUE CONSOLIDATED LOCATION,5,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,POINT (-73.98532 40.594021),17616,21,2,45,35
153,K136,15K136,I.S. 136 Charles O. Dewey,K821,4004 FOURTH AVENUE,K,15,483,4004 FOURTH AVENUE CONSOLIDATED LOCATION,2,I.S. 136 Charles O. Dewey | Sunset Park Prep |  4004 4 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-78.413348 40.485493),30153,,,,
377,K309,,794 MONROE STREET CONSOLIDATED LOCATION,,794 MONROE STREET,K,16,1506,794 MONROE STREET CONSOLIDATED LOCATION,2,P.S. 309 The George E. Wibecan Preparatory Academy |Excellence Girls Charter School |794 MONROE STREET CONSOLIDATED LOCATION,0,0,1,0,0,8C,1501-1750,0.45,2.95,7.14,1.48,1.60,POINT (-86.44529 42.103577),4196,,,,
732,M092,05M092,PS 92(MANHATTAN),M092,222 WEST 134 STREET,M,5,265,222 WEST 134 STREET CONSOLIDATED LOCATION,2,PS 92(MANHATTAN)| ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL(MN)| 222 WEST 134 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-85.636151 41.947619),23903,,,,
603,K860,18K673,EAST BROOKLYN COMMUNITY HS(BS),K673,9517 Kings Highway,K,18,140,,1,EAST BROOKLYN COMMUNITY HS(BS),0,1,6,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45,POINT (-73.920287 40.659791),17614,61,2,17,40
586,K805,13K439,Brooklyn International High School,K439,49 FLATBUSH AVENUE EXTENSION,K,13,282,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-73.984992 40.697187),16865,68,2,38,54
1166,Q142,75Q752,Queens Transition Center,Q752,142-10 LINDEN BOULEVARD,Q,28,328,,1,Queens Transition Center,5,6,14,1,8,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.953579 40.652437),13510,61,2,11,40
819,M155,04M155,PS 155(MANHATTAN),M155,319 EAST 117 STREET,M,4,248,319 EAST 117 STREET CONSOLIDATED LOCATION,2,P.S. 155 William Paca |  Renaissance School of the Arts |  319 EAST 117 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-83.596608 42.590141),7641,,,,
565,K650,76K640,HARRY VAN ARSDALE HS(BN),K640,257 NORTH 6 STREET,K,14,SCHOOL CLOSED,257 NORTH 6 STREET CONSOLIDATED LOCATION,5,BROOKLYN PREPARATORY HS(BN) |WILLIAMSBURG HS FOR ARCHITECTURE & DESIGN(BROOKLYN) | WILLIAMSBURG PREPARATORY SCHOOL(BROOKLYN) | HARRY VAN ARSDALE HS(BN) |HARRY VAN ARSDALE HS GED(BN)  |257 NORTH 6 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,POINT (-79.59885 40.020163),10084,,,,
906,M445,02M305,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT & LAW(MANHATTAN),M305,350 GRAND STREET,M,2,244,350 GRAND STREET CONSOLIDATED LOCATION,7,ESSEX STREET ACADEMY(MS)| THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT & LAW(MANHATTAN) |LOWER MANHATTAN ARTS ACADEMY(MS)|SEWARD PARK HS(MANHATTAN)|NEW DESIGN HS(MS)| HS FOR DUAL LANGUAGE & ASIAN STUDIES(MS) |SEWARD PARK GED(MANHATTAN)|350 GRAND STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-74.747046 40.204073),28083,,,,
975,M535,02M300,THE URBAN ASSEMBLY SCHOOL OF DESIGN & CONSTRUCTION(MANHATTAN),M300,525 WEST 50TH STREET,M,2,265,525 WEST 50TH STREET CONSOLIDATED LOCATION,7,"Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  Park West HS| Park West Evening|525 WEST  50TH STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-80.127267 25.826427),24833,,,,
180,K158,19K158,PS 158(BROOKLYN),K158,400 ASHFORD STREET,K,19,537,,1,PS 158(BROOKLYN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-93.395617 41.890932),33073,,,,
427,K377,,200 WOODBINE STREET CONSOLIDATED LOCATION,,200 WOODBINE STREET,K,32,681,200 WOODBINE STREET CONSOLIDATED LOCATION,2,P.S. 377 Alejandrina B. De Gautier|ACHIEVEMENT FIRST NORTH BROOKLYN PREP CHARTER SCHOOL(BN)|200 WOODBINE STREET CONSOLIDATED LOCATION,0,3,2,1,2,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-73.915323 40.69398),18181,42,2,37,53
1006,M816,02M527,PS 527 EAST SIDE SCHOOL FOR SOCIAL ACTION(MN),M527,323 East 91 St.,M,2,392,,1,PS 527 EAST SIDE SCHOOL FOR SOCIAL ACTION(MN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-82.661637 34.509364),9931,,,,
195,K170,20K170,PS 170(BROOKLYN),K170,7109 SIXTH AVENUE,K,20,1031,,1,PS 170(BROOKLYN),0,0,0,0,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-120.129974 39.063594),7214,,,,
