all/steel_table_1_1.V10,all/steel_table_1_1.V21,all/steel_table_1_1.Key_1_1,Key_0_0
142,0.0,1470,23
84,1.0,1297,686
132,1.0,1216,530
134,1.0,157,1435
151,1.0,792,824
119,0.0,1375,1168
109,1.0,28,306
101,1.0,565,55
140,1.0,1643,592
143,0.0,1535,1181
119,1.0,1407,1939
124,0.0,869,1214
86,1.0,610,909
133,1.0,34,507
143,0.0,1433,930
125,0.0,128,419
132,1.0,782,1039
175,1.0,940,612
71,1.0,1396,1274
150,1.0,274,1895
133,0.0,190,1193
119,0.0,96,493
127,1.0,1693,1927
117,1.0,1245,1567
127,1.0,1100,1904
141,1.0,1514,1444
135,1.0,1032,1390
126,0.0,1934,201
123,1.0,1794,1311
94,1.0,985,124
127,0.0,744,832
151,0.0,143,277
86,1.0,1365,937
110,1.0,382,1681
125,1.0,1654,701
86,1.0,1254,1528
121,0.0,1835,407
132,1.0,915,1920
108,1.0,378,1258
151,1.0,1439,1434
135,1.0,944,333
141,0.0,315,805
95,1.0,482,1787
133,1.0,1299,1905
108,1.0,1294,1323
125,1.0,244,977
116,1.0,1027,1822
125,1.0,522,1667
116,1.0,377,871
127,0.0,472,1326
118,0.0,1361,308
124,1.0,1399,773
116,1.0,1459,1804
110,1.0,159,666
109,0.0,467,1587
126,0.0,70,1055
135,0.0,173,610
102,1.0,103,496
125,0.0,536,1515
135,0.0,203,1270
94,1.0,1051,349
134,1.0,1139,1675
126,0.0,949,1280
135,0.0,1748,1896
127,1.0,276,1308
109,0.0,1272,1824
127,0.5,1263,62
132,0.0,1429,1261
135,0.0,343,1215
151,1.0,1830,285
103,1.0,1627,326
110,0.0,549,652
120,1.0,364,1377
94,1.0,373,861
111,0.0,1800,1886
165,0.0,569,1726
181,1.0,1875,314
134,1.0,1867,1327
130,1.0,1534,193
140,0.0,1519,345
124,0.0,1275,1029
134,1.0,1390,573
135,1.0,1314,1517
126,0.0,1116,103
125,0.0,1468,911
126,0.0,341,1189
134,1.0,1784,893
141,0.0,817,1700
119,0.5,1592,497
124,1.0,1034,175
140,1.0,310,1152
126,0.5,1841,1701
135,0.0,1499,376
132,1.0,662,1884
124,0.0,1348,460
141,0.5,1500,683
116,0.5,1185,1828
127,0.0,1000,812
141,1.0,1125,161
126,1.0,1402,1926
132,1.0,1278,137
127,0.0,1763,1191
127,1.0,537,1725
140,0.0,1698,192
133,1.0,1759,1475
119,1.0,1556,1765
127,1.0,268,1631
108,1.0,101,1646
127,1.0,1252,1460
132,1.0,827,111
141,0.0,367,548
148,1.0,693,1
148,0.0,461,1566
143,0.0,298,1235
134,1.0,1626,299
143,0.0,307,271
136,0.0,865,1495
119,0.0,1093,1360
127,1.0,284,151
134,0.0,1062,1102
124,0.0,11,91
189,1.0,1182,1333
124,0.0,1259,553
141,1.0,992,275
124,1.0,1516,205
122,1.0,454,1007
124,0.0,27,602
124,0.0,302,1339
127,1.0,121,502
141,0.0,185,488
119,1.0,797,26
96,1.0,71,1918
143,1.0,33,452
141,1.0,901,681
133,0.5,1335,1303
127,1.0,1666,990
133,1.0,601,273
141,0.0,41,574
124,1.0,1615,928
124,1.0,495,1153
110,0.0,29,518
132,1.0,858,1875
118,1.0,1699,427
124,1.0,1016,1881
126,1.0,460,1624
127,0.0,570,1925
180,1.0,1873,256
118,1.0,1844,1606
143,0.0,1518,705
95,1.0,97,1502
156,1.0,1227,734
127,0.0,893,842
121,1.0,550,409
126,1.0,839,645
140,1.0,880,1647
119,1.0,161,505
124,0.0,1060,1041
156,0.0,516,757
101,0.0,773,41
141,1.0,1691,948
127,1.0,956,1855
133,1.0,618,787
124,1.0,983,1454
134,0.0,571,974
141,1.0,1324,1173
182,1.0,132,135
132,0.0,328,1373
127,0.0,1665,1244
132,1.0,973,902
134,0.0,356,631
126,0.0,145,643
127,1.0,526,1684
141,0.0,1308,603
135,0.0,1839,775
132,0.0,473,1421
199,1.0,1803,117
134,0.0,43,988
118,1.0,1862,378
124,1.0,1548,935
135,0.0,676,696
127,0.0,1010,365
103,1.0,553,749
141,1.0,948,583
133,0.0,688,142
125,1.0,487,1410
133,0.0,643,899
141,0.0,1717,852
93,1.0,1483,588
117,1.0,55,416
106,1.0,1355,1470
103,0.0,1172,1531
143,1.0,1477,1160
126,0.0,1780,1187
127,1.0,1781,1549
167,1.0,1442,443
124,0.0,1783,1219
132,0.0,651,127
134,0.0,398,835
125,1.0,568,1367
94,1.0,770,1042
118,0.5,515,1268
127,1.0,136,445
120,1.0,1301,596
133,1.0,1863,1683
133,1.0,811,750
119,1.0,38,1404
140,0.0,1199,457
135,0.0,444,1899
142,1.0,168,249
141,0.0,1309,1396
143,0.0,1455,7
127,0.0,1382,438
124,1.0,1632,1829
132,0.0,100,944
127,0.0,926,1607
124,0.0,1819,1846
140,0.0,1368,255
140,0.0,1207,1617
118,1.0,834,1498
111,1.0,848,1512
111,0.0,150,1625
127,0.0,366,1418
129,1.0,1112,797
133,1.0,589,772
135,1.0,411,1766
127,1.0,1513,132
141,1.0,23,1103
125,0.0,1302,244
175,1.0,1805,983
132,1.0,1410,1722
127,0.0,1458,302
127,1.0,1924,118
143,0.0,1329,1738
125,1.0,147,819
124,1.0,1120,919
126,0.0,1234,1328
142,0.0,1223,576
126,0.0,480,429
132,0.0,225,504
84,1.0,775,190
126,0.0,798,160
127,1.0,1671,954
119,0.0,535,447
110,1.0,410,1666
127,1.0,774,1051
141,1.0,237,113
124,1.0,1038,39
143,0.0,499,213
127,0.0,1563,264
134,1.0,265,1180
140,0.5,1123,1555
117,1.0,1119,619
134,1.0,1598,1372
134,1.0,1528,1402
143,1.0,435,1048
127,1.0,525,67
116,0.0,795,1150
132,1.0,1445,1119
116,0.0,1279,300
127,0.5,661,1594
141,0.5,1505,857
143,0.0,1723,838
127,1.0,1607,1524
126,1.0,1131,891
135,0.0,108,1792
133,1.0,1461,1259
119,1.0,1179,908
127,1.0,1444,1912
141,0.0,1118,388
127,1.0,262,214
126,1.0,837,986
108,1.0,293,951
127,1.0,1320,933
93,1.0,1427,1664
135,0.0,1095,1623
132,1.0,462,850
141,0.0,681,189
124,1.0,413,1650
142,0.0,729,1640
124,0.5,979,1073
127,1.0,508,372
133,1.0,1639,1574
125,0.5,1103,1277
140,1.0,1303,168
127,1.0,457,313
124,1.0,391,450
133,1.0,1180,1430
