all/school_gender.csv.DBN,all/school_gender.csv.chool Name,all/school_gender.csv.Grade,all/school_gender.csv.Year,all/school_gender.csv.Category,all/school_gender.csv.Number Tested,all/school_gender.csv.Mean Scale Score,all/school_gender.csv.Level1_N,all/school_gender.csv.Level1_%,all/school_gender.csv.Level2_N,all/school_gender.csv.Level2_%,all/school_gender.csv.Level3_N,all/school_gender.csv.Level3_%,all/school_gender.csv.Level4_N,all/school_gender.csv.Level4_%,all/school_gender.csv.Level3+4_N,all/school_gender.csv.Level3+4_%
11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,7,2013,Female,42,302.0,9.0,21.4,20.0,47.6,12.0,28.6,1.0,2.4,13.0,31.0
31R002,IS R002 GEORGE L EGBERT,6,2016,Female,135,310.0,17.0,12.6,55.0,40.7,45.0,33.3,18.0,13.3,63.0,46.7
02M397,PRUCE STREET SCHOOL,5,2017,Male,23,328.0,1.0,4.3,6.0,26.1,9.0,39.1,7.0,30.4,16.0,69.6
23K137,PSIS 137 RACHEL JEAN MITCHELL,All Grades,2014,Male,75,279.0,41.0,54.7,26.0,34.7,8.0,10.7,0.0,0.0,8.0,10.7
30Q151,PS 151 MARY D CARTER,All Grades,2017,Male,74,293.0,31.0,41.9,34.0,45.9,8.0,10.8,1.0,1.4,9.0,12.2
04M182,THE BILINGUAL BICULTURAL SCHOOL,5,2015,Female,27,292.0,13.0,48.1,9.0,33.3,5.0,18.5,0.0,0.0,5.0,18.5
06M324,MS 324  PATRIA MIRABAL,All Grades,2015,Female,194,291.0,63.0,32.5,100.0,51.5,27.0,13.9,4.0,2.1,31.0,16.0
28Q040,PS 040 SAMUEL HUNTINGTON,All Grades,2014,Female,120,283.0,67.0,55.8,43.0,35.8,7.0,5.8,3.0,2.5,10.0,8.3
21K095,PS 095 THE GRAVESEND,3,2017,Female,81,329.0,8.0,9.9,21.0,25.9,33.0,40.7,19.0,23.5,52.0,64.2
09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,7,2016,Male,35,289.0,14.0,40.0,12.0,34.3,9.0,25.7,0.0,0.0,9.0,25.7
25Q184,PS 184 FLUSHING MANOR,3,2015,Male,31,321.0,5.0,16.1,9.0,29.0,12.0,38.7,5.0,16.1,17.0,54.8
01M137,PS 137 JOHN L BERNSTEIN,5,2016,Male,17,260.0,13.0,76.5,3.0,17.6,1.0,5.9,0.0,0.0,1.0,5.9
04M096,PS 096 JOSEPH LANZETTA,4,2014,Female,23,283.0,12.0,52.2,10.0,43.5,1.0,4.3,0.0,0.0,1.0,4.3
02M225,ELLA BAKER SCHOOL,3,2014,Male,8,314.0,1.0,12.5,4.0,50.0,2.0,25.0,1.0,12.5,3.0,37.5
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,All Grades,2015,Male,34,280.0,15.0,44.1,14.0,41.2,4.0,11.8,1.0,2.9,5.0,14.7
15K039,PS 039 HENRY BRISTOW,All Grades,2017,Female,74,345.0,3.0,4.1,9.0,12.2,21.0,28.4,41.0,55.4,62.0,83.8
03M075,PS 075 EMILY DICKINSON,All Grades,2016,Male,103,305.0,27.0,26.2,38.0,36.9,29.0,28.2,9.0,8.7,38.0,36.9
30Q111,PS 111 JACOB BLACKWELL,7,2014,Male,24,276.0,14.0,58.3,6.0,25.0,4.0,16.7,0.0,0.0,4.0,16.7
27Q100,PS 100 GLEN MORRIS,4,2016,Female,56,319.0,6.0,10.7,20.0,35.7,17.0,30.4,13.0,23.2,30.0,53.6
05M046,PS 046 ARTHUR TAPPAN,All Grades,2015,Male,251,273.0,153.0,61.0,66.0,26.3,32.0,12.7,0.0,0.0,32.0,12.7
02M276,BATTERY PARK CITY SCHOOL,8,2016,Female,27,338.0,0.0,0.0,4.0,14.8,8.0,29.6,15.0,55.6,23.0,85.2
27Q333,GOLDIE MAPLE ACADEMY,8,2016,Female,28,318.0,0.0,0.0,13.0,46.4,9.0,32.1,6.0,21.4,15.0,53.6
11X289,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,All Grades,2014,Female,142,280.0,70.0,49.3,59.0,41.5,12.0,8.5,1.0,0.7,13.0,9.2
14K250,PS 250 GEORGE H LINDSAY,5,2015,Male,49,290.0,22.0,44.9,17.0,34.7,9.0,18.4,1.0,2.0,10.0,20.4
18K066,PS 66,7,2014,Female,56,306.0,13.0,23.2,20.0,35.7,21.0,37.5,2.0,3.6,23.0,41.1
02M290,PS 290 MANHATTAN NEW SCHOOL,5,2014,Male,61,331.0,2.0,3.3,17.0,27.9,22.0,36.1,20.0,32.8,42.0,68.9
06M210,PSIS 210  TWENTY FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,3,2013,Female,20,295.0,6.0,30.0,13.0,65.0,1.0,5.0,0.0,0.0,1.0,5.0
23K298,PS 298 DR BETTY SHABAZZ,5,2016,Female,15,274.0,11.0,73.3,2.0,13.3,2.0,13.3,0.0,0.0,2.0,13.3
17K289,PS 289 GEORGE V BROWER,4,2016,Female,32,310.0,5.0,15.6,15.0,46.9,6.0,18.8,6.0,18.8,12.0,37.5
22K234,JHS 234 ARTHUR W CUNNINGHAM,7,2015,Female,285,318.0,33.0,11.6,79.0,27.7,131.0,46.0,42.0,14.7,173.0,60.7
09X117,IS 117 JOSEPH H WADE,7,2014,Female,87,279.0,52.0,59.8,31.0,35.6,4.0,4.6,0.0,0.0,4.0,4.6
01M361,THE CHILDREN S WORKSHOP SCHOOL,5,2014,Female,19,310.0,5.0,26.3,7.0,36.8,3.0,15.8,4.0,21.1,7.0,36.8
09X323,BRONX WRITING ACADEMY,6,2015,Female,88,287.0,39.0,44.3,41.0,46.6,7.0,8.0,1.0,1.1,8.0,9.1
07X179,PS 179,3,2013,Male,30,288.0,16.0,53.3,9.0,30.0,5.0,16.7,0.0,0.0,5.0,16.7
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,6,2014,Female,124,340.0,0.0,0.0,18.0,14.5,33.0,26.6,73.0,58.9,106.0,85.5
14K318,IS 318 EUGENIO MARIA DE HOSTOS,6,2016,Male,196,296.0,53.0,27.0,90.0,45.9,36.0,18.4,17.0,8.7,53.0,27.0
09X070,PS 070 MAX SCHOENFELD,5,2014,Male,94,270.0,62.0,66.0,22.0,23.4,9.0,9.6,1.0,1.1,10.0,10.6
03M859,PECIAL MUSIC SCHOOL,5,2017,Male,6,365.0,0.0,0.0,0.0,0.0,2.0,33.3,4.0,66.7,6.0,100.0
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,6,2016,Female,30,291.0,9.0,30.0,15.0,50.0,4.0,13.3,2.0,6.7,6.0,20.0
31R051,IS 051 EDWIN MARKHAM,7,2016,Female,181,300.0,51.0,28.2,79.0,43.6,35.0,19.3,16.0,8.8,51.0,28.2
27Q282,KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,All Grades,2014,Male,113,302.0,21.0,18.6,64.0,56.6,25.0,22.1,3.0,2.7,28.0,24.8
04M007,PS 007 SAMUEL STERN,6,2015,Female,11,296.0,1.0,9.1,9.0,81.8,1.0,9.1,0.0,0.0,1.0,9.1
23K184,PS 184 NEWPORT,8,2014,Male,23,277.0,11.0,47.8,12.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0
21K239,MARK TWAIN IS 239 FOR THE GIFTED & TALENTED,7,2017,Male,183,349.0,1.0,0.5,10.0,5.5,64.0,35.0,108.0,59.0,172.0,94.0
20K192,PS 192  THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,4,2017,Male,32,302.0,12.0,37.5,9.0,28.1,5.0,15.6,6.0,18.8,11.0,34.4
15K136,IS 136 CHARLES O DEWEY,8,2014,Male,86,276.0,44.0,51.2,36.0,41.9,5.0,5.8,1.0,1.2,6.0,7.0
17K191,PS 191 PAUL ROBESON,5,2017,Female,11,320.0,1.0,9.1,4.0,36.4,5.0,45.5,1.0,9.1,6.0,54.5
29Q289,QUEENS UNITED MIDDLE SCHOOL,8,2017,Male,30,286.0,11.0,36.7,13.0,43.3,6.0,20.0,0.0,0.0,6.0,20.0
06M115,PS 115 ALEXANDER HUMBOLDT,All Grades,2014,Male,147,270.0,101.0,68.7,39.0,26.5,7.0,4.8,0.0,0.0,7.0,4.8
29Q138,PSMS 138 SUNRISE,6,2013,Male,57,278.0,32.0,56.1,20.0,35.1,2.0,3.5,3.0,5.3,5.0,8.8
28Q140,PS 140 EDWARD K ELLINGTON,5,2015,Male,47,276.0,33.0,70.2,11.0,23.4,2.0,4.3,1.0,2.1,3.0,6.4
08X062,PS 062 INOCENSIO CASANOVA,5,2014,Male,59,278.0,37.0,62.7,16.0,27.1,4.0,6.8,2.0,3.4,6.0,10.2
18K235,PS 235 JANICE MARIE KNIGHT SCHOOL,3,2013,Male,65,304.0,21.0,32.3,27.0,41.5,15.0,23.1,2.0,3.1,17.0,26.2
18K272,PS 272 CURTIS ESTABROOK,5,2016,Female,36,297.0,12.0,33.3,16.0,44.4,4.0,11.1,4.0,11.1,8.0,22.2
03M076,PS 076 A PHILIP RANDOLPH,6,2015,Female,20,293.0,6.0,30.0,10.0,50.0,1.0,5.0,3.0,15.0,4.0,20.0
23K518,KAPPA V  KNOWLEDGE AND POWER PREPARATORY ACADEMY,6,2014,Male,28,290.0,8.0,28.6,18.0,64.3,2.0,7.1,0.0,0.0,2.0,7.1
12X318,IS X318 MATH SCIENCE & TECHNOLOGY THROUGH ARTS,7,2015,Female,37,270.0,28.0,75.7,7.0,18.9,2.0,5.4,0.0,0.0,2.0,5.4
31R011,PS 11 THOMAS DONGAN SCHOOL,5,2015,Female,13,305.0,4.0,30.8,2.0,15.4,6.0,46.2,1.0,7.7,7.0,53.8
23K165,PS 165 IDA POSNER,5,2014,Female,14,280.0,9.0,64.3,3.0,21.4,2.0,14.3,0.0,0.0,2.0,14.3
02M225,ELLA BAKER SCHOOL,8,2014,Female,6,312.0,0.0,0.0,2.0,33.3,4.0,66.7,0.0,0.0,4.0,66.7
31R020,PS 020 PORT RICHMOND,All Grades,2015,Male,121,279.0,67.0,55.4,48.0,39.7,6.0,5.0,0.0,0.0,6.0,5.0
30Q002,PS 002 ALFRED ZIMBERG,All Grades,2014,Female,155,310.0,32.0,20.6,61.0,39.4,48.0,31.0,14.0,9.0,62.0,40.0
26Q178,PS IS 178 HOLLISWOOD,4,2016,Male,27,316.0,5.0,18.5,5.0,18.5,12.0,44.4,5.0,18.5,17.0,63.0
07X179,PS 179,All Grades,2015,Female,62,291.0,27.0,43.5,20.0,32.3,14.0,22.6,1.0,1.6,15.0,24.2
17K531,CHOOL FOR HUMAN RIGHTS THE,8,2015,Female,19,301.0,1.0,5.3,14.0,73.7,4.0,21.1,0.0,0.0,4.0,21.1
21K098,IS 98 BAY ACADEMY,6,2014,Female,264,331.0,3.0,1.1,68.0,25.8,82.0,31.1,111.0,42.0,193.0,73.1
13K266,MS K266  PARK PLACE COMMUNITY MIDDLE SCHOOL,6,2017,Male,19,273.0,11.0,57.9,8.0,42.1,0.0,0.0,0.0,0.0,0.0,0.0
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,7,2014,Female,39,319.0,2.0,5.1,15.0,38.5,20.0,51.3,2.0,5.1,22.0,56.4
23K155,PS IS 155 NICHOLAS HERKIMER,8,2014,Female,25,293.0,6.0,24.0,16.0,64.0,1.0,4.0,2.0,8.0,3.0,12.0
09X325,URBAN SCIENCE ACADEMY,8,2016,Female,40,281.0,22.0,55.0,13.0,32.5,4.0,10.0,1.0,2.5,5.0,12.5
11X068,PS 068 BRONX,5,2015,Female,53,298.0,16.0,30.2,25.0,47.2,9.0,17.0,3.0,5.7,12.0,22.6
31R021,PS 21 MARGARET EMERY ELM PARK,All Grades,2013,Male,110,290.0,52.0,47.3,49.0,44.5,7.0,6.4,2.0,1.8,9.0,8.2
25Q020,PS 020 JOHN BOWNE,3,2014,Male,103,296.0,38.0,36.9,35.0,34.0,29.0,28.2,1.0,1.0,30.0,29.1
23K392,IS 392,7,2017,Male,34,315.0,3.0,8.8,10.0,29.4,18.0,52.9,3.0,8.8,21.0,61.8
12X214,PS 214,8,2014,Female,65,291.0,23.0,35.4,31.0,47.7,11.0,16.9,0.0,0.0,11.0,16.9
29Q059,IS 059 SPRINGFIELD GARDENS,7,2015,Male,92,278.0,56.0,60.9,27.0,29.3,7.0,7.6,2.0,2.2,9.0,9.8
09X313,IS 313 SCHOOL OF LEADERSHIP DEVELOPMENT,All Grades,2015,Male,139,265.0,96.0,69.1,40.0,28.8,3.0,2.2,0.0,0.0,3.0,2.2
12X195,PS 195,5,2017,Male,84,264.0,59.0,70.2,22.0,26.2,2.0,2.4,1.0,1.2,3.0,3.6
23K392,IS 392,8,2015,Female,60,318.0,3.0,5.0,19.0,31.7,32.0,53.3,6.0,10.0,38.0,63.3
06M018,PS 018 PARK TERRACE,4,2017,Female,11,303.0,3.0,27.3,3.0,27.3,3.0,27.3,2.0,18.2,5.0,45.5
20K682,THE ACADEMY OF TALENTED SCHOLARS,All Grades,2015,Male,81,322.0,10.0,12.3,25.0,30.9,28.0,34.6,18.0,22.2,46.0,56.8
02M217,PSIS 217 ROOSEVELT ISLAND,6,2013,Male,10,282.0,5.0,50.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
16K627,BRIGHTER CHOICE COMMUNITY SCHOOL,3,2016,Female,5,,,,,,,,,,,
19K007,PS 007 ABRAHAM LINCOLN,4,2015,Male,77,287.0,34.0,44.2,25.0,32.5,11.0,14.3,7.0,9.1,18.0,23.4
20K163,PS 163 BATH BEACH,3,2017,Female,36,321.0,8.0,22.2,7.0,19.4,16.0,44.4,5.0,13.9,21.0,58.3
29Q289,QUEENS UNITED MIDDLE SCHOOL,All Grades,2017,Female,116,301.0,27.0,23.3,58.0,50.0,20.0,17.2,11.0,9.5,31.0,26.7
27Q105,PS 105 THE BAY SCHOOL,3,2015,Female,40,281.0,25.0,62.5,12.0,30.0,3.0,7.5,0.0,0.0,3.0,7.5
17K006,NORMA ADAMS CLEMONS ACADEMY,4,2013,Female,53,298.0,17.0,32.1,24.0,45.3,7.0,13.2,5.0,9.4,12.0,22.6
20K609,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,6,2013,Female,45,299.0,11.0,24.4,24.0,53.3,7.0,15.6,3.0,6.7,10.0,22.2
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,8,2013,Female,34,302.0,10.0,29.4,15.0,44.1,4.0,11.8,5.0,14.7,9.0,26.5
09X215,KAPPA,7,2013,Female,65,297.0,17.0,26.2,41.0,63.1,5.0,7.7,2.0,3.1,7.0,10.8
02M051,PS 051 ELIAS HOWE,5,2015,Male,20,294.0,6.0,30.0,10.0,50.0,3.0,15.0,1.0,5.0,4.0,20.0
20K310,THE SCHOOL FOR FUTURE LEADERS,5,2015,Male,13,315.0,2.0,15.4,5.0,38.5,4.0,30.8,2.0,15.4,6.0,46.2
24Q110,PS 110,All Grades,2016,Female,19,298.0,7.0,36.8,8.0,42.1,3.0,15.8,1.0,5.3,4.0,21.1
19K345,PS 345 PATROLMAN ROBERT BOLDEN,5,2015,Female,53,289.0,22.0,41.5,19.0,35.8,9.0,17.0,3.0,5.7,12.0,22.6
31R018,PS 018 JOHN G WHITTIER,3,2013,Female,44,295.0,20.0,45.5,15.0,34.1,9.0,20.5,0.0,0.0,9.0,20.5
22K203,PS 203 FLOYD BENNETT SCHOOL,All Grades,2015,Male,157,291.0,64.0,40.8,68.0,43.3,23.0,14.6,2.0,1.3,25.0,15.9
20K104,PSIS 104 THE FORT HAMILTON SCHOOL,5,2013,Male,70,307.0,16.0,22.9,29.0,41.4,16.0,22.9,9.0,12.9,25.0,35.7
07X385,PERFORMANCE SCHOOL,All Grades,2015,Male,70,268.0,49.0,70.0,16.0,22.9,5.0,7.1,0.0,0.0,5.0,7.1
10X023,PS 023 THE NEW CHILDREN S SCHOOL,All Grades,2013,Female,69,281.0,34.0,49.3,28.0,40.6,6.0,8.7,1.0,1.4,7.0,10.1
30Q010,IS 010 HORACE GREELEY,8,2014,Male,173,293.0,54.0,31.2,73.0,42.2,37.0,21.4,9.0,5.2,46.0,26.6
10X279,PS 279 CAPTAIN MANUEL RIVERA JR,3,2017,Male,57,291.0,28.0,49.1,17.0,29.8,11.0,19.3,1.0,1.8,12.0,21.1
24Q113,PSIS 113 ANTHONY J PRANZO,5,2015,Female,67,310.0,17.0,25.4,25.0,37.3,16.0,23.9,9.0,13.4,25.0,37.3
04M072,THE LEXINGTON ACADEMY,3,2015,Male,27,288.0,11.0,40.7,12.0,44.4,3.0,11.1,1.0,3.7,4.0,14.8
20K259,JHS 259 WILLIAM MCKINLEY,6,2016,Female,258,318.0,29.0,11.2,87.0,33.7,71.0,27.5,71.0,27.5,142.0,55.0
27Q202,JHS 202 ROBERT H GODDARD,7,2017,Female,173,317.0,18.0,10.4,66.0,38.2,66.0,38.2,23.0,13.3,89.0,51.4
14K257,PS 257 JOHN F HYLAN,3,2017,Male,39,302.0,12.0,30.8,11.0,28.2,16.0,41.0,0.0,0.0,16.0,41.0
29Q035,PS 035 NATHANIEL WOODHULL,5,2017,Female,53,298.0,21.0,39.6,18.0,34.0,9.0,17.0,5.0,9.4,14.0,26.4
27Q105,PS 105 THE BAY SCHOOL,3,2017,Female,49,289.0,20.0,40.8,22.0,44.9,7.0,14.3,0.0,0.0,7.0,14.3
24Q102,PS 102 BAYVIEW,8,2016,Female,47,329.0,2.0,4.3,13.0,27.7,15.0,31.9,17.0,36.2,32.0,68.1
01M137,PS 137 JOHN L BERNSTEIN,4,2014,Male,9,284.0,5.0,55.6,3.0,33.3,1.0,11.1,0.0,0.0,1.0,11.1
24Q089,PS 089 ELMHURST,4,2017,Male,191,305.0,45.0,23.6,82.0,42.9,44.0,23.0,20.0,10.5,64.0,33.5
02M276,BATTERY PARK CITY SCHOOL,6,2016,Female,48,329.0,2.0,4.2,13.0,27.1,13.0,27.1,20.0,41.7,33.0,68.8
18K208,PS 208 ELSA EBELING,4,2016,Male,34,300.0,9.0,26.5,16.0,47.1,9.0,26.5,0.0,0.0,9.0,26.5
26Q203,PS 203 OAKLAND GARDENS,3,2014,Male,71,327.0,5.0,7.0,14.0,19.7,43.0,60.6,9.0,12.7,52.0,73.2
01M142,PS 142 AMALIA CASTRO,3,2017,Female,15,315.0,2.0,13.3,4.0,26.7,8.0,53.3,1.0,6.7,9.0,60.0
28Q220,PS 220 EDWARD MANDEL,All Grades,2017,Female,147,311.0,40.0,27.2,41.0,27.9,39.0,26.5,27.0,18.4,66.0,44.9
06M052,JHS 052 INWOOD,7,2016,Female,60,294.0,21.0,35.0,27.0,45.0,11.0,18.3,1.0,1.7,12.0,20.0
24Q087,PSIS 087 MIDDLE VILLAGE,3,2015,Male,26,291.0,12.0,46.2,9.0,34.6,4.0,15.4,1.0,3.8,5.0,19.2
31R044,PS 044 THOMAS C BROWN,All Grades,2015,Male,193,271.0,120.0,62.2,60.0,31.1,12.0,6.2,1.0,0.5,13.0,6.7
25Q252,QUEENS SCHOOL OF INQUIRY THE,7,2014,Female,39,307.0,8.0,20.5,14.0,35.9,16.0,41.0,1.0,2.6,17.0,43.6
06M052,JHS 052 INWOOD,All Grades,2015,Female,222,293.0,68.0,30.6,117.0,52.7,32.0,14.4,5.0,2.3,37.0,16.7
10X391,THE ANGELO PATRI MIDDLE SCHOOL,8,2014,Male,117,271.0,71.0,60.7,34.0,29.1,9.0,7.7,3.0,2.6,12.0,10.3
20K223,JHS 223 THE MONTAUK,6,2014,Male,140,283.0,60.0,42.9,58.0,41.4,16.0,11.4,6.0,4.3,22.0,15.7
04M007,PS 007 SAMUEL STERN,7,2013,Male,25,286.0,10.0,40.0,14.0,56.0,1.0,4.0,0.0,0.0,1.0,4.0
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,7,2014,Male,28,264.0,20.0,71.4,8.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0
18K235,PS 235 JANICE MARIE KNIGHT SCHOOL,6,2013,Male,45,325.0,3.0,6.7,9.0,20.0,20.0,44.4,13.0,28.9,33.0,73.3
10X037,PS X037  MULTIPLE INTELLIGENCE SCHOOL,6,2016,Female,22,304.0,4.0,18.2,12.0,54.5,3.0,13.6,3.0,13.6,6.0,27.3
02M217,PSIS 217 ROOSEVELT ISLAND,6,2014,Male,10,300.0,3.0,30.0,5.0,50.0,1.0,10.0,1.0,10.0,2.0,20.0
03M334,THE ANDERSON SCHOOL,All Grades,2017,Female,204,362.0,0.0,0.0,7.0,3.4,29.0,14.2,168.0,82.4,197.0,96.6
03M250,MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,6,2017,Male,29,285.0,14.0,48.3,13.0,44.8,1.0,3.4,1.0,3.4,2.0,6.9
10X386,CHOOL FOR ENVIRONMENTAL CITIZENSHIP,All Grades,2013,Male,82,286.0,38.0,46.3,33.0,40.2,9.0,11.0,2.0,2.4,11.0,13.4
12X006,PS 006 WEST FARMS,3,2015,Male,44,277.0,28.0,63.6,11.0,25.0,5.0,11.4,0.0,0.0,5.0,11.4
19K311,ESSENCE SCHOOL,8,2017,Male,20,269.0,15.0,75.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
11X041,PS 041 GUN HILL ROAD,5,2017,Male,90,294.0,44.0,48.9,19.0,21.1,11.0,12.2,16.0,17.8,27.0,30.0
09X058,PS 058,4,2014,Male,27,266.0,16.0,59.3,10.0,37.0,1.0,3.7,0.0,0.0,1.0,3.7
04M108,PS 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,8,2016,Male,43,285.0,21.0,48.8,15.0,34.9,5.0,11.6,2.0,4.7,7.0,16.3
03M859,PECIAL MUSIC SCHOOL,All Grades,2013,Female,47,354.0,0.0,0.0,2.0,4.3,11.0,23.4,34.0,72.3,45.0,95.7
12X212,PS 212,3,2014,Male,18,259.0,14.0,77.8,4.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0
05M175,PS 175 HENRY H GARNET,All Grades,2015,Female,92,286.0,45.0,48.9,33.0,35.9,12.0,13.0,2.0,2.2,14.0,15.2
23K522,MOTT HALL IV,6,2015,Male,24,276.0,11.0,45.8,12.0,50.0,0.0,0.0,1.0,4.2,1.0,4.2
28Q099,PS 099 KEW GARDENS,6,2014,Female,46,307.0,5.0,10.9,23.0,50.0,13.0,28.3,5.0,10.9,18.0,39.1
27Q183,PS 183 DR RICHARD R GREEN,4,2014,Male,39,280.0,24.0,61.5,9.0,23.1,6.0,15.4,0.0,0.0,6.0,15.4
22K245,PS 245,3,2014,Female,20,294.0,4.0,20.0,14.0,70.0,2.0,10.0,0.0,0.0,2.0,10.0
12X267,BRONX LATIN,7,2014,Female,32,294.0,12.0,37.5,12.0,37.5,8.0,25.0,0.0,0.0,8.0,25.0
23K155,PS IS 155 NICHOLAS HERKIMER,All Grades,2014,Female,145,286.0,68.0,46.9,58.0,40.0,15.0,10.3,4.0,2.8,19.0,13.1
25Q025,IS 025 ADRIEN BLOCK,7,2014,Male,130,309.0,23.0,17.7,52.0,40.0,40.0,30.8,15.0,11.5,55.0,42.3
16K081,PS 081 THADDEUS STEVENS,All Grades,2016,Female,69,301.0,22.0,31.9,27.0,39.1,17.0,24.6,3.0,4.3,20.0,29.0
29Q195,PS 195 WILLIAM HABERLE,3,2014,Female,35,298.0,9.0,25.7,15.0,42.9,11.0,31.4,0.0,0.0,11.0,31.4
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,6,2014,Female,17,,,,,,,,,,,
25Q022,PS 022 THOMAS JEFFERSON,4,2017,Male,75,313.0,18.0,24.0,17.0,22.7,20.0,26.7,20.0,26.7,40.0,53.3
04M083,PS 083 LUIS MUNOZ RIVERA,4,2017,Female,43,308.0,8.0,18.6,18.0,41.9,10.0,23.3,7.0,16.3,17.0,39.5
21K095,PS 095 THE GRAVESEND,6,2017,Male,33,282.0,15.0,45.5,13.0,39.4,3.0,9.1,2.0,6.1,5.0,15.2
25Q237,IS 237,All Grades,2017,Female,579,317.0,92.0,15.9,169.0,29.2,150.0,25.9,168.0,29.0,318.0,54.9
06M187,PSIS 187 HUDSON CLIFFS,6,2016,Male,48,295.0,15.0,31.3,19.0,39.6,10.0,20.8,4.0,8.3,14.0,29.2
02M041,PS 041 GREENWICH VILLAGE,3,2013,Male,77,319.0,12.0,15.6,22.0,28.6,38.0,49.4,5.0,6.5,43.0,55.8
11X370,LEADERS OF TOMORROW,All Grades,2013,Female,160,276.0,99.0,61.9,50.0,31.3,11.0,6.9,0.0,0.0,11.0,6.9
18K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,7,2014,Male,63,282.0,35.0,55.6,22.0,34.9,5.0,7.9,1.0,1.6,6.0,9.5
05M161,PS 161 PEDRO ALBIZU CAMPOS,8,2014,Male,57,276.0,32.0,56.1,20.0,35.1,5.0,8.8,0.0,0.0,5.0,8.8
22K134,PS K134,3,2013,Male,43,311.0,8.0,18.6,19.0,44.2,15.0,34.9,1.0,2.3,16.0,37.2
28Q082,PS 082 HAMMOND,All Grades,2016,Male,147,299.0,49.0,33.3,58.0,39.5,36.0,24.5,4.0,2.7,40.0,27.2
27Q319,VILLAGE ACADEMY,7,2014,Male,59,263.0,43.0,72.9,16.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0
14K023,PS 023 CARTER G WOODSON,4,2013,Male,20,279.0,13.0,65.0,6.0,30.0,1.0,5.0,0.0,0.0,1.0,5.0
10X024,PS 024 SPUYTEN DUYVIL,3,2013,Female,76,317.0,13.0,17.1,22.0,28.9,39.0,51.3,2.0,2.6,41.0,53.9
04M206,PS 206 JOSE CELSO BARBOSA,5,2014,Female,32,288.0,15.0,46.9,11.0,34.4,6.0,18.8,0.0,0.0,6.0,18.8
27Q306,NEW YORK CITY ACADEMY FOR DISCOVERY,3,2013,Male,46,301.0,16.0,34.8,17.0,37.0,12.0,26.1,1.0,2.2,13.0,28.3
10X279,PS 279 CAPTAIN MANUEL RIVERA JR,8,2013,Female,49,284.0,25.0,51.0,17.0,34.7,6.0,12.2,1.0,2.0,7.0,14.3
25Q020,PS 020 JOHN BOWNE,4,2013,Male,104,303.0,27.0,26.0,50.0,48.1,19.0,18.3,8.0,7.7,27.0,26.0
18K208,PS 208 ELSA EBELING,4,2016,Female,34,309.0,5.0,14.7,16.0,47.1,10.0,29.4,3.0,8.8,13.0,38.2
12X212,PS 212,7,2016,Male,23,285.0,11.0,47.8,8.0,34.8,3.0,13.0,1.0,4.3,4.0,17.4
18K219,PS 219 KENNEDY KING,All Grades,2016,Female,119,305.0,28.0,23.5,47.0,39.5,35.0,29.4,9.0,7.6,44.0,37.0
21K128,PS 128 BENSONHURST,All Grades,2014,Male,87,290.0,35.0,40.2,36.0,41.4,13.0,14.9,3.0,3.4,16.0,18.4
16K028,PS 028 THE WARREN PREP ACADEMY,4,2014,Male,20,270.0,14.0,70.0,4.0,20.0,2.0,10.0,0.0,0.0,2.0,10.0
12X318,IS X318 MATH SCIENCE & TECHNOLOGY THROUGH ARTS,All Grades,2014,Male,163,279.0,86.0,52.8,66.0,40.5,9.0,5.5,2.0,1.2,11.0,6.7
29Q034,PS 034 JOHN HARVARD,5,2015,Male,43,303.0,7.0,16.3,28.0,65.1,5.0,11.6,3.0,7.0,8.0,18.6
22K139,PS 139 ALEXINE A FENTY,3,2013,Male,83,294.0,36.0,43.4,27.0,32.5,20.0,24.1,0.0,0.0,20.0,24.1
30Q122,PS 122 MAMIE FAY,8,2016,Male,45,355.0,0.0,0.0,0.0,0.0,11.0,24.4,34.0,75.6,45.0,100.0
