all/credit_table_0_0.csv.residence_since,all/credit_table_0_0.csv.num_dependents,all/credit_table_0_0.csv.employment,Key_0_0,class
1.0,1.0,unemployed,199,good
4.0,2.0,>=7,813,good
4.0,2.0,4<=X<7,187,good
3.0,1.0,<1,413,good
4.0,2.0,1<=X<4,161,bad
1.0,1.0,<1,729,good
4.0,1.0,unemployed,256,good
2.0,1.0,>=7,964,good
2.0,1.0,<1,469,bad
2.0,1.0,>=7,636,good
1.0,1.0,4<=X<7,442,bad
4.0,1.0,1<=X<4,988,good
4.0,1.0,1<=X<4,883,bad
2.0,1.0,>=7,449,good
4.0,2.0,>=7,700,bad
3.0,1.0,4<=X<7,927,good
2.0,1.0,1<=X<4,251,good
1.0,1.0,1<=X<4,894,bad
2.0,1.0,1<=X<4,124,good
