all/school_pe.Borough,all/school_pe.Admin District,all/school_pe.Geographical District,all/school_pe.Location Code,all/school_pe.DBN,all/school_pe.School Level ,all/school_pe.Student Enrollment,all/school_pe.Full Time Licensed PE Teachers,all/school_pe.F Status PE Teachers*,all/school_pe.Itinerant PE Teachers*,all/school_pe.Sum of F Status and Itinerant*,all/school_pe.Total Part Time and Full Time PE Teachers*,all/school_pe.Shared PE teachers with another school*,all/school_pe.Ratio of Full Time Licensed PE Teachers to Students*
Manhattan,3,3,M299,03M299,High School                        ,402,2,0,0,0,2,0,1:201
Manhattan,6,6,M115,06M115,Elementary                         ,457,1,0,0,0,1,0,1:457
Staten Island,31,31,R035,31R035,Elementary                         ,381,1,0,0,0,1,0,1:381
Queens,30,30,Q212,30Q212,Elementary                         ,764,1,0,0,0,1,0,1:764
Brooklyn,18,18,K673,18K673,High School                        ,132,1,0,0,0,1,0,1:132
Manhattan,2,2,M586,02M586,High School                        ,47,1,0,0,0,1,0,1:47
Bronx,10,10,X565,10X565,High School                        ,372,3,0,0,0,3,0,1:124
Queens,24,24,Q267,24Q267,High School                        ,398,2,0,0,0,2,0,1:199
Brooklyn,20,20,K163,20K163,K-8                                ,594,1,0,0,0,1,0,1:594
Queens,27,27,Q314,27Q314,High School                        ,246,1,0,0,0,1,0,1:246
Bronx,11,11,X083,11X083,K-8                                ,1676,3,0,0,0,3,0,1:559
Manhattan,2,2,M600,02M600,High School                        ,1617,5,0,0,0,5,0,1:323
Queens,29,29,Q492,29Q492,High School                        ,365,1,0,0,0,1,0,1:365
Brooklyn,20,20,K748,20K748,Elementary                         ,547,1,0,0,0,1,0,1:547
Manhattan,5,5,M046,05M046,K-8                                ,611,1,0,0,0,1,0,1:611
Queens,29,29,Q132,29Q132,Elementary                         ,337,1,0,0,0,1,0,1:337
Bronx,9,9,X109,09X109,Elementary                         ,628,1,0,0,0,1,0,1:628
Bronx,7,7,X369,07X369,Elementary                         ,200,0,0,0,0,0,0,0
Queens,24,24,Q610,24Q610,High School                        ,2079,6,0,0,0,6,0,1:347
Bronx,7,7,X001,07X001,Elementary                         ,556,1,0,0,0,1,0,1:556
Brooklyn,21,21,K177,21K177,Elementary                         ,913,0,0,0,0,0,0,0
Brooklyn,75,15,K372,75K372,Elementary                         ,209,1,0,0,0,1,0,1:209
Brooklyn,15,15,K088,15K088,Junior High-Intermediate-Middle    ,1277,4,0,0,0,4,0,1:319
Staten Island,31,31,R049,31R049,Junior High-Intermediate-Middle    ,713,3,0,0,0,3,0,1:238
Manhattan,4,4,M037,04M037,Elementary                         ,161,0,0,0,0,0,0,0
Queens,25,25,Q540,25Q540,High School                        ,284,2,0,0,0,2,0,1:142
Bronx,11,11,X160,11X160,Elementary                         ,354,1,0,0,0,1,0,1:354
Bronx,10,10,X243,10X243,Secondary School                   ,563,3,0,0,0,3,1,1:188
Bronx,11,11,X514,11X514,High School                        ,359,2,0,0,0,2,0,1:180
Queens,25,25,Q022,25Q022,Elementary                         ,822,0,0,0,0,0,0,0
Queens,30,30,Q235,30Q235,Junior High-Intermediate-Middle    ,136,1,0,0,0,1,0,1:136
Manhattan,1,1,M034,01M034,K-8                                ,314,1,0,0,0,1,0,1:314
Brooklyn,17,17,K397,17K397,Elementary                         ,177,0,0,0,0,0,0,0
Bronx,10,10,X007,10X007,Elementary                         ,738,1,0,0,0,1,0,1:738
Bronx,7,7,X298,07X298,Junior High-Intermediate-Middle    ,246,1,0,0,0,1,0,1:246
Manhattan,1,1,M064,01M064,Elementary                         ,218,1,0,0,0,1,0,1:218
Manhattan,5,5,M030,05M030,Elementary                         ,234,2,0,0,0,2,0,1:117
Bronx,10,10,X546,10X546,High School                        ,351,1,0,0,0,1,0,1:351
Brooklyn,17,17,K399,17K399,Elementary                         ,416,1,0,0,0,1,0,1:416
Manhattan,2,2,M051,02M051,Elementary                         ,313,0,1,0,1,1,0,0
Bronx,10,10,X445,10X445,High School                        ,2971,10,0,0,0,10,0,1:297
Manhattan,5,5,M318,05M318,Elementary                         ,213,0,0,0,0,0,0,0
Manhattan,2,2,M575,02M575,High School                        ,519,3,0,0,0,3,0,1:173
Queens,30,30,Q085,30Q085,Elementary                         ,540,1,0,0,0,1,0,1:540
Queens,27,27,Q146,27Q146,K-8                                ,671,1,0,0,0,1,0,1:671
Brooklyn,13,13,K133,13K133,Elementary                         ,651,0,0,0,0,0,0,0
Brooklyn,18,18,K208,18K208,Elementary                         ,380,0,0,0,0,0,0,0
Brooklyn,19,19,K306,19K306,K-8                                ,434,2,0,0,0,2,0,1:217
Queens,24,24,Q199,24Q199,Elementary                         ,895,0,0,0,0,0,0,0
Brooklyn,17,17,K524,17K524,High School                        ,390,2,0,0,0,2,0,1:195
Staten Island,31,31,R019,31R019,Elementary                         ,574,0,0,0,0,0,0,0
Bronx,11,11,X249,11X249,High School                        ,294,0,0,0,0,0,0,0
Queens,75,26,Q177,75Q177,K-12 All Grades                    ,453,5,0,0,0,5,0,1:91
Bronx,12,12,X682,12X682,High School                        ,418,1,0,0,0,1,0,1:418
Queens,27,27,Q043,27Q043,K-8                                ,797,1,0,0,0,1,0,1:797
Staten Island,31,31,R047,31R047,High School                        ,481,2,0,0,0,2,0,1:241
Bronx,8,8,X349,08X349,High School                        ,378,1,0,0,0,1,0,1:378
Bronx,7,7,X179,07X179,Elementary                         ,305,0,0,0,0,0,0,0
Bronx,9,9,X324,09X324,Secondary School                   ,516,2,0,0,0,2,0,1:258
Bronx,7,7,X277,07X277,Elementary                         ,384,1,0,0,0,1,0,1:384
Staten Island,31,31,R060,31R060,Elementary                         ,842,0,0,0,0,0,0,0
Brooklyn,22,22,K234,22K234,Junior High-Intermediate-Middle    ,1957,6,0,0,0,6,0,1:326
Brooklyn,32,32,K549,32K549,High School                        ,350,2,0,0,0,2,0,1:175
Queens,25,25,Q670,25Q670,High School                        ,703,3,0,0,0,3,0,1:234
Bronx,9,9,X227,09X227,High School                        ,369,2,0,0,0,2,0,1:185
Bronx,11,11,X021,11X021,Elementary                         ,633,1,0,0,0,1,0,1:633
Bronx,11,11,X370,11X370,Junior High-Intermediate-Middle    ,361,2,0,0,0,2,0,1:181
Staten Island,31,31,R044,31R044,Elementary                         ,791,1,0,0,0,1,0,1:791
Brooklyn,19,19,K661,19K661,Junior High-Intermediate-Middle    ,374,1,0,0,0,1,0,1:374
Brooklyn,18,18,K588,18K588,Junior High-Intermediate-Middle    ,182,1,0,0,0,1,0,1:182
Brooklyn,75,15,K369,75K369,K-12 All Grades                    ,540,4,0,0,0,4,0,1:135
Brooklyn,17,17,K354,17K354,Junior High-Intermediate-Middle    ,196,2,0,0,0,2,0,1:98
Manhattan,5,5,M125,05M125,Elementary                         ,198,1,0,0,0,1,0,1:198
Queens,24,24,Q264,24Q264,High School                        ,551,2,0,0,0,2,0,1:276
Brooklyn,19,19,K273,19K273,Elementary                         ,288,1,0,0,0,1,0,1:288
Queens,30,30,Q301,30Q301,High School                        ,534,1,0,0,0,1,0,1:534
Brooklyn,15,15,K443,15K443,Junior High-Intermediate-Middle    ,553,0,0,0,0,0,0,0
Manhattan,2,2,M267,02M267,Elementary                         ,372,1,0,0,0,1,0,1:372
Bronx,8,8,X559,08X559,High School                        ,251,1,0,0,0,1,0,1:251
Bronx,11,11,X189,11X189,Elementary                         ,350,0,0,0,0,0,0,0
Manhattan,1,1,M515,01M515,High School                        ,419,1,0,0,0,1,0,1:419
Manhattan,4,4,M377,04M377,Junior High-Intermediate-Middle    ,136,0,0,0,0,0,0,0
Queens,26,26,Q430,26Q430,High School                        ,4324,9,0,0,0,9,0,1:480
Queens,25,25,Q252,25Q252,Secondary School                   ,561,3,0,0,0,3,0,1:187
Bronx,10,10,X434,10X434,High School                        ,399,2,0,0,0,2,1,1:200
Brooklyn,17,13,K340,17K340,Junior High-Intermediate-Middle    ,241,1,0,0,0,1,0,1:241
Brooklyn,14,14,K632,14K632,High School                        ,101,1,0,0,0,1,0,1:101
Manhattan,2,2,M343,02M343,Elementary                         ,330,1,0,0,0,1,0,1:330
Queens,30,30,Q555,30Q555,High School                        ,841,5,0,0,0,5,0,1:168
Manhattan,6,6,M210,06M210,K-8                                ,416,1,0,0,0,1,0,1:416
Brooklyn,21,21,K690,21K690,Secondary School                   ,884,5,0,0,0,5,0,1:177
Brooklyn,18,18,K566,18K566,High School                        ,201,2,0,0,0,2,0,1:101
Staten Island,31,31,R005,31R005,Elementary                         ,279,0,0,0,0,0,0,0
Queens,30,30,Q580,30Q580,Secondary School                   ,515,2,0,0,0,2,0,1:258
Bronx,12,12,X212,12X212,K-8                                ,380,2,0,0,0,2,0,1:190
Brooklyn,23,23,K522,23K522,Junior High-Intermediate-Middle    ,157,1,0,0,0,1,0,1:157
Staten Island,31,31,R058,31R058,Elementary                         ,674,1,0,0,0,1,0,1:674
Bronx,10,10,X246,10X246,Elementary                         ,710,1,0,0,0,1,0,1:710
Manhattan,6,6,M211,06M211,High School                        ,273,1,0,0,0,1,0,1:273
Brooklyn,16,16,K627,16K627,Elementary                         ,242,1,0,0,0,1,0,1:242
Bronx,8,8,X269,08X269,Secondary School                   ,606,2,0,0,0,2,0,1:303
Bronx,12,12,X098,12X098,Junior High-Intermediate-Middle    ,196,1,0,0,0,1,0,1:196
Manhattan,1,1,M020,01M020,Elementary                         ,459,1,0,0,0,1,0,1:459
Manhattan,1,1,M110,01M110,Elementary                         ,342,1,0,0,0,1,0,1:342
Bronx,7,7,X157,07X157,Elementary                         ,573,1,0,0,0,1,0,1:573
Brooklyn,23,23,K156,23K156,Elementary                         ,662,0,0,0,0,0,0,0
Brooklyn,14,14,K685,14K685,High School                        ,225,1,0,0,0,1,0,1:225
Brooklyn,13,13,K003,13K003,Elementary                         ,343,1,0,0,0,1,0,1:343
Bronx,8,8,X293,08X293,High School                        ,413,1,0,0,0,1,0,1:413
Queens,75,25,Q255,75Q255,K-12 All Grades                    ,394,8,0,0,0,8,0,1:49
Manhattan,4,4,M495,04M495,High School                        ,409,1,0,0,0,1,0,1:409
Queens,75,26,Q811,75Q811,K-12 All Grades                    ,342,4,0,0,0,4,0,1:86
Manhattan,1,1,M696,01M696,High School                        ,544,3,0,0,0,3,0,1:181
Queens,24,24,Q311,24Q311,Junior High-Intermediate-Middle    ,527,2,0,0,0,2,0,1:264
Brooklyn,20,20,K503,20K503,Elementary                         ,1060,1,0,0,0,1,0,1:1060
Staten Island,31,31,R026,31R026,Elementary                         ,220,0,0,0,0,0,0,0
Staten Island,75,31,R721,75R721,Secondary School                   ,406,4,0,0,0,4,0,1:102
Bronx,12,12,X273,12X273,Junior High-Intermediate-Middle    ,232,1,0,0,0,1,0,1:232
Brooklyn,17,23,K484,17K484,Junior High-Intermediate-Middle    ,130,1,0,0,0,1,0,1:130
Brooklyn,14,14,K126,14K126,Junior High-Intermediate-Middle    ,374,1,0,0,0,1,0,1:374
Brooklyn,13,13,K419,13K419,High School                        ,506,3,0,0,0,3,0,1:169
Brooklyn,19,19,K615,19K615,High School                        ,754,4,0,0,0,4,0,1:189
Bronx,12,12,X134,12X134,Elementary                         ,592,0,0,0,0,0,0,0
Brooklyn,20,20,K179,20K179,Elementary                         ,835,0,0,0,0,0,0,0
Manhattan,6,6,M048,06M048,Elementary                         ,529,0,0,0,0,0,0,0
Manhattan,1,1,M539,01M539,K-12 All Grades                    ,1734,6,0,0,0,6,0,1:289
Bronx,7,7,X551,07X551,Secondary School                   ,559,3,0,0,0,3,0,1:186
Bronx,11,11,X153,11X153,Elementary                         ,659,1,0,0,0,1,0,1:659
Manhattan,2,2,M124,02M124,Elementary                         ,703,0,0,0,0,0,0,0
Manhattan,2,2,M425,02M425,High School                        ,546,1,0,0,0,1,0,1:546
Bronx,8,8,X100,08X100,Elementary                         ,525,0,0,0,0,0,0,0
Manhattan,2,2,M158,02M158,Elementary                         ,673,1,0,0,0,1,0,1:673
Brooklyn,19,19,K218,19K218,Junior High-Intermediate-Middle    ,369,2,0,0,0,2,0,1:185
Manhattan,4,4,M409,04M409,High School                        ,145,1,0,0,0,1,0,1:145
Manhattan,2,2,M520,02M520,High School                        ,351,2,0,0,0,2,0,1:176
Brooklyn,20,20,K609,20K609,Secondary School                   ,541,2,0,0,0,2,0,1:271
Brooklyn,21,21,K153,21K153,Elementary                         ,453,0,0,0,0,0,0,0
Manhattan,2,2,M289,02M289,Junior High-Intermediate-Middle    ,278,0,0,1,1,1,1,0
Queens,29,29,Q283,29Q283,Secondary School                   ,579,3,0,0,0,3,0,1:193
Brooklyn,18,18,K276,18K276,Elementary                         ,548,0,0,0,0,0,0,0
Brooklyn,16,16,K584,16K584,Junior High-Intermediate-Middle    ,68,1,0,0,0,1,0,1:68
Manhattan,2,2,M114,02M114,Junior High-Intermediate-Middle    ,427,1,0,0,0,1,0,1:427
Queens,28,28,Q686,28Q686,High School                        ,1031,6,0,0,0,6,0,1:172
Bronx,10,10,X351,10X351,High School                        ,432,2,0,0,0,2,0,1:216
Brooklyn,20,20,K506,20K506,Elementary                         ,804,0,0,0,0,0,0,0
Brooklyn,18,18,K589,18K589,High School                        ,155,1,0,0,0,1,0,1:155
Brooklyn,20,20,K445,20K445,High School                        ,3434,18,0,0,0,18,0,1:191
Brooklyn,18,18,K637,18K637,High School                        ,248,2,0,0,0,2,0,1:124
Bronx,10,10,X396,10X396,Elementary                         ,296,2,0,0,0,2,0,1:148
Queens,29,29,Q265,29Q265,High School                        ,457,2,0,0,0,2,0,1:229
Bronx,11,11,X509,11X509,High School                        ,315,2,0,0,0,2,0,1:158
Bronx,9,9,X568,09X568,Secondary School                   ,374,2,0,0,0,2,0,1:187
Brooklyn,19,19,K325,19K325,Elementary                         ,199,1,0,0,0,1,0,1:199
Queens,29,29,Q116,29Q116,K-8                                ,658,2,0,0,0,2,0,1:329
Brooklyn,18,18,K268,18K268,Elementary                         ,358,0,0,0,0,0,0,0
Bronx,75,10,X188,75X188,K-12 All Grades                    ,390,5,0,0,0,5,0,1:78
Manhattan,2,2,M212,02M212,Elementary                         ,336,1,0,0,0,1,0,1:336
Brooklyn,21,21,K188,21K188,Elementary                         ,416,1,0,0,0,1,0,1:416
Manhattan,2,2,M397,02M397,K-8                                ,465,1,0,0,0,1,0,1:465
Brooklyn,13,13,K008,13K008,K-8                                ,915,1,0,0,0,1,0,1:915
Bronx,75,10,X469,75X469,Elementary                         ,233,2,0,0,0,2,0,1:117
Manhattan,4,4,M038,04M038,Elementary                         ,174,1,0,0,0,1,0,1:174
Manhattan,6,6,M319,06M319,Junior High-Intermediate-Middle    ,456,1,0,0,0,1,0,1:456
Brooklyn,13,13,K492,13K492,K-8                                ,511,1,0,0,0,1,0,1:511
Bronx,8,8,X146,08X146,Elementary                         ,353,0,0,0,0,0,0,0
Bronx,10,10,X331,10X331,Junior High-Intermediate-Middle    ,384,1,0,0,0,1,0,1:384
Brooklyn,19,19,K452,19K452,Junior High-Intermediate-Middle    ,314,1,0,0,0,1,0,1:314
Brooklyn,17,17,K770,17K770,Elementary                         ,231,1,0,0,0,1,0,1:231
Manhattan,3,2,M479,03M479,High School                        ,1277,2,0,0,0,2,0,1:639
Brooklyn,23,23,K401,23K401,Elementary                         ,227,1,0,0,0,1,0,1:227
Brooklyn,23,23,K646,23K646,High School                        ,163,2,0,0,0,2,0,1:82
Manhattan,2,2,M438,02M438,High School                        ,331,3,0,0,0,3,0,1:110
Brooklyn,19,19,K660,19K660,High School                        ,385,4,0,0,0,4,0,1:96
Manhattan,2,2,M089,02M089,Elementary                         ,366,0,0,1,1,1,1,0
Brooklyn,15,15,K010,15K010,Elementary                         ,908,1,0,0,0,1,0,1:908
Manhattan,2,2,M534,02M534,High School                        ,439,1,0,0,0,1,0,1:439
Manhattan,4,4,M155,04M155,Elementary                         ,274,1,0,0,0,1,0,1:274
Brooklyn,19,19,K422,19K422,Secondary School                   ,382,3,0,0,0,3,0,1:127
Manhattan,2,2,M139,02M139,High School                        ,363,2,0,0,0,2,1,1:182
Queens,27,27,Q260,27Q260,High School                        ,292,2,0,0,0,2,0,1:146
Bronx,10,10,X477,10X477,High School                        ,414,0,0,0,0,0,0,0
Manhattan,2,2,M280,02M280,High School                        ,260,1,1,0,1,2,1,1:260
Brooklyn,21,21,K253,21K253,Elementary                         ,823,0,0,0,0,0,0,0
Staten Island,31,31,R020,31R020,Elementary                         ,462,0,0,0,0,0,0,0
Brooklyn,20,20,K204,20K204,Elementary                         ,1126,0,0,0,0,0,0,0
Brooklyn,22,22,K405,22K405,High School                        ,3909,17,0,0,0,17,0,1:230
Manhattan,3,3,M485,03M485,High School                        ,2652,6,0,0,0,6,0,1:442
Manhattan,2,2,M580,02M580,High School                        ,499,3,0,0,0,3,0,1:166
Brooklyn,16,16,K028,16K028,Elementary                         ,138,1,0,0,0,1,0,1:138
Manhattan,2,2,M551,02M551,High School                        ,430,1,0,0,0,1,0,1:430
Manhattan,2,2,M308,02M308,High School                        ,325,1,0,0,0,1,0,1:325
Queens,27,27,Q324,27Q324,High School                        ,289,2,0,0,0,2,0,1:145
Manhattan,2,2,M422,02M422,Secondary School                   ,594,4,0,0,0,4,0,1:149
Queens,27,27,Q042,27Q042,K-8                                ,625,2,0,0,0,2,0,1:313
Bronx,10,10,X442,10X442,High School                        ,409,2,0,0,0,2,0,1:205
Brooklyn,17,17,K246,17K246,Junior High-Intermediate-Middle    ,407,1,0,0,0,1,0,1:407
Bronx,10,10,X054,10X054,Elementary                         ,406,0,0,0,0,0,0,0
Manhattan,3,3,M245,03M245,Junior High-Intermediate-Middle    ,394,0,0,0,0,0,0,0
Manhattan,5,5,M517,05M517,K-8                                ,244,1,0,0,0,1,0,1:244
Bronx,7,7,X049,07X049,Elementary                         ,572,1,0,0,0,1,0,1:572
Bronx,9,9,X329,09X329,High School                        ,257,1,0,0,0,1,0,1:257
Brooklyn,17,17,K394,17K394,K-8                                ,453,1,0,0,0,1,0,1:453
Bronx,7,7,X547,07X547,High School                        ,343,2,0,0,0,2,0,1:172
Queens,27,27,Q104,27Q104,Elementary                         ,619,0,0,0,0,0,0,0
Manhattan,2,2,M411,02M411,High School                        ,439,1,0,0,0,1,0,1:439
Brooklyn,17,17,K547,17K547,High School                        ,344,3,0,0,0,3,0,1:115
Queens,75,0,Q256,75Q256,K-12 All Grades                    ,370,6,0,0,0,6,0,1:62
Brooklyn,14,14,K561,14K561,High School                        ,648,3,0,0,0,3,0,1:216
Brooklyn,21,21,K097,21K097,Elementary                         ,772,0,0,0,0,0,0,0
Brooklyn,23,23,K514,23K514,High School                        ,174,1,0,0,0,1,0,1:174
Bronx,9,9,X215,09X215,Junior High-Intermediate-Middle    ,247,1,0,0,0,1,0,1:247
Manhattan,2,2,M418,02M418,High School                        ,652,2,0,0,0,2,0,1:326
Bronx,9,9,X274,09X274,Elementary                         ,696,1,0,0,0,1,0,1:696
Manhattan,2,2,M294,02M294,High School                        ,320,1,0,0,0,1,0,1:320
Queens,30,30,Q575,30Q575,High School                        ,975,4,0,0,0,4,0,1:244
Brooklyn,21,21,K096,21K096,Junior High-Intermediate-Middle    ,693,2,0,0,0,2,0,1:347
Staten Island,31,31,R009,31R009,Elementary                         ,222,1,0,0,0,1,0,1:222
Bronx,7,7,X025,07X025,Elementary                         ,441,0,0,0,0,0,0,0
Queens,29,29,Q248,29Q248,High School                        ,427,2,0,0,0,2,0,1:214
Queens,28,28,Q680,28Q680,Secondary School                   ,693,3,0,0,0,3,0,1:231
Queens,28,28,Q072,28Q072,Junior High-Intermediate-Middle    ,419,2,0,0,0,2,0,1:210
Brooklyn,17,17,K122,17K122,High School                        ,542,2,0,1,1,3,1,1:271
Brooklyn,15,15,K136,15K136,Junior High-Intermediate-Middle    ,462,2,0,0,0,2,0,1:231
Brooklyn,14,14,K477,14K477,High School                        ,369,2,0,0,0,2,0,1:185
Bronx,8,8,X467,08X467,Junior High-Intermediate-Middle    ,306,0,0,1,1,1,1,0
Manhattan,5,5,M194,05M194,Elementary                         ,161,1,0,0,0,1,0,1:161
Queens,28,28,Q206,28Q206,Elementary                         ,530,0,0,0,0,0,0,0
Manhattan,6,6,M178,06M178,Elementary                         ,272,1,0,0,0,1,0,1:272
Bronx,7,7,X031,07X031,K-8                                ,638,0,0,0,0,0,0,0
Staten Island,31,31,R007,31R007,Junior High-Intermediate-Middle    ,1144,2,0,0,0,2,0,1:572
Manhattan,2,2,M500,02M500,High School                        ,244,1,0,0,0,1,0,1:244
Queens,27,27,Q323,27Q323,Secondary School                   ,1346,4,0,0,0,4,0,1:337
Brooklyn,13,13,K056,13K056,Elementary                         ,177,0,0,0,0,0,0,0
Manhattan,5,5,M670,05M670,Secondary School                   ,526,2,0,0,0,2,0,1:263
Queens,28,28,Q054,28Q054,Elementary                         ,554,0,0,0,0,0,0,0
Queens,24,24,Q299,24Q299,High School                        ,594,2,0,0,0,2,0,1:297
Manhattan,2,2,M288,02M288,High School                        ,377,1,0,0,0,1,0,1:377
Manhattan,2,2,M400,02M400,High School                        ,1144,6,0,0,0,6,0,1:191
Brooklyn,20,20,K170,20K170,Elementary                         ,1015,1,0,0,0,1,0,1:1015
Manhattan,2,2,M011,02M011,Elementary                         ,884,2,0,0,0,2,0,1:442
Brooklyn,16,16,K057,16K057,Junior High-Intermediate-Middle    ,201,1,0,0,0,1,0,1:201
Queens,26,26,Q178,26Q178,K-8                                ,492,1,0,0,0,1,0,1:492
Bronx,9,9,X350,09X350,Secondary School                   ,215,1,0,0,0,1,0,1:215
Bronx,9,9,X328,09X328,Junior High-Intermediate-Middle    ,185,1,0,0,0,1,0,1:185
Brooklyn,15,15,K423,15K423,High School                        ,123,1,0,0,0,1,0,1:123
Brooklyn,14,14,K110,14K110,Elementary                         ,402,0,0,0,0,0,0,0
Brooklyn,23,23,K493,23K493,High School                        ,268,1,0,0,0,1,0,1:268
Queens,27,27,Q273,27Q273,Elementary                         ,312,0,0,0,0,0,0,0
Manhattan,1,1,M015,01M015,Elementary                         ,146,1,0,0,0,1,0,1:146
Queens,28,28,Q139,28Q139,Elementary                         ,741,0,0,0,0,0,0,0
Bronx,75,12,X352,75X352,K-8                                ,445,2,0,0,0,2,0,1:223
Manhattan,2,2,M300,02M300,High School                        ,355,1,0,0,0,1,0,1:355
Manhattan,2,2,M340,02M340,Elementary                         ,140,0,0,0,0,0,0,0
Brooklyn,19,19,K683,19K683,High School                        ,285,2,0,0,0,2,0,1:143
Manhattan,2,2,M313,02M313,High School                        ,182,1,0,0,0,1,0,1:182
Bronx,9,9,X454,09X454,Junior High-Intermediate-Middle    ,411,2,0,0,0,2,0,1:206
Brooklyn,21,21,K728,21K728,High School                        ,153,1,0,0,0,1,0,1:153
Brooklyn,13,13,K113,13K113,Junior High-Intermediate-Middle    ,309,1,0,0,0,1,0,1:309
Brooklyn,32,32,K552,32K552,High School                        ,173,1,0,0,0,1,0,1:173
Queens,24,24,Q293,24Q293,High School                        ,491,1,0,0,0,1,0,1:491
Bronx,9,9,X294,09X294,Elementary                         ,474,1,0,0,0,1,0,1:474
Brooklyn,15,15,K321,15K321,Elementary                         ,1427,1,1,0,1,2,0,1:1427
Brooklyn,18,18,K068,18K068,Junior High-Intermediate-Middle    ,378,1,0,0,0,1,0,1:378
Bronx,12,12,X321,12X321,High School                        ,103,1,0,0,0,1,0,1:103
Brooklyn,17,17,K600,17K600,High School                        ,1168,6,0,0,0,6,0,1:195
Brooklyn,21,21,K225,21K225,K-8                                ,888,1,0,0,0,1,0,1:888
Brooklyn,21,21,K540,21K540,High School                        ,2141,9,0,0,0,9,0,1:238
Queens,27,27,Q223,27Q223,Elementary                         ,531,0,0,0,0,0,0,0
Queens,25,25,Q242,25Q242,Early Childhood                    ,341,0,0,0,0,0,0,0
Bronx,9,9,X058,09X058,Elementary                         ,424,0,0,0,0,0,0,0
Queens,29,29,Q313,29Q313,High School                        ,288,1,0,0,0,1,0,1:288
Brooklyn,22,22,K134,22K134,Elementary                         ,550,0,0,0,0,0,0,0
Brooklyn,75,14,K373,75K373,High School                        ,333,2,0,0,0,2,0,1:167
Manhattan,2,2,M420,02M420,High School                        ,1709,5,0,0,0,5,0,1:342
Bronx,11,11,X544,11X544,High School                        ,411,1,0,0,0,1,0,1:411
Brooklyn,22,22,K197,22K197,Elementary                         ,559,1,0,0,0,1,0,1:559
Brooklyn,13,13,K350,13K350,High School                        ,243,1,0,0,0,1,0,1:243
Queens,27,27,Q362,27Q362,Elementary                         ,476,0,0,0,0,0,0,0
Brooklyn,17,17,K161,17K161,Elementary                         ,330,0,0,0,0,0,0,0
Queens,26,26,Q159,26Q159,Elementary                         ,612,0,0,0,0,0,0,0
Queens,24,24,Q153,24Q153,Elementary                         ,1215,1,0,0,0,1,0,1:1215
Manhattan,2,2,M225,02M225,K-8                                ,268,0,0,0,0,0,0,0
Manhattan,6,6,M322,06M322,Junior High-Intermediate-Middle    ,309,2,0,0,0,2,0,1:155
Brooklyn,17,17,K532,17K532,Elementary                         ,389,1,0,0,0,1,0,1:389
Brooklyn,15,15,K463,15K463,High School                        ,208,1,0,0,0,1,0,1:208
Bronx,75,10,X168,75X168,K-12 All Grades                    ,439,4,0,0,0,4,0,1:110
Manhattan,5,5,M285,05M285,High School                        ,188,1,0,0,0,1,0,1:188
Manhattan,5,5,M036,05M036,Elementary                         ,335,0,0,0,0,0,0,0
Manhattan,2,2,M933,02M933,Junior High-Intermediate-Middle    ,227,1,0,0,0,1,0,1:227
Staten Island,31,31,R057,31R057,Elementary                         ,601,0,0,0,0,0,0,0
Bronx,8,8,X335,08X335,Elementary                         ,242,1,0,0,0,1,0,1:242
Queens,30,30,Q151,30Q151,Elementary                         ,346,0,0,0,0,0,0,0
Manhattan,2,2,M507,02M507,High School                        ,445,2,0,0,0,2,1,1:223
Queens,25,25,Q425,25Q425,High School                        ,3316,16,0,0,0,16,0,1:207
Queens,75,30,Q277,75Q277,K-12 All Grades                    ,291,7,0,0,0,7,0,1:42
Manhattan,5,5,M692,05M692,High School                        ,459,2,0,0,0,2,0,1:230
Brooklyn,32,32,K562,32K562,Junior High-Intermediate-Middle    ,305,2,0,0,0,2,0,1:153
Queens,27,27,Q317,27Q317,Elementary                         ,419,1,0,0,0,1,0,1:419
Queens,24,24,Q211,24Q211,Elementary                         ,261,1,0,0,0,1,0,1:261
Manhattan,1,1,M142,01M142,Elementary                         ,308,1,0,0,0,1,0,1:308
Bronx,9,9,X361,09X361,Junior High-Intermediate-Middle    ,384,2,0,0,0,2,0,1:192
Queens,26,26,Q495,26Q495,High School                        ,2911,11,0,0,0,11,0,1:265
Brooklyn,21,21,K128,21K128,Elementary                         ,429,0,0,0,0,0,0,0
Brooklyn,14,14,K018,14K018,Elementary                         ,154,0,0,0,0,0,0,0
Manhattan,6,6,M028,06M028,Elementary                         ,620,0,0,0,0,0,0,0
Brooklyn,18,18,K279,18K279,Elementary                         ,385,0,0,0,0,0,0,0
Bronx,11,11,X357,11X357,Elementary                         ,231,0,0,0,0,0,0,0
Bronx,8,8,X519,08X519,High School                        ,188,1,0,0,0,1,0,1:188
Queens,27,27,Q106,27Q106,Elementary                         ,173,0,0,0,0,0,0,0
Queens,27,27,Q282,27Q282,Junior High-Intermediate-Middle    ,257,1,0,0,0,1,0,1:257
Bronx,11,11,X078,11X078,Elementary                         ,724,0,0,0,0,0,0,0
Brooklyn,19,19,K149,19K149,Elementary                         ,601,1,0,0,0,1,0,1:601
Brooklyn,19,19,K328,19K328,Elementary                         ,199,0,0,0,0,0,0,0
Queens,29,29,Q181,29Q181,Elementary                         ,287,0,0,0,0,0,0,0
Queens,24,24,Q089,24Q089,Elementary                         ,1948,2,0,0,0,2,0,1:974
Bronx,9,9,X517,09X517,High School                        ,365,0,0,0,0,0,0,0
