all/credit_table_0_0.class,all/credit_table_0_0.residence_since,all/credit_table_0_0.num_dependents,all/credit_table_0_0.employment,Key_0_0
good,1.0,1.0,unemployed,199
good,4.0,2.0,>=7,813
good,4.0,2.0,4<=X<7,187
good,3.0,1.0,<1,413
bad,4.0,2.0,1<=X<4,161
good,1.0,1.0,<1,729
good,4.0,1.0,unemployed,256
good,2.0,1.0,>=7,964
bad,2.0,1.0,<1,469
good,2.0,1.0,>=7,636
bad,1.0,1.0,4<=X<7,442
good,4.0,1.0,1<=X<4,988
bad,4.0,1.0,1<=X<4,883
good,2.0,1.0,>=7,449
bad,4.0,2.0,>=7,700
good,3.0,1.0,4<=X<7,927
good,2.0,1.0,1<=X<4,251
bad,1.0,1.0,1<=X<4,894
good,2.0,1.0,1<=X<4,124
